2,Legends Ford  34 Coupe,baseline
Steering Wheel Angle,Yaw Rate
251.015961,3.454641
249.999741,3.459084
249.010956,3.457222
248.022217,3.447127
247.005966,3.459412
246.017166,3.465955
245.000916,3.467490
244.012177,3.465494
243.023422,3.459567
242.007141,3.449480
241.018341,3.436545
240.002121,3.419631
239.013351,3.400023
238.024597,3.377014
237.008316,3.350939
236.019547,3.325364
235.003296,3.298799
234.014542,3.272943
233.025772,3.246648
232.009491,3.219445
231.020752,3.193424
230.004471,3.170386
229.015686,3.148956
227.999451,3.127814
227.010681,3.106517
226.021896,3.155068
225.005646,3.117435
224.016876,3.089890
223.000626,3.068826
222.011841,3.049328
221.023071,3.032892
220.006836,3.016847
219.018051,3.004774
218.001816,2.994174
217.013016,2.983960
216.024261,2.973339
215.007996,2.961850
214.019226,2.948805
213.002960,2.932765
212.014175,2.918602
211.025421,2.903433
210.009140,2.891022
209.020386,2.876977
208.004135,2.861728
207.015366,2.850359
206.026566,2.835143
205.010300,2.820696
204.021530,2.807607
203.005295,2.792650
202.016510,2.779570
201.000275,2.763859
200.011475,2.748412
199.022705,2.732634
198.006454,2.717022
197.017670,2.701452
196.001419,2.685409
195.012619,2.670215
194.023849,2.654541
193.007599,2.638101
192.018814,2.622628
191.002563,2.606336
190.013794,2.591765
189.024994,2.575568
188.008728,2.560031
187.019974,2.544946
186.003708,2.528457
185.014938,2.512657
184.026154,2.497460
183.009888,2.481288
182.021133,2.466100
181.004852,2.449875
180.016098,2.434714
178.999817,2.418853
178.011047,2.403434
177.022247,2.388048
176.005981,2.371854
175.017227,2.356934
174.000961,2.340636
173.012192,2.324639
172.023392,2.309327
171.007111,2.294133
170.018356,2.278626
169.002075,2.278656
168.013321,2.299141
167.024506,2.229897
166.008270,2.263707
165.019485,2.254535
164.003220,2.193767
163.014450,2.212542
162.025650,2.198776
161.009415,2.190992
160.020615,2.168572
159.004333,2.149935
158.015564,2.139448
157.026764,2.116621
156.010544,2.103189
155.021729,2.087582
154.005478,2.067625
153.016708,2.055004
152.000443,2.038366
151.011673,2.018549
150.022858,2.005839
149.006622,1.989944
148.017822,1.969912
147.001556,1.955534
146.012772,1.941429
145.023972,1.921078
144.007736,1.906919
143.018936,1.892760
142.002655,1.871784
141.013901,1.857789
140.025085,1.844194
139.008850,1.823129
138.020050,1.809282
137.003769,1.795334
136.014999,1.775460
135.026199,1.761109
134.009964,1.747311
133.021164,1.727504
132.004913,1.713508
131.016113,1.700319
130.027283,1.681118
129.011078,1.666332
128.022263,1.653146
127.006020,1.634734
126.017204,1.620811
125.000938,1.606899
124.012169,1.589440
123.023369,1.574886
122.007118,1.561586
121.018311,1.544927
120.002029,1.530523
119.013283,1.517165
118.024460,1.501386
117.008224,1.486833
116.019402,1.473458
115.003166,1.458082
114.014351,1.443600
113.025566,1.430558
112.009323,1.415874
111.020508,1.401271
110.004265,1.388010
109.015457,1.374299
108.026642,1.359548
107.010399,1.346541
106.021584,1.333535
105.005371,1.317836
104.016556,1.305556
103.027771,1.292861
102.011497,1.277037
101.022690,1.265722
100.006439,1.251288
99.017632,1.237861
98.001389,1.225231
97.012573,1.210473
96.023758,1.199481
95.007515,1.183279
94.018700,1.172907
93.002457,1.157071
92.013649,1.146986
91.024887,1.131197
90.008591,1.120154
89.019775,1.105693
88.003563,1.093191
87.014717,1.080225
86.025963,1.066881
85.009674,1.054150
84.020859,1.040008
83.004631,1.027612
82.015800,1.014006
81.027039,1.001666
80.010742,0.988179
79.021935,0.975193
78.005684,0.961825
77.016876,0.948080
76.000633,0.935527
75.011818,0.922197
74.023056,0.908890
73.006760,0.894604
72.017944,0.882797
71.001701,0.869366
70.012894,0.855523
69.024109,0.844773
68.007835,0.831893
67.018997,0.817488
66.002754,0.804808
65.013939,0.792008
64.025177,0.778611
63.008881,0.765432
62.020069,0.750239
61.003826,0.738431
60.015011,0.724000
59.026226,0.712560
58.009926,0.697074
57.021172,0.684225
56.004875,0.669766
55.016060,0.656660
54.027275,0.642308
53.011005,0.606732
52.022217,0.585211
51.005924,0.571435
50.017109,0.559377
49.000866,0.547425
48.012054,0.534054
47.023270,0.520012
46.006969,0.507746
45.018211,0.495570
44.001915,0.482525
43.013073,0.470262
42.024315,0.458755
41.008018,0.445590
40.019230,0.433328
39.002964,0.422134
38.014122,0.410352
37.025364,0.397599
36.009068,0.386699
35.020279,0.369576
34.003983,0.357804
33.015167,0.346185
32.026382,0.333484
31.010088,0.320126
30.021326,0.306752
29.005032,0.293615
28.016247,0.274158
27.027433,0.264776
26.011137,0.255273
25.022348,0.248670
24.006052,0.239757
23.017294,0.232451
22.000998,0.223887
21.012157,0.216620
20.023371,0.208259
19.007101,0.199924
18.018314,0.192657
17.002018,0.184573
16.013233,0.176674
15.024419,0.168418
14.008123,0.160636
13.019336,0.152931
12.003040,0.144663
11.014254,0.136729
10.025441,0.128925
9.009144,0.121067
8.020358,0.112984
7.004062,0.104842
6.015275,0.097354
5.026462,0.089683
4.010166,0.081329
3.021353,0.073332
2.005083,0.065448
1.016323,0.057758
0.000000,0.049537
-0.988760,0.041579
-1.977626,0.033971
-2.993896,0.026180
-3.982709,0.018471
-4.998979,0.009991
-5.987792,0.002550
-6.976604,0.005296
-7.992875,0.013712
-8.981688,0.021538
-9.997957,0.029098
-10.986771,0.037188
-11.975583,0.045300
-12.991853,0.052943
-13.980665,0.060588
-14.996989,0.069087
-15.985749,0.077147
-16.974613,0.084417
-17.990831,0.092118
-18.979698,0.100496
-19.995966,0.108737
-20.984779,0.115973
-21.973593,0.123573
-22.989862,0.134358
-23.978676,0.150681
-24.994999,0.168407
-25.983759,0.185583
-27.000082,0.203266
-27.988842,0.216347
-28.977654,0.231615
-29.993923,0.246397
-30.982737,0.259804
-31.999060,0.277355
-32.987873,0.287517
-33.976685,0.299827
-34.992954,0.311771
-35.981770,0.323218
-36.998093,0.336318
-37.986855,0.348131
-38.975719,0.360098
-39.991932,0.372602
-40.980801,0.385465
-41.997017,0.398202
-42.985882,0.410454
-43.974697,0.424040
-44.990967,0.437152
-45.979778,0.449099
-46.996048,0.462875
-47.984913,0.475299
-48.973728,0.488532
-49.989998,0.502387
-50.978813,0.515161
-51.995083,0.529123
-52.983894,0.542806
-54.000217,0.556087
-54.989029,0.569680
-55.977844,0.583467
-56.994110,0.597428
-57.982929,0.610712
-58.999199,0.625246
-59.988010,0.638437
-60.976871,0.652433
-61.993145,0.666975
-62.981956,0.680603
-63.998226,0.695118
-64.987038,0.708881
-65.975906,0.723518
-66.992180,0.737350
-67.980995,0.751566
-68.997253,0.766750
-69.986069,0.780106
-70.974884,0.794292
-71.991211,0.809166
-72.980019,0.822930
-73.996292,0.838140
-74.985161,0.851059
-75.973915,0.866835
-76.990234,0.881334
-77.979050,0.895738
-78.995323,0.910345
-79.984192,0.924753
-81.000404,0.939887
-81.989273,0.954415
-82.978142,0.968314
-83.994354,0.984176
-84.983215,0.998864
-85.999489,1.013236
-86.988304,1.027761
-87.977112,1.042497
-88.993439,1.057665
-89.982254,1.072120
-90.998520,1.087173
-91.987381,1.101943
-92.976151,1.116946
-93.992470,1.131946
-94.981339,1.146386
-95.997551,1.162225
-96.986420,1.176945
-97.975182,1.191480
-98.991501,1.206765
-99.980316,1.222377
-100.996635,1.237202
-101.985451,1.251530
-103.001717,1.266748
-103.990585,1.282364
-104.979347,1.296806
-105.995674,1.312153
-106.984535,1.327204
-108.000801,1.342167
-108.989616,1.355837
-109.978432,1.372806
-110.994759,1.387764
-111.983620,1.402642
-112.999840,1.418471
-113.988701,1.433276
-114.977516,1.448038
-115.993790,1.463652
-116.982597,1.478410
-117.998917,1.494169
-118.987793,1.509053
-119.976540,1.524050
-120.992874,1.539780
-121.981682,1.552977
-122.998009,1.571130
-123.986816,1.585997
-124.975624,1.600803
-125.991959,1.616206
-126.980713,1.631025
-127.997040,1.645987
-128.985855,1.662799
-130.002182,1.677469
-130.991043,1.691636
-131.979797,1.709271
-132.996124,1.724402
-133.984924,1.739048
-135.001266,1.754486
-135.990128,1.769573
-136.978897,1.784756
-137.995209,1.800766
-138.984009,1.815650
-140.000351,1.831381
-140.989212,1.846720
-141.977966,1.861972
-142.994293,1.878065
-143.983093,1.893309
-144.999435,1.908906
-145.988190,1.923704
-146.977051,1.939350
-147.993378,1.955559
-148.982193,1.970275
-149.998520,1.985870
-150.987274,2.001731
-151.976135,2.016343
-152.992462,2.032603
-153.981277,2.047618
-154.997604,2.063295
-155.986404,2.079035
-157.002731,2.094809
-157.991592,2.109938
-158.980362,2.124840
-159.996674,2.140988
-160.985504,2.156380
-162.001816,2.172182
-162.990631,2.187713
-163.979446,2.202243
-164.995819,2.218295
-165.984589,2.233607
-167.000900,2.249950
-167.989716,2.265884
-168.978577,2.281088
-169.994904,2.297001
-170.983719,2.312405
-172.000046,2.328528
-172.988800,2.343910
-173.977661,2.359863
-174.993927,2.375410
-175.982803,2.391073
-176.999130,2.406619
-177.987946,2.422359
-178.976807,2.437921
-179.993011,2.453886
-180.981888,2.469321
-181.998260,2.485265
-182.987030,2.501064
-184.003342,2.515394
-184.992157,2.531604
-185.981033,2.546493
-186.997345,2.562604
-187.986160,2.578482
-189.002487,2.593029
-189.991287,2.610064
-190.980164,2.625357
-191.996368,2.641384
-192.985306,2.657206
-194.001617,2.673219
-194.990387,2.687862
-195.979248,2.701697
-196.995514,2.716581
-197.984390,2.730030
-199.000702,2.744433
-199.989532,2.758171
-200.978394,2.772640
-201.994644,2.786829
-202.983521,2.800799
-203.999786,2.815413
-204.988647,2.829234
-206.004990,2.843755
-206.993790,2.857309
-207.982666,2.871471
-208.998932,2.886313
-209.987793,2.899678
-211.004120,2.913801
-211.992920,2.925301
-212.981796,2.937660
-213.998062,2.949786
-214.986923,2.963129
-216.003265,2.978075
-216.992065,2.992267
-217.980942,3.006631
-218.997208,3.021186
-219.986069,3.034963
-221.002350,3.049204
-221.991211,3.064396
-222.980072,3.077947
-223.996338,3.091182
-224.985199,3.103238
-226.001480,3.116548
-226.990341,3.129157
-227.979218,3.143203
-228.995483,3.159840
-229.984344,3.171824
-231.000626,3.187093
-231.989487,3.201656
-233.005737,3.215589
-233.994614,3.228233
-234.983490,3.243784
-235.999741,3.256636
-236.988617,3.270545
-238.004898,3.285788
-238.993744,3.298742
-239.982620,3.311584
-240.998901,3.326643
-241.987823,3.336984
-243.004013,3.352214
-243.992950,3.367295
-244.981827,3.379140
-245.998077,3.395019
-246.986954,3.410299
-248.003220,3.422309
-248.992081,3.438092
-249.980896,3.451221
-250.997223,3.462802
-251.986099,3.477906
-253.002350,3.493246
-253.991226,3.504502
-254.980042,3.518034
-255.996399,3.531733
-256.985291,3.543533
-258.001556,3.561075
-258.990417,3.575724
