2,Legends Ford  34 Coupe,fiveflags
Steering Wheel Angle,Yaw Rate
254.998566,3.476164
254.009781,3.476978
253.021011,3.475581
252.004791,3.477839
251.015961,3.499566
249.999741,3.504151
249.010956,3.506191
248.022217,3.506879
247.005966,3.504137
246.017166,3.418638
245.000916,3.418651
244.012177,3.407441
243.023422,3.393959
242.007141,3.378146
241.018341,3.360831
240.002121,3.341173
239.013351,3.320495
238.024597,3.300223
237.008316,3.334825
236.019547,3.319883
235.003296,3.301181
234.014542,3.280649
233.025772,3.259487
232.009491,3.237796
231.020752,3.216868
230.004471,3.195055
229.015686,3.173413
227.999451,3.150868
227.010681,3.128842
226.021896,3.104135
225.005646,3.079362
224.016876,3.060450
223.000626,3.039600
222.011841,3.039054
221.023071,3.022650
220.006836,3.004145
219.018051,2.987132
218.001816,2.969944
217.013016,2.952542
216.024261,2.937316
215.007996,2.923938
214.019226,2.911772
213.002960,2.899943
212.014175,2.888428
211.025421,2.875739
210.009140,2.861698
209.020386,2.847682
208.004135,2.835013
207.015366,2.821630
206.026566,2.808105
205.010300,2.793450
204.021530,2.781010
203.005295,2.766601
202.016510,2.753409
201.000275,2.740117
200.011475,2.725922
199.022705,2.713341
198.006454,2.702410
197.017670,2.689497
196.001419,2.674899
195.012619,2.660305
194.023849,2.646274
193.007599,2.632237
192.018814,2.618409
191.002563,2.604518
190.013794,2.590432
189.024994,2.576812
188.008728,2.561873
187.019974,2.552648
186.003708,2.535307
185.014938,2.519750
184.026154,2.505235
183.009888,2.490796
182.021133,2.474756
181.004852,2.459102
180.016098,2.443748
178.999817,2.427769
178.011047,2.411906
177.022247,2.397060
176.005981,2.380727
175.017227,2.365250
174.000961,2.349606
173.012192,2.334107
172.023392,2.318700
171.007111,2.303046
170.018356,2.286889
169.002075,2.271734
168.013321,2.256006
167.024506,2.240609
166.008270,2.224598
165.019485,2.209578
164.003220,2.193638
163.014450,2.178090
162.025650,2.162917
161.009415,2.146994
160.020615,2.131964
159.004333,2.115911
158.015564,2.100977
157.026764,2.085419
156.010544,2.069445
155.021729,2.054230
154.005478,2.038631
153.016708,2.023405
152.000443,2.007629
151.011673,1.992297
150.022858,1.977347
149.006622,1.961448
148.017822,1.946184
147.001556,1.930751
146.012772,1.915436
145.023972,1.900416
144.007736,1.884823
143.018936,1.869530
142.002655,1.854334
141.013901,1.839056
140.025085,1.823912
139.008850,1.808290
138.020050,1.793328
137.003769,1.777904
136.014999,1.762526
135.026199,1.747650
134.009964,1.732340
133.021164,1.717191
132.004913,1.701827
131.016113,1.687014
130.027283,1.671762
129.011078,1.656445
128.022263,1.641575
127.006020,1.626394
126.017204,1.611286
125.000938,1.595610
124.012169,1.581249
123.023369,1.565744
122.007118,1.550975
121.018311,1.536132
120.002029,1.520585
119.013283,1.506154
118.024460,1.491098
117.008224,1.476091
116.019402,1.461350
115.003166,1.446093
114.014351,1.430696
113.025566,1.416925
112.009323,1.401803
111.020508,1.387056
110.004265,1.371979
109.015457,1.357485
108.026642,1.342965
107.010399,1.327944
106.021584,1.313029
105.005371,1.298505
104.016556,1.284013
103.027771,1.269356
102.011497,1.254230
101.022690,1.240030
100.006439,1.225259
99.017632,1.223523
98.001389,1.197987
97.012573,1.197647
96.023758,1.188130
95.007515,1.160641
94.018700,1.156502
93.002457,1.143844
92.013649,1.128197
91.024887,1.114241
90.008591,1.099408
89.019775,1.084026
88.003563,1.070075
87.014717,1.055470
86.025963,1.041000
85.009674,1.026601
84.020859,1.012218
83.004631,0.997912
82.015800,0.983712
81.027039,0.969527
80.010742,0.955747
79.021935,0.941319
78.005684,0.927200
77.016876,0.913408
76.000633,0.899235
75.011818,0.885349
74.023056,0.871735
73.006760,0.857481
72.017944,0.843387
71.001701,0.829898
70.012894,0.816287
69.024109,0.802232
