2,Ligier JS P320,baseline
Steering Wheel Angle,Yaw Rate
173.012192,1.630978
172.023392,1.621229
171.007111,1.612313
170.018356,1.603811
169.002075,1.595061
168.013321,1.586370
167.024506,1.577571
166.008270,1.568299
165.019485,1.559365
164.003220,1.549810
163.014450,1.540253
162.025650,1.530717
161.009415,1.520826
160.020615,1.511450
159.004333,1.501591
158.015564,1.492050
157.026764,1.482589
156.010544,1.472692
155.021729,1.463284
154.005478,1.453463
153.016708,1.444012
152.000443,1.434027
151.011673,1.424108
150.022858,1.413887
149.006622,1.403262
148.017822,1.394049
147.001556,1.384282
146.012772,1.374766
145.023972,1.365862
144.007736,1.356590
143.018936,1.347030
142.002655,1.337431
141.013901,1.327550
140.025085,1.318257
139.008850,1.308211
138.020050,1.298922
137.003769,1.289173
136.014999,1.279681
135.026199,1.270195
134.009964,1.260524
133.021164,1.251115
132.004913,1.241526
131.016113,1.231787
130.027283,1.222596
129.011078,1.212828
128.022263,1.203386
127.006020,1.193644
126.017204,1.184267
125.000938,1.174398
124.012169,1.165056
123.023369,1.155680
122.007118,1.146101
121.018311,1.136553
120.002029,1.126960
119.013283,1.117493
118.024460,1.107866
117.008224,1.098344
116.019402,1.089012
115.003166,1.079210
114.014351,1.069869
113.025566,1.060418
112.009323,1.050728
111.020508,1.041706
110.004265,1.031699
109.015457,1.022291
108.026642,1.013064
107.010399,1.003205
106.021584,0.993799
105.005371,0.984164
104.016556,0.975003
103.027771,0.965453
102.011497,0.955763
101.022690,0.946406
100.006439,0.936815
99.017632,0.927326
98.001389,0.917781
97.012573,0.908403
96.023758,0.898988
95.007515,0.889385
94.018700,0.880036
93.002457,0.870401
92.013649,0.861003
91.024887,0.851612
90.008591,0.841889
89.019775,0.832663
88.003563,0.823006
87.014717,0.813665
86.025963,0.804210
85.009674,0.794717
84.020859,0.785271
83.004631,0.775641
82.015800,0.766376
81.027039,0.756937
80.010742,0.747288
79.021935,0.737962
78.005684,0.728391
77.016876,0.719036
76.000633,0.709410
75.011818,0.700215
74.023056,0.690757
73.006760,0.681153
72.017944,0.671808
71.001701,0.662269
70.012894,0.652893
69.024109,0.643629
68.007835,0.633888
67.018997,0.624525
66.002754,0.615045
65.013939,0.605719
64.025177,0.596301
63.008881,0.586667
62.020069,0.577384
61.003826,0.567844
60.015011,0.558497
59.026226,0.549168
58.009926,0.539512
57.021172,0.530297
56.004875,0.520612
55.016060,0.511382
54.027275,0.502015
53.011005,0.492422
52.022217,0.483097
51.005924,0.473528
50.017109,0.464223
49.000866,0.454582
48.012054,0.445379
47.023270,0.435926
46.006969,0.426367
45.018211,0.417048
44.001915,0.407533
43.013073,0.398133
42.024315,0.388780
41.008018,0.379188
40.019230,0.369952
39.002964,0.360333
38.014122,0.351085
37.025364,0.341681
36.009068,0.332078
35.020279,0.322790
34.003983,0.313228
33.015167,0.303948
32.026382,0.294659
31.010088,0.284983
30.021326,0.275788
29.005032,0.266206
28.016247,0.256913
27.027433,0.247628
26.011137,0.238153
25.022348,0.228666
24.006052,0.219116
23.017294,0.209936
22.000998,0.200231
21.012157,0.190953
20.023371,0.181755
19.007101,0.172023
18.018314,0.162782
17.002018,0.153162
16.013233,0.143897
15.024419,0.134710
14.008123,0.125024
13.019336,0.115713
12.003040,0.106159
11.014254,0.096877
10.025441,0.087624
9.009144,0.078041
8.020358,0.068743
7.004062,0.059114
6.015275,0.050140
5.026462,0.041669
4.010166,0.032954
3.021353,0.024474
2.005083,0.015730
1.016323,0.007273
0.000000,0.001998
-0.988760,0.009895
-1.977626,0.018390
-2.993896,0.027111
-3.982709,0.035576
-4.998979,0.044312
-5.987792,0.052781
-6.976604,0.061230
-7.992875,0.070466
-8.981688,0.079720
-9.997957,0.089459
-10.986771,0.098687
-11.975583,0.108016
-12.991853,0.117499
-13.980665,0.126890
-14.996989,0.136351
-15.985749,0.145743
-16.974613,0.154891
-17.990831,0.164434
-18.979698,0.173869
-19.995966,0.183489
-20.984779,0.192704
-21.973593,0.201921
-22.989862,0.211580
-23.978676,0.220926
-24.994999,0.230565
-25.983759,0.239748
-27.000082,0.249310
-27.988842,0.258705
-28.977654,0.268064
-29.993923,0.277460
-30.982737,0.286987
-31.999060,0.296380
-32.987873,0.305721
-33.976685,0.315125
-34.992954,0.324574
-35.981770,0.333942
-36.998093,0.343557
-37.986855,0.352749
-38.975719,0.362142
-39.991932,0.371755
-40.980801,0.380987
-41.997017,0.390576
-42.985882,0.399947
-43.974697,0.409184
-44.990967,0.418955
-45.979778,0.428151
-46.996048,0.437747
-47.984913,0.447007
-48.973728,0.456231
-49.989998,0.466008
-50.978813,0.475340
-51.995083,0.484710
-52.983894,0.494193
-54.000217,0.503677
-54.989029,0.513114
-55.977844,0.522370
-56.994110,0.532076
-57.982929,0.541299
-58.999199,0.550999
-59.988010,0.560285
-60.976871,0.569453
-61.993145,0.579260
-62.981956,0.588285
-63.998226,0.598127
-64.987038,0.607507
-65.975906,0.616781
-66.992180,0.626293
-67.980995,0.635653
-68.997253,0.645282
-69.986069,0.654654
-70.974884,0.664076
-71.991211,0.673661
-72.980019,0.682946
-73.996292,0.692456
-74.985161,0.701969
-75.973915,0.711279
-76.990234,0.720748
-77.979050,0.730077
-78.995323,0.739738
-79.984192,0.749085
-81.000404,0.758992
-81.989273,0.768217
-82.978142,0.777501
-83.994354,0.787034
-84.983215,0.796342
-85.999489,0.806027
-86.988304,0.815311
-87.977112,0.824584
-88.993439,0.834305
-89.982254,0.843698
-90.998520,0.853147
-91.987381,0.862684
-92.976151,0.872065
-93.992470,0.881619
-94.981339,0.891055
-95.997551,0.900529
-96.986420,0.909976
-97.975182,0.919197
-98.991501,0.928973
-99.980316,0.938493
-100.996635,0.947950
-101.985451,0.957334
-103.001717,0.966839
-103.990585,0.976364
-104.979347,0.985801
-105.995674,0.995496
-106.984535,1.004767
-108.000801,1.014528
-108.989616,1.023814
-109.978432,1.033283
-110.994759,1.042905
-111.983620,1.052175
-112.999840,1.061888
-113.988701,1.071456
-114.977516,1.080719
-115.993790,1.090236
-116.982597,1.099862
-117.998917,1.109342
-118.987793,1.118914
-119.976540,1.128475
-120.992874,1.137856
-121.981682,1.147495
-122.998009,1.157163
-123.986816,1.166656
-124.975624,1.175881
-125.991959,1.185561
-126.980713,1.195111
-127.997040,1.204766
-128.985855,1.214272
-130.002182,1.223857
-130.991043,1.233308
-131.979797,1.242591
-132.996124,1.252607
-133.984924,1.261898
-135.001266,1.271621
-135.990128,1.281174
-136.978897,1.290504
-137.995209,1.300208
-138.984009,1.309743
-140.000351,1.319313
