2,Lotus 49,skidpad
Steering Wheel Angle,Yaw Rate
209.020386,2.385496
208.004135,2.373241
207.015366,2.361601
206.026566,2.350817
205.010300,2.339708
204.021530,2.328851
203.005295,2.317741
202.016510,2.306704
201.000275,2.295490
200.011475,2.284610
199.022705,2.273603
198.006454,2.262226
197.017670,2.250949
196.001419,2.239360
195.012619,2.227950
194.023849,2.216473
193.007599,2.204562
192.018814,2.192728
191.002563,2.180682
190.013794,2.168588
189.024994,2.156590
188.008728,2.144546
187.019974,2.133154
186.003708,2.121290
185.014938,2.110213
184.026154,2.099286
183.009888,2.087853
182.021133,2.076589
181.004852,2.064842
180.016098,2.053173
178.999817,2.041274
178.011047,2.030186
177.022247,2.018600
176.005981,2.006858
175.017227,1.995474
174.000961,1.983819
173.012192,1.972458
172.023392,1.960962
171.007111,1.949368
170.018356,1.938123
169.002075,1.926367
168.013321,1.915014
167.024506,1.903662
166.008270,1.892094
165.019485,1.880584
164.003220,1.868921
163.014450,1.857685
162.025650,1.846305
161.009415,1.834788
160.020615,1.823455
159.004333,1.811702
158.015564,1.800302
157.026764,1.789130
156.010544,1.777371
155.021729,1.766224
154.005478,1.754480
153.016708,1.743205
152.000443,1.731469
151.011673,1.720290
150.022858,1.708985
149.006622,1.697386
148.017822,1.686104
147.001556,1.674564
146.012772,1.663145
145.023972,1.651940
144.007736,1.640319
143.018936,1.628953
142.002655,1.617390
141.013901,1.606333
140.025085,1.594755
139.008850,1.583291
138.020050,1.572115
137.003769,1.560366
136.014999,1.549193
135.026199,1.537956
134.009964,1.526282
133.021164,1.515156
132.004913,1.503465
131.016113,1.492325
130.027283,1.480965
129.011078,1.469508
128.022263,1.458316
127.006020,1.446688
126.017204,1.435502
125.000938,1.423873
124.012169,1.412602
123.023369,1.401455
122.007118,1.389860
121.018311,1.378784
120.002029,1.367109
119.013283,1.355903
118.024460,1.344769
117.008224,1.333119
116.019402,1.322012
115.003166,1.310289
114.014351,1.299158
113.025566,1.288112
112.009323,1.276407
111.020508,1.265267
110.004265,1.253642
109.015457,1.242769
108.026642,1.231405
107.010399,1.219840
106.021584,1.208650
105.005371,1.197092
104.016556,1.186092
103.027771,1.174712
102.011497,1.163350
101.022690,1.152163
100.006439,1.140588
99.017632,1.129521
98.001389,1.117852
97.012573,1.106766
96.023758,1.095699
95.007515,1.084046
94.018700,1.072953
93.002457,1.061445
92.013649,1.050366
91.024887,1.039254
90.008591,1.027589
89.019775,1.016500
88.003563,1.004966
87.014717,0.993973
86.025963,0.982797
85.009674,0.971220
84.020859,0.960173
83.004631,0.948610
82.015800,0.937586
81.027039,0.926342
80.010742,0.914888
79.021935,0.903789
78.005684,0.892318
77.016876,0.881128
76.000633,0.869756
75.011818,0.858598
74.023056,0.847415
73.006760,0.835987
72.017944,0.825059
71.001701,0.813477
70.012894,0.802336
69.024109,0.791167
68.007835,0.779706
67.018997,0.768666
66.002754,0.757229
65.013939,0.746157
64.025177,0.734974
63.008881,0.723608
62.020069,0.712404
61.003826,0.701081
60.015011,0.689858
59.026226,0.678825
58.009926,0.667328
57.021172,0.656239
56.004875,0.644946
55.016060,0.633748
54.027275,0.622658
53.011005,0.611313
52.022217,0.600024
51.005924,0.588750
50.017109,0.577574
49.000866,0.566150
48.012054,0.555143
47.023270,0.544103
46.006969,0.532526
45.018211,0.521501
44.001915,0.510142
43.013073,0.499127
42.024315,0.488038
41.008018,0.476561
40.019230,0.465597
39.002964,0.453992
38.014122,0.443088
37.025364,0.431984
36.009068,0.420571
35.020279,0.409469
34.003983,0.398116
33.015167,0.387067
32.026382,0.376059
31.010088,0.364574
30.021326,0.353482
29.005032,0.342190
28.016247,0.331124
27.027433,0.320137
26.011137,0.308642
25.022348,0.297545
24.006052,0.286240
23.017294,0.275091
22.000998,0.263782
21.012157,0.252764
20.023371,0.241645
19.007101,0.230265
18.018314,0.219107
17.002018,0.207818
16.013233,0.196904
15.024419,0.185784
14.008123,0.174326
13.019336,0.163224
12.003040,0.151974
11.014254,0.140890
10.025441,0.129802
9.009144,0.118601
8.020358,0.107523
7.004062,0.095926
6.015275,0.085068
5.026462,0.073891
4.010166,0.062617
3.021353,0.051521
2.005083,0.040247
1.016323,0.029131
0.000000,0.017713
-0.988760,0.008762
-1.977626,0.002246
-2.993896,0.006726
-3.982709,0.014909
-4.998979,0.026127
-5.987792,0.037227
-6.976604,0.048235
-7.992875,0.059586
-8.981688,0.070495
-9.997957,0.081865
-10.986771,0.093001
-11.975583,0.103983
-12.991853,0.115325
-13.980665,0.126356
-14.996989,0.137670
-15.985749,0.148702
-16.974613,0.159818
-17.990831,0.171203
-18.979698,0.182110
-19.995966,0.193545
-20.984779,0.204442
-21.973593,0.215481
-22.989862,0.226943
-23.978676,0.237981
-24.994999,0.249293
-25.983759,0.260236
-27.000082,0.271654
-27.988842,0.282679
-28.977654,0.293718
-29.993923,0.304954
-30.982737,0.316114
-31.999060,0.327311
-32.987873,0.338371
-33.976685,0.349475
-34.992954,0.360806
-35.981770,0.371655
-36.998093,0.383170
-37.986855,0.394115
-38.975719,0.405157
-39.991932,0.416401
-40.980801,0.427371
-41.997017,0.438786
-42.985882,0.449784
-43.974697,0.460729
-44.990967,0.472281
-45.979778,0.483128
-46.996048,0.494526
-47.984913,0.505559
-48.973728,0.516551
-49.989998,0.527953
-50.978813,0.538835
-51.995083,0.550311
-52.983894,0.561196
-54.000217,0.572728
-54.989029,0.583602
-55.977844,0.594658
-56.994110,0.605989
-57.982929,0.616923
-58.999199,0.628287
-59.988010,0.639382
-60.976871,0.650377
-61.993145,0.661703
-62.981956,0.672649
-63.998226,0.684050
-64.987038,0.695012
-65.975906,0.706100
-66.992180,0.717451
-67.980995,0.728413
-68.997253,0.739748
-69.986069,0.750663
-70.974884,0.761689
-71.991211,0.773149
-72.980019,0.784077
-73.996292,0.795447
-74.985161,0.806430
-75.973915,0.817531
-76.990234,0.828859
-77.979050,0.839835
-78.995323,0.851198
-79.984192,0.862222
-81.000404,0.873669
-81.989273,0.884586
-82.978142,0.895552
-83.994354,0.906843
-84.983215,0.918018
-85.999489,0.929396
-86.988304,0.940377
-87.977112,0.951420
-88.993439,0.962689
-89.982254,0.973812
-90.998520,0.985023
-91.987381,0.996168
-92.976151,1.007226
-93.992470,1.018449
-94.981339,1.029474
-95.997551,1.040911
-96.986420,1.051903
-97.975182,1.062799
-98.991501,1.074468
-99.980316,1.085373
-100.996635,1.096694
-101.985451,1.107737
-103.001717,1.119031
-103.990585,1.130013
-104.979347,1.141173
-105.995674,1.152380
-106.984535,1.163352
-108.000801,1.174884
-108.989616,1.185877
-109.978432,1.196802
-110.994759,1.208228
-111.983620,1.219202
-112.999840,1.230533
-113.988701,1.241647
-114.977516,1.252703
-115.993790,1.263937
-116.982597,1.275034
-117.998917,1.286389
-118.987793,1.297391
-119.976540,1.308367
-120.992874,1.319808
-121.981682,1.330831
-122.998009,1.342230
-123.986816,1.353189
-124.975624,1.364166
-125.991959,1.375620
-126.980713,1.386618
-127.997040,1.398073
-128.985855,1.409066
-130.002182,1.420456
-130.991043,1.431425
-131.979797,1.442432
-132.996124,1.453850
-133.984924,1.464823
-135.001266,1.476314
-135.990128,1.487316
-136.978897,1.498377
-137.995209,1.509726
-138.984009,1.520678
-140.000351,1.532258
-140.989212,1.543167
-141.977966,1.554223
-142.994293,1.565773
-143.983093,1.576775
-144.999435,1.587969
-145.988190,1.599040
-146.977051,1.609998
-147.993378,1.621672
-148.982193,1.632695
-149.998520,1.644006
-150.987274,1.655076
-151.976135,1.666125
-152.992462,1.677647
-153.981277,1.688592
-154.997604,1.700037
-155.986404,1.710918
-157.002731,1.722478
-157.991592,1.733610
-158.980362,1.744599
-159.996674,1.756090
-160.985504,1.767137
-162.001816,1.778493
-162.990631,1.789425
-163.979446,1.800673
-164.995819,1.812019
-165.984589,1.823215
-167.000900,1.834566
-167.989716,1.845651
-168.978577,1.856780
