2,Lotus 79,baseline
Steering Wheel Angle,Yaw Rate
259.008575,2.370728
258.019806,2.360763
257.003571,2.350497
256.014801,2.340679
254.998566,2.329698
254.009781,2.323096
253.021011,2.324193
252.004791,2.321735
251.015961,2.313815
249.999741,2.297554
249.010956,2.284749
248.022217,2.283504
247.005966,2.284779
246.017166,2.274309
245.000916,2.256256
244.012177,2.252231
243.023422,2.254565
242.007141,2.245922
241.018341,2.227039
240.002121,2.211432
239.013351,2.205603
238.024597,2.202415
237.008316,2.196394
236.019547,2.189619
235.003296,2.176236
234.014542,2.164014
233.025772,2.158346
232.009491,2.159912
231.020752,2.154775
230.004471,2.138846
229.015686,2.121715
227.999451,2.113706
227.010681,2.112577
226.021896,2.111390
225.005646,2.102872
224.016876,2.086648
223.000626,2.072409
222.011841,2.067064
221.023071,2.066454
220.006836,2.062152
219.018051,2.049893
218.001816,2.034784
217.013016,2.024560
216.024261,2.020411
215.007996,2.024410
214.019226,2.009147
213.002960,2.000204
212.014175,1.986415
211.025421,1.975946
210.009140,1.974346
209.020386,1.971067
208.004135,1.960925
207.015366,1.951154
206.026566,1.936519
205.010300,1.926252
204.021530,1.926795
203.005295,1.923880
202.016510,1.913947
201.000275,1.897981
200.011475,1.888020
199.022705,1.882050
198.006454,1.875782
197.017670,1.872872
196.001419,1.866559
195.012619,1.851189
194.023849,1.839672
193.007599,1.829631
192.018814,1.828948
191.002563,1.822726
190.013794,1.815407
189.024994,1.801728
188.008728,1.791594
187.019974,1.781475
186.003708,1.774993
185.014938,1.773694
184.026154,1.765474
183.009888,1.756947
182.021133,1.742685
181.004852,1.732308
180.016098,1.722510
178.999817,1.720983
178.011047,1.714579
177.022247,1.665622
176.005981,1.626684
175.017227,1.632465
174.000961,1.637246
173.012192,1.654295
172.023392,1.604535
171.007111,1.628196
170.018356,1.588854
169.002075,1.622204
168.013321,1.604198
167.024506,1.562890
166.008270,1.595307
165.019485,1.541121
164.003220,1.579488
163.014450,1.528363
162.025650,1.530811
161.009415,1.530771
160.020615,1.502479
159.004333,1.551508
158.015564,1.473799
157.026764,1.449483
156.010544,1.447575
155.021729,1.460535
154.005478,1.435150
153.016708,1.435676
152.000443,1.420981
151.011673,1.427456
150.022858,1.440590
149.006622,1.443182
148.017822,1.415820
147.001556,1.387850
146.012772,1.386431
145.023972,1.368499
144.007736,1.365794
143.018936,1.375127
142.002655,1.363603
141.013901,1.336368
140.025085,1.324432
139.008850,1.315883
138.020050,1.299071
137.003769,1.310070
136.014999,1.301700
135.026199,1.277538
134.009964,1.275637
133.021164,1.264884
132.004913,1.253546
131.016113,1.259827
130.027283,1.254938
129.011078,1.229027
128.022263,1.224886
127.006020,1.226388
126.017204,1.196990
125.000938,1.186675
124.012169,1.183981
123.023369,1.183745
122.007118,1.158498
121.018311,1.161869
120.002029,1.143200
119.013283,1.132092
118.024460,1.124038
117.008224,1.106410
116.019402,1.091571
115.003166,1.089046
114.014351,1.094396
113.025566,1.072434
112.009323,1.071521
111.020508,1.055895
110.004265,1.046900
109.015457,1.038296
108.026642,1.025569
107.010399,1.020941
106.021584,1.004510
105.005371,0.998794
104.016556,0.989637
103.027771,0.978911
102.011497,0.967442
101.022690,0.961419
100.006439,0.949354
99.017632,0.943130
98.001389,0.932081
97.012573,0.929390
96.023758,0.908274
95.007515,0.896550
94.018700,0.892174
