2,Lucas Oil Off-Road Racing Series Pro-2 Lite,baseline
Steering Wheel Angle,Yaw Rate
206.026566,3.833174
205.010300,3.743778
204.021530,3.850433
203.005295,3.894164
202.016510,3.712550
201.000275,3.602576
200.011475,3.340464
199.022705,3.127981
198.006454,2.953309
197.017670,2.695688
196.001419,3.051939
195.012619,3.186528
194.023849,3.526819
193.007599,4.093504
192.018814,4.984229
191.002563,6.344124
190.013794,4.233579
189.024994,3.475666
188.008728,3.480539
187.019974,3.524806
186.003708,3.560156
185.014938,3.583231
184.026154,3.391871
183.009888,3.421688
182.021133,3.427632
181.004852,3.431120
180.016098,3.426981
178.999817,3.417052
178.011047,3.402047
177.022247,3.382880
176.005981,3.359949
175.017227,3.334706
174.000961,3.307292
173.012192,3.279065
172.023392,3.249714
171.007111,3.219427
170.018356,3.188115
169.002075,3.154956
168.013321,3.121367
167.024506,3.087847
166.008270,3.054172
165.019485,3.021172
164.003220,2.987693
163.014450,2.954036
162.025650,2.921442
161.009415,2.889923
160.020615,3.011671
159.004333,2.985095
158.015564,2.958696
157.026764,2.919165
156.010544,2.882084
155.021729,2.851365
154.005478,2.818584
153.016708,2.787574
152.000443,2.757572
151.011673,2.729774
150.022858,2.703208
149.006622,2.675761
148.017822,2.648585
147.001556,2.620242
146.012772,2.592032
145.023972,2.581427
144.007736,2.559782
143.018936,2.537942
142.002655,2.517908
141.013901,2.536359
140.025085,2.496587
139.008850,2.495832
138.020050,2.471087
137.003769,2.462853
136.014999,2.442197
135.026199,2.426795
134.009964,2.396198
133.021164,2.379008
132.004913,2.359114
131.016113,2.339702
130.027283,2.318207
129.011078,2.296832
128.022263,2.276208
127.006020,2.251126
126.017204,2.226622
125.000938,2.203755
124.012169,2.181129
123.023369,2.161370
122.007118,2.154739
121.018311,2.129203
120.002029,2.112686
119.013283,2.092736
118.024460,2.131147
117.008224,2.106840
116.019402,2.089373
115.003166,2.065681
114.014351,2.044619
113.025566,2.024139
112.009323,2.002697
111.020508,1.982003
110.004265,1.961527
109.015457,1.939107
108.026642,1.920274
107.010399,1.896794
106.021584,1.877193
105.005371,1.855603
104.016556,1.832587
103.027771,1.812982
102.011497,1.791074
101.022690,1.768748
100.006439,1.748594
99.017632,1.727963
98.001389,1.704665
97.012573,1.684588
96.023758,1.664463
95.007515,1.641940
94.018700,1.621593
93.002457,1.599780
92.013649,1.578601
91.024887,1.557683
90.008591,1.535566
89.019775,1.514891
88.003563,1.492703
87.014717,1.472606
86.025963,1.450863
85.009674,1.428598
84.020859,1.409552
83.004631,1.389731
82.015800,1.369784
81.027039,1.349325
80.010742,1.327760
79.021935,1.308608
78.005684,1.287334
77.016876,1.267155
76.000633,1.246817
