2,Lucas Oil Off-Road Racing Series Pro-4,baseline
Steering Wheel Angle,Yaw Rate
206.026566,3.704031
205.010300,3.801388
204.021530,3.795619
203.005295,3.676483
202.016510,3.626327
201.000275,3.628172
200.011475,3.603325
199.022705,3.586469
198.006454,3.570293
197.017670,3.550717
196.001419,3.531125
195.012619,3.514300
194.023849,3.496243
193.007599,3.478349
192.018814,3.454313
191.002563,3.443895
190.013794,3.423393
189.024994,3.394998
188.008728,3.376671
187.019974,3.360353
186.003708,3.346261
185.014938,3.328310
184.026154,3.308664
183.009888,3.284889
182.021133,3.261314
181.004852,3.241798
180.016098,3.224775
178.999817,3.208234
178.011047,3.194030
177.022247,3.176339
176.005981,3.155428
175.017227,3.132888
174.000961,3.109268
173.012192,3.092800
172.023392,3.070409
171.007111,3.053782
170.018356,3.040276
169.002075,3.024159
168.013321,3.005813
167.024506,2.985308
166.008270,2.958395
165.019485,2.955071
164.003220,2.925184
163.014450,2.901259
162.025650,2.886544
161.009415,2.878786
160.020615,2.860936
159.004333,2.829447
158.015564,2.818415
157.026764,2.797177
156.010544,2.776400
155.021729,2.749568
154.005478,2.734137
153.016708,2.711915
152.000443,2.702850
151.011673,2.678420
150.022858,2.666924
149.006622,2.542150
148.017822,2.440830
147.001556,2.456058
146.012772,2.434593
145.023972,2.419953
144.007736,2.391196
143.018936,2.363173
142.002655,2.337300
141.013901,2.314982
140.025085,2.301443
139.008850,2.291039
138.020050,2.277971
137.003769,2.260250
136.014999,2.236184
135.026199,2.203357
134.009964,2.174908
133.021164,2.158556
132.004913,2.147352
131.016113,2.141094
130.027283,2.124702
129.011078,2.098195
128.022263,2.067575
127.006020,2.038769
126.017204,2.015877
125.000938,2.001964
124.012169,1.996917
123.023369,1.986768
122.007118,1.964031
121.018311,1.935658
120.002029,1.902815
119.013283,1.875140
118.024460,1.857491
117.008224,1.849152
116.019402,1.842542
115.003166,1.828276
114.014351,1.805403
113.025566,1.778118
112.009323,1.749120
111.020508,1.721021
110.004265,1.702368
109.015457,1.690828
108.026642,1.682062
107.010399,1.674785
106.021584,1.661323
105.005371,1.634181
104.016556,1.601033
103.027771,1.566288
102.011497,1.542084
101.022690,1.530628
100.006439,1.525666
99.017632,1.522384
98.001389,1.512659
97.012573,1.488510
96.023758,1.452361
95.007515,1.418908
94.018700,1.391020
93.002457,1.376205
92.013649,1.367096
91.024887,1.362901
90.008591,1.348826
89.019775,1.333678
88.003563,1.310650
87.014717,1.285590
86.025963,1.251924
85.009674,1.224796
84.020859,1.207334
83.004631,1.194194
82.015800,1.189775
81.027039,1.184049
80.010742,1.173354
79.021935,1.148543
78.005684,1.119453
77.016876,1.089366
76.000633,1.065881
75.011818,1.052280
74.023056,1.042100
73.006760,1.034275
72.017944,1.016905
71.001701,0.995258
70.012894,0.974513
