2,Mazda MX-5 Cup,baseline
Steering Wheel Angle,Yaw Rate
440.006958,3.475646
439.018188,3.467622
438.001984,3.460512
437.013245,3.453615
435.997009,3.273547
435.008270,3.246485
433.992065,3.279321
433.003296,3.349232
432.014557,3.354414
430.998322,3.346015
430.009583,3.393717
428.993378,3.175318
428.004639,3.383297
427.015869,3.427959
425.999664,3.354057
425.010895,3.341907
423.994690,3.221820
423.005920,3.185817
422.017181,3.360814
421.000977,3.114456
420.012207,3.269402
418.996002,3.341512
418.007233,3.205436
417.018494,3.111848
416.002289,3.304081
415.013519,3.205003
413.997314,3.099731
413.008545,3.303143
412.019775,3.258317
411.003571,3.247156
410.014801,3.239912
408.998596,3.234931
408.009827,3.228959
406.993622,3.220057
406.004883,3.212160
405.016113,3.205584
403.999908,3.193672
403.011139,3.183106
401.994934,3.181288
401.006165,3.175073
400.017426,3.163025
399.001190,3.151018
398.012421,3.147414
396.996216,3.143390
396.007446,3.132148
395.018738,3.119480
394.002472,3.113792
393.013733,3.111575
391.997498,3.101066
391.008759,3.087751
390.020020,3.080142
389.003754,3.078858
388.015015,3.070671
386.998810,3.057094
386.010040,3.046272
384.993805,3.044683
384.005035,3.038312
383.016296,3.025586
382.000092,3.014792
381.011322,3.012457
379.995087,3.006606
379.006317,2.994469
378.017578,2.982280
377.001373,2.978554
376.012604,2.975005
374.996338,2.962825
374.007629,2.950295
373.018890,2.945527
372.002625,2.942680
371.013855,2.931782
369.997650,2.918633
369.008911,2.912443
368.020142,2.910554
367.003906,2.900883
366.015137,2.888213
364.998932,2.878544
364.010193,2.876494
363.021423,2.870311
362.005157,2.857659
361.016418,2.846407
360.000214,2.842765
359.011444,2.838595
357.995178,2.826346
357.006439,2.814440
356.017670,2.809246
355.001465,2.806262
354.012695,2.796258
352.996490,2.782883
352.007721,2.775376
351.018951,2.773675
350.002716,2.765419
349.013947,2.752366
347.997711,2.742008
347.008942,2.740351
346.020203,2.733980
345.003998,2.721217
344.015228,2.710100
342.998962,2.707522
342.010223,2.702284
341.021454,2.690164
340.005219,2.677945
339.016449,2.674541
338.000214,2.670636
337.011475,2.657545
336.022736,2.646860
335.006500,2.644527
334.017700,2.638325
333.001465,2.625098
332.012726,2.614445
330.996490,2.611009
330.007721,2.606313
329.018951,2.594406
328.002747,2.582443
327.013977,2.577805
325.997711,2.574105
325.008972,2.563149
324.020203,2.550849
323.003998,2.544664
322.015228,2.542693
320.998962,2.532730
320.010193,2.519619
319.021454,2.511972
318.005219,2.510017
317.016479,2.501749
316.000183,2.488543
315.011414,2.479034
314.022675,2.476513
313.006470,2.471023
312.017700,2.458234
311.001404,2.446367
310.012665,2.442959
309.023926,2.439401
308.007690,2.427448
307.018921,2.415489
306.002686,2.409330
305.013916,2.407209
303.997681,2.397440
303.008911,2.384060
302.020142,2.376254
301.003906,2.374430
300.015137,2.365993
298.998901,2.352881
298.010132,2.343906
297.021332,2.342139
296.005127,2.335152
295.016357,2.322087
294.000153,2.311674
293.011322,2.308994
292.022583,2.303612
291.006378,2.291505
290.017578,2.279778
289.001343,2.276077
288.012573,2.271491
287.023834,2.260232
286.007568,2.247934
285.018768,2.243908
284.002563,2.239810
283.013824,2.228752
281.997528,2.216050
281.008789,2.210893
280.020020,2.207821
279.003784,2.197465
278.014984,2.185067
276.998779,2.178838
276.010010,2.176445
275.021179,2.166570
274.005005,2.153474
273.016235,2.146473
271.999969,2.144068
271.011169,2.135027
270.022430,2.122190
269.006195,2.114337
268.017395,2.111854
267.001190,2.103276
266.012421,2.090407
265.023651,2.082336
264.007385,2.080004
263.018616,2.071907
262.002350,2.058833
261.013611,2.050633
260.024841,2.048089
259.008575,2.040366
258.019806,2.027777
257.003571,2.018234
256.014801,2.015771
254.998566,2.009040
254.009781,1.997075
253.021011,1.986115
252.004791,1.982368
251.015961,1.977671
249.999741,1.966949
249.010956,1.954662
248.022217,1.949591
247.005966,1.945936
246.017166,1.935764
245.000916,1.923647
244.012177,1.916311
243.023422,1.913527
242.007141,1.905020
241.018341,1.892726
240.002121,1.884404
239.013351,1.881119
238.024597,1.873897
237.008316,1.861372
236.019547,1.852567
235.003296,1.849471
234.014542,1.842335
233.025772,1.830370
