2,Mazda MX-5 Roadster,baseline
Steering Wheel Angle,Yaw Rate
440.006958,3.466967
439.018188,3.458785
438.001984,3.452346
437.013245,3.447694
435.997009,3.294921
435.008270,3.271762
433.992065,3.268836
433.003296,3.262881
432.014557,3.258223
430.998322,3.277928
430.009583,3.271897
428.993378,3.247650
428.004639,3.238817
427.015869,3.235123
425.999664,3.228668
425.010895,3.222806
423.994690,3.216682
423.005920,3.352536
422.017181,3.352072
421.000977,3.344532
420.012207,3.333117
418.996002,3.321796
418.007233,3.310569
417.018494,3.299453
416.002289,3.288211
415.013519,3.277700
413.997314,3.269918
413.008545,3.262345
412.019775,3.254515
411.003571,3.247000
410.014801,3.241966
408.998596,3.236897
408.009827,3.228158
406.993622,3.220123
406.004883,3.212765
405.016113,3.204534
403.999908,3.196076
403.011139,3.189404
401.994934,3.180135
401.006165,3.170030
400.017426,3.160519
399.001190,3.150745
398.012421,3.142836
396.996216,3.135956
396.007446,3.129909
395.018738,3.124768
394.002472,3.118639
393.013733,3.111859
391.997498,3.103557
391.008759,3.094717
390.020020,3.085717
389.003754,3.076365
388.015015,3.066600
386.998810,3.056203
386.010040,3.047460
384.993805,3.038428
384.005035,3.030242
383.016296,3.024501
382.000092,3.018764
381.011322,3.014182
379.995087,3.007202
379.006317,2.998472
378.017578,2.989888
377.001373,2.979490
376.012604,2.970374
374.996338,2.961171
374.007629,2.951853
373.018890,2.942396
372.002625,2.933529
371.013855,2.927910
369.997650,2.919330
369.008911,2.912813
368.020142,2.908527
367.003906,2.902156
366.015137,2.893938
364.998932,2.886656
364.010193,2.878823
363.021423,2.869162
362.005157,2.859995
361.016418,2.851713
360.000214,2.841889
359.011444,2.832226
357.995178,2.822065
357.006439,2.813935
356.017670,2.806754
355.001465,2.801258
354.012695,2.796291
352.996490,2.789794
352.007721,2.782464
351.018951,2.774368
350.002716,2.765445
349.013947,2.755485
347.997711,2.745528
347.008942,2.736570
346.020203,2.726570
345.003998,2.718174
344.015228,2.710492
342.998962,2.703643
342.010223,2.698519
341.021454,2.693237
340.005219,2.686888
339.016449,2.678514
338.000214,2.669229
337.011475,2.659689
336.022736,2.650167
335.006500,2.639937
334.017700,2.630783
333.001465,2.622030
332.012726,2.614519
330.996490,2.608330
330.007721,2.603584
329.018951,2.597832
328.002747,2.590386
327.013977,2.582537
325.997711,2.572810
325.008972,2.563108
324.020203,2.553497
323.003998,2.543991
322.015228,2.535196
320.998962,2.525924
320.010193,2.518845
319.021454,2.512669
318.005219,2.507034
317.016479,2.501673
316.000183,2.494808
315.011414,2.486738
314.022675,2.477373
313.006470,2.467770
312.017700,2.458271
311.001404,2.448370
310.012665,2.439371
309.023926,2.430905
308.007690,2.422611
307.018921,2.416912
306.002686,2.411550
305.013916,2.405828
303.997681,2.399270
303.008911,2.391239
302.020142,2.381177
301.003906,2.371806
300.015137,2.362051
298.998901,2.352122
298.010132,2.343005
297.021332,2.334862
296.005127,2.328582
295.016357,2.322467
294.000153,2.316092
293.011322,2.310818
292.022583,2.303062
291.006378,2.293727
290.017578,2.287317
289.001343,2.279575
288.012573,2.269531
287.023834,2.263209
286.007568,2.255464
285.018768,2.245489
284.002563,2.238288
283.013824,2.230831
281.997528,2.220392
281.008789,2.212822
280.020020,2.205626
279.003784,2.195224
278.014984,2.188228
276.998779,2.180802
276.010010,2.171191
275.021179,2.163170
274.005005,2.155768
273.016235,2.145705
271.999969,2.137834
271.011169,2.131306
270.022430,2.121782
269.006195,2.113777
268.017395,2.107032
267.001190,2.097148
266.012421,2.089153
265.023651,2.082801
264.007385,2.074359
263.018616,2.066079
262.002350,2.060235
261.013611,2.052635
260.024841,2.045552
259.008575,2.039666
258.019806,2.032107
257.003571,2.023302
256.014801,2.017120
254.998566,2.009597
254.009781,1.999913
253.021011,1.993361
252.004791,1.985456
251.015961,1.975415
249.999741,1.968035
249.010956,1.960720
248.022217,1.950873
247.005966,1.943094
246.017166,1.935861
245.000916,1.925671
244.012177,1.918351
243.023422,1.911129
242.007141,1.901046
241.018341,1.893405
240.002121,1.886169
239.013351,1.876391
238.024597,1.868312
237.008316,1.861211
236.019547,1.852090
235.003296,1.844223
234.014542,1.837441
233.025772,1.828431
232.009491,1.820028
231.020752,1.814035
230.004471,1.805636
229.015686,1.797590
227.999451,1.791910
227.010681,1.784222
226.021896,1.775776
225.005646,1.769704
224.016876,1.762556
223.000626,1.753483
222.011841,1.747623
221.023071,1.740147
220.006836,1.730495
219.018051,1.723750
218.001816,1.716072
217.013016,1.706420
216.024261,1.699521
215.007996,1.691841
214.019226,1.681958
213.002960,1.673568
212.014175,1.666517
211.025421,1.656851
210.009140,1.648494
209.020386,1.641353
208.004135,1.631435
207.015366,1.623472
206.026566,1.616741
205.010300,1.607165
204.021530,1.599096
203.005295,1.592719
202.016510,1.583577
201.000275,1.575503
200.011475,1.569186
199.022705,1.561826
198.006454,1.553816
197.017670,1.547840
196.001419,1.540040
195.012619,1.531659
194.023849,1.525636
193.007599,1.518327
192.018814,1.509384
191.002563,1.502577
190.013794,1.494998
189.024994,1.485782
188.008728,1.478843
187.019974,1.471454
186.003708,1.461423
185.014938,1.454190
184.026154,1.446978
183.009888,1.436733
182.021133,1.428761
181.004852,1.421179
180.016098,1.411745
178.999817,1.403408
178.011047,1.396201
177.022247,1.386901
176.005981,1.378262
175.017227,1.371788
174.000961,1.362983
173.012192,1.354934
172.023392,1.348771
171.007111,1.340238
170.018356,1.332182
169.002075,1.326255
168.013321,1.318749
167.024506,1.310590
166.008270,1.304481
165.019485,1.297070
164.003220,1.287647
163.014450,1.281034
162.025650,1.273617
161.009415,1.264730
160.020615,1.258116
159.004333,1.250618
158.015564,1.241178
157.026764,1.233582
156.010544,1.225941
155.021729,1.216768
154.005478,1.208912
153.016708,1.201604
152.000443,1.192025
151.011673,1.183901
150.022858,1.176543
149.006622,1.166877
148.017822,1.158834
147.001556,1.151750
146.012772,1.142769
145.023972,1.134760
144.007736,1.127968
143.018936,1.119057
142.002655,1.110826
141.013901,1.104657
140.025085,1.096462
139.008850,1.088230
138.020050,1.082416
137.003769,1.074518
136.014999,1.066229
135.026199,1.060020
134.009964,1.052099
133.021164,1.043643
132.004913,1.037327
131.016113,1.029980
130.027283,1.021018
129.011078,1.014129
128.022263,1.006425
127.006020,0.997436
126.017204,0.989762
125.000938,0.982203
124.012169,0.972920
123.023369,0.965586
122.007118,0.957866
121.018311,0.948594
120.002029,0.940364
119.013283,0.932887
118.024460,0.923698
117.008224,0.915975
116.019402,0.908489
115.003166,0.899157
114.014351,0.890886
113.025566,0.884467
112.009323,0.875730
111.020508,0.867628
110.004265,0.861327
109.015457,0.853546
108.026642,0.845322
107.010399,0.839106
106.021584,0.831732
105.005371,0.823174
104.016556,0.817048
103.027771,0.809667
102.011497,0.800943
101.022690,0.793887
100.006439,0.785737
99.017632,0.776880
98.001389,0.769150
97.012573,0.761500
96.023758,0.752305
95.007515,0.744187
94.018700,0.736947
93.002457,0.727389
92.013649,0.719141
91.024887,0.712064
90.008591,0.702575
89.019775,0.694525
88.003563,0.687624
87.014717,0.679522
86.025963,0.671493
85.009674,0.665066
84.020859,0.657331
83.004631,0.648749
82.015800,0.642715
81.027039,0.635725
80.010742,0.627060
79.021935,0.620684
78.005684,0.612576
77.016876,0.604211
76.000633,0.596984
75.011818,0.589364
74.023056,0.580562
73.006760,0.572103
72.017944,0.563770
71.001701,0.554229
70.012894,0.545748
69.024109,0.538253
68.007835,0.529771
67.018997,0.522204
66.002754,0.515754
65.013939,0.507502
64.025177,0.499569
63.008881,0.493315
62.020069,0.486024
61.003826,0.477135
60.015011,0.470656
59.026226,0.462846
58.009926,0.454497
57.021172,0.447958
56.004875,0.439964
55.016060,0.431251
54.027275,0.424431
53.011005,0.416297
52.022217,0.407185
51.005924,0.399605
50.017109,0.391856
49.000866,0.382604
48.012054,0.374557
47.023270,0.367065
46.006969,0.357862
45.018211,0.349716
44.001915,0.342347
43.013073,0.333717
42.024315,0.325615
41.008018,0.318750
40.019230,0.310880
39.002964,0.302540
38.014122,0.296158
37.025364,0.288588
36.009068,0.280492
35.020279,0.274311
34.003983,0.266434
33.015167,0.258145
32.026382,0.251393
31.010088,0.243401
30.021326,0.235065
29.005032,0.227998
28.016247,0.219949
27.027433,0.211312
26.011137,0.203534
25.022348,0.195990
24.006052,0.186845
23.017294,0.179250
22.000998,0.171353
21.012157,0.162396
20.023371,0.154369
19.007101,0.146958
18.018314,0.138066
17.002018,0.129634
16.013233,0.122788
15.024419,0.114397
14.008123,0.106336
13.019336,0.099505
12.003040,0.091428
11.014254,0.083456
10.025441,0.076987
9.009144,0.069281
8.020358,0.061527
7.004062,0.054911
6.015275,0.047113
5.026462,0.038883
4.010166,0.031549
3.021353,0.023803
