2,McLaren 720S GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
261.013611,1.843924
260.024841,1.836662
259.008575,1.829414
258.019806,1.822513
257.003571,1.815419
256.014801,1.808523
254.998566,1.801436
254.009781,1.747305
253.021011,1.732102
252.004791,1.743772
251.015961,1.735411
249.999741,1.728616
249.010956,1.722168
248.022217,1.715625
247.005966,1.708892
246.017166,1.702426
245.000916,1.695708
244.012177,1.689210
243.023422,1.682811
242.007141,1.684699
241.018341,1.678451
240.002121,1.671493
239.013351,1.664630
238.024597,1.657753
237.008316,1.650461
236.019547,1.643415
235.003296,1.638909
234.014542,1.644108
233.025772,1.637189
232.009491,1.629975
231.020752,1.623007
230.004471,1.615779
229.015686,1.608804
227.999451,1.601576
227.010681,1.594658
226.021896,1.587617
225.005646,1.580392
224.016876,1.573431
223.000626,1.566208
222.011841,1.559207
221.023071,1.552213
220.006836,1.545018
219.018051,1.538031
218.001816,1.530819
217.013016,1.523854
216.024261,1.516812
215.007996,1.509623
214.019226,1.502663
213.002960,1.495538
212.014175,1.488520
211.025421,1.481513
210.009140,1.474301
209.020386,1.467298
208.004135,1.460161
207.015366,1.453187
206.026566,1.446210
205.010300,1.439025
204.021530,1.432050
203.005295,1.424849
202.016510,1.417855
201.000275,1.410713
200.011475,1.403713
199.022705,1.396728
198.006454,1.389590
197.017670,1.382563
196.001419,1.375425
195.012619,1.368413
194.023849,1.361483
193.007599,1.354337
192.018814,1.347348
191.002563,1.340140
190.013794,1.333167
189.024994,1.326246
188.008728,1.319105
187.019974,1.312099
186.003708,1.304920
185.014938,1.297945
184.026154,1.291001
183.009888,1.283825
182.021133,1.276855
181.004852,1.269669
180.016098,1.262669
178.999817,1.255537
178.011047,1.248561
177.022247,1.241621
176.005981,1.234420
175.017227,1.227451
174.000961,1.220331
173.012192,1.213347
172.023392,1.206395
171.007111,1.199214
170.018356,1.192275
169.002075,1.185112
168.013321,1.178143
167.024506,1.171126
166.008270,1.163969
165.019485,1.157050
164.003220,1.149832
163.014450,1.142927
162.025650,1.135871
161.009415,1.128766
160.020615,1.121816
159.004333,1.114643
158.015564,1.107684
157.026764,1.100675
156.010544,1.093557
155.021729,1.086585
154.005478,1.079418
153.016708,1.072458
152.000443,1.065287
151.011673,1.058328
150.022858,1.051381
149.006622,1.044189
148.017822,1.037257
147.001556,1.030056
146.012772,1.023078
145.023972,1.016152
144.007736,1.008983
143.018936,1.002036
142.002655,0.994845
141.013901,0.987894
140.025085,0.980901
139.008850,0.973774
138.020050,0.966801
137.003769,0.959630
136.014999,0.952648
135.026199,0.945757
134.009964,0.938504
133.021164,0.931583
132.004913,0.924437
131.016113,0.917483
130.027283,0.910486
129.011078,0.903350
128.022263,0.896396
127.006020,0.889213
126.017204,0.882253
125.000938,0.875106
124.012169,0.868143
123.023369,0.861171
122.007118,0.854016
121.018311,0.847060
120.002029,0.839894
119.013283,0.832933
118.024460,0.825988
117.008224,0.818817
116.019402,0.811861
115.003166,0.804705
114.014351,0.797727
113.025566,0.790774
112.009323,0.783620
111.020508,0.776658
110.004265,0.769490
109.015457,0.762542
108.026642,0.755627
107.010399,0.748431
106.021584,0.741466
105.005371,0.734319
104.016556,0.727355
103.027771,0.720418
102.011497,0.713236
101.022690,0.706249
100.006439,0.699104
99.017632,0.692206
98.001389,0.684995
97.012573,0.678053
96.023758,0.671112
95.007515,0.663959
94.018700,0.657005
93.002457,0.649866
92.013649,0.642888
91.024887,0.635932
