2,McLaren MP4-12C GT3,baseline
Steering Wheel Angle,Yaw Rate
383.016296,2.306879
382.000092,2.318975
381.011322,2.330882
379.995087,2.277018
379.006317,2.312283
378.017578,2.297846
377.001373,2.277076
376.012604,2.262678
374.996338,2.256950
374.007629,2.252123
373.018890,2.269535
372.002625,2.262292
371.013855,2.257464
369.997650,2.252195
369.008911,2.246925
368.020142,2.241552
367.003906,2.235927
366.015137,2.230492
364.998932,2.224752
364.010193,2.200165
363.021423,2.193020
362.005157,2.186982
361.016418,2.181985
360.000214,2.192040
359.011444,2.176604
357.995178,2.234452
357.006439,2.205518
356.017670,2.189470
355.001465,2.211698
354.012695,2.213502
352.996490,2.207311
352.007721,2.198414
351.018951,2.191547
350.002716,2.183988
349.013947,2.176361
347.997711,2.161861
347.008942,2.156101
346.020203,2.150292
345.003998,2.144260
344.015228,2.138721
342.998962,2.133121
342.010223,2.127739
341.021454,2.122300
340.005219,2.116573
339.016449,2.111073
338.000214,2.105308
337.011475,2.099611
336.022736,2.093924
335.006500,2.087993
334.017700,2.082129
333.001465,2.076164
332.012726,2.069701
330.996490,2.063063
330.007721,2.056616
329.018951,2.050275
328.002747,2.042961
327.013977,2.035880
325.997711,2.028687
325.008972,2.021720
324.020203,2.014769
323.003998,2.008106
322.015228,2.002006
320.998962,1.995641
320.010193,1.989437
319.021454,1.984027
318.005219,1.978239
317.016479,1.972113
316.000183,1.965786
315.011414,1.959410
314.022675,1.953046
313.006470,1.945997
312.017700,1.940146
311.001404,1.933538
310.012665,1.927485
309.023926,1.920986
308.007690,1.914642
307.018921,1.908621
306.002686,1.902253
305.013916,1.895876
303.997681,1.889726
303.008911,1.883265
302.020142,1.876818
301.003906,1.870592
300.015137,1.864411
298.998901,1.857858
298.010132,1.851565
297.021332,1.845425
296.005127,1.839193
295.016357,1.832703
294.000153,1.826257
293.011322,1.820228
292.022583,1.814085
291.006378,1.807439
290.017578,1.800989
289.001343,1.794704
288.012573,1.788633
