2,Mclaren 570s GT4,baseline
Steering Wheel Angle,Yaw Rate
273.016235,1.591092
271.999969,1.584614
271.011169,1.578869
270.022430,1.573288
269.006195,1.568537
268.017395,1.563962
267.001190,1.559169
266.012421,1.554483
265.023651,1.549816
264.007385,1.544878
263.018616,1.540132
262.002350,1.535221
261.013611,1.530392
260.024841,1.525612
259.008575,1.520623
258.019806,1.515018
257.003571,1.508897
256.014801,1.520170
254.998566,1.478510
254.009781,1.494966
253.021011,1.491557
252.004791,1.479428
251.015961,1.473224
249.999741,1.450731
249.010956,1.448385
248.022217,1.448328
247.005966,1.444155
246.017166,1.437763
245.000916,1.431301
244.012177,1.425418
243.023422,1.419789
242.007141,1.415274
241.018341,1.410507
240.002121,1.405538
239.013351,1.399806
238.024597,1.393975
237.008316,1.388113
236.019547,1.382152
235.003296,1.374766
234.014542,1.369206
233.025772,1.364234
232.009491,1.358729
231.020752,1.352708
230.004471,1.346771
229.015686,1.340130
227.999451,1.333379
227.010681,1.328146
226.021896,1.322076
225.005646,1.317077
224.016876,1.311746
223.000626,1.305446
222.011841,1.299285
221.023071,1.293454
220.006836,1.287028
219.018051,1.280908
218.001816,1.275153
217.013016,1.268375
216.024261,1.262659
215.007996,1.256861
214.019226,1.251395
213.002960,1.246121
212.014175,1.241090
211.025421,1.235424
210.009140,1.229323
209.020386,1.223387
208.004135,1.217252
207.015366,1.211148
206.026566,1.205276
205.010300,1.199157
204.021530,1.193124
203.005295,1.187387
202.016510,1.181304
201.000275,1.175066
200.011475,1.169125
199.022705,1.162877
198.006454,1.156816
197.017670,1.150950
196.001419,1.145338
195.012619,1.140086
194.023849,1.134978
193.007599,1.129332
192.018814,1.123616
191.002563,1.117719
190.013794,1.111738
189.024994,1.105761
188.008728,1.099553
187.019974,1.093257
186.003708,1.087114
185.014938,1.080599
184.026154,1.074802
183.009888,1.068623
182.021133,1.062992
181.004852,1.057260
180.016098,1.051711
178.999817,1.046441
178.011047,1.041117
177.022247,1.035502
176.005981,1.029566
175.017227,1.023838
174.000961,1.017491
173.012192,1.011668
172.023392,1.005775
171.007111,0.999510
170.018356,0.993675
169.002075,0.987079
168.013321,0.981551
167.024506,0.974880
166.008270,0.969054
165.019485,0.963460
164.003220,0.957741
163.014450,0.952324
162.025650,0.947087
161.009415,0.941502
160.020615,0.935781
159.004333,0.929430
158.015564,0.923582
157.026764,0.917556
156.010544,0.911464
155.021729,0.905381
154.005478,0.899379
153.016708,0.893247
152.000443,0.887104
151.011673,0.881283
150.022858,0.874995
149.006622,0.869183
148.017822,0.863556
147.001556,0.857900
146.012772,0.852802
145.023972,0.847363
144.007736,0.841808
143.018936,0.836002
142.002655,0.829789
141.013901,0.823666
140.025085,0.817473
139.008850,0.811352
138.020050,0.805502
137.003769,0.799246
136.014999,0.793136
135.026199,0.787203
134.009964,0.781331
133.021164,0.775539
132.004913,0.769889
131.016113,0.764922
130.027283,0.759380
129.011078,0.753907
128.022263,0.748237
127.006020,0.742104
126.017204,0.736211
125.000938,0.730136
124.012169,0.724157
123.023369,0.717992
122.007118,0.711719
121.018311,0.705948
120.002029,0.699800
119.013283,0.694003
118.024460,0.687969
117.008224,0.681581
116.019402,0.676353
115.003166,0.670058
114.014351,0.665548
113.025566,0.660037
112.009323,0.653211
111.020508,0.647608
110.004265,0.640650
109.015457,0.635061
108.026642,0.630218
107.010399,0.623941
106.021584,0.618952
105.005371,0.612656
104.016556,0.605829
103.027771,0.600381
102.011497,0.593802
101.022690,0.588904
100.006439,0.583518
99.017632,0.577425
98.001389,0.571690
97.012573,0.565035
96.023758,0.558806
95.007515,0.553439
94.018700,0.547489
93.002457,0.542541
92.013649,0.536941
91.024887,0.530170
90.008591,0.524306
89.019775,0.517730
88.003563,0.511813
87.014717,0.507175
86.025963,0.501118
85.009674,0.495795
84.020859,0.489857
83.004631,0.483036
82.015800,0.477412
81.027039,0.470920
80.010742,0.465017
79.021935,0.460128
78.005684,0.454127
77.016876,0.449008
76.000633,0.442667
75.011818,0.435843
74.023056,0.430455
73.006760,0.424109
72.017944,0.419225
71.001701,0.413854
70.012894,0.407279
69.024109,0.401871
