2,Mclaren MP4-30,baseline
Steering Wheel Angle,Yaw Rate
258.019806,1.684920
257.003571,1.677180
256.014801,1.670397
254.998566,1.663692
254.009781,1.657205
253.021011,1.650734
252.004791,1.643980
251.015961,1.637573
249.999741,1.630762
249.010956,1.624231
248.022217,1.617679
247.005966,1.610949
246.017166,1.604264
245.000916,1.597468
244.012177,1.590820
243.023422,1.582871
242.007141,1.576700
241.018341,1.570577
240.002121,1.562611
239.013351,1.554604
238.024597,1.549021
237.008316,1.543577
236.019547,1.537174
235.003296,1.529828
234.014542,1.522791
233.025772,1.516027
232.009491,1.509103
231.020752,1.502647
230.004471,1.495941
229.015686,1.489428
227.999451,1.482668
227.010681,1.476161
226.021896,1.469452
225.005646,1.462476
224.016876,1.455943
223.000626,1.449322
222.011841,1.442548
221.023071,1.435951
220.006836,1.428868
219.018051,1.422450
218.001816,1.415717
217.013016,1.409060
216.024261,1.402477
215.007996,1.395576
214.019226,1.389018
213.002960,1.382363
212.014175,1.375985
211.025421,1.369095
210.009140,1.362152
209.020386,1.355669
208.004135,1.349043
207.015366,1.342524
206.026566,1.335771
205.010300,1.328965
204.021530,1.322460
203.005295,1.315677
202.016510,1.309078
201.000275,1.302323
200.011475,1.295800
199.022705,1.289320
198.006454,1.282665
197.017670,1.276125
196.001419,1.269113
195.012619,1.262809
194.023849,1.256380
193.007599,1.249398
192.018814,1.243002
191.002563,1.236243
190.013794,1.229545
189.024994,1.223015
188.008728,1.216523
187.019974,1.209967
186.003708,1.203025
185.014938,1.196794
184.026154,1.190091
183.009888,1.183414
182.021133,1.176933
181.004852,1.170306
180.016098,1.163771
178.999817,1.157032
178.011047,1.150551
177.022247,1.144168
176.005981,1.137348
175.017227,1.130774
174.000961,1.124078
173.012192,1.117570
172.023392,1.111104
171.007111,1.104543
170.018356,1.098006
169.002075,1.091241
168.013321,1.084804
167.024506,1.078382
166.008270,1.071594
165.019485,1.065089
164.003220,1.058434
163.014450,1.052093
162.025650,1.045637
161.009415,1.039008
160.020615,1.032508
159.004333,1.025770
158.015564,1.019322
157.026764,1.012877
156.010544,1.006123
155.021729,0.999671
154.005478,0.993179
153.016708,0.986707
152.000443,0.979907
151.011673,0.973517
150.022858,0.967006
149.006622,0.960396
148.017822,0.954182
147.001556,0.947545
146.012772,0.941001
145.023972,0.934468
144.007736,0.927885
143.018936,0.921446
142.002655,0.914709
141.013901,0.908245
140.025085,0.901897
139.008850,0.895384
138.020050,0.888908
137.003769,0.882184
136.014999,0.875762
135.026199,0.869309
134.009964,0.862627
133.021164,0.856363
132.004913,0.849643
131.016113,0.843213
130.027283,0.836873
129.011078,0.830298
128.022263,0.823791
127.006020,0.816993
126.017204,0.810665
125.000938,0.804167
124.012169,0.797852
123.023369,0.791372
122.007118,0.784695
121.018311,0.778337
120.002029,0.771660
119.013283,0.765294
118.024460,0.758893
117.008224,0.752267
116.019402,0.745938
115.003166,0.739345
114.014351,0.732996
113.025566,0.726467
112.009323,0.720004
111.020508,0.713634
110.004265,0.706943
109.015457,0.700456
108.026642,0.694108
107.010399,0.687573
106.021584,0.681163
105.005371,0.674539
104.016556,0.668275
103.027771,0.661871
102.011497,0.655178
101.022690,0.648866
100.006439,0.642332
99.017632,0.635811
98.001389,0.629212
97.012573,0.622873
96.023758,0.616503
95.007515,0.609969
94.018700,0.603560
93.002457,0.596961
92.013649,0.590615
91.024887,0.584264
90.008591,0.577702
89.019775,0.571360
88.003563,0.564789
87.014717,0.558318
86.025963,0.551969
85.009674,0.545488
84.020859,0.539100
83.004631,0.532486
82.015800,0.526204
81.027039,0.519841
80.010742,0.513089
79.021935,0.506885
78.005684,0.500491
77.016876,0.493991
76.000633,0.487442
75.011818,0.481021
74.023056,0.474609
73.006760,0.468025
72.017944,0.461744
71.001701,0.455286
70.012894,0.448812
69.024109,0.442589
68.007835,0.435940
67.018997,0.429531
66.002754,0.422902
65.013939,0.416735
64.025177,0.410369
63.008881,0.403710
62.020069,0.397388
61.003826,0.390990
60.015011,0.384624
59.026226,0.378164
58.009926,0.371572
57.021172,0.365310
56.004875,0.358754
55.016060,0.352419
54.027275,0.346161
53.011005,0.339498
52.022217,0.333195
51.005924,0.326736
50.017109,0.320403
49.000866,0.313861
48.012054,0.307435
47.023270,0.301039
46.006969,0.294500
45.018211,0.288293
44.001915,0.281770
43.013073,0.275404
42.024315,0.269135
41.008018,0.262494
40.019230,0.256228
39.002964,0.249666
38.014122,0.243349
37.025364,0.237059
36.009068,0.230390
35.020279,0.224166
34.003983,0.217612
33.015167,0.211337
32.026382,0.205045
31.010088,0.198520
30.021326,0.192096
29.005032,0.185535
28.016247,0.179195
27.027433,0.172895
26.011137,0.166396
25.022348,0.160088
24.006052,0.153629
23.017294,0.147297
22.000998,0.140652
21.012157,0.134307
20.023371,0.127963
19.007101,0.121442
18.018314,0.115139
17.002018,0.108683
16.013233,0.102404
15.024419,0.095928
14.008123,0.089345
13.019336,0.083136
12.003040,0.076618
11.014254,0.070335
10.025441,0.063918
9.009144,0.057387
8.020358,0.051177
7.004062,0.044592
6.015275,0.038193
5.026462,0.031842
4.010166,0.025328
3.021353,0.019077
2.005083,0.012627
1.016323,0.006288
0.000000,0.000922
-0.988760,0.006567
-1.977626,0.012929
-2.993896,0.019379
-3.982709,0.025767
-4.998979,0.032336
-5.987792,0.038638
-6.976604,0.044929
-7.992875,0.051453
-8.981688,0.057726
-9.997957,0.064357
-10.986771,0.070715
-11.975583,0.076969
-12.991853,0.083443
-13.980665,0.089786
-14.996989,0.096402
-15.985749,0.102647
-16.974613,0.108913
-17.990831,0.115563
-18.979698,0.121836
-19.995966,0.128296
-20.984779,0.134567
-21.973593,0.140952
-22.989862,0.147539
-23.978676,0.153807
-24.994999,0.160346
-25.983759,0.166756
-27.000082,0.173200
-27.988842,0.179632
-28.977654,0.185965
-29.993923,0.192458
-30.982737,0.198838
-31.999060,0.205298
-32.987873,0.211758
-33.976685,0.218058
-34.992954,0.224448
-35.981770,0.230769
-36.998093,0.237368
-37.986855,0.243756
-38.975719,0.250156
-39.991932,0.256614
-40.980801,0.262997
-41.997017,0.269421
-42.985882,0.275855
-43.974697,0.282050
-44.990967,0.288555
-45.979778,0.295149
-46.996048,0.301690
-47.984913,0.307901
-48.973728,0.314183
-49.989998,0.320725
-50.978813,0.327141
-51.995083,0.333575
-52.983894,0.339941
-54.000217,0.346439
-54.989029,0.352962
-55.977844,0.359247
-56.994110,0.365739
-57.982929,0.372178
-58.999199,0.378640
-59.988010,0.384859
-60.976871,0.391457
-61.993145,0.397980
-62.981956,0.404339
-63.998226,0.410808
-64.987038,0.417010
-65.975906,0.423469
-66.992180,0.430017
-67.980995,0.436250
-68.997253,0.442847
-69.986069,0.449321
-70.974884,0.455625
-71.991211,0.462003
-72.980019,0.468481
-73.996292,0.475119
-74.985161,0.481542
-75.973915,0.487927
-76.990234,0.494467
-77.979050,0.500717
-78.995323,0.507287
-79.984192,0.513583
-81.000404,0.520191
-81.989273,0.526590
-82.978142,0.532972
-83.994354,0.539507
-84.983215,0.545910
-85.999489,0.552565
-86.988304,0.558725
-87.977112,0.565003
-88.993439,0.571624
-89.982254,0.578176
-90.998520,0.584694
-91.987381,0.591140
-92.976151,0.597389
-93.992470,0.603962
-94.981339,0.610285
-95.997551,0.616852
-96.986420,0.623271
-97.975182,0.629797
-98.991501,0.636270
-99.980316,0.642733
