2,Mercedes AMG GT3,baseline
Steering Wheel Angle,Yaw Rate
212.014175,1.523787
211.025421,1.516194
210.009140,1.508769
209.020386,1.503074
208.004135,1.496870
207.015366,1.490829
206.026566,1.484675
205.010300,1.478179
204.021530,1.471761
203.005295,1.464720
202.016510,1.457523
201.000275,1.450190
200.011475,1.443015
199.022705,1.435804
198.006454,1.428395
197.017670,1.421235
196.001419,1.413855
195.012619,1.406674
194.023849,1.399521
193.007599,1.392117
192.018814,1.384941
191.002563,1.377622
190.013794,1.370401
189.024994,1.363259
188.008728,1.355668
187.019974,1.347831
186.003708,1.339492
185.014938,1.331951
184.026154,1.324743
183.009888,1.317336
182.021133,1.310105
181.004852,1.303871
180.016098,1.296730
178.999817,1.289280
178.011047,1.281604
177.022247,1.274858
176.005981,1.267473
175.017227,1.260240
174.000961,1.252846
173.012192,1.245779
172.023392,1.238531
171.007111,1.231092
170.018356,1.223876
169.002075,1.216583
168.013321,1.209427
167.024506,1.202011
166.008270,1.194615
165.019485,1.187523
164.003220,1.179968
163.014450,1.172744
162.025650,1.165531
161.009415,1.158338
160.020615,1.151242
159.004333,1.143901
158.015564,1.136790
157.026764,1.129449
156.010544,1.122037
155.021729,1.114986
154.005478,1.107447
153.016708,1.100298
152.000443,1.092992
151.011673,1.085919
150.022858,1.078645
149.006622,1.071276
148.017822,1.064182
147.001556,1.056824
146.012772,1.049692
145.023972,1.042380
144.007736,1.035057
143.018936,1.027753
142.002655,1.020491
141.013901,1.013358
140.025085,1.006057
139.008850,0.998737
138.020050,0.991598
137.003769,0.984102
136.014999,0.977010
135.026199,0.969847
134.009964,0.962587
133.021164,0.955417
132.004913,0.947925
131.016113,0.940781
130.027283,0.933632
129.011078,0.926236
128.022263,0.919230
127.006020,0.911918
126.017204,0.904545
125.000938,0.897202
124.012169,0.890106
123.023369,0.882790
122.007118,0.875482
121.018311,0.868457
120.002029,0.861054
119.013283,0.853825
118.024460,0.846644
117.008224,0.839252
116.019402,0.832088
115.003166,0.824675
114.014351,0.817560
113.025566,0.810440
112.009323,0.803061
111.020508,0.795896
110.004265,0.788388
109.015457,0.781146
108.026642,0.774073
107.010399,0.766666
106.021584,0.759429
105.005371,0.751981
104.016556,0.744847
103.027771,0.737639
102.011497,0.730294
101.022690,0.723347
100.006439,0.715953
99.017632,0.708844
98.001389,0.701335
97.012573,0.694267
96.023758,0.686985
95.007515,0.679513
94.018700,0.672463
93.002457,0.665165
92.013649,0.658083
91.024887,0.650889
90.008591,0.643494
89.019775,0.636257
88.003563,0.628756
87.014717,0.621630
86.025963,0.614522
85.009674,0.607099
84.020859,0.600038
83.004631,0.592683
82.015800,0.585399
81.027039,0.578176
80.010742,0.570917
79.021935,0.563704
78.005684,0.556289
77.016876,0.549124
76.000633,0.541796
75.011818,0.534613
74.023056,0.527487
73.006760,0.520033
72.017944,0.512841
71.001701,0.505495
70.012894,0.498369
69.024109,0.491206
68.007835,0.483925
67.018997,0.476827
66.002754,0.469404
65.013939,0.462233
64.025177,0.454961
63.008881,0.447587
62.020069,0.440403
61.003826,0.433138
60.015011,0.425985
59.026226,0.418756
58.009926,0.411390
57.021172,0.404132
56.004875,0.396810
55.016060,0.389668
54.027275,0.382515
53.011005,0.375125
52.022217,0.367937
51.005924,0.360700
50.017109,0.353389
49.000866,0.346232
48.012054,0.338951
47.023270,0.331792
46.006969,0.324475
45.018211,0.317265
44.001915,0.309830
43.013073,0.302832
42.024315,0.295594
41.008018,0.288187
40.019230,0.280963
39.002964,0.273680
38.014122,0.266546
37.025364,0.259311
36.009068,0.252046
35.020279,0.244836
34.003983,0.237487
33.015167,0.230341
32.026382,0.223271
31.010088,0.215706
30.021326,0.208723
29.005032,0.201340
28.016247,0.194174
27.027433,0.186870
26.011137,0.179587
25.022348,0.172400
24.006052,0.165159
23.017294,0.157902
22.000998,0.150594
21.012157,0.143344
20.023371,0.136290
19.007101,0.128979
18.018314,0.121698
17.002018,0.114537
16.013233,0.107241
15.024419,0.100125
14.008123,0.092754
13.019336,0.085527
12.003040,0.078331
11.014254,0.070989
10.025441,0.063867
9.009144,0.056571
8.020358,0.049438
7.004062,0.042007
6.015275,0.034978
5.026462,0.029079
4.010166,0.023315
3.021353,0.017591
2.005083,0.011695
1.016323,0.006010
0.000000,0.002163
-0.988760,0.005550
-1.977626,0.011216
-2.993896,0.017151
-3.982709,0.022869
-4.998979,0.028761
-5.987792,0.035469
-6.976604,0.042928
-7.992875,0.050527
-8.981688,0.057537
-9.997957,0.064896
-10.986771,0.072115
-11.975583,0.079304
-12.991853,0.086706
-13.980665,0.093826
-14.996989,0.101122
-15.985749,0.108265
-16.974613,0.115526
-17.990831,0.122820
-18.979698,0.130049
-19.995966,0.137346
-20.984779,0.144535
-21.973593,0.151642
-22.989862,0.158986
-23.978676,0.166244
-24.994999,0.173605
-25.983759,0.180754
-27.000082,0.188179
-27.988842,0.195374
-28.977654,0.202300
-29.993923,0.209772
-30.982737,0.216895
-31.999060,0.224330
-32.987873,0.231420
