2,Mercedes W12,baseline
Steering Wheel Angle,Yaw Rate
209.020386,1.506642
208.004135,1.498547
207.015366,1.491369
206.026566,1.484377
205.010300,1.477103
204.021530,1.470026
203.005295,1.462762
202.016510,1.455607
201.000275,1.448120
200.011475,1.440806
199.022705,1.433498
198.006454,1.425946
197.017670,1.418582
196.001419,1.410878
195.012619,1.403214
194.023849,1.395908
193.007599,1.388200
192.018814,1.380835
191.002563,1.373340
190.013794,1.366223
189.024994,1.359097
188.008728,1.351393
187.019974,1.344060
186.003708,1.336594
185.014938,1.329497
184.026154,1.322209
183.009888,1.314416
182.021133,1.307251
181.004852,1.299833
180.016098,1.292411
178.999817,1.284912
178.011047,1.277564
177.022247,1.270285
176.005981,1.262847
175.017227,1.255786
174.000961,1.248338
173.012192,1.240971
172.023392,1.233632
171.007111,1.226131
170.018356,1.219116
169.002075,1.211567
168.013321,1.204267
167.024506,1.197004
166.008270,1.189495
165.019485,1.182378
164.003220,1.174829
163.014450,1.167573
162.025650,1.160341
161.009415,1.153051
160.020615,1.145842
159.004333,1.138373
158.015564,1.131237
157.026764,1.124002
156.010544,1.116507
155.021729,1.109413
154.005478,1.101951
153.016708,1.094614
152.000443,1.087294
151.011673,1.080139
150.022858,1.073011
149.006622,1.065426
148.017822,1.058348
147.001556,1.050859
146.012772,1.043631
145.023972,1.036473
144.007736,1.029000
143.018936,1.021998
142.002655,1.014558
141.013901,1.007316
140.025085,1.000152
139.008850,0.992653
138.020050,0.985562
137.003769,0.978277
136.014999,0.971042
135.026199,0.963830
134.009964,0.956626
133.021164,0.949490
132.004913,0.942027
131.016113,0.934945
130.027283,0.927808
129.011078,0.920351
128.022263,0.913269
127.006020,0.905907
126.017204,0.898759
125.000938,0.891391
124.012169,0.884261
123.023369,0.877039
122.007118,0.869694
121.018311,0.862684
120.002029,0.855377
119.013283,0.848099
118.024460,0.840960
117.008224,0.833595
116.019402,0.826507
115.003166,0.819213
114.014351,0.811946
113.025566,0.804854
112.009323,0.797661
111.020508,0.790626
110.004265,0.783139
109.015457,0.776043
108.026642,0.768948
107.010399,0.761655
106.021584,0.754427
105.005371,0.747242
104.016556,0.740251
103.027771,0.733017
102.011497,0.725729
101.022690,0.718572
100.006439,0.711424
99.017632,0.704211
98.001389,0.696913
97.012573,0.689869
96.023758,0.682852
95.007515,0.675479
94.018700,0.668365
93.002457,0.660984
92.013649,0.654141
91.024887,0.647052
90.008591,0.639607
89.019775,0.632537
88.003563,0.625289
87.014717,0.618241
86.025963,0.611218
85.009674,0.603921
84.020859,0.596847
83.004631,0.589451
82.015800,0.582450
81.027039,0.575443
80.010742,0.568120
79.021935,0.561009
78.005684,0.553884
77.016876,0.546774
76.000633,0.539532
75.011818,0.532455
74.023056,0.525457
73.006760,0.518041
72.017944,0.511085
71.001701,0.503613
70.012894,0.496769
69.024109,0.489806
68.007835,0.482508
67.018997,0.475357
66.002754,0.468126
65.013939,0.461067
64.025177,0.454084
63.008881,0.446864
62.020069,0.439826
61.003826,0.432430
60.015011,0.425532
59.026226,0.418500
58.009926,0.411206
57.021172,0.404316
56.004875,0.396994
55.016060,0.389752
54.027275,0.382638
53.011005,0.375652
52.022217,0.368719
51.005924,0.361308
50.017109,0.354296
49.000866,0.347176
48.012054,0.340171
47.023270,0.333130
46.006969,0.325880
45.018211,0.318787
44.001915,0.311490
43.013073,0.304533
42.024315,0.297536
41.008018,0.290321
40.019230,0.283186
39.002964,0.276055
38.014122,0.268977
37.025364,0.261938
36.009068,0.254751
35.020279,0.247805
34.003983,0.240524
33.015167,0.233635
32.026382,0.226539
31.010088,0.219188
30.021326,0.212214
29.005032,0.205187
28.016247,0.198206
27.027433,0.191144
26.011137,0.183838
25.022348,0.176799
24.006052,0.169680
23.017294,0.162668
22.000998,0.155365
21.012157,0.148360
20.023371,0.141372
19.007101,0.134152
18.018314,0.127025
17.002018,0.119919
16.013233,0.112996
15.024419,0.106015
14.008123,0.098782
13.019336,0.091661
