2,Mercedes-AMG GT3 2020,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.431344
216.024261,1.424840
215.007996,1.418193
214.019226,1.412163
213.002960,1.405969
212.014175,1.399796
211.025421,1.393618
210.009140,1.387213
209.020386,1.380937
208.004135,1.374642
207.015366,1.368417
206.026566,1.362201
205.010300,1.355746
204.021530,1.349442
203.005295,1.342999
202.016510,1.336653
201.000275,1.330114
200.011475,1.323606
199.022705,1.316955
198.006454,1.310173
197.017670,1.303602
196.001419,1.296741
195.012619,1.290107
194.023849,1.283544
193.007599,1.276749
192.018814,1.270080
191.002563,1.263289
190.013794,1.256663
189.024994,1.250066
188.008728,1.243294
187.019974,1.236642
186.003708,1.229893
185.014938,1.223281
184.026154,1.216698
183.009888,1.209929
182.021133,1.203274
181.004852,1.196530
180.016098,1.189910
178.999817,1.183134
178.011047,1.176628
177.022247,1.169883
176.005981,1.163144
175.017227,1.156539
174.000961,1.149783
173.012192,1.143237
172.023392,1.136514
171.007111,1.129803
170.018356,1.123285
169.002075,1.116487
168.013321,1.109788
167.024506,1.103280
166.008270,1.096451
165.019485,1.089875
164.003220,1.083081
163.014450,1.076551
162.025650,1.069979
161.009415,1.063140
160.020615,1.056563
159.004333,1.049797
158.015564,1.043194
157.026764,1.036590
156.010544,1.029839
155.021729,1.023258
154.005478,1.016531
153.016708,1.009909
152.000443,1.003114
151.011673,0.996565
150.022858,0.989959
149.006622,0.983240
148.017822,0.976650
147.001556,0.969882
146.012772,0.963264
145.023972,0.956775
144.007736,0.949963
143.018936,0.943441
142.002655,0.936661
141.013901,0.930058
140.025085,0.923406
139.008850,0.916712
138.020050,0.910184
137.003769,0.903414
136.014999,0.896782
135.026199,0.890215
134.009964,0.883425
133.021164,0.876859
132.004913,0.870158
131.016113,0.863566
130.027283,0.857067
129.011078,0.850171
128.022263,0.843642
127.006020,0.836929
126.017204,0.830273
125.000938,0.823572
124.012169,0.816981
123.023369,0.810461
122.007118,0.803708
121.018311,0.797074
120.002029,0.790360
119.013283,0.783729
118.024460,0.777204
117.008224,0.770488
116.019402,0.763867
115.003166,0.757149
114.014351,0.750611
113.025566,0.744037
112.009323,0.737285
111.020508,0.730702
110.004265,0.723919
109.015457,0.717387
108.026642,0.710767
107.010399,0.704034
106.021584,0.697513
105.005371,0.690741
104.016556,0.684136
103.027771,0.677597
102.011497,0.670890
101.022690,0.664311
100.006439,0.657574
99.017632,0.651013
98.001389,0.644272
97.012573,0.637672
96.023758,0.631105
95.007515,0.624367
94.018700,0.617873
93.002457,0.611034
92.013649,0.604548
91.024887,0.597992
90.008591,0.591121
89.019775,0.584635
88.003563,0.577888
87.014717,0.571341
86.025963,0.564746
85.009674,0.557958
84.020859,0.551469
83.004631,0.544683
82.015800,0.538065
81.027039,0.531567
80.010742,0.524880
79.021935,0.518307
78.005684,0.511575
77.016876,0.504995
76.000633,0.498206
75.011818,0.491574
74.023056,0.485016
73.006760,0.478321
72.017944,0.471732
71.001701,0.465023
70.012894,0.458448
69.024109,0.451935
68.007835,0.445176
67.018997,0.438593
66.002754,0.431788
65.013939,0.425286
64.025177,0.418666
63.008881,0.411947
62.020069,0.405432
61.003826,0.398695
60.015011,0.392134
59.026226,0.385558
58.009926,0.378801
57.021172,0.372256
56.004875,0.365493
55.016060,0.358978
54.027275,0.352413
53.011005,0.345624
52.022217,0.339104
51.005924,0.332400
50.017109,0.325829
49.000866,0.319107
48.012054,0.312537
47.023270,0.305941
46.006969,0.299222
45.018211,0.292628
44.001915,0.285923
43.013073,0.279331
42.024315,0.272783
41.008018,0.266052
40.019230,0.259501
39.002964,0.252718
38.014122,0.246201
37.025364,0.239671
36.009068,0.232901
35.020279,0.226328
34.003983,0.219606
33.015167,0.213034
32.026382,0.206458
31.010088,0.199740
30.021326,0.193175
29.005032,0.186491
28.016247,0.179928
27.027433,0.173336
26.011137,0.166581
25.022348,0.160069
24.006052,0.153326
23.017294,0.146716
22.000998,0.140001
21.012157,0.133456
20.023371,0.126883
19.007101,0.120154
18.018314,0.113590
17.002018,0.106845
16.013233,0.100295
15.024419,0.093739
14.008123,0.086998
13.019336,0.080449
12.003040,0.073708
11.014254,0.067162
10.025441,0.060575
9.009144,0.053838
8.020358,0.047296
7.004062,0.040558
6.015275,0.033969
5.026462,0.027716
4.010166,0.022104
3.021353,0.016731
2.005083,0.011183
1.016323,0.005790
0.000000,0.001570
-0.988760,0.005204
-1.977626,0.010591
-2.993896,0.016105
-3.982709,0.021501
-4.998979,0.027046
-5.987792,0.033597
-6.976604,0.040112
-7.992875,0.046825
-8.981688,0.053396
-9.997957,0.060099
-10.986771,0.066679
-11.975583,0.073225
-12.991853,0.079967
-13.980665,0.086515
-14.996989,0.093293
-15.985749,0.099849
-16.974613,0.106377
-17.990831,0.113126
-18.979698,0.119730
-19.995966,0.126448
-20.984779,0.132968
-21.973593,0.139568
-22.989862,0.146271
-23.978676,0.152842
-24.994999,0.159582
-25.983759,0.166179
-27.000082,0.172883
-27.988842,0.179423
-28.977654,0.185995
-29.993923,0.192760
-30.982737,0.199297
-31.999060,0.206060
-32.987873,0.212588
-33.976685,0.219150
-34.992954,0.225910
-35.981770,0.232460
-36.998093,0.239205
-37.986855,0.245750
-38.975719,0.252296
-39.991932,0.259060
-40.980801,0.265620
-41.997017,0.272350
-42.985882,0.278928
-43.974697,0.285465
-44.990967,0.292217
-45.979778,0.298793
-46.996048,0.305536
-47.984913,0.312085
-48.973728,0.318639
-49.989998,0.325388
-50.978813,0.331933
-51.995083,0.338665
-52.983894,0.345246
-54.000217,0.351938
-54.989029,0.358519
-55.977844,0.365103
-56.994110,0.371829
-57.982929,0.378409
-58.999199,0.385116
-59.988010,0.391693
-60.976871,0.398259
-61.993145,0.405021
-62.981956,0.411594
-63.998226,0.418250
-64.987038,0.424871
-65.975906,0.431442
-66.992180,0.438133
-67.980995,0.444703
-68.997253,0.451430
-69.986069,0.458060
-70.974884,0.464593
-71.991211,0.471326
-72.980019,0.477881
-73.996292,0.484646
-74.985161,0.491213
-75.973915,0.497808
-76.990234,0.504498
-77.979050,0.511090
-78.995323,0.517849
-79.984192,0.524454
-81.000404,0.531080
-81.989273,0.537730
-82.978142,0.544294
-83.994354,0.551013
-84.983215,0.557620
-85.999489,0.564322
-86.988304,0.570891
-87.977112,0.577438
-88.993439,0.584208
-89.982254,0.590778
-90.998520,0.597478
-91.987381,0.604052
-92.976151,0.610638
-93.992470,0.617402
-94.981339,0.624016
-95.997551,0.630704
-96.986420,0.637251
-97.975182,0.643818
-98.991501,0.650582
-99.980316,0.657138
-100.996635,0.663886
-101.985451,0.670468
-103.001717,0.676642
-103.990585,0.683300
-104.979347,0.690146
-105.995674,0.696662
-106.984535,0.703100
-108.000801,0.710004
-108.989616,0.715666
-109.978432,0.722186
-110.994759,0.729222
-111.983620,0.736340
-112.999840,0.742424
-113.988701,0.750080
-114.977516,0.755304
-115.993790,0.762160
-116.982597,0.766925
-117.998917,0.775363
-118.987793,0.782357
-119.976540,0.788773
-120.992874,0.794115
-121.981682,0.801046
-122.998009,0.808608
-123.986816,0.816069
-124.975624,0.820936
-125.991959,0.827682
-126.980713,0.834553
-127.997040,0.842419
-128.985855,0.848688
-130.002182,0.856708
-130.991043,0.862366
-131.979797,0.868446
-132.996124,0.874374
-133.984924,0.879079
-135.001266,0.883998
-135.990128,0.891336
-136.978897,0.897777
-137.995209,0.906095
-138.984009,0.911840
-140.000351,0.917036
-140.989212,0.923549
-141.977966,0.929958
-142.994293,0.937184
-143.983093,0.944129
-144.999435,0.948945
-145.988190,0.953853
-146.977051,0.963221
-147.993378,0.970847
-148.982193,0.975119
-149.998520,0.983198
-150.987274,0.987717
-151.976135,0.993724
-152.992462,1.000875
-153.981277,1.011223
-154.997604,1.016683
-155.986404,1.019823
-157.002731,1.029037
-157.991592,1.035115
-158.980362,1.042927
-159.996674,1.051612
-160.985504,1.057527
-162.001816,1.062400
-162.990631,1.071863
-163.979446,1.077416
-164.995819,1.085604
-165.984589,1.094060
-167.000900,1.100660
-167.989716,1.107696
-168.978577,1.115173
-169.994904,1.122909
-170.983719,1.129533
