2,Mercedes-AMG W13 E Performance,baseline
Steering Wheel Angle,Yaw Rate
209.020386,1.520391
208.004135,1.512609
207.015366,1.481159
206.026566,1.492678
205.010300,1.482840
204.021530,1.453855
203.005295,1.435439
202.016510,1.448736
201.000275,1.462338
200.011475,1.458402
199.022705,1.451044
198.006454,1.444029
197.017670,1.437019
196.001419,1.429736
195.012619,1.422471
194.023849,1.415274
193.007599,1.403335
192.018814,1.396744
191.002563,1.380871
190.013794,1.397969
189.024994,1.352914
188.008728,1.377764
187.019974,1.351251
186.003708,1.359708
185.014938,1.349647
184.026154,1.349470
183.009888,1.342543
182.021133,1.347018
181.004852,1.332746
180.016098,1.329428
178.999817,1.321366
178.011047,1.319645
177.022247,1.312831
176.005981,1.305204
175.017227,1.297657
174.000961,1.289998
173.012192,1.282417
172.023392,1.274853
171.007111,1.267033
170.018356,1.259329
169.002075,1.251475
168.013321,1.244035
167.024506,1.236553
166.008270,1.228786
165.019485,1.221443
164.003220,1.213943
163.014450,1.206610
162.025650,1.199203
161.009415,1.191424
160.020615,1.183889
159.004333,1.176177
158.015564,1.168758
157.026764,1.161428
156.010544,1.153693
155.021729,1.146349
154.005478,1.138574
153.016708,1.131108
152.000443,1.123469
151.011673,1.116141
150.022858,1.108788
149.006622,1.100951
148.017822,1.093533
147.001556,1.086021
146.012772,1.078533
145.023972,1.071107
144.007736,1.063508
143.018936,1.056031
142.002655,1.048528
141.013901,1.041027
140.025085,1.033644
139.008850,1.026018
138.020050,1.018456
137.003769,1.010969
136.014999,1.003584
135.026199,0.996175
134.009964,0.988519
133.021164,0.981302
132.004913,0.973521
131.016113,0.966242
130.027283,0.958769
129.011078,0.951278
128.022263,0.943876
127.006020,0.936291
126.017204,0.928831
125.000938,0.921326
124.012169,0.914015
123.023369,0.906479
122.007118,0.899006
121.018311,0.891604
120.002029,0.883988
119.013283,0.876802
118.024460,0.869253
117.008224,0.861816
116.019402,0.854437
115.003166,0.846836
114.014351,0.839553
113.025566,0.832105
112.009323,0.824690
111.020508,0.817206
110.004265,0.809644
109.015457,0.802376
108.026642,0.795042
107.010399,0.787481
106.021584,0.779931
105.005371,0.772558
104.016556,0.765232
103.027771,0.757902
102.011497,0.750428
101.022690,0.743162
100.006439,0.735630
99.017632,0.728303
98.001389,0.720733
97.012573,0.713483
96.023758,0.706087
95.007515,0.698590
94.018700,0.691326
93.002457,0.683764
92.013649,0.676530
91.024887,0.669087
90.008591,0.661634
89.019775,0.654312
88.003563,0.646856
87.014717,0.639455
86.025963,0.632165
85.009674,0.624742
84.020859,0.617420
83.004631,0.609954
82.015800,0.602580
81.027039,0.595290
80.010742,0.587780
79.021935,0.580463
78.005684,0.573048
77.016876,0.565680
76.000633,0.558217
75.011818,0.550829
74.023056,0.543592
73.006760,0.536134
72.017944,0.528823
71.001701,0.521384
70.012894,0.514110
69.024109,0.506757
68.007835,0.499385
67.018997,0.492020
66.002754,0.484599
65.013939,0.477208
64.025177,0.469972
63.008881,0.462580
62.020069,0.455261
61.003826,0.447699
60.015011,0.440450
59.026226,0.433279
58.009926,0.425777
57.021172,0.418462
56.004875,0.411035
55.016060,0.403668
54.027275,0.396482
53.011005,0.388964
52.022217,0.381699
51.005924,0.374238
50.017109,0.367106
49.000866,0.359628
48.012054,0.352222
47.023270,0.344923
46.006969,0.337566
45.018211,0.330181
44.001915,0.322803
43.013073,0.315537
42.024315,0.308379
41.008018,0.300810
40.019230,0.293495
39.002964,0.286192
38.014122,0.278943
37.025364,0.271441
36.009068,0.264124
35.020279,0.256837
34.003983,0.249453
33.015167,0.242203
32.026382,0.234926
31.010088,0.227662
30.021326,0.220310
29.005032,0.212796
28.016247,0.205415
27.027433,0.198344
26.011137,0.190967
25.022348,0.183651
24.006052,0.176248
23.017294,0.168954
22.000998,0.161491
21.012157,0.154285
20.023371,0.146949
19.007101,0.139572
18.018314,0.132313
17.002018,0.124871
16.013233,0.117511
15.024419,0.110383
14.008123,0.102882
13.019336,0.095701
12.003040,0.088169
11.014254,0.081075
10.025441,0.073728
9.009144,0.066397
8.020358,0.058973
7.004062,0.051529
6.015275,0.044314
5.026462,0.037178
4.010166,0.029651
3.021353,0.022280
2.005083,0.015107
1.016323,0.007827
0.000000,0.001082
-0.988760,0.006713
-1.977626,0.014037
-2.993896,0.021568
-3.982709,0.028652
-4.998979,0.036244
-5.987792,0.043429
-6.976604,0.050560
-7.992875,0.057953
-8.981688,0.065458
-9.997957,0.072850
-10.986771,0.080047
-11.975583,0.087338
-12.991853,0.094655
-13.980665,0.101915
-14.996989,0.109407
-15.985749,0.116643
-16.974613,0.123930
-17.990831,0.131292
-18.979698,0.138594
-19.995966,0.145936
-20.984779,0.153176
-21.973593,0.160519
-22.989862,0.168113
-23.978676,0.175157
-24.994999,0.182566
-25.983759,0.189919
-27.000082,0.197356
-27.988842,0.204568
-28.977654,0.211864
-29.993923,0.219300
-30.982737,0.226609
-31.999060,0.234062
-32.987873,0.241310
-33.976685,0.248661
-34.992954,0.255990
-35.981770,0.263271
-36.998093,0.270680
-37.986855,0.277933
-38.975719,0.285279
-39.991932,0.292732
-40.980801,0.299933
-41.997017,0.307499
-42.985882,0.314773
-43.974697,0.321899
-44.990967,0.329466
-45.979778,0.336710
-46.996048,0.344012
-47.984913,0.351334
-48.973728,0.358680
-49.989998,0.366142
-50.978813,0.373289
-51.995083,0.380824
-52.983894,0.388062
-54.000217,0.395524
-54.989029,0.402866
-55.977844,0.410202
-56.994110,0.417593
-57.982929,0.424807
-58.999199,0.432335
-59.988010,0.439531
-60.976871,0.446863
-61.993145,0.454406
-62.981956,0.461632
-63.998226,0.469063
-64.987038,0.476368
-65.975906,0.483657
-66.992180,0.491111
-67.980995,0.498488
-68.997253,0.505901
-69.986069,0.513258
-70.974884,0.520507
-71.991211,0.528026
-72.980019,0.535275
-73.996292,0.542796
-74.985161,0.550056
-75.973915,0.557274
-76.990234,0.564830
-77.979050,0.572151
-78.995323,0.579551
-79.984192,0.586875
-81.000404,0.594390
-81.989273,0.601783
-82.978142,0.608993
-83.994354,0.616613
-84.983215,0.623815
-85.999489,0.631332
-86.988304,0.638623
-87.977112,0.645894
-88.993439,0.653389
-89.982254,0.660724
-90.998520,0.668332
-91.987381,0.675568
-92.976151,0.682907
-93.992470,0.690492
-94.981339,0.697717
-95.997551,0.705261
-96.986420,0.712549
-97.975182,0.719793
-98.991501,0.727448
-99.980316,0.734733
-100.996635,0.742274
-101.985451,0.749607
-103.001717,0.757111
-103.990585,0.764409
-104.979347,0.771791
-105.995674,0.779304
-106.984535,0.786633
-108.000801,0.794251
-108.989616,0.801457
-109.978432,0.808920
-110.994759,0.816383
-111.983620,0.823796
-112.999840,0.831285
-113.988701,0.838626
-114.977516,0.845907
-115.993790,0.853473
-116.982597,0.860982
-117.998917,0.868499
-118.987793,0.875822
-119.976540,0.883172
-120.992874,0.890717
-121.981682,0.898083
-122.998009,0.905678
-123.986816,0.913029
-124.975624,0.920491
-125.991959,0.927974
-126.980713,0.935371
-127.997040,0.942943
-128.985855,0.950355
-130.002182,0.957867
-130.991043,0.965245
-131.979797,0.972657
-132.996124,0.980212
-133.984924,0.987574
-135.001266,0.995219
-135.990128,1.002601
-136.978897,1.009964
-137.995209,1.017641
-138.984009,1.024968
-140.000351,1.032467
-140.989212,1.039930
-141.977966,1.047386
-142.994293,1.055017
-143.983093,1.062363
-144.999435,1.070071
-145.988190,1.077479
-146.977051,1.084876
-147.993378,1.092506
-148.982193,1.099895
-149.998520,1.107472
-150.987274,1.114849
-151.976135,1.122207
-152.992462,1.129851
-153.981277,1.137461
-154.997604,1.145047
-155.986404,1.152347
-157.002731,1.160155
-157.991592,1.167616
-158.980362,1.174938
-159.996674,1.182694
-160.985504,1.190227
-162.001816,1.197901
-162.990631,1.205379
-163.979446,1.212853
-164.995819,1.220576
-165.984589,1.228067
-167.000900,1.235655
-167.989716,1.243227
-168.978577,1.250556
-169.994904,1.258116
-170.983719,1.265668
-172.000046,1.273389
-172.988800,1.280852
-173.977661,1.288368
-174.993927,1.296112
-175.982803,1.303503
-176.999130,1.311256
-177.987946,1.318836
-178.976807,1.326536
-179.993011,1.334119
-180.981888,1.341736
-181.998260,1.349320
-182.987030,1.356765
-184.003342,1.364551
-184.992157,1.372371
-185.981033,1.379668
-186.997345,1.387480
-187.986160,1.400622
-189.002487,1.403569
-189.991287,1.403847
-190.980164,1.412714
-191.996368,1.406201
-192.985306,1.423870
-194.001617,1.423743
-194.990387,1.429441
-195.979248,1.427804
-196.995514,1.456361
-197.984390,1.418920
-199.000702,1.442818
-199.989532,1.485404
-200.978394,1.439014
-201.994644,1.480583
-202.983521,1.489000
-203.999786,1.440626
-204.988647,1.495089
-206.004990,1.488231
-206.993790,1.473891
-207.982666,1.492123
-208.998932,1.544214
