2,Mini Stock,baseline
Steering Wheel Angle,Yaw Rate
391.008759,2.991901
390.020020,2.994249
389.003754,2.997703
388.015015,3.008991
386.998810,2.977896
386.010040,2.988930
384.993805,3.000185
384.005035,3.011762
383.016296,3.018165
382.000092,3.049249
381.011322,3.072830
379.995087,3.060584
379.006317,3.050371
378.017578,3.040449
377.001373,3.030413
376.012604,3.011633
374.996338,2.995971
374.007629,2.987829
373.018890,2.986073
372.002625,2.982656
371.013855,2.967395
369.997650,2.962640
369.008911,2.955842
368.020142,2.944143
367.003906,2.937812
366.015137,2.927353
364.998932,2.922668
364.010193,2.908592
363.021423,2.906841
362.005157,2.891352
361.016418,2.888744
360.000214,2.875228
359.011444,2.870965
357.995178,2.857024
357.006439,2.853603
356.017670,2.840409
355.001465,2.836215
354.012695,2.824001
352.996490,2.814148
352.007721,2.804549
351.018951,2.797482
350.002716,2.785052
349.013947,2.775450
347.997711,2.768623
347.008942,2.754395
346.020203,2.744856
345.003998,2.740544
344.015228,2.722461
342.998962,2.715036
342.010223,2.710382
341.021454,2.694361
340.005219,2.683506
339.016449,2.680196
338.000214,2.668417
337.011475,2.655367
336.022736,2.652710
335.006500,2.636357
334.017700,2.633517
333.001465,2.619752
332.012726,2.618056
330.996490,2.604872
330.007721,2.598269
329.018951,2.590713
328.002747,2.583020
327.013977,2.574483
325.997711,2.561727
325.008972,2.559015
324.020203,2.546124
323.003998,2.534158
322.015228,2.535685
320.998962,2.522377
320.010193,2.517751
319.021454,2.504498
318.005219,2.505099
317.016479,2.490388
316.000183,2.487297
315.011414,2.471581
314.022675,2.466552
313.006470,2.455487
312.017700,2.451121
311.001404,2.438797
310.012665,2.430426
309.023926,2.423786
308.007690,2.417548
307.018921,2.407499
306.002686,2.399051
305.013916,2.388273
303.997681,2.376930
303.008911,2.371804
302.020142,2.364610
301.003906,2.353564
300.015137,2.348640
298.998901,2.337965
298.010132,2.329867
297.021332,2.320699
296.005127,2.312496
295.016357,2.303586
294.000153,2.295124
293.011322,2.286210
292.022583,2.278256
291.006378,2.267216
290.017578,2.260789
289.001343,2.251515
288.012573,2.243337
287.023834,2.234293
286.007568,2.225878
285.018768,2.217490
284.002563,2.205593
283.013824,2.201209
281.997528,2.190430
281.008789,2.182680
280.020020,2.170321
279.003784,2.166354
278.014984,2.156312
276.998779,2.148406
276.010010,2.136650
275.021179,2.132221
274.005005,2.123125
273.016235,2.113108
271.999969,2.105701
271.011169,2.096707
270.022430,2.087838
269.006195,2.079896
268.017395,2.070851
267.001190,2.062643
266.012421,2.053394
265.023651,2.045697
264.007385,2.036523
263.018616,2.027869
262.002350,2.019527
261.013611,2.010047
260.024841,2.002835
259.008575,1.993763
258.019806,1.985173
257.003571,1.976888
256.014801,1.967829
254.998566,1.959924
254.009781,1.950866
253.021011,1.941892
252.004791,1.933652
251.015961,1.925720
249.999741,1.916266
249.010956,1.908870
248.022217,1.897483
247.005966,1.892592
246.017166,1.882291
245.000916,1.874887
244.012177,1.866141
243.023422,1.856356
242.007141,1.847636
241.018341,1.841037
240.002121,1.830518
239.013351,1.819155
238.024597,1.815264
237.008316,1.801991
236.019547,1.797859
235.003296,1.791117
234.014542,1.778719
233.025772,1.773082
232.009491,1.763195
231.020752,1.756686
230.004471,1.748217
229.015686,1.738937
227.999451,1.730964
227.010681,1.721364
226.021896,1.714185
225.005646,1.703644
224.016876,1.692636
223.000626,1.688481
222.011841,1.678650
221.023071,1.672993
220.006836,1.663196
219.018051,1.655257
218.001816,1.646110
217.013016,1.638245
216.024261,1.630839
215.007996,1.620673
214.019226,1.614179
213.002960,1.604131
212.014175,1.596581
211.025421,1.588279
210.009140,1.578782
209.020386,1.571584
208.004135,1.560163
207.015366,1.550122
206.026566,1.545442
205.010300,1.536804
204.021530,1.529123
203.005295,1.521696
202.016510,1.512560
201.000275,1.505213
200.011475,1.495592
199.022705,1.488598
198.006454,1.478906
197.017670,1.470732
196.001419,1.462875
195.012619,1.454258
194.023849,1.445822
193.007599,1.436808
192.018814,1.425124
191.002563,1.420709
190.013794,1.409574
189.024994,1.400549
188.008728,1.395321
187.019974,1.387591
186.003708,1.379671
185.014938,1.370425
184.026154,1.362190
183.009888,1.355442
182.021133,1.345118
181.004852,1.339106
180.016098,1.329650
178.999817,1.322106
178.011047,1.314168
177.022247,1.305407
176.005981,1.297521
175.017227,1.288764
174.000961,1.280964
173.012192,1.272566
172.023392,1.264448
171.007111,1.256697
170.018356,1.247076
169.002075,1.240528
168.013321,1.229529
167.024506,1.224029
166.008270,1.214326
165.019485,1.207945
164.003220,1.198587
163.014450,1.190987
162.025650,1.181638
161.009415,1.170804
160.020615,1.166123
159.004333,1.154914
158.015564,1.150071
157.026764,1.139405
156.010544,1.129927
155.021729,1.125146
154.005478,1.116793
153.016708,1.109772
152.000443,1.100549
151.011673,1.090325
150.022858,1.085116
149.006622,1.073361
148.017822,1.065360
147.001556,1.059345
146.012772,1.051979
145.023972,1.044832
144.007736,1.037109
143.018936,1.028812
142.002655,1.020576
141.013901,1.013089
140.025085,1.004652
139.008850,0.996973
138.020050,0.988456
137.003769,0.980860
136.014999,0.972703
135.026199,0.963917
134.009964,0.954597
133.021164,0.949125
132.004913,0.940065
131.016113,0.932980
130.027283,0.925070
129.011078,0.917351
128.022263,0.908945
127.006020,0.901350
126.017204,0.893029
125.000938,0.885610
124.012169,0.876160
123.023369,0.870383
122.007118,0.860723
121.018311,0.854370
120.002029,0.846110
119.013283,0.838268
118.024460,0.830774
117.008224,0.821908
116.019402,0.815125
115.003166,0.807530
114.014351,0.797127
113.025566,0.791372
112.009323,0.781957
111.020508,0.775276
110.004265,0.768201
109.015457,0.760742
108.026642,0.752899
107.010399,0.745873
106.021584,0.735592
105.005371,0.729609
104.016556,0.721822
103.027771,0.712826
102.011497,0.706987
101.022690,0.697631
100.006439,0.689999
99.017632,0.683296
98.001389,0.676114
97.012573,0.668533
96.023758,0.662110
95.007515,0.653298
94.018700,0.645294
93.002457,0.639168
92.013649,0.631005
91.024887,0.624313
90.008591,0.617382
89.019775,0.610365
88.003563,0.603147
87.014717,0.596369
86.025963,0.588709
85.009674,0.581927
84.020859,0.574676
83.004631,0.567050
82.015800,0.560590
81.027039,0.553040
80.010742,0.546092
79.021935,0.539763
78.005684,0.532721
77.016876,0.526367
76.000633,0.519464
75.011818,0.513062
74.023056,0.506633
73.006760,0.499828
72.017944,0.493271
71.001701,0.486446
70.012894,0.480211
