2,Modified - SK,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.867368
269.006195,1.866897
268.017395,1.851261
267.001190,1.850927
266.012421,1.851611
265.023651,1.851113
264.007385,1.849838
263.018616,1.842144
262.002350,1.833389
261.013611,1.825111
260.024841,1.816805
259.008575,1.802003
258.019806,1.793836
257.003571,1.786323
256.014801,1.779799
254.998566,1.771631
254.009781,1.764669
253.021011,1.755919
252.004791,1.747751
251.015961,1.740694
249.999741,1.733215
249.010956,1.724774
248.022217,1.717641
247.005966,1.709009
246.017166,1.701516
245.000916,1.693385
244.012177,1.686312
243.023422,1.677849
242.007141,1.669601
241.018341,1.662339
240.002121,1.655236
239.013351,1.647008
238.024597,1.639120
237.008316,1.630816
236.019547,1.623557
235.003296,1.614777
234.014542,1.607667
233.025772,1.599491
232.009491,1.591346
231.020752,1.584101
230.004471,1.575793
229.015686,1.568425
227.999451,1.560400
227.010681,1.552589
226.021896,1.545334
225.005646,1.537576
224.016876,1.529021
223.000626,1.521198
222.011841,1.514459
221.023071,1.505847
220.006836,1.498155
219.018051,1.491494
218.001816,1.483963
217.013016,1.476143
216.024261,1.467933
215.007996,1.459913
214.019226,1.452724
213.002960,1.444249
212.014175,1.436741
211.025421,1.429505
210.009140,1.421564
209.020386,1.413828
208.004135,1.406083
207.015366,1.399023
206.026566,1.391028
205.010300,1.383674
204.021530,1.375734
203.005295,1.368737
202.016510,1.360241
201.000275,1.353262
200.011475,1.345299
199.022705,1.338383
198.006454,1.330465
197.017670,1.323567
196.001419,1.315157
195.012619,1.308298
194.023849,1.300874
193.007599,1.293231
192.018814,1.285761
191.002563,1.278533
190.013794,1.270498
189.024994,1.263287
188.008728,1.255652
187.019974,1.248922
186.003708,1.241077
185.014938,1.234087
184.026154,1.226322
183.009888,1.218771
182.021133,1.211862
181.004852,1.204463
180.016098,1.196511
178.999817,1.189796
178.011047,1.182745
177.022247,1.175083
176.005981,1.167427
175.017227,1.160756
174.000961,1.152881
173.012192,1.145613
172.023392,1.139131
171.007111,1.131522
170.018356,1.124454
169.002075,1.117369
168.013321,1.109752
167.024506,1.102901
166.008270,1.095995
165.019485,1.088573
164.003220,1.081434
163.014450,1.074685
162.025650,1.067354
161.009415,1.060506
160.020615,1.053289
159.004333,1.046151
158.015564,1.039988
157.026764,1.032466
156.010544,1.025768
155.021729,1.018549
154.005478,1.011589
153.016708,1.004949
152.000443,0.997711
151.011673,0.991113
150.022858,0.984415
149.006622,0.977812
148.017822,0.970973
147.001556,0.964154
146.012772,0.957675
145.023972,0.949159
144.007736,0.941837
143.018936,0.934723
142.002655,0.926657
141.013901,0.919713
140.025085,0.912918
139.008850,0.906354
138.020050,0.899065
137.003769,0.891547
136.014999,0.885639
135.026199,0.877738
134.009964,0.870168
133.021164,0.863528
132.004913,0.856429
131.016113,0.849487
130.027283,0.842792
129.011078,0.835394
128.022263,0.828736
127.006020,0.820990
126.017204,0.814160
125.000938,0.806436
124.012169,0.799513
123.023369,0.794040
122.007118,0.780078
121.018311,0.770322
120.002029,0.765141
119.013283,0.759985
118.024460,0.755007
117.008224,0.749678
116.019402,0.744252
115.003166,0.739238
114.014351,0.734237
113.025566,0.729008
112.009323,0.723911
111.020508,0.718826
110.004265,0.713681
109.015457,0.708691
108.026642,0.703585
107.010399,0.698297
106.021584,0.693248
105.005371,0.688136
104.016556,0.683089
103.027771,0.677956
102.011497,0.672791
101.022690,0.667591
100.006439,0.662706
99.017632,0.657957
98.001389,0.652847
97.012573,0.648058
96.023758,0.643183
95.007515,0.638045
94.018700,0.633127
93.002457,0.628079
92.013649,0.623250
91.024887,0.618210
90.008591,0.613237
89.019775,0.608252
88.003563,0.603253
87.014717,0.598177
86.025963,0.593417
85.009674,0.588383
84.020859,0.583295
83.004631,0.578351
82.015800,0.573503
81.027039,0.568580
80.010742,0.563402
79.021935,0.558436
78.005684,0.553409
77.016876,0.548515
76.000633,0.543520
75.011818,0.538511
74.023056,0.533460
73.006760,0.528468
72.017944,0.523538
71.001701,0.518437
70.012894,0.513494
69.024109,0.508618
68.007835,0.503370
67.018997,0.498546
66.002754,0.493425
65.013939,0.488611
64.025177,0.483543
63.008881,0.478545
62.020069,0.473628
61.003826,0.468372
60.015011,0.463477
59.026226,0.458523
58.009926,0.453394
57.021172,0.448486
56.004875,0.443446
55.016060,0.438371
54.027275,0.433471
53.011005,0.428412
52.022217,0.423388
51.005924,0.418403
50.017109,0.413493
49.000866,0.408395
48.012054,0.403522
47.023270,0.398468
46.006969,0.393543
45.018211,0.388626
44.001915,0.383579
43.013073,0.378660
42.024315,0.373659
41.008018,0.368663
40.019230,0.363767
39.002964,0.358659
38.014122,0.353782
37.025364,0.348818
36.009068,0.343914
35.020279,0.339089
34.003983,0.333831
33.015167,0.329003
32.026382,0.324169
31.010088,0.319106
30.021326,0.314391
29.005032,0.309174
28.016247,0.304360
27.027433,0.299436
26.011137,0.294403
25.022348,0.289519
24.006052,0.284596
23.017294,0.279690
22.000998,0.274646
21.012157,0.269718
20.023371,0.264958
19.007101,0.259887
18.018314,0.254922
17.002018,0.250051
16.013233,0.245125
15.024419,0.240173
14.008123,0.235262
13.019336,0.230412
12.003040,0.225345
11.014254,0.220463
10.025441,0.215665
9.009144,0.210557
8.020358,0.205716
7.004062,0.200714
6.015275,0.195926
5.026462,0.190986
4.010166,0.186012
3.021353,0.181277
2.005083,0.176225
1.016323,0.171392
0.000000,0.166332
-0.988760,0.161468
-1.977626,0.156651
-2.993896,0.151541
-3.982709,0.146601
-4.998979,0.141584
-5.987792,0.136731
-6.976604,0.131759
-7.992875,0.126765
-8.981688,0.121856
-9.997957,0.116797
-10.986771,0.103277
-11.975583,0.096478
-12.991853,0.086684
-13.980665,0.076973
-14.996989,0.068850
-15.985749,0.062674
-16.974613,0.055804
-17.990831,0.046904
-18.979698,0.038910
-19.995966,0.032780
-20.984779,0.025397
-21.973593,0.017261
-22.989862,0.009331
