2,Modified - Tour,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.842703
269.006195,1.846008
268.017395,1.825214
267.001190,1.825704
266.012421,1.829261
265.023651,1.830130
264.007385,1.826831
263.018616,1.816822
262.002350,1.808201
261.013611,1.799882
260.024841,1.791096
259.008575,1.777124
258.019806,1.773264
257.003571,1.764349
256.014801,1.756502
254.998566,1.749420
254.009781,1.741561
253.021011,1.733240
252.004791,1.726228
251.015961,1.717721
249.999741,1.710250
249.010956,1.702703
248.022217,1.695610
247.005966,1.686721
246.017166,1.679495
245.000916,1.671150
244.012177,1.664436
243.023422,1.656005
242.007141,1.647884
241.018341,1.641233
240.002121,1.632429
239.013351,1.625743
238.024597,1.617190
237.008316,1.609589
236.019547,1.602760
235.003296,1.594718
234.014542,1.586582
233.025772,1.578926
232.009491,1.570820
231.020752,1.564255
230.004471,1.555561
229.015686,1.548426
227.999451,1.539792
227.010681,1.532275
226.021896,1.525586
225.005646,1.517078
224.016876,1.509599
223.000626,1.501901
222.011841,1.494859
221.023071,1.486995
220.006836,1.479168
219.018051,1.472303
218.001816,1.463619
217.013016,1.456424
216.024261,1.449151
215.007996,1.440883
214.019226,1.433609
213.002960,1.425703
212.014175,1.418024
211.025421,1.410604
210.009140,1.403185
209.020386,1.395973
208.004135,1.388495
207.015366,1.380872
206.026566,1.373695
205.010300,1.366076
204.021530,1.358121
203.005295,1.351108
202.016510,1.343982
201.000275,1.335337
200.011475,1.328384
199.022705,1.321643
198.006454,1.314153
197.017670,1.306128
196.001419,1.298967
195.012619,1.291386
194.023849,1.283986
193.007599,1.276899
192.018814,1.270069
191.002563,1.261772
190.013794,1.255132
189.024994,1.247989
188.008728,1.240643
187.019974,1.232815
186.003708,1.225471
185.014938,1.218970
184.026154,1.211360
183.009888,1.203682
182.021133,1.196864
181.004852,1.189165
180.016098,1.182040
178.999817,1.175220
178.011047,1.168184
177.022247,1.160800
176.005981,1.153996
175.017227,1.146663
174.000961,1.139465
173.012192,1.132774
172.023392,1.125495
171.007111,1.118500
170.018356,1.111052
169.002075,1.103878
168.013321,1.097855
167.024506,1.090946
166.008270,1.083205
165.019485,1.076767
164.003220,1.069141
163.014450,1.062811
162.025650,1.055931
161.009415,1.049045
160.020615,1.041873
159.004333,1.035412
158.015564,1.028220
157.026764,1.021958
156.010544,1.015036
155.021729,1.007988
154.005478,1.001530
153.016708,0.994570
152.000443,0.988215
151.011673,0.979225
150.022858,0.972259
149.006622,0.964507
148.017822,0.957413
147.001556,0.950847
146.012772,0.943378
145.023972,0.937286
144.007736,0.930219
143.018936,0.922653
142.002655,0.915311
141.013901,0.908877
140.025085,0.901327
139.008850,0.894447
138.020050,0.887322
137.003769,0.880288
136.014999,0.874508
135.026199,0.865703
