2,NASCAR Chevrolet Camaro ZL1,watkinsglen
Steering Wheel Angle,Yaw Rate
352.996490,2.100706
352.007721,2.093429
351.018951,2.092393
350.002716,2.090907
349.013947,2.089464
347.997711,2.087504
347.008942,2.085153
346.020203,2.082136
345.003998,2.077903
344.015228,2.072271
342.998962,2.066270
342.010223,2.060459
341.021454,2.054738
340.005219,2.048759
339.016449,2.043101
338.000214,2.037141
337.011475,2.031458
336.022736,2.025713
335.006500,2.018690
334.017700,2.009957
333.001465,1.999644
332.012726,1.989950
330.996490,1.984202
330.007721,1.978052
329.018951,1.971798
328.002747,1.970444
327.013977,1.964994
325.997711,1.958796
325.008972,1.952622
324.020203,1.946661
323.003998,1.939656
322.015228,1.933342
320.998962,1.927271
320.010193,1.921641
319.021454,1.915781
318.005219,1.909526
317.016479,1.902924
316.000183,1.897252
315.011414,1.891424
314.022675,1.884742
313.006470,1.878376
312.017700,1.872684
311.001404,1.867073
310.012665,1.860352
309.023926,1.854310
308.007690,1.848354
307.018921,1.842103
306.002686,1.835964
305.013916,1.829350
303.997681,1.822997
303.008911,1.817450
302.020142,1.812275
301.003906,1.805675
300.015137,1.799746
298.998901,1.793331
298.010132,1.787074
297.021332,1.781141
296.005127,1.775073
295.016357,1.768980
294.000153,1.762832
293.011322,1.756516
292.022583,1.750506
291.006378,1.744965
290.017578,1.739226
289.001343,1.732997
288.012573,1.726630
287.023834,1.720359
286.007568,1.713817
285.018768,1.707693
284.002563,1.701430
283.013824,1.695783
281.997528,1.690298
281.008789,1.683781
280.020020,1.677424
279.003784,1.671114
278.014984,1.665799
276.998779,1.659273
276.010010,1.653186
275.021179,1.647058
274.005005,1.641465
273.016235,1.635254
271.999969,1.629481
271.011169,1.623417
270.022430,1.617266
269.006195,1.610836
268.017395,1.604714
267.001190,1.598575
266.012421,1.592247
265.023651,1.586661
264.007385,1.580495
263.018616,1.574632
262.002350,1.568557
261.013611,1.562356
260.024841,1.556406
259.008575,1.550585
258.019806,1.544340
257.003571,1.537805
256.014801,1.532436
254.998566,1.526141
254.009781,1.519886
253.021011,1.514027
252.004791,1.507905
251.015961,1.501273
249.999741,1.495233
249.010956,1.488990
248.022217,1.483497
247.005966,1.477606
246.017166,1.471384
245.000916,1.464821
244.012177,1.459247
243.023422,1.453728
242.007141,1.447408
241.018341,1.441071
240.002121,1.435399
239.013351,1.428936
238.024597,1.422566
237.008316,1.416902
236.019547,1.411041
235.003296,1.404698
234.014542,1.398711
233.025772,1.392688
232.009491,1.386494
231.020752,1.380776
230.004471,1.374795
229.015686,1.368856
227.999451,1.362465
227.010681,1.356321
226.021896,1.350311
