2,NASCAR Ford Mustang,chicago
Steering Wheel Angle,Yaw Rate
316.000183,2.117888
315.011414,2.109585
314.022675,2.107253
313.006470,2.105485
312.017700,2.103704
311.001404,2.101137
310.012665,2.098287
309.023926,2.094400
308.007690,2.088943
307.018921,2.082282
306.002686,2.075584
305.013916,2.069163
303.997681,2.062486
303.008911,2.056056
302.020142,2.049011
301.003906,2.039449
300.015137,2.028652
298.998901,2.016370
298.010132,2.009604
297.021332,2.002234
296.005127,1.994875
295.016357,1.989831
294.000153,1.987679
293.011322,1.980704
292.022583,1.973999
291.006378,1.966961
290.017578,1.958525
289.001343,1.951310
288.012573,1.946157
287.023834,1.939196
286.007568,1.932178
285.018768,1.924856
284.002563,1.918182
283.013824,1.911622
281.997528,1.904329
281.008789,1.896939
280.020020,1.890636
279.003784,1.884166
278.014984,1.877021
276.998779,1.869413
276.010010,1.863612
275.021179,1.856766
274.005005,1.849511
273.016235,1.842317
271.999969,1.835421
271.011169,1.829145
270.022430,1.822123
269.006195,1.814957
268.017395,1.808320
267.001190,1.801166
266.012421,1.793893
265.023651,1.787715
264.007385,1.780802
263.018616,1.774276
262.002350,1.767014
261.013611,1.759710
260.024841,1.752855
259.008575,1.746415
258.019806,1.740235
257.003571,1.733058
256.014801,1.725965
254.998566,1.719424
254.009781,1.712487
253.021011,1.705578
252.004791,1.698717
251.015961,1.691900
249.999741,1.684387
249.010956,1.677633
248.022217,1.670585
247.005966,1.663747
246.017166,1.657516
245.000916,1.650835
244.012177,1.643891
243.023422,1.636840
242.007141,1.629520
241.018341,1.622586
240.002121,1.616177
239.013351,1.609429
238.024597,1.603436
237.008316,1.596621
236.019547,1.589225
235.003296,1.582440
234.014542,1.575748
233.025772,1.568528
232.009491,1.561956
231.020752,1.555696
230.004471,1.548606
229.015686,1.541848
227.999451,1.534498
227.010681,1.527444
226.021896,1.520984
225.005646,1.514266
224.016876,1.507540
223.000626,1.500700
222.011841,1.493465
221.023071,1.486565
220.006836,1.479516
219.018051,1.472839
218.001816,1.465617
217.013016,1.459259
216.024261,1.452667
215.007996,1.445360
214.019226,1.439342
213.002960,1.432634
212.014175,1.425949
211.025421,1.418283
210.009140,1.411086
209.020386,1.404940
208.004135,1.397970
207.015366,1.391102
206.026566,1.384049
205.010300,1.377311
204.021530,1.370809
203.005295,1.363928
202.016510,1.357612
201.000275,1.350415
200.011475,1.343287
199.022705,1.336326
198.006454,1.330160
197.017670,1.323423
196.001419,1.316823
195.012619,1.309596
194.023849,1.302652
193.007599,1.295850
192.018814,1.289485
191.002563,1.282311
190.013794,1.275885
189.024994,1.269208
188.008728,1.262353
187.019974,1.255804
186.003708,1.248845
185.014938,1.242212
184.026154,1.235474
183.009888,1.228577
182.021133,1.221633
181.004852,1.215051
180.016098,1.208260
178.999817,1.201438
178.011047,1.194506
177.022247,1.187745
176.005981,1.180881
175.017227,1.173734
174.000961,1.166740
173.012192,1.160144
172.023392,1.153179
171.007111,1.146639
170.018356,1.139905
169.002075,1.132623
168.013321,1.125877
167.024506,1.119345
166.008270,1.112407
165.019485,1.105778
164.003220,1.099554
163.014450,1.092932
162.025650,1.086163
161.009415,1.079093
160.020615,1.072607
159.004333,1.065222
158.015564,1.058630
157.026764,1.051631
156.010544,1.044900
155.021729,1.038542
154.005478,1.031658
153.016708,1.025095
152.000443,1.017529
151.011673,1.010589
150.022858,1.004247
149.006622,0.998027
148.017822,0.991084
147.001556,0.983640
146.012772,0.977272
145.023972,0.970783
144.007736,0.963647
143.018936,0.957180
142.002655,0.950017
141.013901,0.943167
140.025085,0.936558
139.008850,0.929845
138.020050,0.923475
137.003769,0.916132
136.014999,0.909541
135.026199,0.903035
134.009964,0.896243
133.021164,0.889452
132.004913,0.882348
131.016113,0.875851
130.027283,0.869597
129.011078,0.862591
128.022263,0.855739
127.006020,0.848907
126.017204,0.842325
125.000938,0.835726
124.012169,0.828610
123.023369,0.821976
122.007118,0.815245
121.018311,0.808507
120.002029,0.801938
119.013283,0.794969
