2,Nissan GTP ZX-T,baseline
Steering Wheel Angle,Yaw Rate
322.015228,2.225141
320.998962,2.218965
320.010193,2.213095
319.021454,2.207920
318.005219,2.202232
317.016479,2.196562
316.000183,2.190704
315.011414,2.184876
314.022675,2.178792
313.006470,2.172501
312.017700,2.166199
311.001404,2.159452
310.012665,2.152158
309.023926,2.145042
308.007690,2.137526
307.018921,2.130325
306.002686,2.122080
305.013916,2.113849
303.997681,2.105308
303.008911,2.096963
302.020142,2.088815
301.003906,2.081960
300.015137,2.074939
298.998901,2.067782
298.010132,2.062201
297.021332,2.056281
296.005127,2.048803
295.016357,2.041825
294.000153,2.034358
293.011322,2.026677
292.022583,2.019884
291.006378,2.012447
290.017578,2.005638
289.001343,1.998479
288.012573,1.991106
287.023834,1.983922
286.007568,1.977121
285.018768,1.970124
284.002563,1.962583
283.013824,1.955612
281.997528,1.948327
281.008789,1.941179
280.020020,1.934244
279.003784,1.927122
278.014984,1.920048
276.998779,1.912820
276.010010,1.905869
275.021179,1.898997
274.005005,1.891640
273.016235,1.884617
271.999969,1.877581
271.011169,1.870397
270.022430,1.863557
269.006195,1.856297
268.017395,1.849214
267.001190,1.842348
266.012421,1.834948
265.023651,1.828123
264.007385,1.821073
263.018616,1.813996
262.002350,1.806742
261.013611,1.799759
260.024841,1.792812
259.008575,1.785697
258.019806,1.778633
257.003571,1.771918
256.014801,1.764572
254.998566,1.757386
254.009781,1.750267
253.021011,1.743462
252.004791,1.736241
251.015961,1.729329
249.999741,1.722289
249.010956,1.715434
248.022217,1.708258
247.005966,1.701035
246.017166,1.694164
245.000916,1.686925
244.012177,1.680069
243.023422,1.673168
242.007141,1.665959
241.018341,1.658875
240.002121,1.651716
239.013351,1.644787
238.024597,1.637933
237.008316,1.630799
236.019547,1.623794
235.003296,1.616674
234.014542,1.609812
233.025772,1.602934
232.009491,1.595686
231.020752,1.588649
230.004471,1.581420
229.015686,1.574737
227.999451,1.567593
227.010681,1.560537
226.021896,1.553636
225.005646,1.546468
224.016876,1.539605
223.000626,1.532411
222.011841,1.525559
221.023071,1.518578
220.006836,1.511481
219.018051,1.504504
218.001816,1.497427
217.013016,1.490500
216.024261,1.483474
215.007996,1.476556
214.019226,1.469537
213.002960,1.462516
212.014175,1.455593
211.025421,1.448568
210.009140,1.441466
209.020386,1.434675
208.004135,1.427454
207.015366,1.420565
206.026566,1.413762
205.010300,1.406698
204.021530,1.399766
203.005295,1.392754
202.016510,1.385635
201.000275,1.378687
200.011475,1.371740
199.022705,1.364891
198.006454,1.357756
197.017670,1.350803
196.001419,1.343742
195.012619,1.336874
194.023849,1.329946
193.007599,1.322960
192.018814,1.315951
191.002563,1.308998
190.013794,1.301947
189.024994,1.295240
188.008728,1.288252
187.019974,1.281245
186.003708,1.274059
185.014938,1.267310
184.026154,1.260429
183.009888,1.253147
182.021133,1.246497
181.004852,1.239376
180.016098,1.232469
178.999817,1.225458
178.011047,1.218649
177.022247,1.211621
176.005981,1.204592
175.017227,1.197770
174.000961,1.190604
173.012192,1.183806
172.023392,1.176964
171.007111,1.170040
170.018356,1.163124
169.002075,1.155967
168.013321,1.149209
167.024506,1.142342
166.008270,1.135301
165.019485,1.128457
164.003220,1.121396
163.014450,1.114441
162.025650,1.107577
161.009415,1.100584
160.020615,1.093767
159.004333,1.086653
158.015564,1.079731
157.026764,1.072881
156.010544,1.065873
155.021729,1.058921
154.005478,1.051889
153.016708,1.045036
152.000443,1.038077
151.011673,1.031116
150.022858,1.024472
149.006622,1.017200
148.017822,1.010490
147.001556,1.003471
146.012772,0.996603
145.023972,0.989649
144.007736,0.982764
143.018936,0.975871
142.002655,0.968780
141.013901,0.961854
140.025085,0.954942
139.008850,0.947868
138.020050,0.941118
137.003769,0.933980
136.014999,0.927101
135.026199,0.920216
134.009964,0.913290
133.021164,0.906462
132.004913,0.899390
131.016113,0.892599
130.027283,0.885982
129.011078,0.878721
128.022263,0.872092
127.006020,0.864914
126.017204,0.858089
125.000938,0.850990
124.012169,0.844156
123.023369,0.837357
122.007118,0.830269
121.018311,0.823436
120.002029,0.816285
119.013283,0.809474
118.024460,0.802697
117.008224,0.795620
116.019402,0.788872
115.003166,0.781776
114.014351,0.774918
113.025566,0.768062
112.009323,0.760980
111.020508,0.754274
110.004265,0.747196
109.015457,0.740314
108.026642,0.733561
107.010399,0.726409
106.021584,0.719719
105.005371,0.712632
104.016556,0.705799
103.027771,0.698963
102.011497,0.691944
101.022690,0.685111
100.006439,0.678163
99.017632,0.671350
98.001389,0.664374
97.012573,0.657593
96.023758,0.650564
95.007515,0.643488
94.018700,0.636752
93.002457,0.629713
92.013649,0.622919
91.024887,0.616073
90.008591,0.609048
89.019775,0.602188
88.003563,0.595183
87.014717,0.588385
86.025963,0.581575
85.009674,0.574561
84.020859,0.567819
83.004631,0.560829
82.015800,0.553864
81.027039,0.547126
80.010742,0.539954
79.021935,0.533327
78.005684,0.526288
77.016876,0.519471
76.000633,0.512542
75.011818,0.505736
74.023056,0.498931
73.006760,0.491867
72.017944,0.484975
71.001701,0.477991
70.012894,0.471271
69.024109,0.464458
68.007835,0.457296
67.018997,0.450497
66.002754,0.443484
65.013939,0.436695
64.025177,0.429896
63.008881,0.423005
62.020069,0.416048
61.003826,0.409162
60.015011,0.402194
59.026226,0.395604
58.009926,0.388365
57.021172,0.381549
56.004875,0.374649
55.016060,0.367781
54.027275,0.361013
53.011005,0.354042
52.022217,0.347248
51.005924,0.340280
50.017109,0.333370
49.000866,0.326478
48.012054,0.319681
47.023270,0.312678
46.006969,0.305674
45.018211,0.298945
44.001915,0.292067
43.013073,0.285194
42.024315,0.278374
41.008018,0.271383
40.019230,0.264659
39.002964,0.257652
38.014122,0.250782
37.025364,0.243919
36.009068,0.236918
35.020279,0.230248
34.003983,0.223013
33.015167,0.216387
32.026382,0.209536
31.010088,0.202602
30.021326,0.195714
29.005032,0.188656
28.016247,0.181961
27.027433,0.175166
26.011137,0.168080
25.022348,0.161348
24.006052,0.154280
23.017294,0.147489
22.000998,0.140534
21.012157,0.133741
20.023371,0.127052
19.007101,0.119837
18.018314,0.113019
17.002018,0.106082
16.013233,0.099399
15.024419,0.092389
14.008123,0.085477
13.019336,0.078644
12.003040,0.071602
11.014254,0.064914
10.025441,0.058091
9.009144,0.051123
8.020358,0.044386
7.004062,0.037335
6.015275,0.030136
5.026462,0.024953
4.010166,0.019837
3.021353,0.014901
2.005083,0.009883
1.016323,0.004770
0.000000,0.001529
-0.988760,0.005138
-1.977626,0.010085
-2.993896,0.015317
-3.982709,0.020207
-4.998979,0.025268
-5.987792,0.030213
-6.976604,0.036706
-7.992875,0.043777
-8.981688,0.050603
-9.997957,0.057588
-10.986771,0.064256
-11.975583,0.071111
-12.991853,0.078086
-13.980665,0.084982
-14.996989,0.091952
-15.985749,0.098695
-16.974613,0.105563
-17.990831,0.112332
-18.979698,0.119363
-19.995966,0.126140
-20.984779,0.133120
-21.973593,0.140009
-22.989862,0.146835
-23.978676,0.153642
-24.994999,0.160789
-25.983759,0.167488
-27.000082,0.174496
-27.988842,0.181290
-28.977654,0.188068
-29.993923,0.195169
-30.982737,0.201850
-31.999060,0.209045
-32.987873,0.215818
-33.976685,0.222488
-34.992954,0.229451
-35.981770,0.236386
-36.998093,0.243415
-37.986855,0.250197
-38.975719,0.256842
-39.991932,0.263796
-40.980801,0.270866
-41.997017,0.277580
-42.985882,0.284543
-43.974697,0.291408
-44.990967,0.298387
-45.979778,0.305089
-46.996048,0.312217
-47.984913,0.318970
-48.973728,0.325862
-49.989998,0.332658
-50.978813,0.339618
-51.995083,0.346701
-52.983894,0.353400
-54.000217,0.360310
-54.989029,0.367256
-55.977844,0.373976
-56.994110,0.381010
-57.982929,0.387965
-58.999199,0.394903
-59.988010,0.401668
-60.976871,0.408386
-61.993145,0.415631
-62.981956,0.422340
-63.998226,0.429328
-64.987038,0.436173
-65.975906,0.443024
-66.992180,0.450001
-67.980995,0.456858
-68.997253,0.463639
-69.986069,0.470672
-70.974884,0.477557
-71.991211,0.484519
-72.980019,0.491135
-73.996292,0.498337
-74.985161,0.505078
-75.973915,0.511957
-76.990234,0.518970
-77.979050,0.525821
-78.995323,0.532737
-79.984192,0.539562
-81.000404,0.546682
-81.989273,0.553464
-82.978142,0.560127
-83.994354,0.567333
-84.983215,0.574131
-85.999489,0.581209
-86.988304,0.587987
-87.977112,0.594906
-88.993439,0.601824
-89.982254,0.608707
-90.998520,0.615540
-91.987381,0.622542
-92.976151,0.629384
-93.992470,0.636478
-94.981339,0.643248
-95.997551,0.650182
-96.986420,0.656943
-97.975182,0.663944
-98.991501,0.670789
-99.980316,0.677780
-100.996635,0.684820
-101.985451,0.691524
-103.001717,0.698600
-103.990585,0.705627
-104.979347,0.712405
-105.995674,0.719321
-106.984535,0.726249
-108.000801,0.733215
-108.989616,0.740211
-109.978432,0.746987
-110.994759,0.754072
-111.983620,0.760923
-112.999840,0.767815
-113.988701,0.774587
-114.977516,0.781496
-115.993790,0.788685
-116.982597,0.795423
-117.998917,0.802530
-118.987793,0.809170
-119.976540,0.816213
-120.992874,0.823274
-121.981682,0.830147
-122.998009,0.837123
-123.986816,0.843907
-124.975624,0.850703
-125.991959,0.857832
-126.980713,0.864539
-127.997040,0.871727
-128.985855,0.878492
-130.002182,0.885588
-130.991043,0.892492
-131.979797,0.899359
-132.996124,0.906357
-133.984924,0.913157
-135.001266,0.920292
-135.990128,0.927099
-136.978897,0.933986
-137.995209,0.940960
-138.984009,0.947825
-140.000351,0.954802
-140.989212,0.961649
-141.977966,0.968602
-142.994293,0.975588
-143.983093,0.982466
-144.999435,0.989550
-145.988190,0.996355
-146.977051,1.003178
-147.993378,1.010223
-148.982193,1.016877
-149.998520,1.024091
-150.987274,1.030945
-151.976135,1.037815
-152.992462,1.044944
-153.981277,1.051752
-154.997604,1.058856
-155.986404,1.065675
-157.002731,1.072632
-157.991592,1.079523
-158.980362,1.086345
-159.996674,1.093437
-160.985504,1.100336
-162.001816,1.107334
-162.990631,1.114179
-163.979446,1.120952
-164.995819,1.128175
-165.984589,1.134994
-167.000900,1.141958
-167.989716,1.148784
-168.978577,1.155663
-169.994904,1.162681
-170.983719,1.169373
-172.000046,1.176585
-172.988800,1.183487
-173.977661,1.190491
-174.993927,1.197410
-175.982803,1.204254
-176.999130,1.211411
-177.987946,1.218250
-178.976807,1.225050
-179.993011,1.232135
-180.981888,1.239067
-181.998260,1.246221
-182.987030,1.253073
-184.003342,1.260080
-184.992157,1.267007
-185.981033,1.273875
-186.997345,1.280854
-187.986160,1.287780
-189.002487,1.294891
-189.991287,1.301674
-190.980164,1.308592
-191.996368,1.315772
-192.985306,1.322637
-194.001617,1.329707
-194.990387,1.336567
-195.979248,1.343235
-196.995514,1.350518
-197.984390,1.357463
-199.000702,1.364254
-199.989532,1.371534
-200.978394,1.378271
-201.994644,1.385476
-202.983521,1.392370
-203.999786,1.399454
-204.988647,1.406287
-206.004990,1.413415
-206.993790,1.420349
-207.982666,1.427313
-208.998932,1.434335
-209.987793,1.441192
-211.004120,1.448357
-211.992920,1.455284
-212.981796,1.462219
-213.998062,1.469095
-214.986923,1.476224
-216.003265,1.483263
-216.992065,1.490249
-217.980942,1.497211
-218.997208,1.504277
-219.986069,1.511179
-221.002350,1.518334
-221.991211,1.525237
-222.980072,1.532065
-223.996338,1.539269
-224.985199,1.546172
-226.001480,1.553258
-226.990341,1.559984
-227.979218,1.566746
-228.995483,1.574250
-229.984344,1.581251
-231.000626,1.588377
-231.989487,1.595320
-233.005737,1.602427
-233.994614,1.609465
-234.983490,1.616381
-235.999741,1.623407
-236.988617,1.630148
-238.004898,1.637408
-238.993744,1.644324
-239.982620,1.651412
-240.998901,1.658344
-241.987823,1.665282
-243.004013,1.672604
-243.992950,1.679625
-244.981827,1.686592
-245.998077,1.693691
-246.986954,1.700588
-248.003220,1.707647
-248.992081,1.714651
-249.980896,1.721690
-250.997223,1.728707
-251.986099,1.735852
-253.002350,1.742774
-253.991226,1.749863
-254.980042,1.756932
-255.996399,1.764042
-256.985291,1.770810
-258.001556,1.778271
-258.990417,1.785286
-260.006683,1.792292
-260.995544,1.799450
-261.984344,1.806467
-263.000671,1.813473
-263.989624,1.820417
-265.005829,1.827600
-265.994751,1.834564
-266.983490,1.841740
-267.999878,1.848812
-268.988739,1.855809
-270.005005,1.863138
-270.993896,1.870195
-271.982666,1.877113
-272.999054,1.884058
-273.987946,1.891249
-275.004181,1.898530
-275.993073,1.905592
-276.981873,1.912415
-277.998230,1.919328
-278.987000,1.926698
-280.003387,1.933800
-280.992279,1.940794
-281.981079,1.947893
-282.997406,1.955067
-283.986206,1.961942
-285.002563,1.969187
-285.991455,1.976021
-287.007721,1.983568
-287.996582,1.990633
-288.985382,1.997730
-290.001740,2.004706
-290.990540,2.011595
-292.006897,2.018847
-292.995789,2.026098
-293.984589,2.033176
-295.000916,2.040437
-295.989716,2.047217
-297.006104,2.054594
-297.994965,2.061575
-298.983795,2.068647
-300.000183,2.076017
-300.988922,2.082976
-302.005280,2.090218
-302.994171,2.097190
-303.982971,2.104464
-304.999359,2.111585
-305.988129,2.118647
-307.004486,2.125826
-307.993286,2.132825
-309.009613,2.139761
-309.998535,2.147278
-310.987335,2.154317
-312.003693,2.161720
-312.992493,2.168554
-314.008850,2.176105
-314.997742,2.183006
-315.986542,2.189669
-317.002899,2.197334
-317.991669,2.204531
-319.008057,2.211657
-319.996857,2.218817
-320.985748,2.225764
-322.002106,2.232986
