2,Outlaw Non-Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
143.018936,7.513140
142.002655,7.412559
141.013901,7.444145
140.025085,7.658509
139.008850,7.743903
138.020050,7.760938
137.003769,7.771744
136.014999,7.746480
135.026199,7.637017
134.009964,7.388937
133.021164,6.868816
132.004913,6.778206
131.016113,6.717970
130.027283,6.617149
129.011078,6.530807
128.022263,6.444636
127.006020,6.360924
126.017204,6.281417
125.000938,6.202162
124.012169,6.129233
123.023369,6.059543
122.007118,5.985734
121.018311,5.917360
120.002029,5.846389
119.013283,5.780054
118.024460,5.711921
117.008224,5.644246
116.019402,5.578403
115.003166,5.514171
114.014351,5.446885
113.025566,5.384241
112.009323,5.346095
111.020508,5.280459
110.004265,5.217880
109.015457,5.318645
108.026642,5.387672
107.010399,5.333796
106.021584,5.260774
105.005371,5.189306
104.016556,5.123532
103.027771,5.069432
102.011497,4.997643
101.022690,4.934246
100.006439,4.878524
99.017632,4.810342
98.001389,4.743945
97.012573,4.688751
96.023758,4.622119
95.007515,4.558028
94.018700,4.504529
93.002457,4.401054
92.013649,4.356391
91.024887,4.297030
90.008591,4.228603
89.019775,4.166783
88.003563,4.103639
87.014717,4.038210
86.025963,3.978681
85.009674,3.915265
84.020859,3.851099
83.004631,3.790203
82.015800,3.726319
81.027039,3.671184
80.010742,3.601428
79.021935,3.541689
78.005684,3.478104
77.016876,3.413775
76.000633,3.189590
75.011818,3.088786
74.023056,3.042132
73.006760,2.981753
72.017944,2.927394
71.001701,2.873117
70.012894,2.818452
69.024109,2.765458
68.007835,2.710519
67.018997,2.658456
66.002754,2.603283
65.013939,2.552254
64.025177,2.500005
63.008881,2.447654
62.020069,2.396628
61.003826,2.344565
60.015011,2.293951
59.026226,2.244413
58.009926,2.193494
57.021172,2.143496
56.004875,2.094251
55.016060,2.044522
54.027275,1.996817
53.011005,1.947193
52.022217,1.900492
51.005924,1.853369
50.017109,1.807812
49.000866,1.760943
48.012054,1.716969
47.023270,1.676983
46.006969,1.630173
45.018211,1.585565
44.001915,1.544452
43.013073,1.502167
42.024315,1.459357
41.008018,1.411780
40.019230,1.599348
39.002964,1.548082
38.014122,1.497414
37.025364,1.460303
36.009068,1.480626
35.020279,1.436208
34.003983,1.362643
