2,Outlaw Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
131.016113,5.405695
130.027283,5.416745
129.011078,5.424845
128.022263,5.439711
127.006020,5.516077
126.017204,5.601861
125.000938,5.552119
124.012169,5.522478
123.023369,5.450172
122.007118,5.385574
121.018311,5.215273
120.002029,5.079253
119.013283,4.971364
118.024460,4.900985
117.008224,4.981060
116.019402,4.940367
115.003166,4.730204
114.014351,4.747409
113.025566,4.673682
112.009323,4.631292
111.020508,4.595130
110.004265,4.552544
109.015457,4.514537
108.026642,4.463971
107.010399,4.396657
106.021584,4.334873
105.005371,4.274210
104.016556,4.222407
103.027771,4.167096
102.011497,4.109531
101.022690,4.056978
100.006439,3.998780
99.017632,3.944290
98.001389,3.890090
97.012573,3.836427
96.023758,3.783572
95.007515,3.729495
94.018700,3.676259
93.002457,3.621850
92.013649,3.568841
91.024887,3.517006
90.008591,3.463256
89.019775,3.412396
88.003563,3.358934
87.014717,3.308479
86.025963,3.256657
85.009674,3.204308
84.020859,3.154895
83.004631,3.104797
82.015800,3.056371
81.027039,3.007115
80.010742,2.957780
79.021935,2.909663
78.005684,2.860847
77.016876,2.813025
76.000633,2.764906
75.011818,2.719018
74.023056,2.670797
73.006760,2.623482
72.017944,2.577839
71.001701,2.530576
70.012894,2.485604
69.024109,2.442294
68.007835,2.398105
67.018997,2.356418
66.002754,2.313513
65.013939,2.272140
64.025177,2.231282
63.008881,2.188664
62.020069,2.147375
61.003826,2.105678
60.015011,2.065044
59.026226,2.025064
58.009926,1.983639
57.021172,1.943696
56.004875,2.042142
55.016060,1.993793
54.027275,1.948852
53.011005,1.977536
52.022217,1.934293
51.005924,1.887767
50.017109,1.843956
49.000866,1.801281
48.012054,1.765868
47.023270,1.724638
46.006969,1.693927
45.018211,1.643961
44.001915,1.606849
43.013073,1.576846
42.024315,1.547964
41.008018,1.522719
40.019230,1.500382
39.002964,1.471624
38.014122,1.446536
37.025364,1.417605
36.009068,1.392294
35.020279,1.365646
34.003983,1.341397
33.015167,1.310137
32.026382,1.283202
31.010088,1.258591
30.021326,1.231488
29.005032,1.203156
28.016247,1.176543
27.027433,1.153820
26.011137,1.126596
25.022348,1.099503
24.006052,1.076592
23.017294,1.050138
22.000998,1.023895
21.012157,0.994793
20.023371,0.969695
19.007101,0.944586
18.018314,0.922226
17.002018,0.895527
16.013233,0.869746
15.024419,0.844899
14.008123,0.818344
13.019336,0.630787
12.003040,0.595485
11.014254,0.569583
10.025441,0.541125
9.009144,0.511431
8.020358,0.481290
7.004062,0.450210
6.015275,0.419310
5.026462,0.388678
4.010166,0.355919
3.021353,0.324638
2.005083,0.291488
1.016323,0.259579
0.000000,0.226066
-0.988760,0.193765
-1.977626,0.162787
-2.993896,0.128889
-3.982709,0.094956
-4.998979,0.061699
-5.987792,0.029530
-6.976604,0.003624
-7.992875,0.035660
-8.981688,0.068508
-9.997957,0.101642
-10.986771,0.137880
-11.975583,0.164579
-12.991853,0.205357
-13.980665,0.312517
-14.996989,0.350085
-15.985749,0.390325
-16.974613,0.418959
-17.990831,0.458560
-18.979698,0.494308
-19.995966,0.524820
-20.984779,0.565817
-21.973593,0.595629
-22.989862,0.635042
-23.978676,0.670132
-24.994999,0.701471
-25.983759,0.745064
-27.000082,0.773562
-27.988842,0.816455
-28.977654,0.845383
-29.993923,0.889675
-30.982737,0.918331
-31.999060,0.963225
-32.987873,0.991403
-33.976685,1.036231
-34.992954,1.066547
-35.981770,1.110927
-36.998093,1.142193
-37.986855,1.186189
-38.975719,1.217573
-39.991932,1.263015
-40.980801,1.295678
-41.997017,1.340761
-42.985882,1.375503
-43.974697,1.418995
-44.990967,1.456759
-45.979778,1.501141
-46.996048,1.539984
-47.984913,1.585150
-48.973728,1.625109
-49.989998,1.671242
-50.978813,1.713999
-51.995083,1.760880
-52.983894,1.805625
-54.000217,1.854216
-54.989029,1.900344
-55.977844,1.949967
-56.994110,1.999164
-57.982929,2.049311
-58.999199,2.098418
-59.988010,2.152505
-60.976871,2.206390
-61.993145,2.261986
-62.981956,2.307548
-63.998226,2.368740
-64.987038,2.433583
-65.975906,2.479434
-66.992180,2.530940
-67.980995,2.597525
-68.997253,2.669011
-69.986069,2.721105
-70.974884,2.783984
-71.991211,2.839785
-72.980019,2.883968
-73.996292,2.953481
-74.985161,3.005058
-75.973915,3.047523
-76.990234,3.115643
-77.979050,3.167045
-78.995323,3.214940
-79.984192,3.281126
-81.000404,3.332911
-81.989273,3.380134
-82.978142,3.445726
-83.994354,3.497583
-84.983215,3.546299
-85.999489,3.611852
-86.988304,3.660739
-87.977112,3.729140
-88.993439,3.807059
-89.982254,3.862588
-90.998520,3.940797
-91.987381,3.971004
-92.976151,4.082978
-93.992470,4.082384
-94.981339,4.181612
-95.997551,4.223292
-96.986420,4.259368
-97.975182,4.298200
-98.991501,3.997679
-99.980316,3.536484
-100.996635,3.515220
-101.985451,3.579538
-103.001717,3.584268
-103.990585,3.543308
-104.979347,3.419105
-105.995674,3.530479
-106.984535,3.563826
-108.000801,3.657078
-108.989616,3.730628
-109.978432,3.765916
-110.994759,3.866062
-111.983620,3.867753
-112.999840,3.936905
-113.988701,3.984796
-114.977516,3.973965
-115.993790,4.097055
-116.982597,4.073331
-117.998917,4.181109
-118.987793,4.251556
-119.976540,4.250169
-120.992874,4.432236
-121.981682,4.394553
-122.998009,4.510545
-123.986816,4.581627
-124.975624,4.568434
-125.991959,4.720514
-126.980713,4.673313
-127.997040,4.786897
-128.985855,4.836164
-130.002182,4.835770
-130.991043,4.990579
