2,Pontiac Solstice - Rookie,baseline
Steering Wheel Angle,Yaw Rate
484.428314,3.214445
484.282166,3.202717
484.140808,3.198196
484.016144,3.174075
483.905548,3.169509
483.190857,3.165959
481.876709,3.159393
480.551788,3.152933
479.284912,3.146738
478.006775,3.140392
476.784943,3.134489
475.583832,3.128975
474.367645,3.123557
473.201416,3.117247
472.001709,3.111876
470.837433,3.109002
469.645538,3.137188
468.492004,3.138358
467.332275,3.135306
466.129333,3.129968
464.938660,3.128880
463.694092,3.121216
462.466278,3.111501
461.223755,3.103419
459.941437,3.091793
458.692291,3.081581
457.410614,3.074881
456.171539,3.076585
454.947174,3.070382
453.699097,3.062039
452.491333,3.055594
451.249542,3.046515
450.031342,3.044255
448.807648,3.043391
447.556061,3.043625
446.348083,3.041441
445.102661,3.035321
443.888000,3.023288
442.680237,3.014802
441.439301,3.008569
440.231171,3.010116
438.989136,2.998592
437.775848,2.934464
436.526520,2.911412
435.308350,2.861542
434.104950,2.817430
432.884918,2.860442
431.702118,2.878300
430.482971,2.796994
429.291931,2.848501
428.099487,2.911692
426.866089,2.898357
425.660583,2.843727
424.415314,2.734196
423.206848,2.710117
422.009338,2.764799
420.787872,2.893163
419.608826,2.848351
418.400238,2.881863
417.223816,2.774120
416.040161,2.718570
414.821838,2.721014
413.633514,2.688344
412.410522,2.728852
411.215576,2.703321
409.993347,2.719715
408.808105,2.702752
407.632172,2.756135
406.432617,2.699480
405.264130,2.664149
404.063416,2.649179
402.892273,2.651860
401.718536,2.740946
400.507202,2.748804
399.321991,2.680475
398.100433,2.618489
396.924774,2.718644
395.754974,2.646055
394.562408,2.658647
393.401764,2.627364
392.214569,2.680053
391.054626,2.674026
389.887085,2.665359
388.683960,2.656591
387.513550,2.648035
386.312500,2.641624
385.152435,2.632730
383.993835,2.625604
382.800171,2.618465
381.641602,2.607343
380.454132,2.597919
379.295563,2.594525
378.106323,2.586379
376.952118,2.573729
375.799896,2.566401
374.613525,2.562201
373.459717,2.553144
372.277985,2.541241
371.128906,2.535584
369.978394,2.530520
368.797363,2.519017
367.651215,2.508654
366.471436,2.505218
365.324982,2.497122
364.180969,2.484539
363.006287,2.478188
361.862061,2.474076
360.687531,2.463704
359.547546,2.451941
358.406586,2.448104
357.234680,2.441869
356.096344,2.430218
354.928436,2.420211
353.790405,2.416987
352.653625,2.409820
351.487701,2.396966
350.354279,2.389667
349.188110,2.386006
348.055420,2.376645
346.893433,2.363823
345.762390,2.359119
344.631775,2.354962
343.471497,2.343575
342.344452,2.332721
341.184875,2.328900
340.057373,2.322809
338.932556,2.311194
337.778046,2.301031
336.652313,2.297966
335.496674,2.291031
334.375671,2.279452
333.255890,2.270001
332.102600,2.266756
330.981689,2.259178
329.832275,2.246940
328.715210,2.240594
327.597076,2.236148
326.448181,2.227079
325.333466,2.216037
324.189362,2.209645
323.074066,2.203906
321.957672,2.197512
320.815369,2.187940
319.706665,2.176521
318.563873,2.169672
317.451141,2.166322
316.311920,2.158942
315.205109,2.146834
314.097076,2.138111
312.957977,2.134897
311.852570,2.127938
310.717010,2.116312
309.612183,2.106861
308.507263,2.103605
307.374390,2.097417
306.272583,2.086144
305.139832,2.076040
304.038696,2.071955
302.938873,2.066666
301.809601,2.055185
300.711151,2.045226
299.582306,2.041527
298.485107,2.036022
297.389313,2.024540
296.263947,2.014885
295.168457,2.011599
294.043579,2.004494
292.950867,1.992708
291.828522,1.986024
290.736023,1.982139
289.644775,1.972864
288.524902,1.961455
287.435059,1.957205
286.315216,1.951760
285.227203,1.940369
284.140289,1.931884
283.023010,1.928401
281.936523,1.921437
280.821472,1.909243
279.737183,1.902393
278.652710,1.898823
277.539185,1.890162
276.457306,1.878720
275.345581,1.872903
274.263672,1.869279
273.183350,1.859654
272.074341,1.848272
270.994843,1.844352
269.886017,1.839104
268.808685,1.828325
267.732300,1.818585
266.625244,1.815427
265.549286,1.808925
264.444916,1.797326
263.371063,1.789686
262.267059,1.786420
261.193695,1.778183
260.121887,1.766776
259.020416,1.761305
257.949158,1.757010
256.848877,1.747793
255.779510,1.736725
254.710464,1.731696
253.612259,1.727435
252.544266,1.717959
251.447662,1.707157
250.381104,1.702366
249.315109,1.698028
248.220352,1.687679
247.155930,1.677549
246.062119,1.673762
244.998703,1.668220
243.936157,1.657592
242.844818,1.648325
241.782669,1.645328
240.692154,1.638222
239.632553,1.626777
238.573074,1.620672
237.483841,1.616419
236.425308,1.608066
235.338745,1.596783
234.281372,1.591373
233.194656,1.587400
232.138733,1.577738
231.083893,1.567670
229.999420,1.563693
228.944611,1.558152
227.861771,1.547379
226.809189,1.538933
225.756317,1.535146
224.674591,1.528795
223.623306,1.518058
222.543732,1.509655
221.493179,1.506388
220.443115,1.499642
219.365051,1.488534
218.316757,1.481403
217.239243,1.477713
216.191452,1.470122
215.144928,1.459218
214.069672,1.453379
213.023422,1.449017
211.948914,1.440256
210.904617,1.430072
209.860352,1.425772
208.787262,1.420084
207.744171,1.410344
206.673050,1.401229
205.630630,1.397541
204.559814,1.391210
203.518906,1.380735
202.478729,1.373011
201.409531,1.369392
200.369827,1.362287
199.302353,1.351084
198.263763,1.345552
197.225555,1.341504
196.159286,1.332401
195.122650,1.322066
194.057236,1.317857
193.020996,1.312704
191.985611,1.302469
190.922134,1.294062
189.887466,1.290389
188.824478,1.283636
187.791122,1.273112
186.758270,1.266242
185.696808,1.262572
184.664627,1.254635
183.604462,1.244098
182.573471,1.238444
181.513992,1.234175
180.483673,1.225666
179.454102,1.215399
178.396149,1.210459
177.367142,1.206048
176.310226,1.196226
175.282562,1.187053
174.254959,1.182803
173.199158,1.177586
172.172684,1.167401
171.118210,1.158803
170.092346,1.155205
169.066925,1.149043
168.013794,1.138324
166.989502,1.131294
165.936874,1.127591
164.913300,1.119866
163.890335,1.109328
162.839218,1.103892
161.816788,1.099880
160.766495,1.090853
159.745163,1.081118
158.724106,1.076490
157.675034,1.071698
156.654800,1.062090
155.606735,1.052930
154.587265,1.048988
153.539795,1.043247
152.521286,1.033187
151.503113,1.025398
150.456894,1.021590
149.439377,1.015088
148.394119,1.004296
147.377457,0.997577
146.360992,0.994090
145.316849,0.986274
144.301346,0.975969
143.257965,0.970090
142.243088,0.965758
141.228546,0.957884
140.186356,0.948196
139.172699,0.942756
138.131058,0.937748
137.117981,0.929105
136.105362,0.920494
135.065018,0.915635
134.052963,0.909705
133.013214,0.900407
132.001953,0.892354
130.991013,0.888361
129.952347,0.881868
128.942017,0.872520
127.904068,0.864609
126.894508,0.860104
125.857170,0.853646
124.848091,0.846408
123.839508,0.837784
122.803383,0.829643
121.795303,0.824303
120.759422,0.819641
119.752144,0.812103
118.745232,0.801939
117.710503,0.795763
116.703918,0.791955
115.669891,0.783566
114.664124,0.773761
113.658539,0.768577
112.625290,0.764327
111.620338,0.755470
110.587860,0.745811
109.583405,0.741314
108.579208,0.736815
107.547546,0.727623
106.544067,0.718256
105.512932,0.713877
104.509842,0.708957
103.507149,0.699515
102.476898,0.690651
101.474640,0.686743
100.444862,0.681055
99.443192,0.671449
