2,Pontiac Solstice,baseline
Steering Wheel Angle,Yaw Rate
484.411163,3.096687
484.233948,3.113673
484.060822,3.120683
483.914520,3.163179
483.791168,3.156235
483.068115,3.153760
481.750031,3.163213
480.420349,3.155054
479.150146,3.148170
477.869507,3.141889
476.645416,3.136223
475.441772,3.130907
474.223206,3.123602
473.053467,3.107811
471.856781,3.102185
470.697418,3.094557
469.501862,3.086495
468.337189,3.091074
467.163208,3.019235
465.957642,3.039584
464.785248,3.017277
463.584320,3.025509
462.418976,3.057498
461.236786,3.017289
460.010956,3.048709
458.805695,3.028808
457.554871,3.019170
456.334015,3.005549
455.105774,2.986107
453.835999,2.955390
452.591125,2.957405
451.310516,2.917918
450.052307,2.913116
448.788727,2.909362
447.500397,2.903077
446.256927,2.903395
444.992096,2.912473
443.775085,2.884398
442.564514,2.876692
441.335388,2.885012
440.148682,2.884476
438.936676,2.946032
437.761261,2.897040
436.556335,2.859919
435.378021,2.865791
434.196228,2.908787
432.971680,2.885435
431.773560,2.833879
430.532104,2.820610
429.317902,2.816358
428.102203,2.863796
426.843353,2.809485
425.624878,2.847407
424.377716,2.734462
423.173553,2.768295
421.984009,2.794416
420.776398,2.835395
419.603668,2.836284
418.400787,2.830802
417.230164,2.769225
416.055695,2.792375
414.841095,2.702369
413.649261,2.691627
412.422913,2.724858
411.223663,2.706367
409.995239,2.731920
408.806854,2.699883
407.625061,2.770941
406.417511,2.672198
405.248901,2.761432
404.053711,2.758944
402.887238,2.655156
401.713562,2.647375
400.494934,2.616917
399.312439,2.639283
398.096771,2.592163
396.920685,2.600350
395.755402,2.593749
394.559387,2.589755
393.400726,2.576554
392.211182,2.566096
391.052368,2.562903
389.889099,2.559264
388.686737,2.550778
387.510223,2.537469
386.303345,2.523859
385.136871,2.522102
383.979309,2.523152
382.796021,2.520360
381.646729,2.510222
380.463531,2.492268
379.308838,2.479490
378.119507,2.475991
376.959015,2.473406
375.795532,2.466545
374.601471,2.455269
373.446869,2.442884
372.268768,2.439638
371.128784,2.441242
369.988953,2.428873
368.810577,2.435059
367.661163,2.404228
366.478760,2.408665
365.322632,2.390850
364.167969,2.389183
362.992737,2.403970
361.855316,2.402111
360.687958,2.388437
359.557251,2.414050
358.421265,2.450255
357.252167,2.445603
356.110168,2.435181
354.935577,2.426892
353.793396,2.419749
352.652802,2.414053
351.486877,2.405723
350.354218,2.394546
349.189331,2.389769
348.055206,2.384030
346.892731,2.371981
345.763611,2.361949
344.631927,2.359863
343.470673,2.351457
342.343628,2.338782
341.185944,2.332512
340.058258,2.328830
338.932068,2.318592
337.776886,2.306267
336.652924,2.302551
335.497559,2.297577
334.375183,2.285576
333.254974,2.275086
332.102600,2.272438
330.981842,2.265828
329.832336,2.253158
328.715363,2.244436
327.596710,2.242243
326.448578,2.234041
325.333496,2.221448
324.188507,2.213847
323.073364,2.210994
321.959381,2.202074
320.817200,2.189344
319.705505,2.185152
318.562653,2.180526
317.452637,2.168648
316.313538,2.158331
315.204498,2.155742
314.096100,2.149420
312.958862,2.136796
311.853485,2.127599
310.716492,2.125071
309.611389,2.117890
308.507996,2.105228
307.374847,2.098105
306.271912,2.095301
305.139587,2.086229
304.039185,2.073819
302.939362,2.068054
301.809082,2.064679
300.710449,2.054844
299.582733,2.042643
298.485657,2.038203
297.389099,2.034446
296.263306,2.023186
295.168976,2.012265
294.044434,2.008916
292.950470,2.003451
291.827881,1.991330
290.736847,1.981730
289.645050,1.979553
288.523865,1.972873
287.434723,1.960142
286.316101,1.952523
285.227173,1.950007
284.139404,1.940988
283.023315,1.928845
281.937195,1.924586
280.820923,1.919995
279.736511,1.908540
278.653625,1.898989
277.539673,1.896035
276.456543,1.889417
275.345093,1.877097
274.264404,1.869089
273.183319,1.866653
272.073303,1.858818
270.994781,1.846887
269.887054,1.839401
268.808502,1.836644
267.731018,1.828614
266.625519,1.816497
265.550354,1.810463
264.444763,1.807248
263.370239,1.797467
262.267181,1.786113
261.194336,1.781400
260.121582,1.777481
259.020081,1.767458
257.949463,1.756183
256.849365,1.752188
255.779343,1.747399
254.710190,1.736842
253.612503,1.726239
252.544327,1.723661
251.447403,1.717690
250.381073,1.706277
249.315491,1.697137
248.220413,1.693999
247.155533,1.688229
246.062332,1.676149
244.999222,1.668301
243.935959,1.665549
242.844193,1.657559
241.783218,1.645721
240.692917,1.639711
239.631882,1.636393
238.572372,1.627838
237.484528,1.615736
236.425903,1.611206
235.338013,1.607224
234.280930,1.596639
233.195419,1.586516
232.139160,1.583140
231.083160,1.577548
229.999222,1.566316
228.945221,1.557060
227.861923,1.554248
226.808456,1.548597
225.756241,1.536848
224.675278,1.528129
223.623505,1.525498
222.543259,1.518269
221.493118,1.507101
220.443710,1.499656
219.365082,1.496807
218.316391,1.488613
217.239273,1.477345
216.191910,1.471601
215.144775,1.467969
214.069199,1.458796
213.023697,1.447817
211.949234,1.443623
210.904205,1.439143
209.860062,1.428671
208.787643,1.418696
207.744232,1.415908
206.672546,1.410122
205.630554,1.398820
204.560165,1.390423
203.518936,1.387334
202.478287,1.381009
201.409546,1.369462
200.370300,1.361997
199.302231,1.358897
198.263397,1.351696
197.225647,1.340719
196.159653,1.333465
195.122375,1.330444
194.056976,1.322223
193.021271,1.310812
191.985809,1.306159
190.921844,1.301923
189.887253,1.292469
188.824722,1.282326
187.791306,1.278462
186.758102,1.273325
185.696701,1.263141
184.664795,1.254117
183.604492,1.250495
182.573227,1.244519
181.513977,1.233338
180.483871,1.225765
179.453979,1.222852
178.395981,1.215441
177.367325,1.204354
176.310486,1.197472
175.282333,1.194415
174.254730,1.186510
173.199402,1.175271
172.172821,1.170262
171.117920,1.166430
170.092346,1.156465
169.067230,1.146740
168.013824,1.143108
166.989288,1.138056
165.936890,1.127457
164.913513,1.118463
163.890259,1.115205
162.839096,1.109421
161.816849,1.098504
160.766647,1.090664
159.745087,1.087666
158.723984,1.080668
157.675140,1.069572
156.654922,1.062773
155.606613,1.059629
154.587158,1.052410
153.539948,1.041184
152.521393,1.035044
151.502991,1.031617
150.456818,1.023150
149.439453,1.013191
148.394180,1.007194
147.377365,1.003456
146.360992,0.994769
145.316956,0.984485
144.301361,0.979947
143.257843,0.975460
142.243088,0.965489
141.228668,0.956387
140.186371,0.952549
139.172577,0.947466
138.131027,0.937149
137.118134,0.928555
136.105377,0.925059
135.064896,0.918842
134.052933,0.908749
133.013306,0.900825
132.001953,0.897631
130.990967,0.890685
129.952362,0.879808
128.942093,0.873906
127.904060,0.869931
126.894409,0.862338
125.857140,0.851818
124.848282,0.845867
123.839584,0.842073
122.803207,0.833979
121.795235,0.824419
120.759651,0.817865
119.752258,0.813641
118.745087,0.807053
117.710449,0.796697
116.704056,0.789612
115.669937,0.785677
114.664001,0.779022
113.658485,0.769434
112.625389,0.761492
111.620369,0.758116
110.587776,0.750932
109.583405,0.740517
108.579285,0.734825
107.547562,0.730759
106.543976,0.722732
105.512924,0.712580
104.509918,0.707190
103.507149,0.703158
102.476822,0.694496
101.474663,0.684809
100.444908,0.680399
99.443169,0.675486
98.413979,0.665708
97.412842,0.656932
96.411903,0.652898
95.383423,0.647840
94.383003,0.638160
93.355118,0.629197
92.355164,0.625480
91.355492,0.620212
90.328239,0.610359
89.329025,0.601983
88.302345,0.597629
87.303520,0.592425
86.305031,0.582707
85.278984,0.574377
84.280884,0.570611
83.255325,0.564226
82.257629,0.554436
81.260239,0.547355
80.235275,0.543404
79.238235,0.536374
78.213760,0.526313
77.217133,0.520148
76.193062,0.515939
75.196838,0.508325
74.200867,0.498684
73.177345,0.493295
72.181686,0.488745
71.158607,0.479863
70.163330,0.470983
69.168266,0.466803
68.145721,0.460877
67.150948,0.451771
66.128792,0.443723
65.134399,0.439588
64.140236,0.433258
63.118538,0.423574
62.124649,0.416511
61.103348,0.412545
60.109768,0.406006
59.116379,0.395847
58.095509,0.388966
57.102436,0.385518
56.081879,0.377693
55.089066,0.367734
54.096405,0.362834
53.076305,0.358198
52.083935,0.349307
51.064091,0.340486
50.071960,0.336248
49.052441,0.330569
48.060574,0.320607
47.068848,0.313528
46.049656,0.309533
45.058205,0.302784
44.039261,0.292801
43.047958,0.286815
42.056847,0.282632
41.038250,0.274470
40.047329,0.265105
39.028969,0.259577
38.038204,0.255262
37.047615,0.246823
36.029533,0.237595
35.039108,0.233107
34.021221,0.227797
33.030945,0.218382
32.040783,0.210491
31.023161,0.206593
30.033190,0.200163
29.015730,0.190421
28.025883,0.183491
27.036087,0.179652
26.018850,0.171892
25.029219,0.162534
24.012115,0.156932
23.022638,0.152560
22.005667,0.144370
21.016224,0.134947
20.026890,0.129632
19.010113,0.125113
18.020880,0.116600
17.004173,0.107565
16.015032,0.103111
15.025905,0.097976
14.009328,0.088202
13.020303,0.080515
12.003798,0.076488
11.014839,0.070143
10.025882,0.060403
9.009464,0.053521
8.020584,0.049680
7.004212,0.042143
6.015370,0.032566
5.026517,0.027433
4.010194,0.022421
3.021365,0.016767
2.005086,0.012086
1.016323,0.007415
0.000000,0.002669
