2,Porsche 718 Cayman GT4,baseline
Steering Wheel Angle,Yaw Rate
273.016235,1.628977
271.999969,1.622575
271.011169,1.616798
270.022430,1.611352
269.006195,1.606891
268.017395,1.603348
267.001190,1.599702
266.012421,1.596173
265.023651,1.592414
264.007385,1.588451
263.018616,1.581419
262.002350,1.575272
261.013611,1.569323
260.024841,1.563261
259.008575,1.553756
258.019806,1.546004
257.003571,1.539868
256.014801,1.534571
254.998566,1.530248
254.009781,1.522115
253.021011,1.517522
252.004791,1.513183
251.015961,1.509275
249.999741,1.502852
249.010956,1.494200
248.022217,1.488287
247.005966,1.482421
246.017166,1.473791
245.000916,1.467698
244.012177,1.462285
243.023422,1.453869
242.007141,1.448051
241.018341,1.443278
240.002121,1.436091
239.013351,1.430342
238.024597,1.427496
237.008316,1.422391
236.019547,1.416198
235.003296,1.412220
234.014542,1.406799
233.025772,1.399039
232.009491,1.393657
231.020752,1.388091
230.004471,1.379309
229.015686,1.373786
227.999451,1.367979
227.010681,1.359250
226.021896,1.354040
225.005646,1.348358
224.016876,1.339950
223.000626,1.333235
222.011841,1.328885
221.023071,1.321884
220.006836,1.315709
219.018051,1.312250
218.001816,1.306671
217.013016,1.300805
216.024261,1.297611
215.007996,1.291891
214.019226,1.284602
213.002960,1.279031
212.014175,1.273211
211.025421,1.264669
210.009140,1.259157
209.020386,1.253363
208.004135,1.244562
207.015366,1.238335
206.026566,1.233291
205.010300,1.225318
204.021530,1.219317
203.005295,1.215124
202.016510,1.209040
201.000275,1.203292
200.011475,1.200386
199.022705,1.194801
198.006454,1.187650
197.017670,1.183715
196.001419,1.177696
195.012619,1.169646
194.023849,1.164457
193.007599,1.158550
192.018814,1.149807
191.002563,1.143360
190.013794,1.136499
189.024994,1.128887
188.008728,1.122935
187.019974,1.119216
186.003708,1.112273
185.014938,1.106816
184.026154,1.103619
183.009888,1.098276
182.021133,1.091579
181.004852,1.087043
180.016098,1.081394
178.999817,1.073097
178.011047,1.068077
177.022247,1.061982
176.005981,1.052931
175.017227,1.046906
174.000961,1.041184
173.012192,1.032878
172.023392,1.026823
171.007111,1.022114
170.018356,1.015991
169.002075,1.010002
168.013321,1.007048
167.024506,1.001169
166.008270,0.994837
165.019485,0.991000
164.003220,0.985179
163.014450,0.977186
162.025650,0.971753
161.009415,0.965672
