2,Porsche 911 GT3 Cup (992),baseline
Steering Wheel Angle,Yaw Rate
227.010681,1.587129
226.021896,1.579754
225.005646,1.572853
224.016876,1.567603
223.000626,1.562059
222.011841,1.556613
221.023071,1.551030
220.006836,1.545198
219.018051,1.539424
218.001816,1.533375
217.013016,1.527590
216.024261,1.521369
215.007996,1.514802
214.019226,1.508032
213.002960,1.501216
212.014175,1.494085
211.025421,1.486954
210.009140,1.479670
209.020386,1.472561
208.004135,1.465248
207.015366,1.458214
206.026566,1.451090
205.010300,1.443762
204.021530,1.436683
203.005295,1.429341
202.016510,1.422298
201.000275,1.415008
200.011475,1.407940
199.022705,1.400799
198.006454,1.393182
197.017670,1.385416
196.001419,1.377257
195.012619,1.368980
194.023849,1.360734
193.007599,1.352222
192.018814,1.345570
191.002563,1.338344
190.013794,1.331371
189.024994,1.325410
188.008728,1.319276
187.019974,1.313366
186.003708,1.306512
185.014938,1.299493
184.026154,1.292385
183.009888,1.284980
182.021133,1.276722
181.004852,1.269693
180.016098,1.263321
178.999817,1.255646
178.011047,1.249073
177.022247,1.241902
176.005981,1.235172
175.017227,1.227487
174.000961,1.220861
173.012192,1.213603
172.023392,1.206675
171.007111,1.199444
170.018356,1.192200
169.002075,1.185059
168.013321,1.178317
167.024506,1.171231
166.008270,1.163817
165.019485,1.157017
164.003220,1.149220
163.014450,1.142426
162.025650,1.135276
161.009415,1.128013
160.020615,1.121383
159.004333,1.113671
158.015564,1.106731
157.026764,1.100068
156.010544,1.092380
155.021729,1.085710
154.005478,1.078526
153.016708,1.071571
152.000443,1.064312
151.011673,1.057295
150.022858,1.050452
149.006622,1.043047
148.017822,1.036383
147.001556,1.028879
146.012772,1.021779
145.023972,1.014935
144.007736,1.007419
143.018936,1.000606
142.002655,0.993058
141.013901,0.986258
140.025085,0.979390
139.008850,0.972026
138.020050,0.965257
137.003769,0.957862
136.014999,0.950956
135.026199,0.943809
134.009964,0.936570
133.021164,0.929740
132.004913,0.922290
131.016113,0.915376
130.027283,0.908603
