2,Porsche 911 GT3 R (992),baseline
Steering Wheel Angle,Yaw Rate
283.013824,1.707729
281.997528,1.701272
281.008789,1.695602
280.020020,1.690882
279.003784,1.685826
278.014984,1.680765
276.998779,1.675527
276.010010,1.670306
275.021179,1.665101
274.005005,1.659499
273.016235,1.654181
271.999969,1.648436
271.011169,1.642833
270.022430,1.637079
269.006195,1.630774
268.017395,1.624704
267.001190,1.618375
266.012421,1.612302
265.023651,1.606161
264.007385,1.599821
263.018616,1.593754
262.002350,1.587431
261.013611,1.581345
260.024841,1.575295
259.008575,1.568971
258.019806,1.562850
257.003571,1.556521
256.014801,1.550408
254.998566,1.544142
254.009781,1.538044
253.021011,1.531985
252.004791,1.525599
251.015961,1.519453
249.999741,1.512998
249.010956,1.506386
248.022217,1.499794
247.005966,1.492885
246.017166,1.486077
245.000916,1.479605
244.012177,1.473681
243.023422,1.467629
242.007141,1.461495
241.018341,1.456250
240.002121,1.450694
239.013351,1.445065
238.024597,1.438910
237.008316,1.432660
236.019547,1.426585
235.003296,1.419710
234.014542,1.413819
233.025772,1.407926
232.009491,1.401858
231.020752,1.395834
230.004471,1.389584
229.015686,1.383555
227.999451,1.377272
227.010681,1.371315
226.021896,1.365357
225.005646,1.359090
224.016876,1.352989
223.000626,1.346851
222.011841,1.340760
221.023071,1.334812
220.006836,1.328413
219.018051,1.322427
218.001816,1.316126
217.013016,1.310169
216.024261,1.304327
215.007996,1.298019
214.019226,1.291918
213.002960,1.285875
212.014175,1.279691
211.025421,1.273739
210.009140,1.267579
209.020386,1.261526
208.004135,1.255350
207.015366,1.249262
206.026566,1.243145
205.010300,1.236838
204.021530,1.230916
203.005295,1.224712
202.016510,1.218683
201.000275,1.212491
200.011475,1.206592
199.022705,1.200499
198.006454,1.194303
197.017670,1.188374
196.001419,1.182041
195.012619,1.176016
194.023849,1.170027
193.007599,1.163825
192.018814,1.157696
191.002563,1.151543
190.013794,1.145529
189.024994,1.139470
188.008728,1.133258
187.019974,1.127336
186.003708,1.121143
185.014938,1.115092
184.026154,1.108943
183.009888,1.102797
182.021133,1.096722
181.004852,1.090558
180.016098,1.084546
178.999817,1.078248
178.011047,1.072280
177.022247,1.066201
176.005981,1.059865
175.017227,1.053868
174.000961,1.047813
173.012192,1.041816
172.023392,1.035749
171.007111,1.029597
170.018356,1.023533
169.002075,1.017285
168.013321,1.011239
167.024506,1.005223
