2,Porsche 911 GT3 R,baseline
Steering Wheel Angle,Yaw Rate
257.003571,1.703856
256.014801,1.697462
254.998566,1.691126
254.009781,1.686168
253.021011,1.681007
252.004791,1.675811
251.015961,1.670052
249.999741,1.664352
249.010956,1.658852
248.022217,1.653001
247.005966,1.646858
246.017166,1.640873
245.000916,1.634288
244.012177,1.628017
243.023422,1.621494
242.007141,1.614453
241.018341,1.607721
240.002121,1.600513
239.013351,1.593938
238.024597,1.587159
237.008316,1.580184
236.019547,1.573268
235.003296,1.566251
234.014542,1.559448
233.025772,1.552603
232.009491,1.545589
231.020752,1.538969
230.004471,1.531843
229.015686,1.524968
227.999451,1.518055
227.010681,1.511176
226.021896,1.504384
225.005646,1.497159
224.016876,1.490078
223.000626,1.482520
222.011841,1.475019
221.023071,1.467473
220.006836,1.459542
219.018051,1.452655
218.001816,1.445759
217.013016,1.439342
216.024261,1.432675
215.007996,1.426477
214.019226,1.420706
213.002960,1.414616
212.014175,1.408537
211.025421,1.401442
210.009140,1.394759
209.020386,1.387358
208.004135,1.380429
207.015366,1.373376
206.026566,1.367493
205.010300,1.359780
204.021530,1.353692
203.005295,1.346840
202.016510,1.339638
201.000275,1.333300
200.011475,1.326315
199.022705,1.319921
198.006454,1.312881
197.017670,1.306383
196.001419,1.299281
195.012619,1.292958
194.023849,1.285655
193.007599,1.279599
192.018814,1.272495
191.002563,1.265360
190.013794,1.259091
189.024994,1.252037
188.008728,1.245417
187.019974,1.238778
186.003708,1.231655
185.014938,1.225246
184.026154,1.218590
183.009888,1.211575
182.021133,1.205213
181.004852,1.197944
180.016098,1.191592
178.999817,1.184272
178.011047,1.177975
177.022247,1.171552
176.005981,1.164213
175.017227,1.158082
174.000961,1.150630
173.012192,1.144477
172.023392,1.137664
171.007111,1.130623
170.018356,1.124171
169.002075,1.116821
168.013321,1.110623
167.024506,1.103817
166.008270,1.097005
165.019485,1.090153
164.003220,1.083819
163.014450,1.076404
162.025650,1.070242
161.009415,1.062910
160.020615,1.056872
159.004333,1.049472
158.015564,1.043118
157.026764,1.036636
156.010544,1.029416
155.021729,1.022910
154.005478,1.016052
153.016708,1.008858
152.000443,1.002719
151.011673,0.995431
150.022858,0.989305
149.006622,0.982024
148.017822,0.975431
147.001556,0.968706
146.012772,0.961929
145.023972,0.955305
144.007736,0.948273
143.018936,0.941950
142.002655,0.935044
141.013901,0.928403
140.025085,0.921530
139.008850,0.914605
138.020050,0.907852
137.003769,0.901263
136.014999,0.894345
135.026199,0.887882
134.009964,0.880703
133.021164,0.874322
132.004913,0.867336
