2,Porsche 911 RSR,baseline
Steering Wheel Angle,Yaw Rate
257.003571,1.654774
256.014801,1.647921
254.998566,1.641876
254.009781,1.636925
253.021011,1.631916
252.004791,1.626367
251.015961,1.621098
249.999741,1.615360
249.010956,1.609796
248.022217,1.604340
247.005966,1.598556
246.017166,1.592858
245.000916,1.586844
244.012177,1.581007
243.023422,1.575013
242.007141,1.568658
241.018341,1.562171
240.002121,1.555623
239.013351,1.548962
238.024597,1.542521
237.008316,1.535851
236.019547,1.529208
235.003296,1.522568
234.014542,1.516209
233.025772,1.509672
232.009491,1.502928
231.020752,1.496495
230.004471,1.489704
229.015686,1.483402
227.999451,1.476564
227.010681,1.470028
226.021896,1.463635
225.005646,1.456965
224.016876,1.450307
223.000626,1.443619
222.011841,1.436588
221.023071,1.429522
220.006836,1.421790
219.018051,1.414281
218.001816,1.406787
217.013016,1.399036
216.024261,1.392314
215.007996,1.386021
214.019226,1.379400
213.002960,1.373358
212.014175,1.368078
211.025421,1.362303
210.009140,1.356516
209.020386,1.350408
208.004135,1.343864
207.015366,1.337188
206.026566,1.330155
205.010300,1.322698
204.021530,1.316148
203.005295,1.309139
202.016510,1.303634
201.000275,1.297185
200.011475,1.289974
199.022705,1.284144
198.006454,1.277159
197.017670,1.270543
196.001419,1.264215
195.012619,1.257694
194.023849,1.250991
193.007599,1.244359
192.018814,1.237952
191.002563,1.231221
190.013794,1.224732
189.024994,1.218463
188.008728,1.211700
187.019974,1.205405
186.003708,1.198407
185.014938,1.192192
184.026154,1.185697
183.009888,1.178618
182.021133,1.172652
181.004852,1.165227
180.016098,1.159370
178.999817,1.152469
178.011047,1.146263
177.022247,1.139523
176.005981,1.133270
175.017227,1.126260
174.000961,1.120244
173.012192,1.113525
172.023392,1.107203
171.007111,1.100342
170.018356,1.093550
169.002075,1.087038
168.013321,1.080854
167.024506,1.074578
166.008270,1.067853
165.019485,1.060988
164.003220,1.054649
163.014450,1.048036
162.025650,1.041946
161.009415,1.034864
160.020615,1.028367
159.004333,1.021834
158.015564,1.015476
157.026764,1.008824
156.010544,1.002147
155.021729,0.995971
154.005478,0.989406
153.016708,0.982538
152.000443,0.975611
151.011673,0.969743
150.022858,0.963038
149.006622,0.956421
148.017822,0.950337
147.001556,0.943376
146.012772,0.936785
145.023972,0.930667
144.007736,0.923878
143.018936,0.917290
142.002655,0.910847
141.013901,0.904015
140.025085,0.897619
139.008850,0.891206
138.020050,0.884595
137.003769,0.877716
136.014999,0.871587
135.026199,0.865071
134.009964,0.858391
133.021164,0.851948
132.004913,0.845426
131.016113,0.838915
130.027283,0.832402
129.011078,0.825878
128.022263,0.818927
127.006020,0.812891
126.017204,0.805933
125.000938,0.799687
124.012169,0.793046
123.023369,0.786713
122.007118,0.779949
121.018311,0.773232
120.002029,0.766584
119.013283,0.760088
118.024460,0.753875
117.008224,0.746938
116.019402,0.740547
115.003166,0.734280
114.014351,0.727665
113.025566,0.721275
112.009323,0.714430
111.020508,0.707721
110.004265,0.701302
109.015457,0.695075
108.026642,0.688471
107.010399,0.681732
106.021584,0.675078
105.005371,0.668740
104.016556,0.662253
103.027771,0.656316
102.011497,0.649236
101.022690,0.642600
100.006439,0.635844
99.017632,0.629230
98.001389,0.622963
97.012573,0.616386
96.023758,0.610062
95.007515,0.603088
94.018700,0.596905
93.002457,0.589848
92.013649,0.583659
91.024887,0.577364
90.008591,0.570165
89.019775,0.563909
88.003563,0.557324
87.014717,0.550762
86.025963,0.544373
85.009674,0.537784
84.020859,0.531215
83.004631,0.524690
82.015800,0.518062
81.027039,0.511766
80.010742,0.504813
79.021935,0.498396
78.005684,0.491698
77.016876,0.485247
76.000633,0.478909
75.011818,0.472391
74.023056,0.465993
73.006760,0.458993
72.017944,0.453057
71.001701,0.445910
70.012894,0.439459
69.024109,0.433021
68.007835,0.426634
67.018997,0.420099
66.002754,0.413316
65.013939,0.406797
64.025177,0.400572
63.008881,0.393740
62.020069,0.387036
61.003826,0.380631
60.015011,0.373937
59.026226,0.367620
58.009926,0.360867
57.021172,0.354304
56.004875,0.347829
55.016060,0.341429
54.027275,0.334758
53.011005,0.328348
52.022217,0.321675
51.005924,0.314977
50.017109,0.308584
49.000866,0.302312
48.012054,0.295449
47.023270,0.289114
46.006969,0.282400
45.018211,0.275877
44.001915,0.269361
43.013073,0.262899
42.024315,0.256377
41.008018,0.249450
40.019230,0.243270
39.002964,0.236567
38.014122,0.230182
37.025364,0.223415
36.009068,0.216709
35.020279,0.210530
34.003983,0.203611
33.015167,0.197502
32.026382,0.190657
31.010088,0.184063
30.021326,0.177753
29.005032,0.171174
28.016247,0.164366
27.027433,0.158221
26.011137,0.151413
25.022348,0.144837
24.006052,0.138339
23.017294,0.131786
22.000998,0.125124
21.012157,0.118709
20.023371,0.112025
19.007101,0.105620
18.018314,0.099193
17.002018,0.092310
16.013233,0.086023
15.024419,0.079599
14.008123,0.072679
13.019336,0.066346
12.003040,0.059946
11.014254,0.054988
10.025441,0.050109
9.009144,0.044997
8.020358,0.040077
7.004062,0.035019
6.015275,0.029987
5.026462,0.025077
4.010166,0.019984
3.021353,0.015067
2.005083,0.009932
