2,Porsche 919 2016,baseline
Steering Wheel Angle,Yaw Rate
322.015228,1.958876
320.998962,1.951400
320.010193,1.946414
319.021454,1.941206
318.005219,1.935719
317.016479,1.861451
316.000183,1.859964
315.011414,1.865912
314.022675,1.859877
313.006470,1.854472
312.017700,1.849266
311.001404,1.843742
310.012665,1.838382
309.023926,1.832929
308.007690,1.829063
307.018921,1.837678
306.002686,1.832287
305.013916,1.826666
303.997681,1.820290
303.008911,1.810707
302.020142,1.795104
301.003906,1.788187
300.015137,1.782483
298.998901,1.776586
298.010132,1.770804
297.021332,1.764845
296.005127,1.758821
295.016357,1.752918
294.000153,1.746830
293.011322,1.740885
292.022583,1.726007
291.006378,1.719199
290.017578,1.713339
289.001343,1.739690
288.012573,1.754850
287.023834,1.748425
286.007568,1.742066
285.018768,1.735895
284.002563,1.729443
283.013824,1.723115
281.997528,1.716738
281.008789,1.710425
280.020020,1.704064
279.003784,1.697974
278.014984,1.693177
276.998779,1.687187
276.010010,1.676492
275.021179,1.668994
274.005005,1.661492
273.016235,1.654705
271.999969,1.648897
271.011169,1.643445
270.022430,1.637794
269.006195,1.631942
268.017395,1.626285
267.001190,1.620446
266.012421,1.614704
265.023651,1.608945
264.007385,1.602693
263.018616,1.596464
262.002350,1.590061
261.013611,1.583879
260.024841,1.577427
259.008575,1.570538
258.019806,1.563860
257.003571,1.556954
256.014801,1.550719
254.998566,1.544529
254.009781,1.538264
253.021011,1.532424
252.004791,1.526532
251.015961,1.520454
249.999741,1.514003
249.010956,1.507566
248.022217,1.501469
247.005966,1.495013
246.017166,1.489128
245.000916,1.482652
244.012177,1.476625
243.023422,1.470317
242.007141,1.464272
241.018341,1.457981
240.002121,1.451852
239.013351,1.445560
238.024597,1.439312
237.008316,1.433085
236.019547,1.426885
235.003296,1.420735
234.014542,1.414460
233.025772,1.408297
232.009491,1.402114
231.020752,1.395995
230.004471,1.389520
229.015686,1.383550
227.999451,1.377046
227.010681,1.371050
226.021896,1.364718
225.005646,1.358453
224.016876,1.352350
223.000626,1.346121
222.011841,1.340025
221.023071,1.333978
220.006836,1.327510
219.018051,1.321586
218.001816,1.315132
217.013016,1.309114
216.024261,1.303018
215.007996,1.296726
214.019226,1.290626
213.002960,1.284245
212.014175,1.278066
211.025421,1.271928
210.009140,1.265826
209.020386,1.259569
208.004135,1.253251
207.015366,1.247305
206.026566,1.241055
205.010300,1.234873
204.021530,1.228673
203.005295,1.222335
202.016510,1.216359
201.000275,1.210004
200.011475,1.204063
199.022705,1.197873
198.006454,1.191599
197.017670,1.185394
196.001419,1.179286
195.012619,1.173144
194.023849,1.166971
193.007599,1.160787
192.018814,1.154635
191.002563,1.148362
190.013794,1.142417
189.024994,1.136294
188.008728,1.129965
187.019974,1.124015
186.003708,1.117566
185.014938,1.111515
184.026154,1.105564
183.009888,1.099297
182.021133,1.093022
181.004852,1.086809
180.016098,1.080774
178.999817,1.074627
178.011047,1.068487
177.022247,1.062382
176.005981,1.056051
175.017227,1.050000
174.000961,1.043965
173.012192,1.037670
172.023392,1.031688
171.007111,1.025322
170.018356,1.019319
169.002075,1.012996
168.013321,1.006888
167.024506,1.000852
166.008270,0.994645
165.019485,0.988632
164.003220,0.982320
163.014450,0.976456
162.025650,0.970144
161.009415,0.963956
160.020615,0.957845
159.004333,0.951631
158.015564,0.945547
157.026764,0.939499
156.010544,0.933354
155.021729,0.927183
154.005478,0.921047
153.016708,0.914981
152.000443,0.908680
151.011673,0.902632
150.022858,0.896634
149.006622,0.890371
148.017822,0.884391
147.001556,0.878022
146.012772,0.871956
145.023972,0.866065
144.007736,0.859678
143.018936,0.853646
142.002655,0.847430
141.013901,0.841337
140.025085,0.835333
139.008850,0.829051
138.020050,0.823040
137.003769,0.816813
136.014999,0.810821
135.026199,0.804691
134.009964,0.798561
133.021164,0.792439
132.004913,0.786285
131.016113,0.780191
130.027283,0.774068
129.011078,0.767919
128.022263,0.761879
127.006020,0.755680
126.017204,0.749501
125.000938,0.743424
124.012169,0.737279
123.023369,0.731265
122.007118,0.725054
121.018311,0.719050
120.002029,0.712807
119.013283,0.706820
118.024460,0.700709
117.008224,0.694412
116.019402,0.688498
115.003166,0.682208
114.014351,0.676322
113.025566,0.670291
112.009323,0.664011
111.020508,0.657927
110.004265,0.651742
109.015457,0.645791
108.026642,0.639699
107.010399,0.633364
106.021584,0.627269
105.005371,0.621229
104.016556,0.615214
103.027771,0.609152
102.011497,0.602905
101.022690,0.596848
100.006439,0.590639
99.017632,0.584587
98.001389,0.578422
97.012573,0.572349
96.023758,0.566321
95.007515,0.560116
94.018700,0.554113
93.002457,0.547924
92.013649,0.541887
91.024887,0.535829
90.008591,0.529519
89.019775,0.523604
88.003563,0.517355
87.014717,0.511310
86.025963,0.505293
85.009674,0.499093
84.020859,0.493099
83.004631,0.486894
82.015800,0.480922
81.027039,0.474733
80.010742,0.468647
79.021935,0.462544
78.005684,0.456440
77.016876,0.450392
76.000633,0.444110
75.011818,0.438118
74.023056,0.432210
73.006760,0.425858
72.017944,0.419847
71.001701,0.413626
70.012894,0.407598
69.024109,0.401580
68.007835,0.395447
67.018997,0.389327
66.002754,0.383229
65.013939,0.377231
64.025177,0.371137
63.008881,0.364894
62.020069,0.358927
61.003826,0.352648
60.015011,0.346643
59.026226,0.340604
58.009926,0.334439
57.021172,0.328479
56.004875,0.322182
55.016060,0.316153
54.027275,0.310218
53.011005,0.304014
52.022217,0.297955
51.005924,0.291734
50.017109,0.285754
49.000866,0.279463
48.012054,0.273522
47.023270,0.267395
46.006969,0.261363
45.018211,0.255247
44.001915,0.249102
43.013073,0.242917
42.024315,0.237049
41.008018,0.230774
40.019230,0.224831
39.002964,0.218614
38.014122,0.212607
37.025364,0.206584
36.009068,0.200314
35.020279,0.194351
34.003983,0.188123
33.015167,0.182132
32.026382,0.176066
31.010088,0.169918
30.021326,0.163818
29.005032,0.157644
28.016247,0.151695
27.027433,0.145651
26.011137,0.139424
25.022348,0.133382
24.006052,0.127163
23.017294,0.121201
22.000998,0.115022
21.012157,0.108997
20.023371,0.102985
19.007101,0.096810
18.018314,0.090827
17.002018,0.084557
16.013233,0.078583
15.024419,0.072433
14.008123,0.066244
13.019336,0.060286
12.003040,0.054146
11.014254,0.048090
10.025441,0.041998
9.009144,0.035835
8.020358,0.030382
7.004062,0.025626
6.015275,0.021200
5.026462,0.017666
4.010166,0.013792
3.021353,0.010264
2.005083,0.006489
1.016323,0.002985
0.000000,0.001440
-0.988760,0.004224
-1.977626,0.007819
-2.993896,0.011483
-3.982709,0.015089
-4.998979,0.018801
-5.987792,0.022366
-6.976604,0.026408
-7.992875,0.031195
-8.981688,0.036145
-9.997957,0.042350
-10.986771,0.048228
-11.975583,0.054284
-12.991853,0.060453
-13.980665,0.066513
-14.996989,0.072745
-15.985749,0.078714
-16.974613,0.084715
-17.990831,0.090968
-18.979698,0.097080
-19.995966,0.103193
-20.984779,0.109154
-21.973593,0.115184
-22.989862,0.121412
-23.978676,0.127433
-24.994999,0.133568
-25.983759,0.139655
-27.000082,0.145864
-27.988842,0.151858
-28.977654,0.157904
-29.993923,0.164087
-30.982737,0.170078
-31.999060,0.176338
-32.987873,0.182343
-33.976685,0.188369
-34.992954,0.194556
-35.981770,0.200615
-36.998093,0.206764
-37.986855,0.212856
-38.975719,0.218864
-39.991932,0.225075
-40.980801,0.231044
-41.997017,0.237188
-42.985882,0.243268
-43.974697,0.249342
-44.990967,0.255460
-45.979778,0.261550
-46.996048,0.267657
-47.984913,0.273820
-48.973728,0.279720
-49.989998,0.286000
-50.978813,0.292005
-51.995083,0.298239
-52.983894,0.304230
-54.000217,0.310413
-54.989029,0.316439
-55.977844,0.322441
-56.994110,0.328650
-57.982929,0.334717
-58.999199,0.340916
-59.988010,0.346941
-60.976871,0.352968
-61.993145,0.359181
-62.981956,0.365187
-63.998226,0.371420
-64.987038,0.377412
-65.975906,0.383448
-66.992180,0.389646
-67.980995,0.395589
-68.997253,0.401866
-69.986069,0.407945
-70.974884,0.413952
-71.991211,0.420066
-72.980019,0.426211
-73.996292,0.432373
-74.985161,0.438363
-75.973915,0.444433
-76.990234,0.450598
-77.979050,0.456630
-78.995323,0.462863
-79.984192,0.468884
-81.000404,0.475134
-81.989273,0.481059
-82.978142,0.487196
-83.994354,0.493373
-84.983215,0.499370
-85.999489,0.505620
-86.988304,0.511669
-87.977112,0.517677
-88.993439,0.523880
-89.982254,0.529922
-90.998520,0.536116
-91.987381,0.542215
-92.976151,0.548224
-93.992470,0.554438
-94.981339,0.560423
-95.997551,0.566641
-96.986420,0.572673
-97.975182,0.578747
-98.991501,0.584871
-99.980316,0.590922
-100.996635,0.597178
-101.985451,0.603197
-103.001717,0.609390
-103.990585,0.615371
-104.979347,0.621494
-105.995674,0.627713
-106.984535,0.633655
-108.000801,0.639957
-108.989616,0.645960
-109.978432,0.652016
-110.994759,0.658230
-111.983620,0.664309
-112.999840,0.670411
-113.988701,0.676452
-114.977516,0.682602
-115.993790,0.688746
-116.982597,0.694814
-117.998917,0.700999
-118.987793,0.706926
-119.976540,0.713116
-120.992874,0.719321
-121.981682,0.725232
-122.998009,0.731512
-123.986816,0.737598
-124.975624,0.743567
-125.991959,0.749857
-126.980713,0.755925
-127.997040,0.762120
-128.985855,0.768207
-130.002182,0.774404
-130.991043,0.780446
-131.979797,0.786466
-132.996124,0.792686
-133.984924,0.798678
-135.001266,0.804880
-135.990128,0.810938
-136.978897,0.817070
-137.995209,0.823287
-138.984009,0.829313
-140.000351,0.835526
-140.989212,0.841532
-141.977966,0.847557
-142.994293,0.853789
-143.983093,0.859834
-144.999435,0.866076
-145.988190,0.872127
-146.977051,0.878205
-147.993378,0.884419
-148.982193,0.890406
-149.998520,0.896705
-150.987274,0.902783
-151.976135,0.908713
-152.992462,0.915134
-153.981277,0.921065
-154.997604,0.927361
-155.986404,0.933397
-157.002731,0.939571
-157.991592,0.945675
-158.980362,0.951749
-159.996674,0.957996
-160.985504,0.964075
-162.001816,0.970164
-162.990631,0.976459
-163.979446,0.982401
-164.995819,0.988635
-165.984589,0.994687
-167.000900,1.001010
-167.989716,1.007025
-168.978577,1.012994
-169.994904,1.019359
-170.983719,1.025442
-172.000046,1.031577
-172.988800,1.037809
-173.977661,1.043821
-174.993927,1.050113
-175.982803,1.056197
-176.999130,1.062369
-177.987946,1.068548
-178.976807,1.074612
-179.993011,1.080684
-180.981888,1.086966
-181.998260,1.093194
-182.987030,1.099152
-184.003342,1.105602
-184.992157,1.111538
-185.981033,1.117702
-186.997345,1.123984
-187.986160,1.130039
-189.002487,1.136213
-189.991287,1.142260
-190.980164,1.148459
-191.996368,1.154701
-192.985306,1.160881
-194.001617,1.167163
-194.990387,1.173075
-195.979248,1.179345
-196.995514,1.185575
-197.984390,1.191718
-199.000702,1.198024
-199.989532,1.204056
-200.978394,1.210197
-201.994644,1.216432
-202.983521,1.222386
-203.999786,1.228867
-204.988647,1.234906
-206.004990,1.241039
-206.993790,1.247328
-207.982666,1.253404
-208.998932,1.259570
-209.987793,1.265745
-211.004120,1.272113
-211.992920,1.278241
-212.981796,1.284194
-213.998062,1.290512
-214.986923,1.296696
-216.003265,1.302918
-216.992065,1.309063
-217.980942,1.315261
-218.997208,1.321530
-219.986069,1.327492
-221.002350,1.333973
-221.991211,1.339910
-222.980072,1.346023
-223.996338,1.352460
-224.985199,1.358449
-226.001480,1.364913
-226.990341,1.370989
-227.979218,1.377016
-228.995483,1.383425
-229.984344,1.389437
-231.000626,1.395726
-231.989487,1.401898
-233.005737,1.408211
-233.994614,1.414354
-234.983490,1.420429
-235.999741,1.426867
-236.988617,1.432883
-238.004898,1.439352
-238.993744,1.445238
-239.982620,1.451627
-240.998901,1.457741
-241.987823,1.463890
-243.004013,1.470198
-243.992950,1.476573
-244.981827,1.482650
-245.998077,1.488877
-246.986954,1.494984
-248.003220,1.501336
-248.992081,1.507666
-249.980896,1.513674
-250.997223,1.520121
-251.986099,1.526110
-253.002350,1.532458
-253.991226,1.538670
