2,Porsche 963 GTP,baseline
Steering Wheel Angle,Yaw Rate
241.018341,1.668370
240.002121,1.661337
239.013351,1.654967
238.024597,1.648470
237.008316,1.641738
236.019547,1.635163
235.003296,1.581369
234.014542,1.586764
233.025772,1.580121
232.009491,1.573731
231.020752,1.567464
230.004471,1.561122
229.015686,1.568099
227.999451,1.560650
227.010681,1.569512
226.021896,1.565870
225.005646,1.559501
224.016876,1.552965
223.000626,1.546259
222.011841,1.539690
221.023071,1.532926
220.006836,1.525940
219.018051,1.519039
218.001816,1.511990
217.013016,1.505150
216.024261,1.498263
215.007996,1.491248
214.019226,1.484356
213.002960,1.477313
212.014175,1.470426
211.025421,1.463580
210.009140,1.456525
209.020386,1.449680
208.004135,1.442601
207.015366,1.435678
206.026566,1.428865
205.010300,1.421813
204.021530,1.414943
203.005295,1.407842
202.016510,1.401015
201.000275,1.393940
200.011475,1.387076
199.022705,1.380233
198.006454,1.373160
197.017670,1.366303
196.001419,1.359249
195.012619,1.352419
194.023849,1.345538
193.007599,1.338500
192.018814,1.331655
191.002563,1.324572
190.013794,1.317722
189.024994,1.310871
188.008728,1.303833
187.019974,1.296934
186.003708,1.289915
185.014938,1.283066
184.026154,1.276186
183.009888,1.269137
182.021133,1.262295
181.004852,1.255224
180.016098,1.248391
178.999817,1.241340
178.011047,1.234484
177.022247,1.227646
176.005981,1.220602
175.017227,1.213754
174.000961,1.206679
173.012192,1.199856
172.023392,1.193020
171.007111,1.186009
170.018356,1.179187
169.002075,1.172147
168.013321,1.165326
167.024506,1.158501
166.008270,1.151434
165.019485,1.144608
164.003220,1.137589
163.014450,1.130723
162.025650,1.123888
161.009415,1.116837
160.020615,1.109974
159.004333,1.102913
158.015564,1.096050
157.026764,1.089189
156.010544,1.082143
155.021729,1.075261
154.005478,1.068207
153.016708,1.061344
152.000443,1.054268
151.011673,1.047379
150.022858,1.040517
149.006622,1.033467
148.017822,1.026591
147.001556,1.019497
146.012772,1.012639
145.023972,1.005754
144.007736,0.998664
143.018936,0.991804
142.002655,0.984735
141.013901,0.977852
140.025085,0.970970
139.008850,0.963893
138.020050,0.957029
137.003769,0.949955
136.014999,0.943061
135.026199,0.936153
134.009964,0.929100
133.021164,0.922194
132.004913,0.915147
131.016113,0.908268
130.027283,0.901358
129.011078,0.894266
128.022263,0.887413
127.006020,0.880308
126.017204,0.873423
125.000938,0.866333
124.012169,0.859450
123.023369,0.852581
122.007118,0.845495
121.018311,0.838609
120.002029,0.831510
119.013283,0.824639
118.024460,0.817762
117.008224,0.810683
116.019402,0.803818
115.003166,0.796742
114.014351,0.789847
113.025566,0.782968
112.009323,0.775890
111.020508,0.768998
110.004265,0.761937
109.015457,0.755060
108.026642,0.748211
107.010399,0.741069
106.021584,0.734233
105.005371,0.727164
104.016556,0.720251
103.027771,0.713415
102.011497,0.706317
101.022690,0.699473
100.006439,0.692379
99.017632,0.685506
98.001389,0.678429
97.012573,0.671558
96.023758,0.664667
95.007515,0.657611
94.018700,0.650751
93.002457,0.643669
92.013649,0.636798
91.024887,0.629920
90.008591,0.622849
89.019775,0.615988
88.003563,0.608929
87.014717,0.602046
86.025963,0.595174
85.009674,0.588106
84.020859,0.581242
83.004631,0.574181
82.015800,0.567292
81.027039,0.560489
80.010742,0.553728
79.021935,0.546964
78.005684,0.539937
77.016876,0.533100
76.000633,0.528502
75.011818,0.522135
74.023056,0.515444
73.006760,0.508232
72.017944,0.501592
71.001701,0.493770
70.012894,0.486172
69.024109,0.479060
68.007835,0.468418
67.018997,0.461395
66.002754,0.454269
65.013939,0.447585
64.025177,0.439614
63.008881,0.432559
62.020069,0.425430
61.003826,0.417987
60.015011,0.410647
59.026226,0.403402
58.009926,0.396242
57.021172,0.388483
56.004875,0.381536
55.016060,0.374292
54.027275,0.367169
53.011005,0.359384
52.022217,0.352743
51.005924,0.345290
50.017109,0.338754
49.000866,0.330967
48.012054,0.323989
47.023270,0.317568
46.006969,0.310390
45.018211,0.303679
44.001915,0.297038
43.013073,0.290383
42.024315,0.283561
41.008018,0.276577
40.019230,0.269672
39.002964,0.262836
38.014122,0.256124
37.025364,0.249320
36.009068,0.242330
35.020279,0.235525
34.003983,0.228535
33.015167,0.221759
32.026382,0.214888
31.010088,0.207939
30.021326,0.201236
29.005032,0.194315
28.016247,0.187583
27.027433,0.180860
26.011137,0.173929
25.022348,0.167222
24.006052,0.160321
23.017294,0.153746
22.000998,0.147938
21.012157,0.142542
20.023371,0.135366
19.007101,0.134146
18.018314,0.123430
17.002018,0.119365
16.013233,0.109200
15.024419,0.104011
14.008123,0.095386
13.019336,0.089426
12.003040,0.078562
11.014254,0.071884
10.025441,0.065484
9.009144,0.058893
8.020358,0.052247
7.004062,0.045761
6.015275,0.040465
5.026462,0.034078
4.010166,0.027692
3.021353,0.021336
2.005083,0.014539
1.016323,0.006786
0.000000,0.000301
-0.988760,0.005935
-1.977626,0.012527
-2.993896,0.019438
-3.982709,0.026206
-4.998979,0.033419
-5.987792,0.040023
-6.976604,0.047027
-7.992875,0.054105
-8.981688,0.060883
-9.997957,0.068257
-10.986771,0.074353
-11.975583,0.081499
-12.991853,0.088583
-13.980665,0.096507
-14.996989,0.103034
-15.985749,0.111915
-16.974613,0.118403
-17.990831,0.125166
-18.979698,0.132881
-19.995966,0.137689
-20.984779,0.141636
-21.973593,0.147615
-22.989862,0.154109
-23.978676,0.160645
-24.994999,0.167451
-25.983759,0.174194
-27.000082,0.181169
-27.988842,0.187915
-28.977654,0.194629
-29.993923,0.201597
-30.982737,0.208340
-31.999060,0.215307
-32.987873,0.222069
-33.976685,0.228830
-34.992954,0.235799
-35.981770,0.242563
-36.998093,0.249546
-37.986855,0.513427
-38.975719,0.257944
-39.991932,0.265551
-40.980801,0.272904
-41.997017,0.279950
-42.985882,0.286733
-43.974697,0.293596
-44.990967,0.306832
-45.979778,0.312305
-46.996048,0.319449
-47.984913,0.326205
-48.973728,0.332953
-49.989998,0.339883
-50.978813,0.346788
-51.995083,0.353819
-52.983894,0.360616
-54.000217,0.367618
-54.989029,0.374398
-55.977844,0.381206
-56.994110,0.388195
-57.982929,0.394945
-58.999199,0.401950
-59.988010,0.408717
-60.976871,0.415587
-61.993145,0.422541
-62.981956,0.429221
-63.998226,0.436081
-64.987038,0.442705
-65.975906,0.449425
-66.992180,0.456112
-67.980995,0.460180
-68.997253,0.467954
-69.986069,0.475257
-70.974884,0.482538
-71.991211,0.488436
-72.980019,0.494593
-73.996292,0.501216
-74.985161,0.509108
-75.973915,0.516758
-76.990234,0.524462
-77.979050,0.531917
-78.995323,0.539584
-79.984192,0.547017
-81.000404,0.554540
-81.989273,0.561843
-82.978142,0.569196
-83.994354,0.576656
-84.983215,0.583932
-85.999489,0.591347
-86.988304,0.598603
-87.977112,0.605793
-88.993439,0.613177
-89.982254,0.620462
-90.998520,0.627834
-91.987381,0.634938
-92.976151,1.075835
-93.992470,0.643159
-94.981339,0.650245
-95.997551,0.657547
-96.986420,0.664604
-97.975182,0.671690
-98.991501,0.678939
-99.980316,0.686012
-100.996635,0.693255
-101.985451,0.694762
-103.001717,0.704150
-103.990585,0.711215
-104.979347,0.716640
-105.995674,0.727892
-106.984535,0.735515
-108.000801,0.742705
-108.989616,0.749613
-109.978432,0.756566
-110.994759,0.763783
-111.983620,0.770782
-112.999840,0.777969
-113.988701,0.784988
-114.977516,0.791943
-115.993790,0.799183
-116.982597,0.806129
-117.998917,0.813334
-118.987793,0.820290
-119.976540,0.827295
-120.992874,0.834478
-121.981682,0.841475
-122.998009,0.848666
-123.986816,0.855660
-124.975624,0.862653
-125.991959,0.869839
-126.980713,0.876804
-127.997040,0.883957
-128.985855,0.890960
-130.002182,0.898186
-130.991043,0.905140
-131.979797,0.912093
-132.996124,0.919318
-133.984924,0.926292
-135.001266,0.933452
-135.990128,0.940453
-136.978897,0.947453
-137.995209,0.954627
-138.984009,0.961617
-140.000351,0.968783
-140.989212,0.975797
-141.977966,0.982762
-142.994293,0.989923
-143.983093,0.996905
-144.999435,1.004335
-145.988190,1.011056
-146.977051,1.018151
-147.993378,1.025387
-148.982193,1.032381
-149.998520,1.039601
-150.987274,1.046605
-151.976135,1.053643
-152.992462,1.060809
-153.981277,1.067828
-154.997604,1.074996
-155.986404,1.082008
-157.002731,1.089173
-157.991592,1.096186
-158.980362,1.103147
-159.996674,1.110322
-160.985504,1.117307
-162.001816,1.124467
-162.990631,1.131448
-163.979446,1.138411
-164.995819,1.145602
-165.984589,1.152568
-167.000900,1.159713
-167.989716,1.166680
-168.978577,1.173650
-169.994904,1.180802
-170.983719,1.187758
-172.000046,1.194942
-172.988800,1.201855
-173.977661,1.208794
-174.993927,1.215959
-175.982803,1.222911
-176.999130,1.230065
-177.987946,1.237023
-178.976807,1.243946
-179.993011,1.251095
-180.981888,1.258071
-181.998260,1.265202
-182.987030,1.272156
-184.003342,1.279304
-184.992157,1.286240
-185.981033,1.293169
-186.997345,1.300328
-187.986160,1.307259
-189.002487,1.314379
-189.991287,1.321340
-190.980164,1.328286
-191.996368,1.335445
-192.985306,1.342388
-194.001617,1.349539
-194.990387,1.356473
-195.979248,1.363435
-196.995514,1.370550
-197.984390,1.377517
-199.000702,1.384636
-199.989532,1.391600
-200.978394,1.398551
-201.994644,1.405694
-202.983521,1.412637
-203.999786,1.419772
-204.988647,1.426726
-206.004990,1.433858
-206.993790,1.440800
-207.982666,1.447738
-208.998932,1.454896
-209.987793,1.461849
-211.004120,1.468949
-211.992920,1.475939
-212.981796,1.482905
-213.998062,1.490036
-214.986923,1.496990
-216.003265,1.504100
-216.992065,1.511104
-217.980942,1.518027
-218.997208,1.525215
-219.986069,1.532143
-221.002350,1.539308
-221.991211,1.546275
-222.980072,1.553231
-223.996338,1.560369
-224.985199,1.567359
-226.001480,1.574495
-226.990341,1.581442
-227.979218,1.588429
-228.995483,1.595573
-229.984344,1.602541
-231.000626,1.609712
-231.989487,1.616631
-233.005737,1.623801
-233.994614,1.630773
-234.983490,1.637728
-235.999741,1.644894
-236.988617,1.651858
-238.004898,1.659025
-238.993744,1.665976
-239.982620,1.672935
-240.998901,1.680135
