2,Porsche Mission R,baseline
Steering Wheel Angle,Yaw Rate
292.022583,1.670964
291.006378,1.665455
290.017578,1.660240
289.001343,1.654713
288.012573,1.650367
287.023834,1.645818
286.007568,1.640937
285.018768,1.636135
284.002563,1.630813
283.013824,1.624813
281.997528,1.618827
281.008789,1.612991
280.020020,1.607082
279.003784,1.599976
278.014984,1.594067
276.998779,1.588218
276.010010,1.582433
275.021179,1.577359
274.005005,1.571138
273.016235,1.565220
271.999969,1.559401
271.011169,1.553868
270.022430,1.547845
269.006195,1.542000
268.017395,1.536500
267.001190,1.530484
266.012421,1.524618
265.023651,1.518924
264.007385,1.513019
263.018616,1.507590
262.002350,1.501473
261.013611,1.495706
260.024841,1.490056
259.008575,1.484188
258.019806,1.478646
257.003571,1.472528
256.014801,1.466956
254.998566,1.461184
254.009781,1.455465
253.021011,1.449589
252.004791,1.444061
251.015961,1.438021
249.999741,1.432121
249.010956,1.426723
248.022217,1.421078
247.005966,1.414800
246.017166,1.409185
245.000916,1.403620
244.012177,1.397713
243.023422,1.391713
242.007141,1.386047
241.018341,1.380562
240.002121,1.374461
239.013351,1.368656
238.024597,1.363055
237.008316,1.357464
236.019547,1.351620
235.003296,1.345762
234.014542,1.339859
233.025772,1.334145
232.009491,1.328501
231.020752,1.322592
230.004471,1.316812
229.015686,1.311245
227.999451,1.305345
227.010681,1.299464
226.021896,1.294042
225.005646,1.287919
224.016876,1.282299
223.000626,1.276408
222.011841,1.270546
221.023071,1.265267
220.006836,1.259314
219.018051,1.253447
218.001816,1.247542
217.013016,1.241868
216.024261,1.236163
215.007996,1.230535
214.019226,1.224657
213.002960,1.218811
212.014175,1.213223
211.025421,1.207390
210.009140,1.201620
209.020386,1.195964
208.004135,1.189983
207.015366,1.184458
206.026566,1.178618
205.010300,1.172740
204.021530,1.166820
203.005295,1.161093
202.016510,1.155400
201.000275,1.149927
200.011475,1.143975
199.022705,1.138272
198.006454,1.132364
197.017670,1.126768
196.001419,1.120992
195.012619,1.115179
194.023849,1.109528
193.007599,1.103668
192.018814,1.098090
191.002563,1.092168
190.013794,1.086587
189.024994,1.080686
188.008728,1.074996
187.019974,1.069248
186.003708,1.063466
185.014938,1.057615
184.026154,1.051984
183.009888,1.046030
182.021133,1.040419
181.004852,1.034528
180.016098,1.028767
178.999817,1.022902
178.011047,1.017272
177.022247,1.011701
176.005981,1.006003
175.017227,1.000151
174.000961,0.994280
173.012192,0.988706
172.023392,0.982925
171.007111,0.976909
170.018356,0.971335
169.002075,0.965526
168.013321,0.959756
167.024506,0.954320
166.008270,0.948261
165.019485,0.942649
164.003220,0.936862
163.014450,0.931208
162.025650,0.925513
161.009415,0.919539
160.020615,0.913912
159.004333,0.908200
158.015564,0.902324
157.026764,0.896882
156.010544,0.890874
155.021729,0.885374
154.005478,0.879340
153.016708,0.873699
152.000443,0.868021
151.011673,0.862039
150.022858,0.856607
149.006622,0.850787
148.017822,0.844779
147.001556,0.839044
146.012772,0.833455
145.023972,0.827821
144.007736,0.821792
143.018936,0.815956
142.002655,0.810366
141.013901,0.804634
140.025085,0.798981
139.008850,0.793144
138.020050,0.787417
137.003769,0.781746
136.014999,0.776152
135.026199,0.770449
134.009964,0.764476
133.021164,0.758750
132.004913,0.753128
131.016113,0.747287
130.027283,0.741649
129.011078,0.735811
128.022263,0.730221
127.006020,0.724412
126.017204,0.718584
125.000938,0.712769
124.012169,0.707097
123.023369,0.701656
122.007118,0.695515
121.018311,0.689992
120.002029,0.684081
119.013283,0.678429
118.024460,0.672677
117.008224,0.667105
116.019402,0.661158
115.003166,0.655430
114.014351,0.649654
113.025566,0.643991
112.009323,0.638194
111.020508,0.632648
110.004265,0.626845
109.015457,0.621037
108.026642,0.615541
107.010399,0.609547
106.021584,0.603830
105.005371,0.597939
104.016556,0.592394
103.027771,0.586621
102.011497,0.580896
101.022690,0.575107
100.006439,0.569336
99.017632,0.563549
98.001389,0.557742
97.012573,0.552226
96.023758,0.546575
95.007515,0.540738
94.018700,0.534843
93.002457,0.529096
92.013649,0.523584
91.024887,0.517705
90.008591,0.511879
89.019775,0.506201
88.003563,0.500453
87.014717,0.494896
86.025963,0.489151
85.009674,0.483171
84.020859,0.477665
83.004631,0.471734
82.015800,0.466023
81.027039,0.460613
80.010742,0.454618
79.021935,0.448853
78.005684,0.443039
77.016876,0.437414
76.000633,0.431434
75.011818,0.425732
74.023056,0.420373
73.006760,0.414250
72.017944,0.408688
71.001701,0.403027
70.012894,0.397220
69.024109,0.391375
68.007835,0.385668
67.018997,0.379926
66.002754,0.374252
65.013939,0.368427
64.025177,0.362692
63.008881,0.356956
62.020069,0.351079
61.003826,0.345485
60.015011,0.339828
59.026226,0.334051
58.009926,0.328126
57.021172,0.322486
56.004875,0.316598
55.016060,0.311126
54.027275,0.305395
53.011005,0.299621
52.022217,0.293771
51.005924,0.288129
50.017109,0.282545
49.000866,0.276454
48.012054,0.270990
47.023270,0.265211
46.006969,0.259305
45.018211,0.253654
44.001915,0.247797
43.013073,0.242164
42.024315,0.236588
41.008018,0.230603
40.019230,0.224917
39.002964,0.219101
38.014122,0.213326
37.025364,0.207781
36.009068,0.201782
35.020279,0.196464
34.003983,0.190296
33.015167,0.184804
32.026382,0.179208
31.010088,0.173387
30.021326,0.167630
29.005032,0.161765
28.016247,0.156075
27.027433,0.150409
26.011137,0.144580
25.022348,0.139035
24.006052,0.133031
23.017294,0.127518
22.000998,0.121548
21.012157,0.115967
20.023371,0.110083
19.007101,0.104535
18.018314,0.098582
17.002018,0.092965
16.013233,0.087248
15.024419,0.081606
14.008123,0.075619
13.019336,0.069968
12.003040,0.064151
11.014254,0.058614
10.025441,0.052789
9.009144,0.047053
8.020358,0.041221
7.004062,0.035447
6.015275,0.029806
5.026462,0.024152
4.010166,0.018895
3.021353,0.014494
2.005083,0.009915
1.016323,0.005464
0.000000,0.001812
-0.988760,0.003495
-1.977626,0.007912
-2.993896,0.012686
-3.982709,0.018626
-4.998979,0.024461
-5.987792,0.029988
-6.976604,0.035611
-7.992875,0.041641
-8.981688,0.047408
-9.997957,0.053207
-10.986771,0.058935
-11.975583,0.064634
-12.991853,0.070242
-13.980665,0.075993
-14.996989,0.081762
-15.985749,0.087661
-16.974613,0.093279
-17.990831,0.099065
-18.979698,0.104582
-19.995966,0.110638
-20.984779,0.116041
-21.973593,0.122047
-22.989862,0.127563
