2,Pro Mazda,baseline
Steering Wheel Angle,Yaw Rate
226.021896,2.282114
225.005646,2.272225
224.016876,2.262149
223.000626,2.252983
222.011841,2.243738
221.023071,2.234303
220.006836,2.224420
219.018051,2.213965
218.001816,2.203391
217.013016,2.192915
216.024261,2.182493
215.007996,2.170847
214.019226,2.160267
213.002960,2.149708
212.014175,2.139800
211.025421,2.129159
210.009140,2.118601
209.020386,2.108211
208.004135,2.097604
207.015366,2.087454
206.026566,2.077298
205.010300,2.066595
204.021530,2.056289
203.005295,2.045664
202.016510,2.035418
201.000275,2.025096
200.011475,2.014641
199.022705,2.004591
198.006454,1.994011
197.017670,1.983625
196.001419,1.973359
195.012619,1.962984
194.023849,1.952744
193.007599,1.942318
192.018814,1.932073
191.002563,1.921580
190.013794,1.911421
189.024994,1.901124
188.008728,1.890593
187.019974,1.880404
186.003708,1.869944
185.014938,1.859970
184.026154,1.849704
183.009888,1.839170
182.021133,1.829007
181.004852,1.818511
180.016098,1.808320
178.999817,1.798033
178.011047,1.787778
177.022247,1.777678
176.005981,1.767298
175.017227,1.757036
174.000961,1.746590
173.012192,1.736530
172.023392,1.726351
171.007111,1.715974
170.018356,1.705760
169.002075,1.695574
168.013321,1.685336
167.024506,1.675187
166.008270,1.664835
165.019485,1.654660
164.003220,1.644380
163.014450,1.634274
162.025650,1.624046
161.009415,1.613710
160.020615,1.603751
159.004333,1.593208
158.015564,1.583196
157.026764,1.573194
156.010544,1.562750
155.021729,1.552678
154.005478,1.542329
153.016708,1.532289
152.000443,1.521935
151.011673,1.511873
150.022858,1.501814
149.006622,1.491414
148.017822,1.481354
147.001556,1.471079
146.012772,1.461047
145.023972,1.450868
144.007736,1.440598
143.018936,1.430686
142.002655,1.420263
141.013901,1.410286
140.025085,1.400218
139.008850,1.389973
138.020050,1.379911
137.003769,1.369652
136.014999,1.359613
135.026199,1.349547
134.009964,1.339353
133.021164,1.329354
132.004913,1.319105
131.016113,1.309042
130.027283,1.299189
129.011078,1.288824
128.022263,1.278782
127.006020,1.268531
126.017204,1.258490
125.000938,1.248287
124.012169,1.238266
123.023369,1.228281
122.007118,1.218077
121.018311,1.208069
120.002029,1.197844
119.013283,1.187960
118.024460,1.177950
117.008224,1.167837
116.019402,1.157681
115.003166,1.147522
114.014351,1.137663
113.025566,1.127772
112.009323,1.117522
111.020508,1.107379
110.004265,1.097318
109.015457,1.087291
108.026642,1.077393
107.010399,1.067192
106.021584,1.057383
105.005371,1.046908
104.016556,1.037038
103.027771,1.027061
102.011497,1.016952
101.022690,1.006964
100.006439,0.996838
99.017632,0.986812
98.001389,0.976611
97.012573,0.966681
96.023758,0.956810
95.007515,0.946533
94.018700,0.936716
93.002457,0.926535
92.013649,0.916703
91.024887,0.906722
90.008591,0.896548
89.019775,0.886698
88.003563,0.876544
87.014717,0.866632
86.025963,0.856660
85.009674,0.846580
84.020859,0.836549
83.004631,0.826389
82.015800,0.816589
81.027039,0.806596
80.010742,0.796408
79.021935,0.786504
78.005684,0.776475
77.016876,0.766557
76.000633,0.756370
75.011818,0.746492
74.023056,0.736576
73.006760,0.726504
72.017944,0.716512
71.001701,0.706390
70.012894,0.696526
69.024109,0.686623
68.007835,0.676607
67.018997,0.666709
66.002754,0.656601
65.013939,0.646671
64.025177,0.636679
63.008881,0.626667
62.020069,0.616923
61.003826,0.606727
60.015011,0.596784
59.026226,0.587031
58.009926,0.576767
57.021172,0.567066
56.004875,0.556861
55.016060,0.546948
54.027275,0.537241
53.011005,0.527019
52.022217,0.517266
51.005924,0.506993
50.017109,0.497240
49.000866,0.487150
48.012054,0.477293
47.023270,0.467393
46.006969,0.457254
45.018211,0.447623
44.001915,0.437349
43.013073,0.427492
42.024315,0.417542
41.008018,0.407642
40.019230,0.397599
39.002964,0.387707
38.014122,0.377757
37.025364,0.367819
36.009068,0.357801
35.020279,0.348011
34.003983,0.337802
33.015167,0.328043
32.026382,0.318106
31.010088,0.308158
30.021326,0.298155
29.005032,0.288205
28.016247,0.278341
27.027433,0.268576
26.011137,0.258347
25.022348,0.248543
24.006052,0.238478
23.017294,0.228514
22.000998,0.218481
21.012157,0.208666
20.023371,0.198893
19.007101,0.188771
18.018314,0.178966
17.002018,0.168849
16.013233,0.158957
15.024419,0.149212
14.008123,0.139122
13.019336,0.129272
12.003040,0.119244
11.014254,0.109330
10.025441,0.099579
9.009144,0.089333
8.020358,0.079602
7.004062,0.069517
6.015275,0.059580
5.026462,0.049896
4.010166,0.039743
3.021353,0.030004
2.005083,0.019904
1.016323,0.010131
0.000000,0.001899
-0.988760,0.009722
-1.977626,0.019475
-2.993896,0.029660
-3.982709,0.039482
-4.998979,0.049470
-5.987792,0.059223
-6.976604,0.069176
-7.992875,0.079265
-8.981688,0.088978
-9.997957,0.099142
-10.986771,0.109046
-11.975583,0.118774
-12.991853,0.128888
-13.980665,0.138682
-14.996989,0.148837
-15.985749,0.158584
-16.974613,0.168520
-17.990831,0.178588
-18.979698,0.188383
-19.995966,0.198484
-20.984779,0.208233
-21.973593,0.218151
-22.989862,0.228224
-23.978676,0.238087
-24.994999,0.248266
-25.983759,0.257974
-27.000082,0.268036
-27.988842,0.277899
-28.977654,0.287779
-29.993923,0.297763
-30.982737,0.307789
-31.999060,0.317690
-32.987873,0.327679
-33.976685,0.337440
-34.992954,0.347501
-35.981770,0.357505
-36.998093,0.367478
-37.986855,0.377458
-38.975719,0.387082
-39.991932,0.397365
-40.980801,0.407106
-41.997017,0.417378
-42.985882,0.427063
-43.974697,0.436878
-44.990967,0.447163
-45.979778,0.456937
-46.996048,0.466886
-47.984913,0.477000
-48.973728,0.486654
-49.989998,0.496842
-50.978813,0.506678
-51.995083,0.516704
-52.983894,0.526682
