2,RUF RT 12R AWD,baseline
Steering Wheel Angle,Yaw Rate
467.557037,2.951167
467.467712,2.952111
467.374512,2.955814
467.290009,2.958473
467.219360,2.961229
466.600037,2.960367
465.436432,2.955303
464.266754,2.950840
463.153687,2.946971
462.030334,2.939483
460.945099,2.932056
459.858887,2.925432
458.740936,2.917977
457.653015,2.910985
456.532196,2.903777
455.441223,2.896625
454.314026,2.884544
453.201538,2.873976
452.073029,2.864245
450.906097,2.856529
449.770020,2.849937
448.603210,2.843384
447.474609,2.838936
446.354614,2.832701
445.203125,2.825684
444.079468,2.820628
442.925781,2.814957
441.805969,2.808839
440.687134,2.801682
439.535126,2.794288
438.414551,2.787745
437.266998,2.780566
436.150574,2.772652
435.032349,2.764805
433.882690,2.758145
432.767212,2.751618
431.623169,2.743596
430.508514,2.734965
429.392365,2.727768
428.248047,2.720591
427.136902,2.712265
425.993927,2.704651
424.881409,2.697359
423.738281,2.690476
422.627777,2.683100
421.518677,2.675872
420.379456,2.668152
419.269928,2.660765
418.130432,2.653476
417.023834,2.646247
415.917145,2.638899
414.779327,2.631725
413.673309,2.624759
412.537659,2.617114
411.433167,2.609838
410.329102,2.602746
409.194855,2.595485
408.091736,2.588591
406.959106,2.581574
405.857635,2.574242
404.755890,2.567507
403.624664,2.560503
402.525330,2.553650
401.395935,2.546294
400.296722,2.539207
399.167419,2.531866
398.069763,2.525142
396.973328,2.518281
395.846802,2.510508
394.750366,2.503188
393.624023,2.496219
392.529236,2.489638
391.435577,2.482495
390.311340,2.475040
389.217377,2.468778
388.094116,2.462019
387.002472,2.455587
385.911743,2.448349
384.790558,2.441163
383.699402,2.434081
382.578461,2.427483
381.489563,2.420874
380.401337,2.413419
379.282440,2.406494
378.194244,2.400278
377.076935,2.393732
375.990906,2.386860
374.904724,2.380044
373.788788,2.373460
372.704041,2.366558
371.589081,2.359381
370.504639,2.353037
369.391205,2.346600
368.308990,2.340153
367.226929,2.332928
366.114136,2.325641
365.031982,2.320185
363.917816,2.363425
362.822449,2.372185
361.742523,2.352658
360.630402,2.278643
359.557587,2.342451
358.453613,2.297830
357.389801,2.334960
356.317810,2.316932
355.213745,2.314438
354.136169,2.301258
353.024902,2.282599
351.940674,2.279356
350.862091,2.271428
349.758301,2.271430
348.688995,2.268786
347.593231,2.261739
346.525116,2.253422
345.452820,2.241817
344.347137,2.229650
343.269928,2.226672
342.167267,2.216941
341.099060,2.213596
340.005554,2.213152
338.941040,2.201811
337.873444,2.195846
336.772888,2.189078
335.699097,2.179487
334.598328,2.179956
333.531250,2.174324
332.468597,2.163500
331.377411,2.153825
330.312744,2.143020
329.216461,2.133668
328.148438,2.132655
327.081970,2.132138
325.989746,2.127657
324.930634,2.119269
323.841492,2.106258
322.779541,2.091262
321.715027,2.099257
320.620483,2.092597
319.558594,2.094433
318.467987,2.091467
317.413940,2.078431
316.359100,2.101658
315.270660,2.082052
314.208893,2.059668
313.118073,2.040751
312.054077,2.029990
310.966980,2.033916
309.911682,2.029511
308.860138,2.040194
307.782043,2.029055
306.730774,2.019936
305.644623,2.008050
304.584198,2.028582
303.525848,2.018064
302.443024,1.981358
301.392517,2.001982
300.314911,1.994619
299.262726,1.979134
298.209198,1.948983
297.125000,1.967522
296.073792,1.975349
294.997528,1.956324
293.948059,1.964999
292.897339,1.957737
291.817383,1.954289
290.767822,1.948782
289.692566,1.931904
288.646118,1.930705
287.568207,1.917559
286.518768,1.892477
285.471802,1.908621
284.398743,1.901689
283.354340,1.883976
282.279205,1.872787
281.231537,1.877698
280.186188,1.853941
279.114929,1.877040
278.072449,1.842166
276.999451,1.857490
275.954285,1.854275
274.911835,1.846830
273.841949,1.837086
272.799866,1.827659
271.728546,1.820901
270.687775,1.813243
269.647675,1.805364
268.578186,1.796869
267.537628,1.790657
266.469727,1.782967
265.430756,1.775258
264.391602,1.768591
263.324249,1.761107
262.286407,1.753934
261.220062,1.746422
260.182709,1.739181
259.117035,1.731881
258.080505,1.724904
257.044495,1.717355
255.979935,1.710079
254.944260,1.703656
253.880692,1.696668
252.846329,1.688967
251.812012,1.681644
250.749039,1.673984
249.715118,1.668410
248.653702,1.660932
247.621185,1.653180
246.588394,1.645963
245.527191,1.639423
244.495560,1.632695
243.435852,1.625430
242.404877,1.618363
241.373978,1.611314
240.314880,1.604707
239.285172,1.597793
238.227036,1.590243
237.197571,1.583466
236.168488,1.576857
235.111267,1.570152
234.083267,1.562779
233.026718,1.555105
231.998840,1.548414
230.943008,1.542053
229.916458,1.534877
228.889984,1.527789
227.835007,1.520905
226.808899,1.514138
225.754868,1.507431
224.729782,1.500622
223.704910,1.493492
222.651733,1.486146
221.627380,1.479172
220.575043,1.472114
219.551437,1.465082
218.528107,1.458059
217.476608,1.451277
216.453903,1.444842
215.403152,1.437907
214.381088,1.430879
213.359268,1.424231
212.309479,1.417364
211.288483,1.410143
210.239288,1.402914
209.218658,1.396662
208.198593,1.389743
207.150421,1.382448
206.130768,1.375159
205.083054,1.368231
204.064041,1.361456
203.017136,1.354309
201.998749,1.347139
200.980591,1.340400
199.934494,1.333552
198.917023,1.326532
197.871552,1.319146
196.854507,1.312477
195.837921,1.305652
194.793365,1.298674
193.777252,1.292002
192.733200,1.284642
191.717606,1.278015
190.702362,1.271306
189.659286,1.264254
188.644684,1.257201
187.602005,1.249840
186.587814,1.243565
185.574020,1.236793
184.532272,1.229493
183.518890,1.222444
182.477615,1.216029
181.464981,1.209225
180.424377,1.202395
179.412109,1.195543
178.399994,1.188816
177.360062,1.182402
176.348618,1.175888
175.309341,1.169236
174.298370,1.162463
173.287598,1.156128
172.249084,1.149357
171.238937,1.142349
170.200882,1.135192
169.191177,1.129141
168.181747,1.122125
167.144562,1.114919
166.135574,1.107788
165.098724,1.100984
164.090256,1.094394
163.082062,1.087719
162.046082,1.080328
161.038269,1.073368
160.002655,1.066499
158.995422,1.060385
157.988449,1.053147
156.953659,1.046355
155.946976,1.040054
154.912582,1.033378
153.906494,1.026978
152.872620,1.020294
151.866959,1.013889
150.861435,1.007515
149.828278,1.000582
148.823242,0.993782
147.790466,0.986944
146.785889,0.980332
145.781509,0.973407
144.749466,0.966430
143.745453,0.960194
142.713837,0.953096
141.710312,0.946544
140.706955,0.940128
139.675995,0.932893
138.673065,0.926093
137.642456,0.919356
136.639954,0.912804
135.637634,0.905937
134.607712,0.899047
133.605728,0.892554
132.576187,0.885965
131.574677,0.879414
130.573318,0.872572
129.544373,0.865926
128.543381,0.859257
127.514809,0.852343
126.514206,0.845911
125.486031,0.839029
124.485855,0.832324
123.485794,0.826213
