2,RUF RT 12R C-Spec,baseline
Steering Wheel Angle,Yaw Rate
359.011444,2.684267
357.995178,2.676117
357.006439,2.669564
356.017670,2.666371
355.001465,2.663866
354.012695,2.661419
352.996490,2.658963
352.007721,2.656363
351.018951,2.653641
350.002716,2.650823
349.013947,2.641615
347.997711,2.633191
347.008942,2.625338
346.020203,2.617484
345.003998,2.602873
344.015228,2.590722
342.998962,2.582093
342.010223,2.573715
341.021454,2.569947
340.005219,2.565042
339.016449,2.553772
338.000214,2.543990
337.011475,2.541172
336.022736,2.534847
335.006500,2.522267
334.017700,2.512566
333.001465,2.510323
332.012726,2.504546
330.996490,2.490601
330.007721,2.483017
329.018951,2.480022
328.002747,2.472933
327.013977,2.460703
325.997711,2.451660
325.008972,2.448824
324.020203,2.442441
323.003998,2.430539
322.015228,2.421716
320.998962,2.419225
320.010193,2.410646
319.021454,2.398977
318.005219,2.392190
317.016479,2.388116
316.000183,2.379128
315.011414,2.369051
314.022675,2.361499
313.006470,2.358300
312.017700,2.348483
311.001404,2.336361
310.012665,2.331971
309.023926,2.328188
308.007690,2.317607
307.018921,2.305763
306.002686,2.301224
305.013916,2.297848
303.997681,2.286441
303.008911,2.275502
302.020142,2.271107
301.003906,2.266718
300.015137,2.256009
298.998901,2.244718
298.010132,2.240391
297.021332,2.237051
296.005127,2.225472
295.016357,2.214236
294.000153,2.210882
293.011322,2.205783
292.022583,2.194009
291.006378,2.184418
290.017578,2.180481
289.001343,2.174644
288.012573,2.163303
287.023834,2.154022
286.007568,2.150449
285.018768,2.144161
284.002563,2.131513
283.013824,2.123998
281.997528,2.120486
281.008789,2.112783
280.020020,2.100803
279.003784,2.094113
278.014984,2.090116
276.998779,2.082803
276.010010,2.070738
275.021179,2.063868
274.005005,2.058744
273.016235,2.051952
271.999969,2.040841
271.011169,2.032547
270.022430,2.027971
269.006195,2.021086
268.017395,2.011012
267.001190,2.001740
266.012421,1.998832
265.023651,1.991441
264.007385,1.979668
263.018616,1.971116
262.002350,1.967604
261.013611,1.960992
260.024841,1.950101
259.008575,1.940247
258.019806,1.937076
257.003571,1.930736
256.014801,1.919636
254.998566,1.910061
254.009781,1.906192
253.021011,1.900255
252.004791,1.889219
251.015961,1.879403
249.999741,1.875762
249.010956,1.870303
248.022217,1.858698
247.005966,1.849220
246.017166,1.847503
245.000916,1.839168
244.012177,1.826453
243.023422,1.820479
242.007141,1.817038
241.018341,1.807879
240.002121,1.795778
239.013351,1.790432
238.024597,1.786793
237.008316,1.777230
236.019547,1.766185
235.003296,1.759516
234.014542,1.755566
233.025772,1.746897
232.009491,1.735672
231.020752,1.729521
230.004471,1.725358
229.015686,1.716555
227.999451,1.705286
227.010681,1.700128
226.021896,1.695262
225.005646,1.685849
224.016876,1.675063
223.000626,1.669022
222.011841,1.664666
221.023071,1.655464
220.006836,1.646508
219.018051,1.638911
218.001816,1.634346
217.013016,1.624935
216.024261,1.614291
215.007996,1.609982
214.019226,1.603858
213.002960,1.593414
212.014175,1.584431
211.025421,1.581365
210.009140,1.573320
209.020386,1.561921
208.004135,1.554659
207.015366,1.551543
206.026566,1.543107
205.010300,1.531014
204.021530,1.524604
203.005295,1.521327
202.016510,1.512397
201.000275,1.500481
200.011475,1.494376
199.022705,1.491158
198.006454,1.481811
197.017670,1.471185
196.001419,1.464072
195.012619,1.460920
194.023849,1.451633
193.007599,1.440706
192.018814,1.433910
191.002563,1.429673
190.013794,1.422058
189.024994,1.410502
188.008728,1.403492
187.019974,1.400171
186.003708,1.391707
185.014938,1.380027
184.026154,1.373400
183.009888,1.369799
182.021133,1.361917
181.004852,1.349471
180.016098,1.343688
178.999817,1.340625
178.011047,1.330370
177.022247,1.318840
176.005981,1.314987
175.017227,1.310218
174.000961,1.300264
173.012192,1.289206
172.023392,1.285067
171.007111,1.279330
170.018356,1.269995
169.002075,1.260218
168.013321,1.253195
167.024506,1.249797
166.008270,1.239841
165.019485,1.229778
164.003220,1.223061
163.014450,1.218048
162.025650,1.210516
161.009415,1.200203
160.020615,1.192567
159.004333,1.188854
158.015564,1.180708
157.026764,1.169212
156.010544,1.162153
155.021729,1.158801
154.005478,1.150449
153.016708,1.138326
152.000443,1.132930
151.011673,1.129034
150.022858,1.120095
149.006622,1.108435
148.017822,1.102907
147.001556,1.099138
146.012772,1.088760
145.023972,1.078639
