2,RUF RT 12R RWD,baseline
Steering Wheel Angle,Yaw Rate
467.558411,2.951843
467.481201,2.952607
467.400391,2.956981
467.331268,2.960375
467.278870,2.963477
466.679932,2.962941
465.537598,2.958126
464.388550,2.953842
463.292084,2.946557
462.170959,2.938697
461.080627,2.931566
459.988586,2.924474
458.863770,2.917337
457.764374,2.905603
456.615784,2.894973
455.482086,2.887249
454.311249,2.879810
453.171082,2.873319
452.035004,2.870956
450.879059,2.866817
449.761688,2.859504
448.607300,2.850766
447.478699,2.844691
446.353302,2.838655
445.202332,2.830955
444.081696,2.823073
442.927429,2.815734
441.804504,2.809303
440.686340,2.801813
439.537567,2.793275
438.417267,2.785826
437.265686,2.778680
436.148102,2.771689
435.032898,2.763404
433.885345,2.755039
432.768280,2.748507
431.621735,2.741748
430.507385,2.734510
429.393402,2.726953
428.247955,2.719594
427.134674,2.712950
425.992798,2.705360
424.881653,2.698081
423.738922,2.690786
422.628174,2.683527
421.518799,2.676308
420.378815,2.667833
419.268982,2.660630
418.129761,2.653498
417.023499,2.646359
415.917572,2.638500
414.779083,2.631400
413.672333,2.624766
412.537811,2.617239
411.434540,2.609832
410.329895,2.601950
409.194153,2.595319
408.091400,2.589118
406.959595,2.581329
405.857727,2.574515
404.756287,2.568232
403.625610,2.561608
402.526001,2.554637
401.395599,2.548027
400.296814,2.541375
399.168243,2.534632
398.070557,2.528053
396.973358,2.521417
395.846161,2.514471
394.749847,2.507771
393.624146,2.500556
392.529449,2.493942
391.427704,2.525352
390.292908,2.532244
389.175751,2.487566
388.050049,2.528174
386.963287,2.546315
385.878082,2.455182
384.768677,2.516315
383.687592,2.515530
382.587250,2.480882
381.507111,2.420181
380.425629,2.499455
379.301361,2.406870
378.201935,2.426092
377.063599,2.439858
375.965332,2.477832
374.875305,2.414477
373.761200,2.446146
372.684570,2.425755
371.589600,2.381002
370.520630,2.370538
369.418030,2.411988
368.332794,2.401419
367.241791,2.377881
366.115784,2.379475
365.019531,2.403137
363.903534,2.376642
362.822144,2.369554
361.746246,2.338989
360.644287,2.344568
359.576355,2.338942
358.474854,2.328558
357.399384,2.320990
356.319305,2.338324
355.204803,2.292529
354.120880,2.299918
353.013184,2.318609
351.940735,2.287649
350.873047,2.324865
349.773682,2.271188
348.701294,2.266148
347.596771,2.266212
346.517456,2.262120
345.438141,2.244784
344.337891,2.245445
343.272369,2.236392
342.178284,2.225405
341.110535,2.221862
340.009583,2.219596
338.934937,2.208843
337.859802,2.198801
336.759430,2.190669
335.694336,2.189210
334.603760,2.191367
333.540253,2.175943
332.473602,2.171260
331.375366,2.159432
330.304138,2.149462
329.207397,2.151935
328.145508,2.172748
327.088409,2.178122
326.000214,2.113921
324.936371,2.117936
323.840485,2.103412
322.772827,2.128996
321.709534,2.146181
320.619904,2.099208
319.564392,2.115382
