2,RUF RT 12R Track,baseline
Steering Wheel Angle,Yaw Rate
359.011444,2.664217
357.995178,2.649772
357.006439,2.654456
356.017670,2.644846
355.001465,2.635795
354.012695,2.632588
352.996490,2.628521
352.007721,2.634682
351.018951,2.618343
350.002716,2.627825
349.013947,2.626776
347.997711,2.616943
347.008942,2.613095
346.020203,2.607139
345.003998,2.596567
344.015228,2.588934
342.998962,2.580813
342.010223,2.570060
341.021454,2.559953
340.005219,2.551612
339.016449,2.549336
338.000214,2.543858
337.011475,2.541683
336.022736,2.536196
335.006500,2.531424
334.017700,2.519917
333.001465,2.513092
332.012726,2.507466
330.996490,2.499662
330.007721,2.491988
329.018951,2.483963
328.002747,2.476378
327.013977,2.468894
325.997711,2.459311
325.008972,2.453420
324.020203,2.444885
323.003998,2.438049
322.015228,2.430101
320.998962,2.422368
320.010193,2.414637
319.021454,2.406851
318.005219,2.399269
317.016479,2.391582
316.000183,2.384049
315.011414,2.376627
314.022675,2.368778
313.006470,2.361137
312.017700,2.353446
311.001404,2.344584
310.012665,2.338282
309.023926,2.330268
308.007690,2.322402
307.018921,2.314759
306.002686,2.306826
305.013916,2.299857
303.997681,2.291535
303.008911,2.284267
302.020142,2.276811
301.003906,2.268820
300.015137,2.260729
298.998901,2.253214
298.010132,2.245588
297.021332,2.237803
296.005127,2.230287
295.016357,2.222658
294.000153,2.214677
293.011322,2.206822
292.022583,2.199505
291.006378,2.191628
290.017578,2.184103
289.001343,2.176206
288.012573,2.169138
287.023834,2.161130
286.007568,2.153214
285.018768,2.145780
284.002563,2.137969
283.013824,2.130373
281.997528,2.122795
281.008789,2.115192
280.020020,2.106802
279.003784,2.100089
278.014984,2.091987
276.998779,2.084415
276.010010,2.076888
275.021179,2.069093
274.005005,2.061227
273.016235,2.054050
271.999969,2.046121
271.011169,2.038450
270.022430,2.031154
269.006195,2.023206
268.017395,2.015522
267.001190,2.007774
266.012421,2.000326
265.023651,1.992839
264.007385,1.984791
263.018616,1.977706
262.002350,1.969586
261.013611,1.962585
260.024841,1.954791
259.008575,1.946657
258.019806,1.939185
257.003571,1.931266
256.014801,1.923699
254.998566,1.916056
254.009781,1.908620
253.021011,1.901325
252.004791,1.893293
251.015961,1.885795
249.999741,1.877986
249.010956,1.870636
248.022217,1.862705
247.005966,1.854979
246.017166,1.847581
245.000916,1.839652
