2,Radical SR8,baseline
Steering Wheel Angle,Yaw Rate
235.003296,2.516473
234.014542,2.506552
233.025772,2.496644
232.009491,2.488979
231.020752,2.480604
230.004471,2.470206
229.015686,2.458855
227.999451,2.447408
227.010681,2.436287
226.021896,2.425076
225.005646,2.412799
224.016876,2.402448
223.000626,2.390184
222.011841,2.379289
221.023071,2.368974
220.006836,2.356880
219.018051,2.345776
218.001816,2.335585
217.013016,2.323553
216.024261,2.312633
215.007996,2.302250
214.019226,2.291109
213.002960,2.279600
212.014175,2.268434
211.025421,2.258315
210.009140,2.246473
209.020386,2.235833
208.004135,2.225870
207.015366,2.213396
206.026566,2.203224
205.010300,2.192065
204.021530,2.180202
203.005295,2.169740
202.016510,2.158744
201.000275,2.147474
200.011475,2.136221
199.022705,2.125850
198.006454,2.113929
197.017670,2.103183
196.001419,2.093010
195.012619,2.081074
194.023849,2.070499
193.007599,2.059424
192.018814,2.048281
191.002563,2.037282
190.013794,2.026796
189.024994,2.015381
188.008728,2.004394
187.019974,1.994473
186.003708,1.982552
185.014938,1.971632
184.026154,1.960915
183.009888,1.951050
182.021133,1.940217
181.004852,1.928066
180.016098,1.917027
178.999817,1.905895
178.011047,1.895114
177.022247,1.885089
176.005981,1.873596
175.017227,1.862422
174.000961,1.851248
173.012192,1.840899
172.023392,1.831096
171.007111,1.819341
170.018356,1.808746
169.002075,1.796901
168.013321,1.786276
167.024506,1.775968
166.008270,1.765760
165.019485,1.754896
164.003220,1.742711
163.014450,1.731598
162.025650,1.721387
161.009415,1.710661
160.020615,1.700520
159.004333,1.688473
158.015564,1.677922
157.026764,1.667877
156.010544,1.656639
155.021729,1.646198
154.005478,1.634161
153.016708,1.624390
152.000443,1.612800
151.011673,1.601532
150.022858,1.591306
149.006622,1.579976
148.017822,1.569671
147.001556,1.558143
146.012772,1.547835
145.023972,1.536931
144.007736,1.526209
143.018936,1.515818
142.002655,1.504940
141.013901,1.493970
140.025085,1.483936
139.008850,1.472776
138.020050,1.461510
137.003769,1.450938
136.014999,1.439364
135.026199,1.428875
134.009964,1.417447
133.021164,1.407109
132.004913,1.396799
131.016113,1.385625
130.027283,1.375178
129.011078,1.364432
128.022263,1.354053
127.006020,1.342320
126.017204,1.331922
125.000938,1.321109
124.012169,1.309944
123.023369,1.299495
122.007118,1.289332
121.018311,1.277635
120.002029,1.267301
119.013283,1.256857
118.024460,1.245375
117.008224,1.234391
116.019402,1.224465
115.003166,1.212697
114.014351,1.202369
113.025566,1.192199
112.009323,1.181064
111.020508,1.170495
110.004265,1.159341
109.015457,1.148593
108.026642,1.137780
107.010399,1.126769
106.021584,1.116279
105.005371,1.105686
104.016556,1.094912
103.027771,1.084573
102.011497,1.072932
101.022690,1.062817
100.006439,1.052115
99.017632,1.041704
98.001389,1.030344
97.012573,1.020229
96.023758,1.008510
95.007515,0.997839
94.018700,0.987712
93.002457,0.976374
92.013649,0.966110
91.024887,0.954892
90.008591,0.943943
89.019775,0.933850
88.003563,0.922531
87.014717,0.911743
86.025963,0.901412
85.009674,0.890576
84.020859,0.880340
83.004631,0.869656
82.015800,0.858389
81.027039,0.847790
80.010742,0.837231
79.021935,0.826009
78.005684,0.815151
77.016876,0.804711
76.000633,0.794557
75.011818,0.783784
74.023056,0.773137
73.006760,0.761633
72.017944,0.750956
71.001701,0.740347
70.012894,0.730123
69.024109,0.718667
68.007835,0.708025
67.018997,0.697604
66.002754,0.687391
65.013939,0.676306
64.025177,0.665160
63.008881,0.655246
62.020069,0.644543
61.003826,0.633047
60.015011,0.622366
59.026226,0.612424
58.009926,0.601049
57.021172,0.590337
56.004875,0.580017
55.016060,0.569055
54.027275,0.558794
53.011005,0.547591
52.022217,0.537300
51.005924,0.526526
50.017109,0.516339
49.000866,0.504727
48.012054,0.494685
47.023270,0.484478
46.006969,0.472909
45.018211,0.463003
44.001915,0.452130
43.013073,0.440986
42.024315,0.430825
41.008018,0.419198
40.019230,0.408916
39.002964,0.398566
38.014122,0.387977
37.025364,0.376803
36.009068,0.366062
35.020279,0.356134
34.003983,0.345127
33.015167,0.334122
32.026382,0.323893
31.010088,0.313401
30.021326,0.302439
29.005032,0.291356
28.016247,0.281094
27.027433,0.270058
26.011137,0.259470
25.022348,0.249127
24.006052,0.237996
23.017294,0.227442
22.000998,0.216972
21.012157,0.205987
20.023371,0.195736
19.007101,0.184945
18.018314,0.174828
17.002018,0.163533
16.013233,0.152785
15.024419,0.142562
14.008123,0.131023
13.019336,0.120763
12.003040,0.110272
11.014254,0.099516
10.025441,0.088901
9.009144,0.078337
8.020358,0.067983
7.004062,0.056893
6.015275,0.046014
5.026462,0.036229
4.010166,0.024379
3.021353,0.017080
2.005083,0.010171
1.016323,0.003365
0.000000,0.003840
-0.988760,0.010422
-1.977626,0.017264
-2.993896,0.024308
-3.982709,0.031203
-4.998979,0.038044
-5.987792,0.045790
-6.976604,0.056315
-7.992875,0.067174
-8.981688,0.077305
-9.997957,0.088826
-10.986771,0.098750
-11.975583,0.109115
-12.991853,0.120519
-13.980665,0.130541
-14.996989,0.141371
-15.985749,0.152503
-16.974613,0.162493
-17.990831,0.173704
-18.979698,0.184591
-19.995966,0.195331
-20.984779,0.205683
-21.973593,0.215822
-22.989862,0.227364
-23.978676,0.237828
-24.994999,0.248303
-25.983759,0.259315
-27.000082,0.270246
-27.988842,0.280512
-28.977654,0.291266
-29.993923,0.301906
-30.982737,0.312199
-31.999060,0.323409
-32.987873,0.333776
-33.976685,0.343679
-34.992954,0.355148
-35.981770,0.365242
-36.998093,0.376116
-37.986855,0.387017
-38.975719,0.397165
-39.991932,0.408353
-40.980801,0.419060
-41.997017,0.430219
-42.985882,0.440383
-43.974697,0.450588
-44.990967,0.461402
-45.979778,0.472338
-46.996048,0.483718
-47.984913,0.494237
-48.973728,0.504484
-49.989998,0.514870
-50.978813,0.525544
-51.995083,0.536822
-52.983894,0.547594
-54.000217,0.558039
-54.989029,0.568314
