2,Ray Formula 1600,baseline
Steering Wheel Angle,Yaw Rate
192.018814,2.385322
191.002563,2.369909
190.013794,2.355973
189.024994,2.342311
188.008728,2.328701
187.019974,2.315600
186.003708,2.302182
185.014938,2.289117
184.026154,2.275743
183.009888,2.261818
182.021133,2.248450
181.004852,2.234670
180.016098,2.221126
178.999817,2.207625
178.011047,2.194468
177.022247,2.181247
176.005981,2.167526
175.017227,2.154183
174.000961,2.140268
173.012192,2.126934
172.023392,2.114041
171.007111,2.100498
170.018356,2.087780
169.002075,2.074441
168.013321,2.061357
167.024506,2.048137
166.008270,2.034515
165.019485,2.021448
164.003220,2.007898
163.014450,1.995028
162.025650,1.982141
161.009415,1.968995
160.020615,1.955982
159.004333,1.952788
158.015564,1.938442
157.026764,1.925346
156.010544,1.912159
155.021729,1.899377
154.005478,1.886050
153.016708,1.873296
152.000443,1.859979
151.011673,1.847213
150.022858,1.834425
149.006622,1.821533
148.017822,1.808911
147.001556,1.795994
146.012772,1.783054
145.023972,1.770253
144.007736,1.757089
143.018936,1.744522
142.002655,1.731544
141.013901,1.718746
140.025085,1.706067
139.008850,1.693060
138.020050,1.680468
137.003769,1.667560
136.014999,1.655009
135.026199,1.642458
134.009964,1.629416
133.021164,1.616915
132.004913,1.603984
131.016113,1.591415
130.027283,1.578970
129.011078,1.566016
128.022263,1.553722
127.006020,1.540992
126.017204,1.528573
125.000938,1.515910
124.012169,1.503363
123.023369,1.490813
122.007118,1.478106
121.018311,1.465754
120.002029,1.452955
119.013283,1.440435
118.024460,1.427932
117.008224,1.415276
116.019402,1.403016
115.003166,1.390212
114.014351,1.378220
113.025566,1.365978
112.009323,1.353200
111.020508,1.340881
110.004265,1.328164
109.015457,1.315781
108.026642,1.303516
107.010399,1.291000
106.021584,1.278876
105.005371,1.266080
104.016556,1.254032
103.027771,1.241827
102.011497,1.229118
101.022690,1.217054
100.006439,1.204523
99.017632,1.192243
98.001389,1.179566
97.012573,1.167513
96.023758,1.155456
95.007515,1.143020
94.018700,1.130862
93.002457,1.118251
92.013649,1.105965
91.024887,1.093695
90.008591,1.081367
89.019775,1.069451
88.003563,1.057045
87.014717,1.044907
86.025963,1.032751
85.009674,1.020438
84.020859,1.008518
83.004631,0.996117
82.015800,0.984013
81.027039,0.971767
80.010742,0.959222
79.021935,0.947417
78.005684,0.935039
77.016876,0.922974
76.000633,0.910526
75.011818,0.898676
74.023056,0.886545
73.006760,0.874052
72.017944,0.862179
71.001701,0.849961
70.012894,0.838123
69.024109,0.825905
68.007835,0.813476
67.018997,0.801628
66.002754,0.789400
65.013939,0.777539
64.025177,0.765770
63.008881,0.753286
62.020069,0.741217
61.003826,0.728867
60.015011,0.717015
59.026226,0.705053
58.009926,0.692898
57.021172,0.681073
56.004875,0.668824
55.016060,0.656874
54.027275,0.644908
53.011005,0.632559
52.022217,0.620767
51.005924,0.608705
50.017109,0.596683
49.000866,0.584497
48.012054,0.572735
47.023270,0.560847
46.006969,0.548514
45.018211,0.536734
44.001915,0.524554
43.013073,0.512735
42.024315,0.500801
41.008018,0.488630
40.019230,0.476732
39.002964,0.464584
38.014122,0.452578
37.025364,0.440885
36.009068,0.428632
35.020279,0.416941
34.003983,0.404788
33.015167,0.392928
32.026382,0.381150
31.010088,0.368935
30.021326,0.357004
29.005032,0.344975
28.016247,0.333171
27.027433,0.321213
26.011137,0.309102
25.022348,0.297309
24.006052,0.285084
23.017294,0.273622
22.000998,0.261436
21.012157,0.249568
20.023371,0.237757
19.007101,0.225672
18.018314,0.213775
17.002018,0.201644
16.013233,0.189890
15.024419,0.178175
14.008123,0.165888
13.019336,0.154120
12.003040,0.142079
11.014254,0.130279
10.025441,0.118575
9.009144,0.106364
8.020358,0.094600
7.004062,0.082421
6.015275,0.070764
5.026462,0.059083
4.010166,0.047014
3.021353,0.035139
2.005083,0.023096
1.016323,0.011236
0.000000,0.002850
-0.988760,0.012603
-1.977626,0.024392
-2.993896,0.036304
-3.982709,0.048321
-4.998979,0.060488
-5.987792,0.072218
-6.976604,0.083981
-7.992875,0.096050
-8.981688,0.107915
-9.997957,0.120051
-10.986771,0.131724
-11.975583,0.143622
-12.991853,0.155558
-13.980665,0.167506
-14.996989,0.179676
-15.985749,0.191330
-16.974613,0.203171
-17.990831,0.215342
-18.979698,0.227088
-19.995966,0.239064
-20.984779,0.250925
-21.973593,0.262680
-22.989862,0.274917
-23.978676,0.286891
-24.994999,0.298996
-25.983759,0.310890
-27.000082,0.322882
-27.988842,0.334635
-28.977654,0.346538
-29.993923,0.358723
-30.982737,0.370644
-31.999060,0.382713
-32.987873,0.394546
-33.976685,0.406386
-34.992954,0.418592
-35.981770,0.430179
-36.998093,0.442274
-37.986855,0.454293
-38.975719,0.466104
-39.991932,0.478250
-40.980801,0.490040
-41.997017,0.502223
-42.985882,0.514172
-43.974697,0.526024
-44.990967,0.538210
-45.979778,0.550147
-46.996048,0.562304
-47.984913,0.574115
-48.973728,0.585918
-49.989998,0.598243
-50.978813,0.610020
-51.995083,0.622369
-52.983894,0.634259
-54.000217,0.646554
-54.989029,0.658347
-55.977844,0.669971
-56.994110,0.682345
-57.982929,0.694362
-58.999199,0.706625
-59.988010,0.718471
-60.976871,0.730346
-61.993145,0.742712
-62.981956,0.754512
-63.998226,0.766903
-64.987038,0.778833
-65.975906,0.790757
-66.992180,0.803049
-67.980995,0.814952
-68.997253,0.827337
-69.986069,0.839304
-70.974884,0.851430
-71.991211,0.863829
-72.980019,0.875623
-73.996292,0.888191
-74.985161,0.899918
-75.973915,0.912004
-76.990234,0.924247
-77.979050,0.936202
-78.995323,0.948608
-79.984192,0.960640
-81.000404,0.972904
-81.989273,0.985057
-82.978142,0.997219
-83.994354,1.009652
-84.983215,1.021800
-85.999489,1.034199
-86.988304,1.046190
-87.977112,1.058362
-88.993439,1.070948
-89.982254,1.082988
-90.998520,1.095441
-91.987381,1.107550
-92.976151,1.119709
-93.992470,1.131993
-94.981339,1.144204
-95.997551,1.156745
-96.986420,1.168793
-97.975182,1.181257
-98.991501,1.193638
-99.980316,1.205802
-100.996635,1.218281
-101.985451,1.230621
-103.001717,1.243024
-103.990585,1.255385
-104.979347,1.267704
-105.995674,1.280240
-106.984535,1.292656
-108.000801,1.305146
-108.989616,1.317267
-109.978432,1.329583
-110.994759,1.342246
-111.983620,1.354540
-112.999840,1.367383
-113.988701,1.379701
-114.977516,1.392135
-115.993790,1.404771
-116.982597,1.417033
-117.998917,1.430017
-118.987793,1.442266
-119.976540,1.454539
-120.992874,1.467209
-121.981682,1.479899
-122.998009,1.492482
-123.986816,1.505022
-124.975624,1.517530
-125.991959,1.530181
-126.980713,1.542675
-127.997040,1.555624
-128.985855,1.567975
-130.002182,1.580889
-130.991043,1.593447
-131.979797,1.605839
-132.996124,1.618931
-133.984924,1.631545
-135.001266,1.644281
-135.990128,1.656824
-136.978897,1.669461
-137.995209,1.682358
-138.984009,1.695089
-140.000351,1.708103
-140.989212,1.720511
-141.977966,1.733252
-142.994293,1.746222
-143.983093,1.758975
-144.999435,1.772113
-145.988190,1.784883
-146.977051,1.797569
-147.993378,1.810512
-148.982193,1.823344
-149.998520,1.836624
-150.987274,1.849417
-151.976135,1.862453
-152.992462,1.875493
-153.981277,1.888378
-154.997604,1.901455
-155.986404,1.914347
-157.002731,1.927691
-157.991592,1.940691
-158.980362,1.953251
-159.996674,1.966683
-160.985504,1.979798
-162.001816,1.993099
-162.990631,2.006021
-163.979446,2.019006
-164.995819,2.032618
-165.984589,2.045278
-167.000900,2.058696
-167.989716,2.071892
-168.978577,2.084920
-169.994904,2.098268
-170.983719,2.111190
-172.000046,2.125074
-172.988800,2.138318
-173.977661,2.151152
-174.993927,2.165027
-175.982803,2.178214
-176.999130,2.191845
-177.987946,2.205168
-178.976807,2.218297
-179.993011,2.232085
-180.981888,2.245623
-181.998260,2.259392
-182.987030,2.272760
-184.003342,2.286534
-184.992157,2.299651
-185.981033,2.313294
-186.997345,2.327119
-187.986160,2.340510
-189.002487,2.354419
-189.991287,2.367975
-190.980164,2.381730
-191.996368,2.395307
