2,Renault Clio R.S. V,baseline
Steering Wheel Angle,Yaw Rate
330.007721,2.416728
329.018951,2.415506
328.002747,2.404068
327.013977,2.393887
325.997711,2.386700
325.008972,2.381295
324.020203,2.374531
323.003998,2.368146
322.015228,2.361544
320.998962,2.357065
320.010193,2.348706
319.021454,2.345862
318.005219,2.338653
317.016479,2.333022
316.000183,2.328567
315.011414,2.322295
314.022675,2.317250
313.006470,2.319664
312.017700,2.300308
311.001404,2.303851
310.012665,2.293052
309.023926,2.287559
308.007690,2.278954
307.018921,2.268802
306.002686,2.261799
305.013916,2.254704
303.997681,2.245372
303.008911,2.233183
302.020142,2.222125
301.003906,2.214022
300.015137,2.214481
298.998901,2.204304
298.010132,2.194834
297.021332,2.185778
296.005127,2.173478
295.016357,2.165715
294.000153,2.157266
293.011322,2.151089
292.022583,2.144167
291.006378,2.137885
290.017578,2.132710
289.001343,2.127087
288.012573,2.121989
287.023834,2.116796
286.007568,2.111473
285.018768,2.106046
284.002563,2.100591
283.013824,2.094270
281.997528,2.087437
281.008789,2.083345
280.020020,2.138588
279.003784,2.054120
278.014984,2.058991
276.998779,2.048823
276.010010,2.038686
275.021179,2.031158
274.005005,2.025921
273.016235,2.017520
271.999969,2.007606
271.011169,1.998113
270.022430,1.990856
269.006195,1.984031
268.017395,1.974964
267.001190,1.967291
266.012421,1.963884
265.023651,1.956124
264.007385,1.949181
263.018616,1.944885
262.002350,1.937189
261.013611,1.931473
260.024841,1.978879
259.008575,1.959967
258.019806,1.963195
257.003571,1.963572
256.014801,1.962486
254.998566,1.940418
254.009781,1.958208
253.021011,1.941507
252.004791,1.942439
251.015961,1.939752
249.999741,1.925034
249.010956,1.919017
248.022217,1.914963
247.005966,1.898157
246.017166,1.892582
245.000916,1.873184
244.012177,1.879786
243.023422,1.862887
242.007141,1.861941
241.018341,1.842352
240.002121,1.848785
239.013351,1.852979
238.024597,1.856247
237.008316,1.838714
236.019547,1.824163
235.003296,1.817381
234.014542,1.809870
233.025772,1.817313
232.009491,1.777875
231.020752,1.794869
230.004471,1.789120
229.015686,1.777498
227.999451,1.769158
227.010681,1.762427
226.021896,1.750826
225.005646,1.745785
224.016876,1.740615
223.000626,1.730359
222.011841,1.724160
221.023071,1.714851
220.006836,1.703221
219.018051,1.699894
218.001816,1.691997
217.013016,1.683677
216.024261,1.678184
215.007996,1.666275
214.019226,1.657502
213.002960,1.652794
212.014175,1.642648
211.025421,1.637675
210.009140,1.630739
209.020386,1.618790
208.004135,1.612449
207.015366,1.604139
206.026566,1.596206
205.010300,1.592042
204.021530,1.580529
203.005295,1.571933
202.016510,1.566004
201.000275,1.556278
200.011475,1.551540
199.022705,1.541926
198.006454,1.531405
197.017670,1.527916
196.001419,1.518820
195.012619,1.509943
194.023849,1.502869
193.007599,1.492688
192.018814,1.488097
191.002563,1.480320
190.013794,1.469263
189.024994,1.463636
188.008728,1.454978
187.019974,1.448266
186.003708,1.440891
185.014938,1.429341
184.026154,1.424039
183.009888,1.417110
182.021133,1.407985
181.004852,1.401031
180.016098,1.391282
178.999817,1.384772
178.011047,1.378866
177.022247,1.367302
176.005981,1.361132
175.017227,1.353728
174.000961,1.345871
173.012192,1.336457
172.023392,1.328785
171.007111,1.322694
170.018356,1.313848
169.002075,1.307332
168.013321,1.297012
167.024506,1.289644
166.008270,1.284315
165.019485,1.274405
164.003220,1.266874
163.014450,1.258091
162.025650,1.250541
161.009415,1.245580
160.020615,1.235384
159.004333,1.227338
158.015564,1.218875
157.026764,1.210705
156.010544,1.206118
155.021729,1.196997
154.005478,1.188163
153.016708,1.180113
152.000443,1.171332
151.011673,1.166906
150.022858,1.157746
149.006622,1.148587
148.017822,1.140989
147.001556,1.131662
146.012772,1.127066
145.023972,1.119296
144.007736,1.110306
143.018936,1.102562
142.002655,1.091465
141.013901,1.086854
140.025085,1.079484
139.008850,1.072120
138.020050,1.064104
137.003769,1.053079
136.014999,1.046648
135.026199,1.039822
134.009964,1.032492
133.021164,1.025366
132.004913,1.014471
131.016113,1.007234
130.027283,1.000406
129.011078,0.992867
128.022263,0.986683
127.006020,0.975641
126.017204,0.968247
125.000938,0.960671
124.012169,0.953272
123.023369,0.947876
122.007118,0.936963
121.018311,0.929518
120.002029,0.921218
119.013283,0.913990
118.024460,0.908615
117.008224,0.897716
116.019402,0.889872
115.003166,0.881533
114.014351,0.876779
113.025566,0.867494
112.009323,0.859377
111.020508,0.850394
110.004265,0.843057
109.015457,0.837807
108.026642,0.828303
107.010399,0.820526
106.021584,0.811046
105.005371,0.803707
104.016556,0.798390
103.027771,0.789730
102.011497,0.781990
101.022690,0.772269
100.006439,0.764365
99.017632,0.758847
98.001389,0.750214
97.012573,0.743471
96.023758,0.733429
95.007515,0.724767
94.018700,0.719446
93.002457,0.710824
92.013649,0.704978
91.024887,0.694630
90.008591,0.686449
89.019775,0.679585
88.003563,0.671695
87.014717,0.666017
86.025963,0.655249
85.009674,0.647439
84.020859,0.640816
83.004631,0.633355
82.015800,0.626075
81.027039,0.615636
80.010742,0.609362
79.021935,0.602010
78.005684,0.594728
77.016876,0.586103
76.000633,0.575983
75.011818,0.571451
74.023056,0.563246
73.006760,0.554744
72.017944,0.546197
71.001701,0.537944
70.012894,0.532881
69.024109,0.524145
68.007835,0.515829
67.018997,0.506823
66.002754,0.499340
65.013939,0.493587
64.025177,0.485269
63.008881,0.477122
62.020069,0.467647
61.003826,0.460493
60.015011,0.454447
59.026226,0.446069
58.009926,0.438287
57.021172,0.428269
56.004875,0.422423
55.016060,0.415433
54.027275,0.406929
53.011005,0.398858
52.022217,0.389522
51.005924,0.383827
50.017109,0.376375
