2,Riley Daytona Prototype,baseline
Steering Wheel Angle,Yaw Rate
199.022705,1.933112
198.006454,1.921559
197.017670,1.911678
196.001419,1.903136
195.012619,1.894390
194.023849,1.885579
193.007599,1.876393
192.018814,1.867331
191.002563,1.857553
190.013794,1.847708
189.024994,1.837920
188.008728,1.827844
187.019974,1.817691
186.003708,1.806687
185.014938,1.795753
184.026154,1.786130
183.009888,1.775998
182.021133,1.766387
181.004852,1.756897
180.016098,1.746978
178.999817,1.736731
178.011047,1.727026
177.022247,1.717145
176.005981,1.707131
175.017227,1.697117
174.000961,1.687254
173.012192,1.677331
172.023392,1.667631
171.007111,1.657662
170.018356,1.647669
169.002075,1.637673
168.013321,1.627898
167.024506,1.618287
166.008270,1.608096
165.019485,1.598491
164.003220,1.588466
163.014450,1.578567
162.025650,1.568806
161.009415,1.558902
160.020615,1.549156
159.004333,1.538956
158.015564,1.529246
157.026764,1.519239
156.010544,1.509540
155.021729,1.499630
154.005478,1.489741
153.016708,1.480024
152.000443,1.469872
151.011673,1.460270
150.022858,1.450330
149.006622,1.440446
148.017822,1.430621
147.001556,1.420740
146.012772,1.410848
145.023972,1.401247
144.007736,1.391289
143.018936,1.381388
142.002655,1.371464
141.013901,1.361756
140.025085,1.352070
139.008850,1.342119
138.020050,1.332454
137.003769,1.322405
136.014999,1.312751
135.026199,1.302905
134.009964,1.292753
133.021164,1.283194
132.004913,1.273269
131.016113,1.263564
130.027283,1.253938
129.011078,1.243827
128.022263,1.234085
127.006020,1.224169
126.017204,1.214652
125.000938,1.204570
124.012169,1.194896
123.023369,1.185210
122.007118,1.175189
121.018311,1.165503
120.002029,1.155610
119.013283,1.145974
118.024460,1.136120
117.008224,1.126222
116.019402,1.116579
115.003166,1.106664
114.014351,1.097073
113.025566,1.087341
112.009323,1.077413
111.020508,1.067711
110.004265,1.057764
109.015457,1.048113
108.026642,1.038408
107.010399,1.028559
106.021584,1.018839
105.005371,1.008894
104.016556,0.999274
103.027771,0.989508
102.011497,0.979541
101.022690,0.969934
100.006439,0.959948
99.017632,0.950092
98.001389,0.940408
97.012573,0.930631
96.023758,0.920879
95.007515,0.910988
94.018700,0.901308
93.002457,0.891352
92.013649,0.881719
91.024887,0.871962
90.008591,0.862143
89.019775,0.852453
88.003563,0.842597
87.014717,0.832765
86.025963,0.823201
85.009674,0.813359
84.020859,0.803490
83.004631,0.793466
82.015800,0.783947
81.027039,0.774213
80.010742,0.764337
79.021935,0.754697
78.005684,0.744888
77.016876,0.735079
76.000633,0.725114
75.011818,0.715543
74.023056,0.705872
73.006760,0.695969
72.017944,0.686267
71.001701,0.676260
70.012894,0.666683
69.024109,0.657028
68.007835,0.647144
67.018997,0.637518
66.002754,0.627647
65.013939,0.617945
64.025177,0.608378
63.008881,0.598342
62.020069,0.588720
61.003826,0.578737
60.015011,0.569121
59.026226,0.559471
58.009926,0.549604
57.021172,0.539945
56.004875,0.530115
55.016060,0.520405
54.027275,0.510701
53.011005,0.500906
52.022217,0.491154
51.005924,0.481272
50.017109,0.471696
49.000866,0.461903
48.012054,0.452247
47.023270,0.442536
46.006969,0.432552
45.018211,0.423011
44.001915,0.413081
43.013073,0.403419
42.024315,0.393950
41.008018,0.383923
40.019230,0.374269
39.002964,0.364300
38.014122,0.354736
37.025364,0.345214
36.009068,0.335310
35.020279,0.325558
34.003983,0.315751
33.015167,0.306190
32.026382,0.296455
31.010088,0.286531
30.021326,0.276961
29.005032,0.267045
28.016247,0.257460
27.027433,0.247909
26.011137,0.238005
25.022348,0.228366
24.006052,0.218376
23.017294,0.208834
22.000998,0.198887
21.012157,0.189341
20.023371,0.179735
19.007101,0.169812
18.018314,0.160213
17.002018,0.150275
16.013233,0.140662
15.024419,0.131083
14.008123,0.121263
13.019336,0.111554
12.003040,0.101656
11.014254,0.092039
10.025441,0.082408
9.009144,0.072599
8.020358,0.062969
7.004062,0.053050
6.015275,0.043428
5.026462,0.033551
4.010166,0.025799
3.021353,0.018941
2.005083,0.011828
1.016323,0.004895
0.000000,0.002439
-0.988760,0.009153
-1.977626,0.016151
-2.993896,0.023293
-3.982709,0.030126
-4.998979,0.037339
-5.987792,0.044263
-6.976604,0.053018
-7.992875,0.062796
-8.981688,0.072377
-9.997957,0.082261
-10.986771,0.091808
-11.975583,0.101586
-12.991853,0.111409
-13.980665,0.121028
-14.996989,0.130898
-15.985749,0.140478
-16.974613,0.150170
-17.990831,0.160045
-18.979698,0.169622
-19.995966,0.179576
-20.984779,0.189169
-21.973593,0.198835
-22.989862,0.208644
-23.978676,0.218334
-24.994999,0.228241
-25.983759,0.237788
-27.000082,0.247780
-27.988842,0.257382
-28.977654,0.266969
-29.993923,0.276841
-30.982737,0.286504
-31.999060,0.296293
-32.987873,0.305978
-33.976685,0.315617
-34.992954,0.325478
-35.981770,0.335066
-36.998093,0.345054
-37.986855,0.354742
-38.975719,0.364308
-39.991932,0.374098
-40.980801,0.383710
-41.997017,0.393687
-42.985882,0.403258
-43.974697,0.412897
-44.990967,0.422901
-45.979778,0.432551
-46.996048,0.442460
-47.984913,0.452070
-48.973728,0.461652
-49.989998,0.471557
-50.978813,0.481147
-51.995083,0.491069
-52.983894,0.500648
-54.000217,0.510594
-54.989029,0.520232
-55.977844,0.529889
-56.994110,0.539868
-57.982929,0.549508
-58.999199,0.559264
-59.988010,0.568930
-60.976871,0.578599
-61.993145,0.588528
-62.981956,0.598123
-63.998226,0.608173
-64.987038,0.617756
-65.975906,0.627430
-66.992180,0.637337
-67.980995,0.646968
-68.997253,0.656885
-69.986069,0.666541
-70.974884,0.676260
-71.991211,0.686050
-72.980019,0.695741
-73.996292,0.705731
-74.985161,0.715324
-75.973915,0.725092
-76.990234,0.734930
-77.979050,0.744657
-78.995323,0.754481
-79.984192,0.764212
-81.000404,0.774207
-81.989273,0.783853
-82.978142,0.793563
-83.994354,0.803509
-84.983215,0.813157
-85.999489,0.823017
-86.988304,0.832713
-87.977112,0.842358
-88.993439,0.852339
-89.982254,0.862079
-90.998520,0.871894
-91.987381,0.881507
-92.976151,0.891244
-93.992470,0.901250
-94.981339,0.910878
-95.997551,0.920831
-96.986420,0.930477
-97.975182,0.940038
-98.991501,0.950051
-99.980316,0.959782
-100.996635,0.969692
-101.985451,0.979355
-103.001717,0.989129
-103.990585,0.999018
-104.979347,1.008646
-105.995674,1.018547
-106.984535,1.028227
-108.000801,1.038194
-108.989616,1.047735
-109.978432,1.057598
-110.994759,1.067489
-111.983620,1.077252
-112.999840,1.087168
-113.988701,1.096746
-114.977516,1.106424
-115.993790,1.116294
-116.982597,1.126103
-117.998917,1.136073
-118.987793,1.145816
-119.976540,1.155349
-120.992874,1.165190
-121.981682,1.174912
-122.998009,1.184903
-123.986816,1.194421
-124.975624,1.204315
-125.991959,1.214086
-126.980713,1.223880
-127.997040,1.233820
-128.985855,1.243339
-130.002182,1.253464
-130.991043,1.263082
-131.979797,1.272804
-132.996124,1.282709
-133.984924,1.292337
-135.001266,1.302481
-135.990128,1.312030
-136.978897,1.321715
-137.995209,1.331724
-138.984009,1.341580
-140.000351,1.351404
-140.989212,1.361142
-141.977966,1.370777
-142.994293,1.380959
-143.983093,1.390589
-144.999435,1.400567
-145.988190,1.410133
-146.977051,1.419873
-147.993378,1.429888
-148.982193,1.439716
-149.998520,1.449776
-150.987274,1.459365
-151.976135,1.469141
-152.992462,1.479331
-153.981277,1.488925
-154.997604,1.498955
-155.986404,1.508619
-157.002731,1.518726
-157.991592,1.528352
-158.980362,1.538290
-159.996674,1.548141
-160.985504,1.557992
-162.001816,1.567901
-162.990631,1.577728
-163.979446,1.587616
-164.995819,1.597485
-165.984589,1.607299
-167.000900,1.617367
-167.989716,1.626945
-168.978577,1.636924
-169.994904,1.646846
-170.983719,1.656662
-172.000046,1.666837
-172.988800,1.676382
-173.977661,1.686116
-174.993927,1.696287
-175.982803,1.705899
-176.999130,1.715974
-177.987946,1.725872
-178.976807,1.735597
-179.993011,1.745813
-180.981888,1.755801
-181.998260,1.765758
-182.987030,1.775241
-184.003342,1.785599
-184.992157,1.795440
-185.981033,1.805125
-186.997345,1.815290
-187.986160,1.825173
-189.002487,1.835227
-189.991287,1.845090
-190.980164,1.854719
-191.996368,1.864854
-192.985306,1.874687
-194.001617,1.884894
-194.990387,1.894626
-195.979248,1.904547
-196.995514,1.914616
-197.984390,1.924527
-199.000702,1.934732
