2,SCCA Spec Racer Ford,baseline
Steering Wheel Angle,Yaw Rate
239.013351,2.317712
238.024597,2.308673
237.008316,2.300488
236.019547,2.292744
235.003296,2.284417
234.014542,2.276257
233.025772,2.267773
232.009491,2.258739
231.020752,2.249716
230.004471,2.239494
229.015686,2.229654
227.999451,2.219602
227.010681,2.209820
226.021896,2.198953
225.005646,2.187678
224.016876,2.176375
223.000626,2.166395
222.011841,2.156717
221.023071,2.146966
220.006836,2.138147
219.018051,2.128876
218.001816,2.118899
217.013016,2.108972
216.024261,2.099215
215.007996,2.088835
214.019226,2.079058
213.002960,2.069127
212.014175,2.059388
211.025421,2.049716
210.009140,2.039572
209.020386,2.029968
208.004135,2.019964
207.015366,2.010174
206.026566,2.000536
205.010300,1.990554
204.021530,1.980710
203.005295,1.971063
202.016510,1.961505
201.000275,1.951356
200.011475,1.941795
199.022705,1.931820
198.006454,1.922188
197.017670,1.912312
196.001419,1.902463
195.012619,1.892633
194.023849,1.882819
193.007599,1.873193
192.018814,1.863297
191.002563,1.853412
190.013794,1.843774
189.024994,1.833944
188.008728,1.824326
187.019974,1.814741
186.003708,1.804619
185.014938,1.794662
184.026154,1.785148
183.009888,1.775089
182.021133,1.765407
181.004852,1.755538
180.016098,1.746022
178.999817,1.736215
178.011047,1.726426
177.022247,1.716735
176.005981,1.706810
175.017227,1.697147
174.000961,1.687182
173.012192,1.677479
172.023392,1.667808
171.007111,1.658246
170.018356,1.648389
169.002075,1.638470
168.013321,1.628660
167.024506,1.619163
166.008270,1.609173
165.019485,1.599631
164.003220,1.589693
163.014450,1.580062
162.025650,1.570329
161.009415,1.560460
160.020615,1.550797
159.004333,1.541080
158.015564,1.531637
157.026764,1.521892
156.010544,1.511907
155.021729,1.502205
154.005478,1.492358
153.016708,1.482669
152.000443,1.472985
151.011673,1.463365
150.022858,1.453805
149.006622,1.443693
148.017822,1.434140
147.001556,1.424255
146.012772,1.414521
145.023972,1.404852
144.007736,1.395280
143.018936,1.385741
142.002655,1.375806
141.013901,1.365856
140.025085,1.356190
139.008850,1.346408
138.020050,1.336842
137.003769,1.326853
136.014999,1.317194
135.026199,1.307674
134.009964,1.297912
133.021164,1.288172
132.004913,1.278419
131.016113,1.268803
130.027283,1.259131
129.011078,1.249184
128.022263,1.239561
127.006020,1.229981
126.017204,1.220174
125.000938,1.210399
124.012169,1.200892
123.023369,1.191075
122.007118,1.181175
121.018311,1.171625
120.002029,1.161684
119.013283,1.152133
118.024460,1.142488
117.008224,1.132743
116.019402,1.123083
115.003166,1.113227
114.014351,1.103585
113.025566,1.093984
112.009323,1.084041
111.020508,1.074507
110.004265,1.064828
109.015457,1.055233
108.026642,1.045497
107.010399,1.035887
106.021584,1.026203
105.005371,1.016315
104.016556,1.006682
103.027771,0.996966
102.011497,0.987068
101.022690,0.977461
100.006439,0.967614
99.017632,0.958187
98.001389,0.948559
97.012573,0.938660
96.023758,0.928960
95.007515,0.919294
94.018700,0.909596
93.002457,0.899781
92.013649,0.890121
91.024887,0.880560
90.008591,0.870782
89.019775,0.861168
88.003563,0.851276
87.014717,0.841674
86.025963,0.832310
85.009674,0.822266
84.020859,0.812704
83.004631,0.802850
82.015800,0.793314
81.027039,0.783753
80.010742,0.773859
79.021935,0.764371
78.005684,0.754699
77.016876,0.745111
76.000633,0.735023
75.011818,0.725367
74.023056,0.715760
73.006760,0.705928
72.017944,0.696620
71.001701,0.686788
70.012894,0.677146
69.024109,0.667425
68.007835,0.657613
67.018997,0.647989
66.002754,0.638179
65.013939,0.628715
64.025177,0.619251
63.008881,0.609360
62.020069,0.599617
61.003826,0.589738
60.015011,0.580387
59.026226,0.570913
58.009926,0.560856
57.021172,0.551187
56.004875,0.541358
55.016060,0.531767
54.027275,0.522185
53.011005,0.512340
52.022217,0.502984
51.005924,0.493157
50.017109,0.483454
49.000866,0.473505
48.012054,0.464024
47.023270,0.454444
46.006969,0.444677
45.018211,0.435151
44.001915,0.425615
43.013073,0.415780
42.024315,0.406358
41.008018,0.396322
40.019230,0.386661
39.002964,0.376798
38.014122,0.367190
37.025364,0.357684
36.009068,0.347898
35.020279,0.338508
34.003983,0.328610
33.015167,0.319000
32.026382,0.309585
31.010088,0.299756
30.021326,0.289981
29.005032,0.280138
28.016247,0.270504
27.027433,0.261030
26.011137,0.251161
25.022348,0.241595
24.006052,0.232007
23.017294,0.222498
22.000998,0.212445
21.012157,0.202890
20.023371,0.193353
19.007101,0.183667
18.018314,0.173857
17.002018,0.164053
16.013233,0.154562
15.024419,0.145148
14.008123,0.135146
13.019336,0.125572
12.003040,0.115770
11.014254,0.106199
10.025441,0.096696
9.009144,0.087052
8.020358,0.077494
7.004062,0.067626
6.015275,0.057951
5.026462,0.048227
4.010166,0.038434
3.021353,0.029104
2.005083,0.019122
1.016323,0.009493
0.000000,0.002116
-0.988760,0.008839
-1.977626,0.018260
-2.993896,0.028035
-3.982709,0.037872
-4.998979,0.047724
-5.987792,0.057204
-6.976604,0.066588
-7.992875,0.076394
-8.981688,0.085958
-9.997957,0.095958
-10.986771,0.105617
-11.975583,0.114993
-12.991853,0.124759
-13.980665,0.134308
-14.996989,0.144138
-15.985749,0.153778
-16.974613,0.163441
-17.990831,0.173116
-18.979698,0.182736
-19.995966,0.192730
-20.984779,0.202237
-21.973593,0.211773
-22.989862,0.221739
-23.978676,0.231256
-24.994999,0.240895
-25.983759,0.250456
-27.000082,0.260328
-27.988842,0.270073
-28.977654,0.279631
-29.993923,0.289261
-30.982737,0.298879
-31.999060,0.308899
-32.987873,0.318453
-33.976685,0.328026
-34.992954,0.337747
-35.981770,0.347203
-36.998093,0.357136
-37.986855,0.366832
-38.975719,0.376271
-39.991932,0.385961
-40.980801,0.395752
-41.997017,0.405613
-42.985882,0.415048
-43.974697,0.424532
-44.990967,0.434365
-45.979778,0.443914
-46.996048,0.453796
-47.984913,0.463467
-48.973728,0.473041
-49.989998,0.482980
-50.978813,0.492478
-51.995083,0.502281
-52.983894,0.511698
-54.000217,0.521637
-54.989029,0.531170
-55.977844,0.540943
-56.994110,0.550850
-57.982929,0.560463
-58.999199,0.569992
-59.988010,0.579533
-60.976871,0.589174
-61.993145,0.599288
-62.981956,0.608814
-63.998226,0.618623
-64.987038,0.628229
-65.975906,0.637824
-66.992180,0.647634
-67.980995,0.657181
-68.997253,0.667128
-69.986069,0.676714
-70.974884,0.686168
-71.991211,0.695897
-72.980019,0.705335
-73.996292,0.715486
-74.985161,0.725005
-75.973915,0.734497
-76.990234,0.744209
-77.979050,0.753977
-78.995323,0.763916
-79.984192,0.773478
-81.000404,0.783366
-81.989273,0.792976
-82.978142,0.802474
-83.994354,0.812199
-84.983215,0.821716
-85.999489,0.831821
-86.988304,0.841386
-87.977112,0.851069
-88.993439,0.860902
-89.982254,0.870424
-90.998520,0.880108
-91.987381,0.889566
-92.976151,0.899477
-93.992470,0.909216
-94.981339,0.918878
-95.997551,0.928680
-96.986420,0.938379
-97.975182,0.947928
-98.991501,0.957820
-99.980316,0.967353
-100.996635,0.977250
-101.985451,0.986856
-103.001717,0.996857
-103.990585,1.006346
-104.979347,1.015956
-105.995674,1.025571
-106.984535,1.035338
-108.000801,1.045283
-108.989616,1.054906
-109.978432,1.064564
-110.994759,1.074470
-111.983620,1.083953
-112.999840,1.093726
-113.988701,1.103181
-114.977516,1.112926
-115.993790,1.122866
-116.982597,1.132545
-117.998917,1.142450
-118.987793,1.152064
-119.976540,1.161744
-120.992874,1.171536
-121.981682,1.181062
-122.998009,1.190741
-123.986816,1.200718
-124.975624,1.210363
-125.991959,1.220015
-126.980713,1.229567
-127.997040,1.239710
-128.985855,1.249181
-130.002182,1.259177
-130.991043,1.268865
-131.979797,1.278478
-132.996124,1.288336
-133.984924,1.297980
-135.001266,1.307781
-135.990128,1.317192
-136.978897,1.326954
-137.995209,1.336761
-138.984009,1.346329
-140.000351,1.356308
-140.989212,1.365990
-141.977966,1.375651
-142.994293,1.385357
-143.983093,1.395086
-144.999435,1.405074
-145.988190,1.414624
-146.977051,1.424028
-147.993378,1.433893
-148.982193,1.443550
-149.998520,1.453486
-150.987274,1.463266
-151.976135,1.473019
-152.992462,1.482774
-153.981277,1.492159
-154.997604,1.502076
-155.986404,1.511812
-157.002731,1.521746
-157.991592,1.531492
-158.980362,1.541175
-159.996674,1.551014
-160.985504,1.560538
-162.001816,1.570297
-162.990631,1.579965
-163.979446,1.589700
-164.995819,1.599464
-165.984589,1.609154
-167.000900,1.619099
-167.989716,1.628906
-168.978577,1.638249
-169.994904,1.648365
-170.983719,1.657770
-172.000046,1.667617
-172.988800,1.677382
-173.977661,1.687146
-174.993927,1.697072
-175.982803,1.706589
-176.999130,1.716378
-177.987946,1.726036
-178.976807,1.735763
-179.993011,1.745866
-180.981888,1.755525
-181.998260,1.765360
-182.987030,1.775132
-184.003342,1.785098
-184.992157,1.794825
-185.981033,1.804352
-186.997345,1.814085
-187.986160,1.823950
-189.002487,1.833845
-189.991287,1.843624
-190.980164,1.853347
-191.996368,1.863209
-192.985306,1.872758
-194.001617,1.882891
-194.990387,1.892654
-195.979248,1.901951
-196.995514,1.911990
-197.984390,1.921722
-199.000702,1.931632
-199.989532,1.941037
-200.978394,1.950763
-201.994644,1.960978
-202.983521,1.970843
-203.999786,1.980889
-204.988647,1.990216
-206.004990,2.000171
-206.993790,2.009967
-207.982666,2.019573
-208.998932,2.029445
-209.987793,2.039466
-211.004120,2.049352
-211.992920,2.059191
-212.981796,2.068478
-213.998062,2.078263
-214.986923,2.088333
-216.003265,2.098260
-216.992065,2.107692
-217.980942,2.117608
-218.997208,2.127718
-219.986069,2.137311
-221.002350,2.147262
-221.991211,2.157209
-222.980072,2.166710
-223.996338,2.176672
-224.985199,2.186636
-226.001480,2.196527
-226.990341,2.206358
-227.979218,2.215900
-228.995483,2.226021
-229.984344,2.235579
-231.000626,2.245872
-231.989487,2.255648
-233.005737,2.265819
-233.994614,2.275421
-234.983490,2.285247
-235.999741,2.295101
-236.988617,2.304286
-238.004898,2.314435
-238.993744,2.324328
