2,Silver Crown,baseline
Steering Wheel Angle,Yaw Rate
288.012573,2.207604
287.023834,2.202810
286.007568,2.192944
285.018768,2.198683
284.002563,2.199019
283.013824,2.190176
281.997528,2.178442
281.008789,2.164990
280.020020,2.150359
279.003784,2.138779
278.014984,2.129196
276.998779,2.119764
276.010010,2.111803
275.021179,2.107680
274.005005,2.099223
273.016235,2.089185
271.999969,2.082106
271.011169,2.073656
270.022430,2.066358
269.006195,2.057057
268.017395,2.050211
267.001190,2.041440
266.012421,2.033859
265.023651,2.025080
264.007385,2.018202
263.018616,2.009236
262.002350,2.001447
261.013611,1.993224
260.024841,1.986016
259.008575,1.976970
258.019806,1.970170
257.003571,1.961883
256.014801,1.953751
254.998566,1.946016
254.009781,1.937938
253.021011,1.929920
252.004791,1.922155
251.015961,1.913997
249.999741,1.906487
249.010956,1.898367
248.022217,1.890515
247.005966,1.882757
246.017166,1.874401
245.000916,1.867053
244.012177,1.858816
243.023422,1.851637
242.007141,1.843102
241.018341,1.835879
240.002121,1.827599
239.013351,1.820198
238.024597,1.812388
237.008316,1.804690
236.019547,1.797600
235.003296,1.789164
234.014542,1.781967
233.025772,1.774071
232.009491,1.766207
231.020752,1.758976
230.004471,1.751350
229.015686,1.743189
227.999451,1.735722
227.010681,1.746173
226.021896,1.731305
225.005646,1.721670
224.016876,1.699108
223.000626,1.704203
222.011841,1.704283
221.023071,1.696772
220.006836,1.687340
219.018051,1.663812
218.001816,1.651642
217.013016,1.662736
216.024261,1.656335
215.007996,1.651883
214.019226,1.648228
213.002960,1.737253
212.014175,1.598472
211.025421,1.685066
210.009140,1.636391
209.020386,1.607212
208.004135,1.598618
207.015366,1.689696
206.026566,1.572258
205.010300,1.673585
204.021530,1.544730
203.005295,1.652504
202.016510,1.573565
201.000275,1.600737
200.011475,1.521441
199.022705,1.584970
198.006454,1.599383
197.017670,1.545062
196.001419,1.579061
195.012619,1.572132
194.023849,1.566042
193.007599,1.559529
192.018814,1.552577
191.002563,1.543687
190.013794,1.533022
189.024994,1.526767
188.008728,1.519058
187.019974,1.510095
186.003708,1.502765
185.014938,1.497470
184.026154,1.488006
183.009888,1.476354
182.021133,1.470553
181.004852,1.461582
180.016098,1.458171
178.999817,1.446303
178.011047,1.437095
177.022247,1.434388
176.005981,1.431189
175.017227,1.414826
174.000961,1.385125
173.012192,1.393536
172.023392,1.375783
171.007111,1.383154
170.018356,1.369273
169.002075,1.359096
168.013321,1.357333
167.024506,1.342509
166.008270,1.334863
165.019485,1.326800
164.003220,1.325113
163.014450,1.311569
162.025650,1.300890
161.009415,1.292382
160.020615,1.284621
159.004333,1.273710
158.015564,1.266830
157.026764,1.259164
156.010544,1.248093
155.021729,1.251163
154.005478,1.236602
153.016708,1.231801
152.000443,1.213525
151.011673,1.185926
150.022858,1.199279
149.006622,1.195408
148.017822,1.186848
147.001556,1.184557
146.012772,1.164772
145.023972,1.165392
144.007736,1.148780
143.018936,1.140167
142.002655,1.132918
141.013901,1.135401
140.025085,1.099993
139.008850,1.089313
138.020050,1.106736
137.003769,1.097237
136.014999,1.101945
135.026199,1.096068
134.009964,1.077421
133.021164,1.065058
132.004913,1.052280
131.016113,1.060112
130.027283,1.050594
129.011078,1.049390
128.022263,1.026174
127.006020,1.030665
126.017204,1.022106
125.000938,1.024310
124.012169,1.001311
123.023369,0.990460
122.007118,0.951404
121.018311,0.974914
120.002029,0.963787
119.013283,0.958882
118.024460,0.957811
117.008224,0.948625
116.019402,0.948082
115.003166,0.933598
114.014351,0.923369
113.025566,0.914507
112.009323,0.911205
111.020508,0.906170
110.004265,0.896392
109.015457,0.883628
108.026642,0.880102
107.010399,0.875095
106.021584,0.867220
105.005371,0.859724
104.016556,0.891624
103.027771,0.841299
102.011497,0.848554
101.022690,0.840565
100.006439,0.832502
99.017632,0.834905
98.001389,0.809417
97.012573,0.751265
96.023758,0.753342
95.007515,0.798970
94.018700,0.788403
93.002457,0.773171
92.013649,0.759346
91.024887,0.748763
90.008591,0.755686
89.019775,0.743614
88.003563,0.740545
87.014717,0.731646
86.025963,0.731232
85.009674,0.705131
84.020859,0.707602
83.004631,0.698719
82.015800,0.699624
81.027039,0.722343
80.010742,0.681644
79.021935,0.697149
78.005684,0.674119
77.016876,0.681176
76.000633,0.673514
75.011818,0.682277
74.023056,0.653252
73.006760,0.656077
72.017944,0.643665
71.001701,0.647862
