2,Skip Barber Formula 2000,baseline
Steering Wheel Angle,Yaw Rate
226.021896,2.456338
225.005646,2.445367
224.016876,2.434144
223.000626,2.422749
222.011841,2.412331
221.023071,2.402026
220.006836,2.391296
219.018051,2.380796
218.001816,2.370029
217.013016,2.358741
216.024261,2.347800
215.007996,2.336246
214.019226,2.325009
213.002960,2.313030
212.014175,2.301097
211.025421,2.290285
210.009140,2.278831
209.020386,2.268228
208.004135,2.256283
207.015366,2.245283
206.026566,2.233800
205.010300,2.222692
204.021530,2.211930
203.005295,2.199967
202.016510,2.189840
201.000275,2.177925
200.011475,2.166433
199.022705,2.155604
198.006454,2.144088
197.017670,2.133245
196.001419,2.122423
195.012619,2.110898
194.023849,2.100648
193.007599,2.088479
192.018814,2.077466
191.002563,2.067055
190.013794,2.054902
189.024994,2.044490
188.008728,2.032950
187.019974,2.022901
186.003708,2.010346
185.014938,1.999705
184.026154,1.988626
183.009888,1.977386
182.021133,1.966343
181.004852,1.955648
180.016098,1.944163
178.999817,1.933625
178.011047,1.922176
177.022247,1.911377
176.005981,1.900278
175.017227,1.888896
174.000961,1.878255
173.012192,1.866315
172.023392,1.856055
171.007111,1.844614
170.018356,1.834154
169.002075,1.822602
168.013321,1.812016
167.024506,1.800753
166.008270,1.790312
165.019485,1.778725
164.003220,1.767410
163.014450,1.757105
162.025650,1.745648
161.009415,1.734738
160.020615,1.723503
159.004333,1.712424
158.015564,1.702160
157.026764,1.690668
156.010544,1.679793
155.021729,1.668954
154.005478,1.657848
153.016708,1.647542
152.000443,1.635544
151.011673,1.625183
150.022858,1.614671
149.006622,1.602918
148.017822,1.592088
147.001556,1.581618
146.012772,1.570299
145.023972,1.559378
144.007736,1.548822
143.018936,1.537419
142.002655,1.526517
141.013901,1.515621
140.025085,1.505110
139.008850,1.494174
138.020050,1.483336
137.003769,1.472397
136.014999,1.461245
135.026199,1.450660
134.009964,1.439442
133.021164,1.428662
132.004913,1.417489
131.016113,1.406849
130.027283,1.396238
129.011078,1.385136
128.022263,1.374256
127.006020,1.363306
126.017204,1.352382
125.000938,1.341368
124.012169,1.330612
123.023369,1.319927
122.007118,1.308812
121.018311,1.298258
120.002029,1.287075
119.013283,1.276582
118.024460,1.266274
117.008224,1.254540
116.019402,1.243835
115.003166,1.232845
114.014351,1.222122
113.025566,1.211500
112.009323,1.200742
111.020508,1.190290
110.004265,1.179214
109.015457,1.168003
108.026642,1.157401
107.010399,1.146479
106.021584,1.135608
105.005371,1.124624
104.016556,1.114043
103.027771,1.103287
102.011497,1.092334
101.022690,1.081655
100.006439,1.070903
99.017632,1.059868
98.001389,1.049665
97.012573,1.038478
96.023758,1.027691
95.007515,1.017455
94.018700,1.005989
93.002457,0.995808
92.013649,0.984226
91.024887,0.974516
90.008591,0.962822
89.019775,0.952519
88.003563,0.941804
87.014717,0.930691
86.025963,0.920581
85.009674,0.909336
84.020859,0.898456
83.004631,0.888211
82.015800,0.876797
81.027039,0.866761
80.010742,0.855387
79.021935,0.845309
78.005684,0.833778
77.016876,0.823501
76.000633,0.812791
75.011818,0.801829
74.023056,0.791532
73.006760,0.780258
72.017944,0.769999
71.001701,0.758747
70.012894,0.748425
69.024109,0.737661
68.007835,0.726760
67.018997,0.716492
66.002754,0.705314
65.013939,0.694550
64.025177,0.684180
63.008881,0.673540
62.020069,0.662412
61.003826,0.651900
60.015011,0.641442
59.026226,0.630415
58.009926,0.619574
57.021172,0.609354
56.004875,0.598416
55.016060,0.587489
54.027275,0.577037
53.011005,0.566521
52.022217,0.555654
51.005924,0.544609
50.017109,0.534413
49.000866,0.523219
48.012054,0.512926
47.023270,0.502213
46.006969,0.491307
45.018211,0.480992
44.001915,0.469242
43.013073,0.459635
42.024315,0.448679
41.008018,0.437832
40.019230,0.427514
39.002964,0.416205
38.014122,0.406133
37.025364,0.395425
36.009068,0.384340
35.020279,0.373907
34.003983,0.363351
33.015167,0.352325
32.026382,0.341793
31.010088,0.331255
30.021326,0.320596
29.005032,0.309396
28.016247,0.299274
27.027433,0.288717
26.011137,0.277571
25.022348,0.267333
24.006052,0.256464
23.017294,0.245507
22.000998,0.234987
