2,Sprint Car,baseline
Steering Wheel Angle,Yaw Rate
112.009323,3.365018
111.020508,3.332074
110.004265,3.303468
109.015457,3.085639
108.026642,3.121692
107.010399,3.110011
106.021584,3.086711
105.005371,3.038614
104.016556,2.991152
103.027771,2.944438
102.011497,2.875711
101.022690,2.828534
100.006439,2.837466
99.017632,2.931807
98.001389,2.861028
97.012573,2.833797
96.023758,2.796465
95.007515,2.764115
94.018700,2.733950
93.002457,2.706878
92.013649,2.679345
91.024887,2.655387
90.008591,2.616156
89.019775,2.573095
88.003563,2.531173
87.014717,2.495050
86.025963,2.461194
85.009674,2.427452
84.020859,2.397397
83.004631,2.367755
82.015800,2.331165
81.027039,2.301138
80.010742,2.265639
79.021935,2.232386
78.005684,2.198696
77.016876,2.165341
76.000633,2.131675
75.011818,2.101328
74.023056,2.069068
73.006760,2.036363
72.017944,2.003822
71.001701,1.970533
70.012894,1.938603
69.024109,1.907226
68.007835,1.875315
67.018997,1.843593
66.002754,1.812674
65.013939,1.781537
64.025177,1.752035
63.008881,1.719350
62.020069,1.687869
61.003826,1.657975
60.015011,1.625794
59.026226,1.595580
58.009926,1.564917
57.021172,1.533686
56.004875,1.502819
55.016060,1.474086
54.027275,1.443071
53.011005,1.414887
52.022217,1.385661
51.005924,1.355670
50.017109,1.327800
49.000866,1.300731
48.012054,1.272637
47.023270,1.244826
46.006969,1.216987
45.018211,1.191135
44.001915,1.168895
43.013073,1.145200
42.024315,1.115100
41.008018,1.099373
40.019230,1.078486
39.002964,1.060912
38.014122,1.041568
37.025364,1.023950
36.009068,1.004776
35.020279,0.986273
34.003983,0.968167
33.015167,0.948973
32.026382,0.930586
31.010088,0.912087
30.021326,0.893001
29.005032,0.874532
28.016247,0.855760
27.027433,0.837309
26.011137,0.818089
25.022348,0.799456
24.006052,0.780395
23.017294,0.761624
22.000998,0.742573
21.012157,0.723896
20.023371,0.705167
19.007101,0.686287
18.018314,0.667610
17.002018,0.648532
16.013233,0.629853
15.024419,0.611616
14.008123,0.593076
13.019336,0.574971
12.003040,0.556881
11.014254,0.538969
10.025441,0.521299
9.009144,0.503190
8.020358,0.485570
7.004062,0.467621
6.015275,0.450069
5.026462,0.432723
4.010166,0.414945
3.021353,0.397664
2.005083,0.380132
1.016323,0.362897
0.000000,0.345325
-0.988760,0.328291
-1.977626,0.311051
-2.993896,0.293718
-3.982709,0.276750
-4.998979,0.259313
-5.987792,0.242551
-6.976604,0.225652
-7.992875,0.208531
-8.981688,0.191921
-9.997957,0.174712
-10.986771,0.158262
-11.975583,0.141941
-12.991853,0.125218
-13.980665,0.109003
-14.996989,0.092463
-15.985749,0.076364
-16.974613,0.060072
-17.990831,0.043847
-18.979698,0.025835
-19.995966,0.072342
-20.984779,0.103543
-21.973593,0.123505
-22.989862,0.134502
-23.978676,0.152988
-24.994999,0.169445
-25.983759,0.190088
-27.000082,0.210751
-27.988842,0.216754
-28.977654,0.234985
-29.993923,0.257404
-30.982737,0.276502
-31.999060,0.300469
-32.987873,0.318198
-33.976685,0.335430
-34.992954,0.361284
-35.981770,0.379597
-36.998093,0.403000
-37.986855,0.419315
-38.975719,0.440592
-39.991932,0.464711
-40.980801,0.480952
-41.997017,0.502364
-42.985882,0.524675
-43.974697,0.540404
-44.990967,0.563124
-45.979778,0.586655
-46.996048,0.601835
-47.984913,0.624658
-48.973728,0.645987
-49.989998,0.666682
-50.978813,0.688514
-51.995083,0.708323
-52.983894,0.731057
-54.000217,0.749956
-54.989029,0.769723
-55.977844,0.791502
-56.994110,0.811454
-57.982929,0.834819
-58.999199,0.852528
-59.988010,0.872682
-60.976871,0.903404
-61.993145,0.925548
-62.981956,0.946715
-63.998226,0.975429
-64.987038,0.987066
-65.975906,1.014743
-66.992180,1.030709
-67.980995,1.058929
-68.997253,1.074203
-69.986069,1.103200
-70.974884,1.117066
-71.991211,1.145791
-72.980019,1.163847
-73.996292,1.182493
-74.985161,1.211044
-75.973915,1.228922
-76.990234,1.255565
-77.979050,1.275532
-78.995323,1.298563
-79.984192,1.322137
-81.000404,1.346283
-81.989273,1.364181
-82.978142,1.398270
-83.994354,1.412216
-84.983215,1.434608
-85.999489,1.465186
-86.988304,1.484397
-87.977112,1.510436
-88.993439,1.534105
-89.982254,1.557503
-90.998520,1.579340
-91.987381,1.611102
-92.976151,1.631644
-93.992470,1.658560
-94.981339,1.688536
-95.997551,1.707396
-96.986420,1.741506
-97.975182,1.761868
-98.991501,1.792156
-99.980316,1.833159
-100.996635,1.854371
-101.985451,1.884018
-103.001717,1.917499
-103.990585,1.946504
-104.979347,1.980136
-105.995674,2.012459
-106.984535,2.049510
-108.000801,2.080684
-108.989616,2.109921
-109.978432,2.142787
-110.994759,2.172909
-111.983620,2.203669
-112.999840,2.234987
-113.988701,2.262354
-114.977516,2.290454
-115.993790,2.354475
-116.982597,2.347803
-117.998917,2.421423
-118.987793,2.442329
-119.976540,2.489027
-120.992874,2.496428
-121.981682,2.275594
-122.998009,2.413827
-123.986816,2.432280
-124.975624,2.453718
-125.991959,2.486160
-126.980713,2.514275
-127.997040,2.543986
-128.985855,2.573307
-130.002182,2.602042
-130.991043,2.630927
-131.979797,2.659812
