2,Stock Non-Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
143.018936,7.324782
142.002655,7.115607
141.013901,7.127203
140.025085,7.009591
139.008850,6.796646
138.020050,6.580691
137.003769,6.394314
136.014999,6.245313
135.026199,6.132883
134.009964,6.055620
133.021164,6.010517
132.004913,5.994212
131.016113,6.002745
130.027283,6.032757
129.011078,6.080431
128.022263,6.142234
127.006020,6.214732
126.017204,6.293831
125.000938,6.375361
124.012169,6.455027
123.023369,6.529392
122.007118,6.594573
121.018311,6.647725
120.002029,6.682413
119.013283,6.683483
118.024460,6.611833
117.008224,6.549706
116.019402,6.426554
115.003166,6.247543
114.014351,6.201424
113.025566,6.134633
112.009323,5.921443
111.020508,5.795543
110.004265,5.809842
109.015457,5.605286
108.026642,5.489170
107.010399,5.390892
106.021584,5.207453
105.005371,5.196015
104.016556,5.167671
103.027771,5.121382
102.011497,5.034641
101.022690,4.862851
100.006439,4.859028
99.017632,4.775738
98.001389,4.702106
97.012573,4.642479
96.023758,4.587345
95.007515,4.531613
94.018700,4.479586
93.002457,4.418825
92.013649,4.356051
91.024887,4.294614
90.008591,4.163141
89.019775,4.136115
88.003563,4.059147
87.014717,4.010003
86.025963,3.955559
85.009674,3.897189
84.020859,3.835200
83.004631,3.768122
82.015800,3.705839
81.027039,3.645872
80.010742,3.584652
79.021935,3.522547
78.005684,3.462016
77.016876,3.402680
76.000633,3.339443
75.011818,3.283349
74.023056,3.228966
73.006760,3.171825
72.017944,3.118289
71.001701,3.062406
70.012894,3.009261
69.024109,2.955823
68.007835,2.901948
67.018997,2.849294
66.002754,2.794137
65.013939,2.743297
64.025177,2.690990
63.008881,2.637362
62.020069,2.586684
61.003826,2.533322
60.015011,2.482874
59.026226,2.431742
58.009926,2.381023
57.021172,2.331178
56.004875,2.279328
55.016060,2.230304
54.027275,2.180709
53.011005,2.130229
52.022217,2.224502
51.005924,2.160461
50.017109,2.110004
49.000866,2.051637
48.012054,2.083751
47.023270,2.035943
46.006969,1.979722
45.018211,1.927564
44.001915,1.874505
43.013073,1.827885
42.024315,1.774239
41.008018,1.722182
40.019230,1.672147
39.002964,1.618268
38.014122,1.566688
37.025364,1.519813
36.009068,1.471594
35.020279,1.432261
34.003983,1.355205
33.015167,1.336205
32.026382,1.298660
31.010088,1.270874
30.021326,1.237531
29.005032,1.205121
28.016247,1.173435
27.027433,1.143820
26.011137,1.112872
25.022348,1.081896
24.006052,1.048629
23.017294,1.017461
22.000998,0.985845
21.012157,0.956695
20.023371,0.922668
19.007101,0.892642
18.018314,0.863831
17.002018,0.832350
16.013233,0.800528
15.024419,0.772723
14.008123,0.738921
13.019336,0.712119
12.003040,0.681009
11.014254,0.648494
10.025441,0.619843
9.009144,0.588774
8.020358,0.559919
7.004062,0.401909
6.015275,0.302120
5.026462,0.258493
4.010166,0.223917
3.021353,0.194233
2.005083,0.151996
1.016323,0.121972
0.000000,0.086163
-0.988760,0.051846
-1.977626,0.016777
-2.993896,0.019965
-3.982709,0.056104
-4.998979,0.093971
-5.987792,0.131090
-6.976604,0.168592
-7.992875,0.206895
