2,Stock Winged Micro Sprint,baseline
Steering Wheel Angle,Yaw Rate
131.016113,5.791276
130.027283,5.686194
129.011078,5.564209
128.022263,5.537640
127.006020,5.519800
126.017204,5.602749
125.000938,5.604982
124.012169,5.579157
123.023369,5.562967
122.007118,5.461153
121.018311,5.439324
120.002029,5.286062
119.013283,5.195366
118.024460,5.188429
117.008224,5.091589
116.019402,5.057349
115.003166,4.779605
114.014351,4.690618
113.025566,4.668978
112.009323,4.617667
111.020508,4.595678
110.004265,4.523177
109.015457,4.444616
108.026642,4.383568
107.010399,4.327934
106.021584,4.283172
105.005371,4.240662
104.016556,4.198270
103.027771,4.156681
102.011497,4.111358
101.022690,4.065513
100.006439,4.010141
99.017632,3.951848
98.001389,3.892241
97.012573,3.834953
96.023758,3.778882
95.007515,3.725800
94.018700,3.672786
93.002457,3.618406
92.013649,3.566233
91.024887,3.514509
90.008591,3.460618
89.019775,3.410106
88.003563,3.357212
87.014717,3.306724
86.025963,3.255996
85.009674,3.204300
84.020859,3.153993
83.004631,3.103924
82.015800,3.055274
81.027039,3.007055
80.010742,2.957226
79.021935,2.909527
78.005684,2.860293
77.016876,2.812765
76.000633,2.764301
75.011818,2.717366
74.023056,2.670840
73.006760,2.622561
72.017944,2.578754
71.001701,2.533229
70.012894,2.491084
69.024109,2.447375
68.007835,2.404464
67.018997,2.361706
66.002754,2.319154
65.013939,2.277827
64.025177,2.236128
63.008881,2.193944
62.020069,2.152731
61.003826,2.110950
60.015011,2.069843
59.026226,2.029683
58.009926,1.988715
57.021172,1.949231
56.004875,2.042047
55.016060,1.998146
54.027275,1.955921
53.011005,1.911012
52.022217,1.936538
51.005924,1.896104
50.017109,1.851635
49.000866,1.807539
48.012054,1.766542
47.023270,1.726628
46.006969,1.691470
45.018211,1.665102
44.001915,1.589213
43.013073,1.578432
42.024315,1.544470
41.008018,1.521375
40.019230,1.491881
39.002964,1.468758
38.014122,1.441616
37.025364,1.416514
36.009068,1.385623
35.020279,1.359599
34.003983,1.332478
33.015167,1.309473
32.026382,1.282625
31.010088,1.254697
30.021326,1.229050
29.005032,1.199223
28.016247,1.173121
27.027433,1.150054
26.011137,1.120986
25.022348,1.096303
24.006052,1.069047
23.017294,1.046837
22.000998,1.018424
21.012157,0.995202
20.023371,0.967321
19.007101,0.942921
18.018314,0.917750
17.002018,0.891007
16.013233,0.865892
15.024419,0.840762
14.008123,0.683862
13.019336,0.626744
12.003040,0.596522
11.014254,0.571168
10.025441,0.542035
9.009144,0.512425
8.020358,0.482491
7.004062,0.451781
6.015275,0.421239
5.026462,0.390415
4.010166,0.358542
3.021353,0.326756
2.005083,0.294666
1.016323,0.262164
0.000000,0.229536
-0.988760,0.196252
-1.977626,0.165722
-2.993896,0.130959
-3.982709,0.098713
-4.998979,0.063941
-5.987792,0.032542
-6.976604,0.001774
-7.992875,0.036148
-8.981688,0.066285
-9.997957,0.104665
-10.986771,0.132592
-11.975583,0.168758
-12.991853,0.267291
-13.980665,0.309786
-14.996989,0.354049
-15.985749,0.380941
-16.974613,0.422133
-17.990831,0.457415
-18.979698,0.490017
-19.995966,0.529895
-20.984779,0.562849
-21.973593,0.595883
-22.989862,0.635481
-23.978676,0.668702
-24.994999,0.705921
-25.983759,0.740903
-27.000082,0.776479
-27.988842,0.815021
-28.977654,0.846874
-29.993923,0.887931
-30.982737,0.919604
-31.999060,0.961630
-32.987873,0.992390
-33.976685,1.035640
-34.992954,1.066590
-35.981770,1.109101
-36.998093,1.142512
-37.986855,1.184658
-38.975719,1.218052
-39.991932,1.261030
-40.980801,1.295785
-41.997017,1.338425
-42.985882,1.375730
-43.974697,1.414845
-44.990967,1.458710
-45.979778,1.494930
-46.996048,1.540222
-47.984913,1.580935
-48.973728,1.621767
-49.989998,1.668029
-50.978813,1.710161
-51.995083,1.753056
-52.983894,1.799242
-54.000217,1.845339
-54.989029,1.889243
-55.977844,1.939039
-56.994110,1.986705
-57.982929,2.037455
-58.999199,2.088921
-59.988010,2.139121
-60.976871,2.197205
-61.993145,2.246617
-62.981956,2.306759
-63.998226,2.363681
-64.987038,2.413973
-65.975906,2.470148
-66.992180,2.534579
-67.980995,2.594692
-68.997253,2.643376
-69.986069,2.699442
-70.974884,2.764788
-71.991211,2.833279
-72.980019,2.873647
-73.996292,2.930283
-74.985161,2.992424
-75.973915,3.041534
-76.990234,3.087472
-77.979050,3.146009
-78.995323,3.210312
-79.984192,3.262633
-81.000404,3.308534
-81.989273,3.367923
-82.978142,3.430410
-83.994354,3.482691
-84.983215,3.528654
-85.999489,3.590707
-86.988304,3.652031
-87.977112,3.717680
-88.993439,3.782670
-89.982254,3.858047
-90.998520,3.926589
-91.987381,3.984037
-92.976151,4.067063
-93.992470,4.083864
-94.981339,4.164325
-95.997551,4.228419
-96.986420,4.287085
-97.975182,4.346704
-98.991501,4.416409
-99.980316,4.475244
-100.996635,4.539770
-101.985451,4.609044
-103.001717,4.673941
-103.990585,4.736619
-104.979347,4.810393
-105.995674,4.879031
-106.984535,4.942103
-108.000801,5.022202
-108.989616,5.090143
-109.978432,5.158697
-110.994759,5.237781
-111.983620,5.307775
-112.999840,5.380496
-113.988701,5.454594
-114.977516,5.528779
-115.993790,5.569070
-116.982597,5.609277
-117.998917,4.506330
-118.987793,4.142963
-119.976540,4.243738
-120.992874,4.332665
-121.981682,4.419670
-122.998009,4.368992
-123.986816,4.525146
-124.975624,4.575641
-125.991959,4.592101
-126.980713,4.766564
-127.997040,4.736228
-128.985855,4.876158
-130.002182,4.924335
-130.991043,4.920751
