2,Street Stock,baseline
Steering Wheel Angle,Yaw Rate
235.003296,3.419340
234.014542,3.397370
233.025772,3.385095
232.009491,3.367646
231.020752,3.352151
230.004471,3.334929
229.015686,3.313921
227.999451,3.299949
227.010681,3.286018
226.021896,3.270300
225.005646,3.254236
224.016876,3.234769
223.000626,3.218333
222.011841,3.203360
221.023071,3.184803
220.006836,3.171849
219.018051,3.157330
218.001816,3.139858
217.013016,3.123039
216.024261,3.104286
215.007996,3.088088
214.019226,3.072833
213.002960,3.057816
212.014175,3.044323
211.025421,3.025905
210.009140,3.007177
209.020386,2.990988
208.004135,2.974775
207.015366,2.961353
206.026566,2.947173
205.010300,2.928424
204.021530,2.910834
203.005295,2.892779
202.016510,2.878473
201.000275,2.864654
200.011475,2.849807
199.022705,2.831881
198.006454,2.813967
197.017670,2.796643
196.001419,2.780362
195.012619,2.769347
194.023849,2.754077
193.007599,2.732755
192.018814,2.721890
191.002563,2.706669
190.013794,2.684706
189.024994,2.671015
188.008728,2.658112
187.019974,2.635888
186.003708,2.621164
185.014938,2.606927
184.026154,2.586945
183.009888,2.571661
182.021133,2.559881
181.004852,2.537702
180.016098,2.525132
178.999817,2.513200
178.011047,2.497597
177.022247,2.478185
176.005981,2.461242
175.017227,2.445714
174.000961,2.427107
173.012192,2.416497
172.023392,2.402395
171.007111,2.385661
170.018356,2.367771
169.002075,2.349451
168.013321,2.333289
167.024506,2.319197
166.008270,2.306794
165.019485,2.292404
164.003220,2.272464
163.014450,2.256200
162.025650,2.238341
161.009415,2.222855
160.020615,2.212348
159.004333,2.197565
158.015564,2.178067
157.026764,2.162255
156.010544,2.144557
155.021729,2.127584
154.005478,2.113266
153.016708,2.103446
152.000443,2.086008
151.011673,2.067636
150.022858,2.049308
149.006622,2.034805
148.017822,2.024722
147.001556,2.005946
146.012772,1.990607
145.023972,1.971175
144.007736,1.955853
143.018936,1.946481
142.002655,1.928662
141.013901,1.910248
140.025085,1.893082
139.008850,1.879539
138.020050,1.867663
137.003769,1.851989
136.014999,1.832549
135.026199,1.814640
134.009964,1.801069
133.021164,1.790504
132.004913,1.773706
131.016113,1.755021
130.027283,1.736908
129.011078,1.724745
128.022263,1.713323
127.006020,1.695336
126.017204,1.676369
125.000938,1.659303
124.012169,1.648836
123.023369,1.636021
122.007118,1.617243
121.018311,1.600729
120.002029,1.582214
119.013283,1.570454
118.024460,1.559530
117.008224,1.541443
116.019402,1.524406
115.003166,1.506165
114.014351,1.542237
113.025566,1.562772
112.009323,1.549587
111.020508,1.535524
110.004265,1.523203
109.015457,1.519251
108.026642,1.518360
107.010399,1.468652
106.021584,1.495151
105.005371,1.537669
104.016556,1.373133
103.027771,1.414954
102.011497,1.389276
101.022690,1.382741
100.006439,1.520039
99.017632,1.398723
98.001389,1.380409
97.012573,1.310564
96.023758,1.297990
95.007515,1.288037
94.018700,1.293792
93.002457,1.268597
92.013649,1.255602
91.024887,1.304119
90.008591,1.193929
89.019775,1.251034
88.003563,1.388280
87.014717,1.053016
86.025963,1.107020
85.009674,1.126789
84.020859,1.117211
83.004631,1.103984
82.015800,1.093396
81.027039,1.082687
80.010742,1.072032
79.021935,1.062172
78.005684,1.051477
77.016876,1.041491
76.000633,1.031362
75.011818,1.021259
74.023056,1.011328
73.006760,1.001879
72.017944,0.991754
71.001701,0.981469
70.012894,0.971904
69.024109,0.961529
68.007835,0.951565
67.018997,0.941892
66.002754,0.931977
65.013939,0.922696
64.025177,0.912695
63.008881,0.902265
62.020069,0.891959
61.003826,0.880872
60.015011,0.870080
59.026226,0.859648
58.009926,0.848941
57.021172,0.838843
56.004875,0.828539
55.016060,0.818441
54.027275,0.809157
53.011005,0.799445
52.022217,0.789963
51.005924,0.779405
50.017109,0.769189
49.000866,0.758512
48.012054,0.747762
47.023270,0.737242
46.006969,0.726672
45.018211,0.716475
44.001915,0.706053
43.013073,0.696327
42.024315,0.686911
41.008018,0.677069
40.019230,0.667805
39.002964,0.657983
38.014122,0.647833
37.025364,0.637430
36.009068,0.626634
35.020279,0.616068
34.003983,0.605314
33.015167,0.595264
32.026382,0.585002
31.010088,0.574955
30.021326,0.565642
29.005032,0.555784
28.016247,0.546578
27.027433,0.536725
26.011137,0.526053
25.022348,0.515727
24.006052,0.504513
23.017294,0.494343
22.000998,0.483551
21.012157,0.473191
20.023371,0.462998
19.007101,0.453315
18.018314,0.443411
17.002018,0.433775
16.013233,0.424887
15.024419,0.414829
14.008123,0.404709
13.019336,0.394350
12.003040,0.383334
11.014254,0.379515
10.025441,0.366624
9.009144,0.356373
8.020358,0.379730
7.004062,0.362942
6.015275,0.347277
5.026462,0.349573
4.010166,0.334662
3.021353,0.318460
2.005083,0.312962
1.016323,0.290323
0.000000,0.269231
-0.988760,0.256596
-1.977626,0.252300
-2.993896,0.237264
-3.982709,0.217798
-4.998979,0.197534
-5.987792,0.184948
-6.976604,0.179450
-7.992875,0.166545
-8.981688,0.143080
-9.997957,0.124493
-10.986771,0.114076
-11.975583,0.109820
-12.991853,0.090806
-13.980665,0.066817
-14.996989,0.053946
-15.985749,0.049145
-16.974613,0.035042
-17.990831,0.007465
-18.979698,0.013814
-19.995966,0.010985
-20.984779,0.025202
-21.973593,0.046054
-22.989862,0.066330
-23.978676,0.076138
-24.994999,0.081062
-25.983759,0.102542
-27.000082,0.121110
-27.988842,0.141118
-28.977654,0.153634
-29.993923,0.159761
-30.982737,0.171451
-31.999060,0.192021
-32.987873,0.215205
-33.976685,0.231166
-34.992954,0.238502
-35.981770,0.246758
-36.998093,0.266223
-37.986855,0.288381
-38.975719,0.307297
-39.991932,0.313974
-40.980801,0.321279
-41.997017,0.341324
-42.985882,0.362673
-43.974697,0.381493
-44.990967,0.393488
-45.979778,0.401446
-46.996048,0.415125
-47.984913,0.431874
-48.973728,0.457273
-49.989998,0.470378
-50.978813,0.483766
-51.995083,0.496536
-52.983894,0.503409
-54.000217,0.521177
-54.989029,0.544783
-55.977844,0.562297
-56.994110,0.573700
-57.982929,0.592760
-58.999199,0.604363
-59.988010,0.612647
-60.976871,0.627872
-61.993145,0.653605
-62.981956,0.671409
-63.998226,0.681571
-64.987038,0.689606
-65.975906,0.703361
-66.992180,0.723676
-67.980995,0.747739
-68.997253,0.764348
-69.986069,0.771625
-70.974884,0.779767
-71.991211,0.798798
-72.980019,0.818938
-73.996292,0.839407
-74.985161,0.856025
-75.973915,0.861660
-76.990234,0.871898
-77.979050,0.892031
-78.995323,0.913829
-79.984192,0.931008
-81.000404,0.947239
-81.989273,0.955832
-82.978142,0.963686
-83.994354,0.984428
-84.983215,1.006958
