2,Street Stock Casino,baseline
Steering Wheel Angle,Yaw Rate
435.997009,3.348280
435.008270,3.339499
433.992065,3.331166
433.003296,3.335322
432.014557,3.337502
430.998322,3.337681
430.009583,3.327851
428.993378,3.318728
428.004639,3.310553
427.015869,3.292213
425.999664,3.288510
425.010895,3.281985
423.994690,3.274843
423.005920,3.267650
422.017181,3.259928
421.000977,3.251752
420.012207,3.241342
418.996002,3.234901
418.007233,3.220697
417.018494,3.215990
416.002289,3.200754
415.013519,3.194685
413.997314,3.184373
413.008545,3.179238
412.019775,3.176110
411.003571,3.167193
410.014801,3.160817
408.998596,3.152592
408.009827,3.142462
406.993622,3.135260
406.004883,3.123954
405.016113,3.115964
403.999908,3.105891
403.011139,3.095251
401.994934,3.087841
401.006165,3.077435
400.017426,3.073163
399.001190,3.067064
398.012421,3.060950
396.996216,3.050796
396.007446,3.035265
395.018738,3.035545
394.002472,3.022202
393.013733,3.020790
391.997498,3.010662
391.008759,2.994125
390.020020,2.994466
389.003754,2.980620
388.015015,2.980868
386.998810,2.968232
386.010040,2.953409
384.993805,2.951967
384.005035,2.937555
383.016296,2.940290
382.000092,2.930367
381.011322,2.922391
379.995087,2.913746
379.006317,2.901626
378.017578,2.894202
377.001373,2.881379
376.012604,2.872047
374.996338,2.865928
374.007629,2.855678
373.018890,2.851812
372.002625,2.846490
371.013855,2.840325
369.997650,2.832668
369.008911,2.824642
368.020142,2.815498
367.003906,2.805560
366.015137,2.794892
364.998932,2.787522
364.010193,2.777859
363.021423,2.768743
362.005157,2.761540
361.016418,2.757634
360.000214,2.749472
359.011444,2.743062
357.995178,2.736525
357.006439,2.725653
356.017670,2.719945
355.001465,2.710065
354.012695,2.693527
352.996490,2.691567
352.007721,2.677651
351.018951,2.677411
350.002716,2.671146
349.013947,2.660077
347.997711,2.654360
347.008942,2.639992
346.020203,2.635109
345.003998,2.622403
344.015228,2.617522
342.998962,2.609594
342.010223,2.605675
341.021454,2.597205
340.005219,2.591472
339.016449,2.583846
338.000214,2.572625
337.011475,2.565033
336.022736,2.554694
335.006500,2.546154
334.017700,2.538314
333.001465,2.530115
332.012726,2.521136
330.996490,2.512285
330.007721,2.503279
329.018951,2.496405
328.002747,2.487826
327.013977,2.480827
325.997711,2.470909
325.008972,2.463332
324.020203,2.454438
323.003998,2.445114
322.015228,2.438716
320.998962,2.429457
320.010193,2.423998
319.021454,2.416506
