2,Street Stock Eagle,baseline
Steering Wheel Angle,Yaw Rate
435.997009,3.348175
435.008270,3.339116
433.992065,3.331078
433.003296,3.335925
432.014557,3.338067
430.998322,3.338309
430.009583,3.328440
428.993378,3.319287
428.004639,3.311134
427.015869,3.293669
425.999664,3.286537
425.010895,3.278429
423.994690,3.267442
423.005920,3.263554
422.017181,3.256869
421.000977,3.251026
420.012207,3.245179
418.996002,3.231205
418.007233,3.225445
417.018494,3.213299
416.002289,3.202686
415.013519,3.200040
413.997314,3.186730
413.008545,3.186625
412.019775,3.177793
411.003571,3.160369
410.014801,3.158597
408.998596,3.144495
408.009827,3.139844
406.993622,3.132741
406.004883,3.126120
405.016113,3.119344
403.999908,3.112933
403.011139,3.099600
401.994934,3.095034
401.006165,3.082242
400.017426,3.077670
399.001190,3.063398
398.012421,3.055734
396.996216,3.047840
396.007446,3.036561
395.018738,3.029624
394.002472,3.020761
393.013733,3.014526
391.997498,3.007056
391.008759,3.001811
390.020020,2.995913
389.003754,2.990065
388.015015,2.973921
386.998810,2.970964
386.010040,2.954352
384.993805,2.950622
384.005035,2.948301
383.016296,2.932395
382.000092,2.930580
381.011322,2.913544
379.995087,2.911191
379.006317,2.901054
378.017578,2.893957
377.001373,2.890812
376.012604,2.882269
374.996338,2.869856
374.007629,2.863596
373.018890,2.852439
372.002625,2.840632
371.013855,2.840166
369.997650,2.826919
369.008911,2.824990
368.020142,2.813194
367.003906,2.797850
366.015137,2.797741
364.998932,2.783961
364.010193,2.782073
363.021423,2.774118
362.005157,2.766711
361.016418,2.759738
360.000214,2.746559
359.011444,2.741592
357.995178,2.725471
357.006439,2.723462
356.017670,2.720066
355.001465,2.703409
354.012695,2.699956
352.996490,2.685613
352.007721,2.684327
351.018951,2.679302
350.002716,2.661722
349.013947,2.659419
347.997711,2.646357
347.008942,2.643924
346.020203,2.636371
345.003998,2.627797
344.015228,2.624970
342.998962,2.614990
342.010223,2.607561
341.021454,2.599308
340.005219,2.587914
339.016449,2.578554
338.000214,2.569705
337.011475,2.560782
336.022736,2.553370
335.006500,2.544572
334.017700,2.536582
333.001465,2.528743
332.012726,2.522259
330.996490,2.512928
330.007721,2.506023
329.018951,2.497403
