2,Street Stock Panther,baseline
Steering Wheel Angle,Yaw Rate
435.997009,3.310720
435.008270,3.305300
433.992065,3.251321
433.003296,3.265043
432.014557,3.265640
430.998322,3.270468
430.009583,3.275937
428.993378,3.273236
428.004639,3.341162
427.015869,3.146209
425.999664,3.180212
425.010895,3.166151
423.994690,3.231110
423.005920,3.261572
422.017181,3.271076
421.000977,3.271393
420.012207,3.253705
418.996002,3.239547
418.007233,3.228434
417.018494,3.223757
416.002289,3.218754
415.013519,3.223347
413.997314,3.230199
413.008545,3.270438
412.019775,3.200194
411.003571,3.018925
410.014801,2.966405
408.998596,3.103471
408.009827,3.123732
406.993622,3.120551
406.004883,3.101592
405.016113,3.079894
403.999908,3.060619
403.011139,3.047970
401.994934,3.042544
401.006165,3.050038
400.017426,3.058235
399.001190,3.072310
398.012421,3.094626
396.996216,3.098736
396.007446,3.108516
395.018738,3.080917
394.002472,2.862750
393.013733,2.914513
391.997498,2.969668
391.008759,2.982178
390.020020,2.988589
389.003754,2.996335
388.015015,2.996863
386.998810,2.990172
386.010040,2.993627
384.993805,2.998891
384.005035,3.004462
383.016296,3.010959
382.000092,2.996446
381.011322,2.967148
379.995087,2.927906
379.006317,2.863656
378.017578,2.797185
377.001373,2.745326
376.012604,2.710627
374.996338,2.700772
374.007629,2.720564
373.018890,2.754219
372.002625,2.792443
371.013855,2.814431
369.997650,2.832086
369.008911,2.843474
368.020142,2.855369
367.003906,2.866679
366.015137,2.859014
364.998932,2.821269
364.010193,2.772288
363.021423,2.707173
362.005157,2.642360
361.016418,2.599108
360.000214,2.587336
359.011444,2.613730
357.995178,2.649462
357.006439,2.689156
356.017670,2.708879
355.001465,2.725561
354.012695,2.738200
352.996490,2.754559
352.007721,2.726206
351.018951,2.668236
350.002716,2.585468
349.013947,2.520241
347.997711,2.487480
347.008942,2.505502
346.020203,2.548798
345.003998,2.586222
344.015228,2.605043
342.998962,2.619536
342.010223,2.637452
341.021454,2.647990
340.005219,2.616635
339.016449,2.550313
338.000214,2.467294
337.011475,2.410516
336.022736,2.415360
335.006500,2.452714
334.017700,2.500077
333.001465,2.518997
332.012726,2.533322
330.996490,2.553641
330.007721,2.547220
329.018951,2.495369
328.002747,2.408977
327.013977,2.342243
325.997711,2.322060
325.008972,2.358140
324.020203,2.404876
323.003998,2.426352
322.015228,2.441936
320.998962,2.458561
320.010193,2.471639
319.021454,2.433234
318.005219,2.343945
317.016479,2.270249
316.000183,2.249886
315.011414,2.278752
314.022675,2.333793
313.006470,2.351683
312.017700,2.365602
311.001404,2.389573
310.012665,2.364823
309.023926,2.289065
308.007690,2.207040
307.018921,2.175876
306.002686,2.209088
305.013916,2.256040
303.997681,2.272194
303.008911,2.285729
302.020142,2.311732
301.003906,2.292803
300.015137,2.219190
298.998901,2.138367
298.010132,2.107797
297.021332,2.141132
296.005127,2.187608
295.016357,2.203399
294.000153,2.219025
293.011322,2.236582
292.022583,2.205404
291.006378,2.112453
290.017578,2.049521
289.001343,2.064973
288.012573,2.108582
287.023834,2.127598
286.007568,2.142977
285.018768,2.170401
284.002563,2.140436
283.013824,2.050600
281.997528,1.987578
281.008789,2.004905
280.020020,2.048564
279.003784,2.065251
278.014984,2.078810
276.998779,2.105241
276.010010,2.076424
275.021179,1.987375
274.005005,1.925167
273.016235,1.949164
271.999969,1.990035
271.011169,2.004599
270.022430,2.020977
269.006195,2.039279
268.017395,1.987642
267.001190,1.894320
266.012421,1.874508
265.023651,1.913914
264.007385,1.937741
263.018616,1.950322
262.002350,1.979694
261.013611,1.951244
260.024841,1.860668
259.008575,1.815680
258.019806,1.846075
257.003571,1.880030
256.014801,1.889082
254.998566,1.917045
254.009781,1.904424
253.021011,1.820805
252.004791,1.761581
251.015961,1.789505
249.999741,1.824772
249.010956,1.834034
248.022217,1.862020
247.005966,1.826621
246.017166,1.736186
245.000916,1.717371
244.012177,1.754318
243.023422,1.769366
242.007141,1.790065
241.018341,1.798719
240.002121,1.727060
239.013351,1.662771
238.024597,1.685230
237.008316,1.712796
236.019547,1.718637
235.003296,1.746678
234.014542,1.738115
233.025772,1.654215
232.009491,1.610522
231.020752,1.635543
230.004471,1.656778
229.015686,1.667253
227.999451,1.694024
227.010681,1.647713
226.021896,1.569164
225.005646,1.581195
224.016876,1.609546
223.000626,1.622098
222.011841,1.644739
221.023071,1.586283
220.006836,1.517524
219.018051,1.538250
218.001816,1.562566
217.013016,1.565247
216.024261,1.591021
215.007996,1.553482
214.019226,1.475035
213.002960,1.486173
212.014175,1.509801
211.025421,1.514982
210.009140,1.547227
209.020386,1.505324
208.004135,1.431014
207.015366,1.441589
206.026566,1.463835
205.010300,1.464936
204.021530,1.492828
203.005295,1.458748
202.016510,1.385465
201.000275,1.397855
200.011475,1.417007
199.022705,1.419175
198.006454,1.441747
197.017670,1.407978
196.001419,1.333552
195.012619,1.355186
194.023849,1.369859
193.007599,1.373782
192.018814,1.395231
191.002563,1.358166
190.013794,1.288015
189.024994,1.314373
188.008728,1.324455
187.019974,1.341020
186.003708,1.343871
185.014938,1.272446
184.026154,1.263840
183.009888,1.290918
182.021133,1.284135
181.004852,1.309880
180.016098,1.275434
178.999817,1.214789
178.011047,1.236573
177.022247,1.240894
176.005981,1.252006
175.017227,1.253081
174.000961,1.187486
173.012192,1.174395
172.023392,1.205141
171.007111,1.200604
170.018356,1.220576
169.002075,1.183029
168.013321,1.129404
167.024506,1.157714
166.008270,1.159257
165.019485,1.173181
164.003220,1.168379
163.014450,1.097802
162.025650,1.103719
161.009415,1.126168
160.020615,1.122610
159.004333,1.131135
158.015564,1.079503
157.026764,1.055808
156.010544,1.086995
155.021729,1.079710
154.005478,1.094203
153.016708,1.058442
152.000443,1.015715
151.011673,1.041313
150.022858,1.040815
149.006622,1.054104
148.017822,1.029774
147.001556,0.977908
146.012772,1.007222
145.023972,1.002691
144.007736,1.016080
143.018936,0.990594
142.002655,0.940003
141.013901,0.963030
140.025085,0.959935
139.008850,0.980577
138.020050,0.966131
137.003769,0.917636
136.014999,0.930938
135.026199,0.923527
134.009964,0.945198
133.021164,0.918703
132.004913,0.884859
131.016113,0.899485
130.027283,0.887901
129.011078,0.910868
128.022263,0.874366
127.006020,0.847758
126.017204,0.862323
125.000938,0.849843
124.012169,0.871845
123.023369,0.842892
122.007118,0.819654
121.018311,0.836244
120.002029,0.818106
119.013283,0.836845
118.024460,0.803547
117.008224,0.782519
116.019402,0.802845
115.003166,0.785016
114.014351,0.800657
113.025566,0.776908
112.009323,0.746242
111.020508,0.772362
110.004265,0.752254
109.015457,0.761827
108.026642,0.752182
107.010399,0.709980
106.021584,0.730240
105.005371,0.723812
104.016556,0.719496
103.027771,0.718377
102.011497,0.675932
101.022690,0.692317
100.006439,0.690043
99.017632,0.684353
98.001389,0.685265
97.012573,0.648652
96.023758,0.658190
95.007515,0.656146
94.018700,0.644566
93.002457,0.655008
92.013649,0.619671
91.024887,0.621047
90.008591,0.619769
89.019775,0.611271
88.003563,0.615533
87.014717,0.585204
86.025963,0.586371
85.009674,0.584371
84.020859,0.573701
83.004631,0.579931
82.015800,0.552955
81.027039,0.553976
80.010742,0.554720
79.021935,0.541213
78.005684,0.543563
77.016876,0.519639
76.000633,0.515148
75.011818,0.515048
74.023056,0.503558
73.006760,0.503442
72.017944,0.487637
71.001701,0.484272
70.012894,0.480141
