2,Subaru WRX STI,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.374921
216.024261,1.362337
215.007996,1.331325
214.019226,1.260905
213.002960,1.219011
212.014175,1.231808
211.025421,1.246398
210.009140,1.256147
209.020386,1.263704
208.004135,1.268010
207.015366,1.269251
206.026566,1.267679
205.010300,1.265268
204.021530,1.261412
203.005295,1.257096
202.016510,1.252573
201.000275,1.247486
200.011475,1.242303
199.022705,1.236781
198.006454,1.230860
197.017670,1.224896
196.001419,1.218638
195.012619,1.212504
194.023849,1.206245
193.007599,1.199699
192.018814,1.193268
191.002563,1.186526
190.013794,1.179929
189.024994,1.173142
188.008728,1.166209
187.019974,1.159513
186.003708,1.152595
185.014938,1.145915
184.026154,1.139301
183.009888,1.132438
182.021133,1.125925
181.004852,1.119102
180.016098,1.112540
178.999817,1.105840
178.011047,1.099331
177.022247,1.092798
176.005981,1.086132
175.017227,1.079681
174.000961,1.073023
173.012192,1.066603
172.023392,1.060111
171.007111,1.053496
170.018356,1.047073
169.002075,1.040459
168.013321,1.034109
167.024506,1.027696
166.008270,1.021066
165.019485,1.014670
164.003220,1.008069
163.014450,1.001679
162.025650,0.995282
161.009415,0.988728
160.020615,0.982323
159.004333,0.975811
158.015564,0.969433
157.026764,0.963055
156.010544,0.956475
155.021729,0.950090
154.005478,0.943493
153.016708,0.937148
152.000443,0.930546
151.011673,0.924185
150.022858,0.917765
149.006622,0.911211
148.017822,0.904799
147.001556,0.898231
146.012772,0.891871
145.023972,0.885474
144.007736,0.878884
143.018936,0.872498
142.002655,0.865975
141.013901,0.859517
140.025085,0.853139
139.008850,0.846618
138.020050,0.840250
137.003769,0.833699
136.014999,0.827332
135.026199,0.820928
134.009964,0.814342
133.021164,0.808033
132.004913,0.801469
131.016113,0.795068
130.027283,0.788728
129.011078,0.782148
128.022263,0.775820
127.006020,0.769197
126.017204,0.762843
125.000938,0.756296
124.012169,0.749962
123.023369,0.743597
122.007118,0.737005
121.018311,0.730671
120.002029,0.724113
119.013283,0.717748
118.024460,0.711401
117.008224,0.704821
116.019402,0.698448
115.003166,0.691865
114.014351,0.685523
113.025566,0.679128
112.009323,0.672616
111.020508,0.666196
110.004265,0.659613
109.015457,0.653312
108.026642,0.646951
107.010399,0.640357
106.021584,0.634005
105.005371,0.627524
104.016556,0.621122
103.027771,0.614787
102.011497,0.608198
101.022690,0.601899
100.006439,0.595304
99.017632,0.588980
98.001389,0.582443
97.012573,0.576099
96.023758,0.569722
95.007515,0.563169
94.018700,0.556862
