2,Super Formula Lights 324,baseline
Steering Wheel Angle,Yaw Rate
223.000626,1.420614
222.011841,1.413757
221.023071,1.408079
220.006836,1.402252
219.018051,1.396614
218.001816,1.390655
217.013016,1.384676
216.024261,1.378638
215.007996,1.372099
214.019226,1.365653
213.002960,1.359055
212.014175,1.352696
211.025421,1.346297
210.009140,1.339425
209.020386,1.332498
208.004135,1.325492
207.015366,1.318723
206.026566,1.312329
205.010300,1.305956
204.021530,1.299369
203.005295,1.293404
202.016510,1.287153
201.000275,1.280448
200.011475,1.273962
199.022705,1.267586
198.006454,1.261218
197.017670,1.254811
196.001419,1.247984
195.012619,1.241637
194.023849,1.235334
193.007599,1.228716
192.018814,1.222232
191.002563,1.215817
190.013794,1.209305
189.024994,1.203058
188.008728,1.196436
187.019974,1.189992
186.003708,1.183118
185.014938,1.177009
184.026154,1.170825
183.009888,1.164084
182.021133,1.157693
181.004852,1.151123
180.016098,1.144878
178.999817,1.138229
178.011047,1.131759
177.022247,1.125410
176.005981,1.118945
175.017227,1.112596
174.000961,1.105955
173.012192,1.099491
172.023392,1.093293
171.007111,1.086646
170.018356,1.080194
169.002075,1.073875
168.013321,1.067408
167.024506,1.060744
166.008270,1.054666
165.019485,1.048015
164.003220,1.041637
163.014450,1.035109
162.025650,1.028701
161.009415,1.022124
160.020615,1.016113
159.004333,1.009540
158.015564,1.002899
157.026764,0.996667
156.010544,0.990057
155.021729,0.983786
154.005478,0.977098
153.016708,0.970805
152.000443,0.964262
151.011673,0.957979
150.022858,0.951753
149.006622,0.945104
148.017822,0.938656
147.001556,0.932319
146.012772,0.926059
145.023972,0.919488
144.007736,0.913039
143.018936,0.906550
142.002655,0.900262
141.013901,0.893699
140.025085,0.887509
139.008850,0.880722
138.020050,0.874656
137.003769,0.868096
136.014999,0.861733
135.026199,0.855287
134.009964,0.848785
133.021164,0.842548
132.004913,0.835959
131.016113,0.829778
130.027283,0.823448
129.011078,0.816662
128.022263,0.810525
127.006020,0.803981
126.017204,0.797613
125.000938,0.791029
124.012169,0.784821
123.023369,0.778298
122.007118,0.771866
121.018311,0.765678
120.002029,0.758918
119.013283,0.752512
118.024460,0.746446
117.008224,0.739610
116.019402,0.733506
115.003166,0.727080
114.014351,0.720783
113.025566,0.714455
112.009323,0.707790
111.020508,0.701425
110.004265,0.694876
109.015457,0.688868
108.026642,0.682266
107.010399,0.675742
106.021584,0.669697
105.005371,0.662928
104.016556,0.656516
103.027771,0.650413
102.011497,0.643886
101.022690,0.637389
100.006439,0.631065
99.017632,0.624581
98.001389,0.618093
97.012573,0.611892
96.023758,0.605482
95.007515,0.598992
94.018700,0.592752
93.002457,0.586283
92.013649,0.579770
91.024887,0.573583
90.008591,0.567080
89.019775,0.560579
88.003563,0.554004
87.014717,0.547858
86.025963,0.541610
85.009674,0.535188
84.020859,0.528748
83.004631,0.522258
82.015800,0.515974
81.027039,0.509636
80.010742,0.503158
79.021935,0.496895
78.005684,0.490310
77.016876,0.484025
76.000633,0.477379
75.011818,0.471291
74.023056,0.464876
73.006760,0.458138
72.017944,0.452026
71.001701,0.445448
70.012894,0.439092
69.024109,0.432857
68.007835,0.426461
67.018997,0.419983
66.002754,0.413458
65.013939,0.407211
64.025177,0.400905
63.008881,0.394429
62.020069,0.387990
61.003826,0.381521
60.015011,0.375209
59.026226,0.369055
58.009926,0.362305
57.021172,0.356022
56.004875,0.349638
55.016060,0.343312
54.027275,0.336965
53.011005,0.330539
52.022217,0.324197
51.005924,0.317577
50.017109,0.311364
49.000866,0.304877
48.012054,0.298661
47.023270,0.292255
46.006969,0.285728
45.018211,0.279280
44.001915,0.273032
43.013073,0.266652
42.024315,0.260274
41.008018,0.253683
40.019230,0.247421
39.002964,0.240882
38.014122,0.234793
37.025364,0.228356
36.009068,0.221811
35.020279,0.215464
34.003983,0.209064
33.015167,0.202787
32.026382,0.196443
31.010088,0.189929
30.021326,0.183696
29.005032,0.177226
28.016247,0.170835
27.027433,0.164530
26.011137,0.158184
25.022348,0.151684
24.006052,0.145148
23.017294,0.138950
22.000998,0.132281
21.012157,0.126120
20.023371,0.119881
19.007101,0.113223
18.018314,0.107020
17.002018,0.100407
16.013233,0.094214
15.024419,0.087755
14.008123,0.081381
13.019336,0.074948
12.003040,0.068701
11.014254,0.062222
10.025441,0.055947
9.009144,0.049587
8.020358,0.043121
7.004062,0.036558
6.015275,0.030421
5.026462,0.024349
4.010166,0.018759
3.021353,0.014174
2.005083,0.009385
1.016323,0.004647
0.000000,0.001041
-0.988760,0.004862
-1.977626,0.009552
-2.993896,0.014422
-3.982709,0.019162
-4.998979,0.024765
-5.987792,0.031223
-6.976604,0.037630
-7.992875,0.044137
-8.981688,0.050216
-9.997957,0.056936
-10.986771,0.063194
-11.975583,0.069487
-12.991853,0.076070
-13.980665,0.082231
-14.996989,0.088799
-15.985749,0.095154
-16.974613,0.101254
-17.990831,0.108002
-18.979698,0.114195
-19.995966,0.120669
-20.984779,0.127015
-21.973593,0.133335
-22.989862,0.139719
-23.978676,0.146162
-24.994999,0.152647
-25.983759,0.159068
-27.000082,0.165371
-27.988842,0.171810
-28.977654,0.178011
-29.993923,0.184655
-30.982737,0.190866
-31.999060,0.197416
-32.987873,0.203549
-33.976685,0.209947
-34.992954,0.216459
-35.981770,0.222929
-36.998093,0.229224
-37.986855,0.235587
-38.975719,0.241957
-39.991932,0.248464
-40.980801,0.254809
-41.997017,0.261206
-42.985882,0.267561
-43.974697,0.273884
-44.990967,0.280216
-45.979778,0.286606
-46.996048,0.293178
-47.984913,0.299558
-48.973728,0.305804
-49.989998,0.312239
-50.978813,0.318654
-51.995083,0.325044
-52.983894,0.331485
-54.000217,0.337942
-54.989029,0.344177
-55.977844,0.350626
-56.994110,0.356958
-57.982929,0.363362
-58.999199,0.369880
-59.988010,0.376061
-60.976871,0.382583
-61.993145,0.389083
-62.981956,0.395299
-63.998226,0.401802
-64.987038,0.408173
-65.975906,0.414336
-66.992180,0.420939
-67.980995,0.427305
-68.997253,0.433708
-69.986069,0.440122
-70.974884,0.446479
-71.991211,0.452860
-72.980019,0.459246
-73.996292,0.465721
-74.985161,0.471960
-75.973915,0.478306
-76.990234,0.484871
-77.979050,0.491228
-78.995323,0.497589
-79.984192,0.504044
-81.000404,0.510601
-81.989273,0.516743
-82.978142,0.523255
-83.994354,0.529830
-84.983215,0.535959
-85.999489,0.542464
-86.988304,0.548851
-87.977112,0.555194
-88.993439,0.561737
-89.982254,0.567960
-90.998520,0.574570
-91.987381,0.580766
-92.976151,0.587138
-93.992470,0.593694
-94.981339,0.599911
-95.997551,0.606561
-96.986420,0.612891
-97.975182,0.619047
-98.991501,0.625647
-99.980316,0.632081
-100.996635,0.638432
-101.985451,0.644848
-103.001717,0.651234
-103.990585,0.657747
-104.979347,0.663914
-105.995674,0.670427
-106.984535,0.676936
-108.000801,0.683329
-108.989616,0.689490
-109.978432,0.695987
-110.994759,0.702516
-111.983620,0.708728
-112.999840,0.715317
-113.988701,0.721727
-114.977516,0.728002
-115.993790,0.734683
-116.982597,0.740816
-117.998917,0.747289
-118.987793,0.753676
-119.976540,0.760077
-120.992874,0.766603
-121.981682,0.773034
-122.998009,0.779381
-123.986816,0.785689
-124.975624,0.792006
-125.991959,0.798667
-126.980713,0.804882
-127.997040,0.811459
-128.985855,0.817683
-130.002182,0.824448
-130.991043,0.830742
-131.979797,0.836855
-132.996124,0.843571
-133.984924,0.849798
-135.001266,0.856333
-135.990128,0.862782
-136.978897,0.869059
-137.995209,0.875720
-138.984009,0.881944
-140.000351,0.888554
-140.989212,0.895016
-141.977966,0.901274
-142.994293,0.907833
-143.983093,0.914073
-144.999435,0.920743
-145.988190,0.926868
-146.977051,0.933482
-147.993378,0.939729
-148.982193,0.946177
-149.998520,0.952880
-150.987274,0.959093
-151.976135,0.965486
-152.992462,0.971936
-153.981277,0.978520
-154.997604,0.984739
-155.986404,0.991136
-157.002731,0.997704
-157.991592,1.004030
-158.980362,1.010567
-159.996674,1.017099
-160.985504,1.023438
-162.001816,1.030150
-162.990631,1.036338
-163.979446,1.042884
-164.995819,1.049270
-165.984589,1.055437
-167.000900,1.062323
-167.989716,1.068481
-168.978577,1.074829
-169.994904,1.081450
-170.983719,1.087773
-172.000046,1.094257
-172.988800,1.100807
-173.977661,1.107284
-174.993927,1.113795
-175.982803,1.119870
-176.999130,1.126534
-177.987946,1.132941
-178.976807,1.139349
-179.993011,1.145751
-180.981888,1.152348
-181.998260,1.158869
-182.987030,1.165332
-184.003342,1.171688
-184.992157,1.178213
-185.981033,1.184428
-186.997345,1.191162
-187.986160,1.197549
-189.002487,1.203952
-189.991287,1.210250
-190.980164,1.216692
-191.996368,1.223324
-192.985306,1.229797
-194.001617,1.236563
-194.990387,1.242788
-195.979248,1.249265
-196.995514,1.255906
-197.984390,1.262012
-199.000702,1.268696
-199.989532,1.275128
-200.978394,1.281406
-201.994644,1.288151
-202.983521,1.294522
-203.999786,1.301039
-204.988647,1.307270
-206.004990,1.314115
-206.993790,1.320283
-207.982666,1.326886
-208.998932,1.333408
-209.987793,1.339617
-211.004120,1.346555
-211.992920,1.352700
-212.981796,1.359188
-213.998062,1.365834
-214.986923,1.372277
-216.003265,1.378971
-216.992065,1.385094
-217.980942,1.391741
-218.997208,1.398356
-219.986069,1.404821
-221.002350,1.411280
-221.991211,1.417872
-222.980072,1.423983
