2,Super Formula SF23 - Honda,baseline
Steering Wheel Angle,Yaw Rate
251.015961,1.560088
249.999741,1.553481
249.010956,1.547971
248.022217,1.542455
247.005966,1.536665
246.017166,1.531033
245.000916,1.525045
244.012177,1.519230
243.023422,1.512994
242.007141,1.506647
241.018341,1.500374
240.002121,1.494067
239.013351,1.487921
238.024597,1.481677
237.008316,1.475300
236.019547,1.469066
235.003296,1.462849
234.014542,1.456582
233.025772,1.450252
232.009491,1.443875
231.020752,1.435316
230.004471,1.428246
229.015686,1.422261
227.999451,1.416231
227.010681,1.410475
226.021896,1.405042
225.005646,1.398561
224.016876,1.392243
223.000626,1.385555
222.011841,1.379581
221.023071,1.372883
220.006836,1.366619
219.018051,1.360418
218.001816,1.354058
217.013016,1.347948
216.024261,1.341205
215.007996,1.334693
214.019226,1.328676
213.002960,1.322284
212.014175,1.316070
211.025421,1.310004
210.009140,1.303455
209.020386,1.297154
208.004135,1.290420
207.015366,1.284265
206.026566,1.278206
205.010300,1.271829
204.021530,1.265354
203.005295,1.259251
202.016510,1.252816
201.000275,1.246318
200.011475,1.239951
199.022705,1.233828
198.006454,1.227708
197.017670,1.221500
196.001419,1.214849
195.012619,1.208717
194.023849,1.202413
193.007599,1.195997
192.018814,1.189642
191.002563,1.183105
190.013794,1.177026
189.024994,1.171061
188.008728,1.164588
187.019974,1.158221
186.003708,1.151917
185.014938,1.145841
184.026154,1.139470
183.009888,1.132937
182.021133,1.126824
181.004852,1.120578
180.016098,1.114505
178.999817,1.108251
178.011047,1.102110
177.022247,1.095700
176.005981,1.089179
175.017227,1.083115
174.000961,1.076678
173.012192,1.070664
172.023392,1.064229
171.007111,1.057886
170.018356,1.051711
169.002075,1.045365
168.013321,1.038979
167.024506,1.032877
166.008270,1.026479
165.019485,1.020281
164.003220,1.014133
163.014450,1.007841
162.025650,1.001674
161.009415,0.995568
160.020615,0.989025
159.004333,0.982903
158.015564,0.976476
157.026764,0.970244
156.010544,0.964146
155.021729,0.958153
154.005478,0.951665
153.016708,0.945506
152.000443,0.938958
151.011673,0.932646
150.022858,0.926584
149.006622,0.920355
148.017822,0.914194
147.001556,0.907818
146.012772,0.901659
145.023972,0.895576
144.007736,0.889104
143.018936,0.882964
142.002655,0.876794
141.013901,0.870495
140.025085,0.864245
139.008850,0.858170
138.020050,0.851898
137.003769,0.845367
136.014999,0.839236
135.026199,0.833245
134.009964,0.826864
133.021164,0.820794
132.004913,0.814365
131.016113,0.808292
130.027283,0.802183
129.011078,0.795803
128.022263,0.789599
127.006020,0.783288
126.017204,0.777340
125.000938,0.770887
124.012169,0.764711
123.023369,0.758629
122.007118,0.752125
121.018311,0.746041
120.002029,0.739787
119.013283,0.733635
118.024460,0.727387
117.008224,0.721286
116.019402,0.715165
115.003166,0.708934
114.014351,0.702565
113.025566,0.696371
112.009323,0.689977
111.020508,0.683765
110.004265,0.677552
109.015457,0.671556
108.026642,0.665529
107.010399,0.659248
