2,Super Formula SF23 - Toyota,baseline
Steering Wheel Angle,Yaw Rate
251.015961,1.560103
249.999741,1.553540
249.010956,1.547987
248.022217,1.542446
247.005966,1.536693
246.017166,1.531014
245.000916,1.525064
244.012177,1.519171
243.023422,1.513005
242.007141,1.506618
241.018341,1.500357
240.002121,1.494076
239.013351,1.487777
238.024597,1.481721
237.008316,1.475282
236.019547,1.469126
235.003296,1.462770
234.014542,1.456519
233.025772,1.450306
232.009491,1.443919
231.020752,1.434976
230.004471,1.427374
229.015686,1.422366
227.999451,1.416522
227.010681,1.410590
226.021896,1.404985
225.005646,1.398512
224.016876,1.392401
223.000626,1.385680
222.011841,1.379598
221.023071,1.373285
220.006836,1.366697
219.018051,1.360260
218.001816,1.353892
217.013016,1.347586
216.024261,1.341078
215.007996,1.334981
214.019226,1.328571
213.002960,1.322073
212.014175,1.315917
211.025421,1.309750
210.009140,1.303185
209.020386,1.296820
208.004135,1.290661
207.015366,1.284294
206.026566,1.278443
205.010300,1.271656
204.021530,1.265758
203.005295,1.259190
202.016510,1.252735
201.000275,1.246364
200.011475,1.240126
199.022705,1.234046
198.006454,1.227691
197.017670,1.221585
196.001419,1.214637
195.012619,1.208552
194.023849,1.202275
193.007599,1.195931
192.018814,1.189758
191.002563,1.183475
190.013794,1.177003
189.024994,1.170952
188.008728,1.164650
187.019974,1.158171
186.003708,1.151907
185.014938,1.146077
184.026154,1.139611
183.009888,1.133278
182.021133,1.126820
181.004852,1.120419
180.016098,1.114314
178.999817,1.107829
178.011047,1.101575
177.022247,1.095367
176.005981,1.089036
175.017227,1.082905
174.000961,1.076542
173.012192,1.070299
172.023392,1.064101
171.007111,1.058016
170.018356,1.051675
169.002075,1.045200
168.013321,1.039181
167.024506,1.033061
166.008270,1.026689
165.019485,1.020789
164.003220,1.014162
163.014450,1.007771
162.025650,1.001546
161.009415,0.995167
160.020615,0.989072
159.004333,0.982740
158.015564,0.976663
157.026764,0.970162
156.010544,0.963999
155.021729,0.957939
154.005478,0.951763
153.016708,0.945277
152.000443,0.938919
151.011673,0.932819
150.022858,0.926612
149.006622,0.920141
148.017822,0.914068
147.001556,0.907941
146.012772,0.901739
145.023972,0.895495
144.007736,0.889132
143.018936,0.882918
142.002655,0.876808
141.013901,0.870457
140.025085,0.864163
139.008850,0.857875
138.020050,0.851734
137.003769,0.845476
136.014999,0.839473
135.026199,0.833292
134.009964,0.827025
133.021164,0.820750
132.004913,0.814420
131.016113,0.808342
130.027283,0.802184
129.011078,0.795838
128.022263,0.789643
127.006020,0.783282
126.017204,0.776968
125.000938,0.770921
124.012169,0.764562
123.023369,0.758456
122.007118,0.752085
121.018311,0.745936
120.002029,0.739606
119.013283,0.733639
118.024460,0.727628
117.008224,0.721265
116.019402,0.714917
115.003166,0.708796
114.014351,0.702442
113.025566,0.696425
112.009323,0.690162
111.020508,0.684070
110.004265,0.677701
109.015457,0.671502
108.026642,0.665334
107.010399,0.659134
106.021584,0.652953
105.005371,0.646527
104.016556,0.640392
103.027771,0.634269
102.011497,0.627979
101.022690,0.621832
100.006439,0.615606
99.017632,0.609641
98.001389,0.603274
97.012573,0.597030
96.023758,0.591051
95.007515,0.584634
94.018700,0.578451
93.002457,0.572204
92.013649,0.565951
91.024887,0.559919
90.008591,0.553825
89.019775,0.547645
88.003563,0.541385
87.014717,0.535388
86.025963,0.529134
85.009674,0.522713
84.020859,0.516589
83.004631,0.510293
82.015800,0.504193
81.027039,0.497963
80.010742,0.491762
79.021935,0.485690
78.005684,0.479281
77.016876,0.473345
76.000633,0.466900
75.011818,0.460733
74.023056,0.454695
73.006760,0.448321
72.017944,0.442392
71.001701,0.436154
70.012894,0.430063
69.024109,0.423891
68.007835,0.417540
67.018997,0.411609
66.002754,0.405241
65.013939,0.399041
64.025177,0.393037
63.008881,0.386702
62.020069,0.380522
61.003826,0.374407
60.015011,0.368007
59.026226,0.361995
58.009926,0.355730
57.021172,0.349725
56.004875,0.343330
55.016060,0.337276
54.027275,0.331158
53.011005,0.325100
52.022217,0.318907
51.005924,0.312528
50.017109,0.306403
49.000866,0.300142
48.012054,0.294139
47.023270,0.287981
46.006969,0.281670
45.018211,0.275600
44.001915,0.269404
43.013073,0.263163
42.024315,0.257156
41.008018,0.250727
40.019230,0.244753
39.002964,0.238527
38.014122,0.232266
37.025364,0.226207
36.009068,0.220003
35.020279,0.213828
34.003983,0.207614
33.015167,0.201350
32.026382,0.195428
31.010088,0.189296
30.021326,0.183031
29.005032,0.176702
28.016247,0.170576
27.027433,0.164512
26.011137,0.158284
25.022348,0.152130
24.006052,0.145991
23.017294,0.139938
22.000998,0.133656
21.012157,0.127433
20.023371,0.121273
19.007101,0.115174
18.018314,0.109028
17.002018,0.102808
16.013233,0.096711
15.024419,0.090480
14.008123,0.084305
13.019336,0.078174
12.003040,0.071881
11.014254,0.065870
10.025441,0.059779
9.009144,0.053522
8.020358,0.047378
7.004062,0.041179
6.015275,0.035108
5.026462,0.028926
4.010166,0.022676
3.021353,0.016551
2.005083,0.010562
1.016323,0.005450
0.000000,0.000609
-0.988760,0.004979
-1.977626,0.010121
-2.993896,0.016463
-3.982709,0.022629
-4.998979,0.028758
-5.987792,0.034957
-6.976604,0.040974
-7.992875,0.047319
-8.981688,0.053349
-9.997957,0.059642
-10.986771,0.065790
-11.975583,0.071904
-12.991853,0.078028
-13.980665,0.084193
-14.996989,0.090561
-15.985749,0.096607
-16.974613,0.102715
-17.990831,0.108925
-18.979698,0.114999
-19.995966,0.121320
-20.984779,0.127513
-21.973593,0.133516
-22.989862,0.139784
-23.978676,0.145849
-24.994999,0.152134
-25.983759,0.158229
-27.000082,0.164449
-27.988842,0.170702
-28.977654,0.176756
-29.993923,0.182896
-30.982737,0.189186
-31.999060,0.195379
-32.987873,0.201469
-33.976685,0.207523
-34.992954,0.213798
-35.981770,0.220009
-36.998093,0.226121
-37.986855,0.232261
-38.975719,0.238345
-39.991932,0.244605
-40.980801,0.250836
-41.997017,0.257030
-42.985882,0.263218
-43.974697,0.269266
-44.990967,0.275496
-45.979778,0.281555
-46.996048,0.287849
-47.984913,0.294014
-48.973728,0.299998
-49.989998,0.306454
-50.978813,0.312427
-51.995083,0.318633
-52.983894,0.324928
-54.000217,0.331099
-54.989029,0.337133
-55.977844,0.343258
-56.994110,0.349481
-57.982929,0.355689
-58.999199,0.362025
-59.988010,0.368168
-60.976871,0.374245
-61.993145,0.380523
-62.981956,0.386661
-63.998226,0.392894
-64.987038,0.398948
-65.975906,0.404999
-66.992180,0.411355
-67.980995,0.417630
-68.997253,0.423696
-69.986069,0.429725
-70.974884,0.435875
-71.991211,0.442307
-72.980019,0.448422
-73.996292,0.454812
-74.985161,0.460917
-75.973915,0.466884
-76.990234,0.473160
-77.979050,0.479383
-78.995323,0.485914
-79.984192,0.491950
-81.000404,0.498197
-81.989273,0.504243
-82.978142,0.510151
-83.994354,0.516560
-84.983215,0.522412
-85.999489,0.528791
-86.988304,0.535182
-87.977112,0.541330
-88.993439,0.547500
-89.982254,0.553559
-90.998520,0.559754
-91.987381,0.565892
-92.976151,0.572187
-93.992470,0.578320
-94.981339,0.584570
-95.997551,0.591000
-96.986420,0.596982
-97.975182,0.603117
-98.991501,0.609368
-99.980316,0.615601
-100.996635,0.621812
-101.985451,0.627999
-103.001717,0.634374
-103.990585,0.640588
-104.979347,0.646662
-105.995674,0.652847
-106.984535,0.658948
-108.000801,0.665186
-108.989616,0.671474
-109.978432,0.677604
-110.994759,0.683866
-111.983620,0.689978
-112.999840,0.696206
-113.988701,0.702462
-114.977516,0.708525
-115.993790,0.714792
-116.982597,0.721150
-117.998917,0.727357
-118.987793,0.733454
-119.976540,0.739688
-120.992874,0.746069
-121.981682,0.752093
-122.998009,0.758459
-123.986816,0.764720
-124.975624,0.770779
-125.991959,0.777140
-126.980713,0.783280
-127.997040,0.789520
-128.985855,0.795553
-130.002182,0.802124
-130.991043,0.808275
-131.979797,0.814308
-132.996124,0.820646
-133.984924,0.826830
-135.001266,0.833124
-135.990128,0.839415
-136.978897,0.845517
-137.995209,0.851671
-138.984009,0.858039
-140.000351,0.864272
-140.989212,0.870462
-141.977966,0.876687
-142.994293,0.883001
-143.983093,0.889124
-144.999435,0.895427
-145.988190,0.901684
-146.977051,0.907774
-147.993378,0.914483
-148.982193,0.920326
-149.998520,0.926685
-150.987274,0.932859
-151.976135,0.939015
-152.992462,0.945383
-153.981277,0.951704
-154.997604,0.958091
-155.986404,0.964109
-157.002731,0.970426
-157.991592,0.976708
-158.980362,0.982891
-159.996674,0.989124
-160.985504,0.995161
-162.001816,1.001819
-162.990631,1.007763
-163.979446,1.014109
-164.995819,1.020585
-165.984589,1.026593
-167.000900,1.033089
