2,Super Late Model,baseline
Steering Wheel Angle,Yaw Rate
292.022583,2.204343
291.006378,2.199980
290.017578,2.194425
289.001343,2.201813
288.012573,2.208137
287.023834,2.213964
286.007568,2.219512
285.018768,2.225280
284.002563,2.219716
283.013824,2.217890
281.997528,2.210179
281.008789,2.206106
280.020020,2.200600
279.003784,2.195441
278.014984,2.192299
276.998779,2.186935
276.010010,2.163389
275.021179,2.144445
274.005005,2.140915
273.016235,2.131545
271.999969,2.125471
271.011169,2.126152
270.022430,2.113049
269.006195,2.107835
268.017395,2.100424
267.001190,2.092788
266.012421,2.085198
265.023651,2.079165
264.007385,2.070426
263.018616,2.064036
262.002350,2.055362
261.013611,2.049044
260.024841,2.041625
259.008575,2.033365
258.019806,2.028089
257.003571,2.019134
256.014801,2.012519
254.998566,2.004666
254.009781,1.998520
253.021011,1.990780
252.004791,1.981450
251.015961,1.975832
249.999741,1.967153
249.010956,1.959219
248.022217,1.953945
247.005966,1.946179
246.017166,1.937465
245.000916,1.931830
244.012177,1.924256
243.023422,1.915843
242.007141,1.907853
241.018341,1.899783
240.002121,1.892087
239.013351,1.885668
238.024597,1.877927
237.008316,1.868916
236.019547,1.850107
235.003296,1.859593
234.014542,1.835718
233.025772,1.841727
232.009491,1.831249
231.020752,1.819541
230.004471,1.820577
229.015686,1.802259
227.999451,1.797801
227.010681,1.795858
226.021896,1.784457
225.005646,1.776237
224.016876,1.773541
223.000626,1.763369
222.011841,1.755499
221.023071,1.748134
220.006836,1.741288
219.018051,1.732802
218.001816,1.726492
217.013016,1.722587
216.024261,1.706593
215.007996,1.708640
214.019226,1.697342
213.002960,1.688110
212.014175,1.680922
211.025421,1.671232
210.009140,1.663830
209.020386,1.654874
208.004135,1.645843
207.015366,1.638048
206.026566,1.629847
205.010300,1.621542
204.021530,1.613165
203.005295,1.605253
202.016510,1.596521
201.000275,1.587486
200.011475,1.579497
199.022705,1.572054
198.006454,1.563888
197.017670,1.555674
196.001419,1.546613
195.012619,1.537251
194.023849,1.530103
193.007599,1.522258
192.018814,1.513967
191.002563,1.504090
190.013794,1.496554
189.024994,1.489065
188.008728,1.479398
187.019974,1.470991
186.003708,1.463904
185.014938,1.455560
184.026154,1.447311
183.009888,1.438313
182.021133,1.429883
181.004852,1.422252
180.016098,1.413853
178.999817,1.404774
178.011047,1.397632
177.022247,1.389227
176.005981,1.380106
175.017227,1.373085
174.000961,1.364724
173.012192,1.355774
172.023392,1.347980
171.007111,1.340595
170.018356,1.332630
169.002075,1.323153
168.013321,1.315732
167.024506,1.307536
166.008270,1.298611
165.019485,1.291260
164.003220,1.282801
163.014450,1.274777
162.025650,1.266352
161.009415,1.258119
160.020615,1.250463
159.004333,1.241912
158.015564,1.234630
157.026764,1.225966
156.010544,1.218364
155.021729,1.210829
154.005478,1.201693
153.016708,1.194762
152.000443,1.186248
151.011673,1.178454
150.022858,1.170148
149.006622,1.161831
148.017822,1.154560
147.001556,1.145463
146.012772,1.137798
145.023972,1.130364
144.007736,1.122398
143.018936,1.114076
142.002655,1.105919
141.013901,1.098177
140.025085,1.090753
139.008850,1.082442
138.020050,1.075250
137.003769,1.067456
136.014999,1.059513
135.026199,1.051490
134.009964,1.043359
133.021164,1.036036
