2,Supercars Chevrolet Camaro Gen3,baseline
Steering Wheel Angle,Yaw Rate
279.003784,1.618372
278.014984,1.618761
276.998779,1.618563
276.010010,1.617595
275.021179,1.615939
274.005005,1.606925
273.016235,1.601411
271.999969,1.599442
271.011169,1.601610
270.022430,1.593541
269.006195,1.587821
268.017395,1.562973
267.001190,1.533081
266.012421,1.535235
265.023651,1.550398
264.007385,1.550425
263.018616,1.540343
262.002350,1.529691
261.013611,1.520102
260.024841,1.510302
259.008575,1.500262
258.019806,1.490430
257.003571,1.480273
256.014801,1.470224
254.998566,1.459889
254.009781,1.450116
253.021011,1.441860
252.004791,1.433982
251.015961,1.427202
249.999741,1.420995
249.010956,1.415818
248.022217,1.411512
247.005966,1.406955
246.017166,1.402333
245.000916,1.397518
244.012177,1.392970
243.023422,1.387159
242.007141,1.380373
241.018341,1.373187
240.002121,1.365150
239.013351,1.358080
238.024597,1.351034
237.008316,1.343775
236.019547,1.337180
235.003296,1.331262
234.014542,1.324909
233.025772,1.318075
232.009491,1.311418
231.020752,1.305137
230.004471,1.298081
229.015686,1.291688
227.999451,1.285066
227.010681,1.278473
226.021896,1.272287
225.005646,1.265285
224.016876,1.259131
223.000626,1.252116
222.011841,1.246051
221.023071,1.239416
220.006836,1.232815
219.018051,1.226299
218.001816,1.219496
217.013016,1.213186
216.024261,1.206767
215.007996,1.199981
214.019226,1.193886
213.002960,1.186833
212.014175,1.180516
211.025421,1.174333
210.009140,1.167375
209.020386,1.161061
208.004135,1.154630
207.015366,1.147963
206.026566,1.141851
205.010300,1.135290
204.021530,1.128520
203.005295,1.122166
202.016510,1.115813
201.000275,1.109090
200.011475,1.102822
199.022705,1.096321
198.006454,1.089889
197.017670,1.083380
196.001419,1.076689
195.012619,1.070719
194.023849,1.063979
193.007599,1.057603
192.018814,1.051210
191.002563,1.044473
190.013794,1.038421
189.024994,1.032065
188.008728,1.025560
187.019974,1.019432
186.003708,1.012645
185.014938,1.006522
184.026154,0.999364
183.009888,0.993619
182.021133,0.986585
181.004852,0.980826
180.016098,0.973382
178.999817,0.967732
178.011047,0.960713
177.022247,0.954447
176.005981,0.947625
175.017227,0.941817
174.000961,0.935135
173.012192,0.928863
172.023392,0.922775
171.007111,0.916520
170.018356,0.910152
169.002075,0.903211
168.013321,0.897232
167.024506,0.891185
166.008270,0.884225
165.019485,0.878241
164.003220,0.871945
163.014450,0.865793
162.025650,0.859406
161.009415,0.853313
160.020615,0.846798
159.004333,0.840662
158.015564,0.834380
157.026764,0.828512
156.010544,0.821992
155.021729,0.815791
154.005478,0.809928
153.016708,0.802445
152.000443,0.796443
151.011673,0.790700
150.022858,0.783563
149.006622,0.777805
148.017822,0.771847
147.001556,0.765338
146.012772,0.759241
145.023972,0.753290
144.007736,0.746986
143.018936,0.741054
142.002655,0.735118
141.013901,0.729041
140.025085,0.723179
139.008850,0.717096
138.020050,0.711001
137.003769,0.705187
136.014999,0.699061
135.026199,0.693119
134.009964,0.687155
133.021164,0.681356
132.004913,0.675184
131.016113,0.669372
130.027283,0.663624
129.011078,0.657745
128.022263,0.651631
127.006020,0.644121
126.017204,0.633982
125.000938,0.629330
124.012169,0.624579
123.023369,0.619597
122.007118,0.614567
121.018311,0.609548
120.002029,0.604516
119.013283,0.599495
118.024460,0.594612
117.008224,0.589475
116.019402,0.584485
115.003166,0.579495
114.014351,0.574518
113.025566,0.569575
112.009323,0.564481
111.020508,0.559480
110.004265,0.554416
109.015457,0.549430
108.026642,0.544442
107.010399,0.539353
106.021584,0.534340
105.005371,0.529267
104.016556,0.524316
103.027771,0.519402
102.011497,0.514329
101.022690,0.509330
100.006439,0.504225
99.017632,0.499231
98.001389,0.494117
97.012573,0.489218
96.023758,0.484286
95.007515,0.479167
94.018700,0.474200
93.002457,0.469039
92.013649,0.464143
91.024887,0.459174
90.008591,0.454071
89.019775,0.449177
88.003563,0.444058
87.014717,0.439061
86.025963,0.434061
85.009674,0.428961
84.020859,0.423986
83.004631,0.418926
82.015800,0.413962
81.027039,0.408994
80.010742,0.403911
79.021935,0.398941
78.005684,0.393876
77.016876,0.388816
76.000633,0.383757
75.011818,0.378751
74.023056,0.373785
73.006760,0.368685
72.017944,0.363684
71.001701,0.358642
70.012894,0.353639
69.024109,0.348674
68.007835,0.343589
67.018997,0.338560
66.002754,0.333414
65.013939,0.328534
64.025177,0.323505
63.008881,0.318455
62.020069,0.313462
61.003826,0.308367
60.015011,0.303332
59.026226,0.298400
58.009926,0.293252
57.021172,0.288278
56.004875,0.283188
55.016060,0.278216
54.027275,0.273196
53.011005,0.268083
52.022217,0.263063
51.005924,0.258004
50.017109,0.253012
49.000866,0.247868
48.012054,0.242879
47.023270,0.237850
46.006969,0.232733
45.018211,0.227764
44.001915,0.222679
43.013073,0.217639
42.024315,0.212673
41.008018,0.207494
40.019230,0.202573
39.002964,0.197427
38.014122,0.192428
37.025364,0.187457
36.009068,0.182323
35.020279,0.177360
34.003983,0.172246
33.015167,0.167236
32.026382,0.162187
31.010088,0.157082
30.021326,0.152099
29.005032,0.146877
28.016247,0.141935
27.027433,0.136994
26.011137,0.131866
25.022348,0.126764
24.006052,0.121691
23.017294,0.116591
22.000998,0.111537
21.012157,0.106439
20.023371,0.101587
19.007101,0.096370
18.018314,0.091289
17.002018,0.086164
16.013233,0.081175
15.024419,0.076201
14.008123,0.071011
13.019336,0.065991
12.003040,0.060900
11.014254,0.055805
10.025441,0.050879
9.009144,0.045767
8.020358,0.040686
7.004062,0.035555
6.015275,0.030525
5.026462,0.025508
4.010166,0.020353
3.021353,0.015361
2.005083,0.010177
1.016323,0.005226
0.000000,0.001365
-0.988760,0.004957
-1.977626,0.009960
-2.993896,0.015118
-3.982709,0.020104
-4.998979,0.025269
-5.987792,0.030289
-6.976604,0.035286
-7.992875,0.040416
-8.981688,0.045458
-9.997957,0.050579
-10.986771,0.055609
-11.975583,0.060615
-12.991853,0.065789
-13.980665,0.070761
-14.996989,0.075870
-15.985749,0.080911
-16.974613,0.085957
-17.990831,0.091095
-18.979698,0.096008
-19.995966,0.101204
-20.984779,0.106239
-21.973593,0.111212
-22.989862,0.116296
-23.978676,0.121291
-24.994999,0.126477
-25.983759,0.131453
-27.000082,0.136651
-27.988842,0.141601
-28.977654,0.146549
-29.993923,0.151727
-30.982737,0.156782
-31.999060,0.161902
-32.987873,0.166856
-33.976685,0.171761
-34.992954,0.176920
-35.981770,0.181947
-36.998093,0.187086
-37.986855,0.192006
-38.975719,0.197041
-39.991932,0.202134
-40.980801,0.207108
-41.997017,0.212250
-42.985882,0.217276
-43.974697,0.222189
-44.990967,0.227321
-45.979778,0.232367
-46.996048,0.237474
-47.984913,0.242452
-48.973728,0.247440
-49.989998,0.252504
-50.978813,0.257507
-51.995083,0.262601
-52.983894,0.267623
-54.000217,0.272747
-54.989029,0.277653
-55.977844,0.282662
-56.994110,0.287750
-57.982929,0.292711
-58.999199,0.297790
-59.988010,0.302823
-60.976871,0.307746
-61.993145,0.312886
-62.981956,0.317813
-63.998226,0.322898
-64.987038,0.327880
-65.975906,0.332878
-66.992180,0.337955
-67.980995,0.342908
-68.997253,0.347987
-69.986069,0.353024
-70.974884,0.357965
-71.991211,0.363140
-72.980019,0.368065
-73.996292,0.373141
-74.985161,0.378067
-75.973915,0.383039
-76.990234,0.388157
-77.979050,0.393039
-78.995323,0.398159
-79.984192,0.403190
-81.000404,0.408246
-81.989273,0.413211
-82.978142,0.418251
-83.994354,0.423320
-84.983215,0.428285
-85.999489,0.433386
-86.988304,0.438310
-87.977112,0.443257
-88.993439,0.448292
-89.982254,0.453222
-90.998520,0.458328
-91.987381,0.463314
-92.976151,0.468213
-93.992470,0.473423
-94.981339,0.478390
-95.997551,0.483380
-96.986420,0.488366
