2,Supercars Ford Falcon 2014,baseline
Steering Wheel Angle,Yaw Rate
189.024994,1.507252
188.008728,1.498937
187.019974,1.492138
186.003708,1.482841
185.014938,1.468499
184.026154,1.462561
183.009888,1.450994
182.021133,1.441205
181.004852,1.431297
180.016098,1.423323
178.999817,1.414239
178.011047,1.404649
177.022247,1.395592
176.005981,1.386451
175.017227,1.377240
174.000961,1.367964
173.012192,1.358886
172.023392,1.349896
171.007111,1.340792
170.018356,1.331873
169.002075,1.322544
168.013321,1.313294
167.024506,1.304397
166.008270,1.295140
165.019485,1.286352
164.003220,1.277344
163.014450,1.268389
162.025650,1.259237
161.009415,1.250283
160.020615,1.241938
159.004333,1.232913
158.015564,1.223140
157.026764,1.214100
156.010544,1.205039
155.021729,1.195973
154.005478,1.187004
153.016708,1.178062
152.000443,1.168859
151.011673,1.159850
150.022858,1.151021
149.006622,1.142209
148.017822,1.133209
147.001556,1.124067
146.012772,1.115414
145.023972,1.106839
144.007736,1.097108
143.018936,1.088297
142.002655,1.079197
141.013901,1.070657
140.025085,1.062125
139.008850,1.052439
138.020050,1.043893
137.003769,1.034950
136.014999,1.026577
135.026199,1.017389
134.009964,1.008398
133.021164,0.999861
132.004913,0.990467
131.016113,0.981673
130.027283,0.973748
129.011078,0.964493
128.022263,0.955912
127.006020,0.946930
126.017204,0.938041
125.000938,0.929167
124.012169,0.920939
123.023369,0.913082
122.007118,0.904215
121.018311,0.894283
120.002029,0.885249
119.013283,0.877151
118.024460,0.868850
117.008224,0.859869
116.019402,0.851594
115.003166,0.843366
114.014351,0.835155
113.025566,0.826201
112.009323,0.817616
111.020508,0.809363
110.004265,0.800882
109.015457,0.792598
108.026642,0.784259
107.010399,0.776009
106.021584,0.767951
105.005371,0.759252
104.016556,0.750490
103.027771,0.742684
102.011497,0.733973
101.022690,0.726765
100.006439,0.717804
99.017632,0.709983
98.001389,0.700985
97.012573,0.692882
96.023758,0.684925
95.007515,0.675760
94.018700,0.668912
93.002457,0.661692
92.013649,0.654529
91.024887,0.647418
90.008591,0.640173
89.019775,0.633027
88.003563,0.625787
87.014717,0.618636
86.025963,0.611556
85.009674,0.604161
84.020859,0.596983
83.004631,0.589734
82.015800,0.582622
81.027039,0.575607
80.010742,0.568234
79.021935,0.561233
78.005684,0.553818
77.016876,0.546784
76.000633,0.539365
75.011818,0.532284
74.023056,0.525273
73.006760,0.517910
72.017944,0.510826
71.001701,0.503512
70.012894,0.496382
69.024109,0.489327
68.007835,0.481999
67.018997,0.475014
66.002754,0.467680
65.013939,0.460512
64.025177,0.453396
63.008881,0.446201
62.020069,0.439069
61.003826,0.431855
60.015011,0.424735
59.026226,0.417709
58.009926,0.410378
57.021172,0.403262
56.004875,0.395960
55.016060,0.388891
54.027275,0.381829
53.011005,0.374576
52.022217,0.367506
51.005924,0.360233
50.017109,0.353128
49.000866,0.345951
48.012054,0.338827
47.023270,0.331806
46.006969,0.324513
45.018211,0.317453
44.001915,0.310280
43.013073,0.303187
42.024315,0.296189
41.008018,0.288865
40.019230,0.281797
39.002964,0.274594
38.014122,0.267507
37.025364,0.260520
36.009068,0.253263
35.020279,0.246226
34.003983,0.238960
33.015167,0.231907
32.026382,0.224981
31.010088,0.217627
30.021326,0.210668
29.005032,0.203431
28.016247,0.196375
27.027433,0.189384
26.011137,0.182188
25.022348,0.175226
24.006052,0.168123
23.017294,0.161135
22.000998,0.153945
21.012157,0.146948
20.023371,0.140044
19.007101,0.132896
18.018314,0.125919
17.002018,0.118785
16.013233,0.111781
15.024419,0.104846
14.008123,0.097729
13.019336,0.090734
12.003040,0.083532
11.014254,0.076597
10.025441,0.069630
9.009144,0.062515
8.020358,0.055512
7.004062,0.048296
6.015275,0.041353
5.026462,0.034349
4.010166,0.027226
3.021353,0.020273
2.005083,0.013091
1.016323,0.006140
0.000000,0.003104
