2,Supercars Ford Mustang GT,baseline
Steering Wheel Angle,Yaw Rate
189.024994,1.538875
188.008728,1.530625
187.019974,1.521761
186.003708,1.511699
185.014938,1.500757
184.026154,1.489381
183.009888,1.477556
182.021133,1.466621
181.004852,1.455157
180.016098,1.446572
178.999817,1.437276
178.011047,1.429182
177.022247,1.421347
176.005981,1.412458
175.017227,1.403839
174.000961,1.393511
173.012192,1.384093
172.023392,1.374918
171.007111,1.365565
170.018356,1.356610
169.002075,1.347334
168.013321,1.338271
167.024506,1.329271
166.008270,1.320040
165.019485,1.310956
164.003220,1.301469
163.014450,1.292451
162.025650,1.283569
161.009415,1.274249
160.020615,1.265390
159.004333,1.255896
158.015564,1.247117
157.026764,1.238122
156.010544,1.228857
155.021729,1.219871
154.005478,1.210424
153.016708,1.201848
152.000443,1.192666
151.011673,1.183598
150.022858,1.174619
149.006622,1.165750
148.017822,1.157146
147.001556,1.147948
146.012772,1.139241
145.023972,1.129844
144.007736,1.120640
143.018936,1.111885
142.002655,1.103082
141.013901,1.094273
140.025085,1.083827
139.008850,1.075013
138.020050,1.066374
137.003769,1.056773
136.014999,1.047738
135.026199,1.039018
134.009964,1.030440
133.021164,1.021588
132.004913,1.012644
131.016113,1.004425
130.027283,0.995065
129.011078,0.985609
128.022263,0.977634
127.006020,0.968651
126.017204,0.959554
125.000938,0.950306
124.012169,0.941626
123.023369,0.932717
122.007118,0.924038
121.018311,0.915392
120.002029,0.907098
119.013283,0.898121
118.024460,0.888977
117.008224,0.879884
116.019402,0.871158
115.003166,0.862764
114.014351,0.853942
113.025566,0.845175
112.009323,0.836625
111.020508,0.828099
110.004265,0.819363
109.015457,0.811031
108.026642,0.802621
107.010399,0.794490
106.021584,0.786225
105.005371,0.777218
104.016556,0.768929
103.027771,0.761232
102.011497,0.752203
101.022690,0.743666
100.006439,0.735134
99.017632,0.727212
98.001389,0.718482
97.012573,0.710272
96.023758,0.702503
95.007515,0.694083
94.018700,0.685513
93.002457,0.678130
92.013649,0.670999
91.024887,0.663899
90.008591,0.656470
89.019775,0.649223
88.003563,0.641591
87.014717,0.634462
86.025963,0.627179
85.009674,0.619767
84.020859,0.612607
83.004631,0.605128
82.015800,0.597875
81.027039,0.590705
80.010742,0.583251
79.021935,0.575919
78.005684,0.568619
77.016876,0.561368
76.000633,0.553811
75.011818,0.546678
74.023056,0.539349
73.006760,0.531974
72.017944,0.524744
71.001701,0.517358
70.012894,0.510062
69.024109,0.502832
68.007835,0.495382
67.018997,0.488189
66.002754,0.480804
65.013939,0.473545
64.025177,0.466313
63.008881,0.458876
62.020069,0.451689
61.003826,0.444324
60.015011,0.437052
59.026226,0.429875
58.009926,0.422437
57.021172,0.415287
56.004875,0.407760
55.016060,0.400560
54.027275,0.393348
53.011005,0.385945
52.022217,0.378728
51.005924,0.371201
50.017109,0.364033
49.000866,0.356615
48.012054,0.349441
47.023270,0.342247
46.006969,0.334796
45.018211,0.327584
44.001915,0.320261
43.013073,0.313050
42.024315,0.305801
41.008018,0.298444
40.019230,0.291207
39.002964,0.283830
38.014122,0.276582
37.025364,0.269362
36.009068,0.261920
35.020279,0.254724
34.003983,0.247364
33.015167,0.240144
32.026382,0.232929
31.010088,0.225513
30.021326,0.218280
29.005032,0.210819
28.016247,0.203647
27.027433,0.196476
26.011137,0.189019
25.022348,0.181798
24.006052,0.174389
23.017294,0.167257
22.000998,0.159856
21.012157,0.152624
20.023371,0.145473
19.007101,0.138007
18.018314,0.130869
17.002018,0.123421
16.013233,0.116230
15.024419,0.108986
14.008123,0.101595
13.019336,0.094438
12.003040,0.087023
11.014254,0.079774
10.025441,0.072553
9.009144,0.065215
8.020358,0.057984
7.004062,0.050543
6.015275,0.043353
5.026462,0.036168
4.010166,0.028739
3.021353,0.021558
2.005083,0.014151
1.016323,0.006911
0.000000,0.002424
-0.988760,0.007712
-1.977626,0.014904
-2.993896,0.022322
-3.982709,0.029561
-4.998979,0.036951
-5.987792,0.044182
-6.976604,0.051415
-7.992875,0.058753
-8.981688,0.066016
-9.997957,0.073467
-10.986771,0.080629
-11.975583,0.087853
-12.991853,0.095237
-13.980665,0.102475
-14.996989,0.109934
-15.985749,0.117090
-16.974613,0.124282
-17.990831,0.131722
-18.979698,0.138890
-19.995966,0.146308
-20.984779,0.153525
-21.973593,0.160678
-22.989862,0.168058
-23.978676,0.175261
-24.994999,0.182729
-25.983759,0.189950
-27.000082,0.197353
-27.988842,0.204543
-28.977654,0.211800
-29.993923,0.219204
-30.982737,0.226351
-31.999060,0.233779
-32.987873,0.241020
-33.976685,0.248250
-34.992954,0.255603
-35.981770,0.262832
-36.998093,0.270294
-37.986855,0.277458
-38.975719,0.284714
-39.991932,0.292078
-40.980801,0.299344
-41.997017,0.306741
-42.985882,0.313950
-43.974697,0.321122
-44.990967,0.328590
-45.979778,0.335801
-46.996048,0.343212
-47.984913,0.350466
-48.973728,0.357656
-49.989998,0.365096
-50.978813,0.372263
-51.995083,0.379657
-52.983894,0.386923
-54.000217,0.394351
-54.989029,0.401572
-55.977844,0.408697
-56.994110,0.416184
-57.982929,0.423419
-58.999199,0.430769
-59.988010,0.438019
-60.976871,0.445299
-61.993145,0.452703
-62.981956,0.459906
-63.998226,0.467347
-64.987038,0.474589
-65.975906,0.481777
-66.992180,0.489223
-67.980995,0.496452
-68.997253,0.503900
-69.986069,0.511137
-70.974884,0.518317
-71.991211,0.525772
-72.980019,0.533003
-73.996292,0.540401
-74.985161,0.547729
-75.973915,0.554958
-76.990234,0.562454
-77.979050,0.569505
-78.995323,0.576966
-79.984192,0.584271
-81.000404,0.591659
-81.989273,0.598913
-82.978142,0.606200
-83.994354,0.613583
-84.983215,0.620865
-85.999489,0.628312
-86.988304,0.635415
-87.977112,0.642734
-88.993439,0.650240
-89.982254,0.657462
-90.998520,0.664878
-91.987381,0.672012
-92.976151,0.679250
-93.992470,0.686726
-94.981339,0.693809
-95.997551,0.701805
-96.986420,0.711273
-97.975182,0.719427
-98.991501,0.728114
-99.980316,0.736380
-100.996635,0.744901
-101.985451,0.753268
-103.001717,0.761065
-103.990585,0.769450
-104.979347,0.778265
-105.995674,0.786565
-106.984535,0.795166
-108.000801,0.803202
-108.989616,0.811725
-109.978432,0.820438
-110.994759,0.829232
-111.983620,0.837031
-112.999840,0.846015
-113.988701,0.854863
-114.977516,0.863362
-115.993790,0.872228
-116.982597,0.880824
-117.998917,0.889545
-118.987793,0.898025
-119.976540,0.906269
-120.992874,0.915561
-121.981682,0.924088
-122.998009,0.933425
-123.986816,0.941783
-124.975624,0.950831
-125.991959,0.960356
-126.980713,0.968742
-127.997040,0.977033
-128.985855,0.985641
-130.002182,0.995534
-130.991043,1.004228
-131.979797,1.013097
-132.996124,1.021979
-133.984924,1.030959
-135.001266,1.040107
-135.990128,1.048908
-136.978897,1.057229
-137.995209,1.066318
-138.984009,1.075594
-140.000351,1.084909
-140.989212,1.094144
-141.977966,1.103223
-142.994293,1.112217
-143.983093,1.121100
-144.999435,1.131006
-145.988190,1.139769
-146.977051,1.148454
-147.993378,1.157795
-148.982193,1.166674
-149.998520,1.176036
-150.987274,1.184896
-151.976135,1.193839
-152.992462,1.203194
-153.981277,1.212081
-154.997604,1.221323
-155.986404,1.230397
-157.002731,1.239771
-157.991592,1.248968
-158.980362,1.257813
-159.996674,1.267173
-160.985504,1.275915
-162.001816,1.285426
-162.990631,1.294774
-163.979446,1.303857
-164.995819,1.313174
-165.984589,1.322281
-167.000900,1.331468
-167.989716,1.340325
-168.978577,1.349235
-169.994904,1.359483
-170.983719,1.368739
-172.000046,1.378242
