2,Supercars Ford Mustang Gen3,baseline
Steering Wheel Angle,Yaw Rate
279.003784,1.618295
278.014984,1.618656
276.998779,1.618389
276.010010,1.617375
275.021179,1.615702
274.005005,1.612618
273.016235,1.614996
271.999969,1.606693
271.011169,1.597436
270.022430,1.594644
269.006195,1.587473
268.017395,1.562355
267.001190,1.533473
266.012421,1.531160
265.023651,1.554652
264.007385,1.549424
263.018616,1.539952
262.002350,1.529700
261.013611,1.520152
260.024841,1.510407
259.008575,1.500370
258.019806,1.490491
257.003571,1.480363
256.014801,1.470336
254.998566,1.459959
254.009781,1.450235
253.021011,1.441959
252.004791,1.434077
251.015961,1.427272
249.999741,1.421124
249.010956,1.415987
248.022217,1.411603
247.005966,1.407076
246.017166,1.402391
245.000916,1.397610
244.012177,1.393058
243.023422,1.387236
242.007141,1.380514
241.018341,1.373241
240.002121,1.365157
239.013351,1.358178
238.024597,1.351075
237.008316,1.343862
236.019547,1.337171
235.003296,1.331194
234.014542,1.324913
233.025772,1.318046
232.009491,1.311433
231.020752,1.304748
230.004471,1.298411
229.015686,1.291538
227.999451,1.285033
227.010681,1.278574
226.021896,1.271884
225.005646,1.265671
224.016876,1.258868
223.000626,1.252507
222.011841,1.245905
221.023071,1.239438
220.006836,1.232989
219.018051,1.226198
218.001816,1.219512
217.013016,1.213412
216.024261,1.206625
215.007996,1.200086
214.019226,1.193845
213.002960,1.186929
212.014175,1.180931
211.025421,1.174235
210.009140,1.167397
209.020386,1.161305
208.004135,1.154324
207.015366,1.148078
206.026566,1.141759
205.010300,1.134937
204.021530,1.128730
203.005295,1.121876
202.016510,1.115837
201.000275,1.109159
200.011475,1.102767
199.022705,1.096486
198.006454,1.089930
197.017670,1.083344
196.001419,1.076967
195.012619,1.070512
194.023849,1.064021
193.007599,1.057690
192.018814,1.051288
191.002563,1.044618
190.013794,1.038531
189.024994,1.031905
188.008728,1.025845
187.019974,1.019093
186.003708,1.013065
185.014938,1.006472
