2,Supercars Holden ZB Commodore,baseline
Steering Wheel Angle,Yaw Rate
189.024994,1.538866
188.008728,1.530623
187.019974,1.521776
186.003708,1.511296
185.014938,1.501143
184.026154,1.489910
183.009888,1.477872
182.021133,1.466712
181.004852,1.455842
180.016098,1.447239
178.999817,1.435746
178.011047,1.428416
177.022247,1.421536
176.005981,1.412709
175.017227,1.403988
174.000961,1.393140
173.012192,1.383742
172.023392,1.374830
171.007111,1.365443
170.018356,1.356571
169.002075,1.347281
168.013321,1.338044
167.024506,1.329181
166.008270,1.320005
165.019485,1.310679
164.003220,1.301449
163.014450,1.292669
162.025650,1.283439
161.009415,1.274000
160.020615,1.265150
159.004333,1.255943
158.015564,1.247127
157.026764,1.237873
156.010544,1.228746
155.021729,1.219964
154.005478,1.210782
153.016708,1.201698
152.000443,1.192789
151.011673,1.184156
150.022858,1.175407
149.006622,1.165427
148.017822,1.156202
147.001556,1.147433
146.012772,1.138830
145.023972,1.130080
144.007736,1.121242
143.018936,1.111437
142.002655,1.102241
141.013901,1.093522
140.025085,1.085242
139.008850,1.075799
138.020050,1.065477
137.003769,1.057038
136.014999,1.048276
135.026199,1.039423
134.009964,1.030407
133.021164,1.021628
132.004913,1.012597
131.016113,1.003775
130.027283,0.995010
129.011078,0.985459
128.022263,0.977080
127.006020,0.968338
126.017204,0.959684
125.000938,0.950714
124.012169,0.941815
123.023369,0.933416
122.007118,0.924027
121.018311,0.914499
120.002029,0.906388
119.013283,0.896730
118.024460,0.888133
117.008224,0.879288
116.019402,0.871089
115.003166,0.862696
114.014351,0.854054
113.025566,0.845956
112.009323,0.836901
111.020508,0.828197
110.004265,0.819396
109.015457,0.811407
108.026642,0.802756
107.010399,0.793739
106.021584,0.785959
105.005371,0.777018
104.016556,0.768590
103.027771,0.760564
102.011497,0.752088
101.022690,0.743697
100.006439,0.735211
99.017632,0.727297
98.001389,0.718316
97.012573,0.710243
96.023758,0.702636
95.007515,0.694033
94.018700,0.685716
93.002457,0.678328
92.013649,0.671052
91.024887,0.663824
90.008591,0.656305
89.019775,0.649135
88.003563,0.641756
87.014717,0.634444
86.025963,0.627256
85.009674,0.619775
84.020859,0.612577
83.004631,0.605152
82.015800,0.597885
81.027039,0.590627
80.010742,0.583094
79.021935,0.575992
78.005684,0.568463
77.016876,0.561310
76.000633,0.553887
75.011818,0.546652
74.023056,0.539470
73.006760,0.531988
72.017944,0.524772
71.001701,0.517372
70.012894,0.510176
69.024109,0.502850
68.007835,0.495433
67.018997,0.488135
66.002754,0.480664
65.013939,0.473602
64.025177,0.466428
63.008881,0.458991
62.020069,0.451729
61.003826,0.444227
60.015011,0.437042
59.026226,0.429816
58.009926,0.422390
57.021172,0.415203
56.004875,0.407804
55.016060,0.400477
54.027275,0.393244
53.011005,0.385799
52.022217,0.378687
51.005924,0.371291
50.017109,0.364083
49.000866,0.356711
48.012054,0.349495
47.023270,0.342304
46.006969,0.334843
45.018211,0.327588
44.001915,0.320212
43.013073,0.312950
42.024315,0.305806
41.008018,0.298381
40.019230,0.291208
39.002964,0.283774
38.014122,0.276567
37.025364,0.269366
36.009068,0.261938
35.020279,0.254767
34.003983,0.247326
33.015167,0.240057
32.026382,0.232899
31.010088,0.225521
30.021326,0.218305
29.005032,0.210857
28.016247,0.203648
27.027433,0.196434
26.011137,0.189032
25.022348,0.181754
24.006052,0.174389
23.017294,0.167233
22.000998,0.159830
21.012157,0.152682
20.023371,0.145437
19.007101,0.138005
18.018314,0.130848
17.002018,0.123439
16.013233,0.116235
15.024419,0.109027
14.008123,0.101642
13.019336,0.094436
12.003040,0.087000
11.014254,0.079816
10.025441,0.072596
9.009144,0.065179
8.020358,0.058034
7.004062,0.050541
6.015275,0.043356
5.026462,0.036096
4.010166,0.028700
3.021353,0.021526
2.005083,0.014107
1.016323,0.006872
0.000000,0.002493
-0.988760,0.007755
-1.977626,0.014921
-2.993896,0.022311
-3.982709,0.029545
